,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Other Customer Services,Fees & Commission Expense,Dividend Income,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Securities Amortization,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"2,319,039","2,045,881","2,321,231","2,048,301","2,048,301","202,050","41,113","29,767",-,"275,350","251,838",-,"7,349","16,163",-,"273,158",-,"169,700","195,208","167,643","27,565",-,"25,508",-,"48,158","43,811","37,400","6,411",-,"11,489","-73,500","833,885","90,760","62,501","28,259",-,"497,084","497,084","477,635","19,449","14,517",-,-,-,-,"113,358","132,683",-,0,-,-,0,-,-,"1,411,654","283,571","1,128,083","1,128,083","1,128,083","1,128,083",-,-,-,"1,128,083",-,-,-,-,"1,972,381","1,128,083","1,128,083","70,880","159,851","1,128,083",0,0,0,0
1,12/31/2022,"2,319,039","2,045,881","2,321,231","2,048,301","2,048,301","202,050","41,113","29,767",-,"275,350","251,838",-,"7,349","16,163",-,"273,158",-,"169,700","195,208","167,643","27,565",-,"25,508",-,"48,158","43,811","37,400","6,411",-,"11,489","-73,500","833,885","90,760","62,501","28,259",-,"511,601","511,601","477,635","19,449","14,517",-,-,-,-,"113,358","118,166",-,0,-,-,0,-,-,"1,411,654","283,571","1,128,083","1,128,083","1,128,083","1,128,083",-,-,-,"1,128,083",7.98,7.92,"141,326","142,492","1,972,381","1,128,083","1,128,083","70,880","159,851","1,128,083",0,0,0,0
2,12/31/2021,"1,801,314","1,531,571","1,618,734","1,424,900","1,424,900","146,064","15,531","32,239",-,"87,163","69,159",42,"9,963","8,041",-,"269,743",-,"158,564","174,716","148,965","25,751",-,"16,152",-,"48,977","50,242","41,333","8,909",-,"11,960","35,000","779,937","93,596","62,996","30,600","14,532","467,554","467,554","433,728","17,563","16,263",-,-,-,-,"122,457","81,798",-,0,-,-,0,-,-,"1,056,377","183,396","872,981","872,981","872,981","872,981",-,-,-,"872,981",6.16,6.10,"141,826","143,140","1,566,571","872,981","872,981","47,770","156,792","872,981",0,0,0,0
3,12/31/2020,"1,599,210","1,377,193","1,595,042","1,464,382","1,464,382","84,096","25,175","21,389",-,"217,849","184,742","1,504","19,837","13,270",-,"222,017",-,"126,954","140,484","122,990","17,494",-,"13,530",-,"22,370","59,126","54,625","4,501",-,"13,567","-210,653","623,970","66,489","66,489","29,033","13,157","464,835","464,835","404,071","15,128","45,636",-,-,-,-,"70,082","79,489",-,"-8,740",0,-,"8,740",-,"-70,082","685,765","117,968","567,797","567,797","567,797","567,797",-,-,-,"567,797",3.99,3.97,"142,336","142,991","1,166,540","567,797","575,051","46,564","119,908","567,797","-8,740","-8,740",0,"-1,486"
4,12/31/2019,"1,662,901","1,467,813","1,882,300","1,717,415","1,717,415","70,038","67,028","27,819",-,"414,487","375,802",-,"23,340","15,345",-,"195,088",-,"104,811","118,986","102,318","16,668",-,"14,175",-,"26,398","53,079","49,044","4,035",-,"10,800","-98,685","720,413","96,201","69,730","26,471","18,287","428,161","428,161","401,700","12,928","13,533",-,-,-,-,"85,515","92,249",-,114,0,-,-,-114,-,"843,917","169,882","674,035","674,035","674,035","674,035",-,-,-,"674,035",4.63,4.61,"145,497","146,179","1,369,128","674,035","673,944","94,847","144,178","674,035",114,114,0,22.914
5,12/31/2018,"1,548,020","1,386,508","1,651,703","1,503,514","1,503,514","64,057","54,804","29,328",-,"265,195","234,752",-,"16,935","13,508",-,"161,512",-,"152,387","163,631","39,859","13,785","109,987","11,244",-,-,"9,125","2,535","6,590",-,-,"-64,255","703,222","91,182","68,896","22,286","20,360","414,010","414,010","379,622","21,211","13,177",-,-,-,-,"89,628","88,042",-,"38,153","31,470",-,-,"-6,683",-,"818,696","114,995","703,701","703,701","703,701","703,701",-,-,-,"703,701",4.86,4.81,"144,862","146,169","1,322,253","703,701","670,889","84,132","139,499","703,701","38,153","38,153",0,"5,341"
6,12/31/2017,"1,352,342","1,185,069","1,325,119","1,198,440","1,198,440","61,194","33,390","32,095",-,"140,050","116,391",-,"13,180","10,479",-,"167,273",0,"150,366","160,304","42,490","14,632","103,182","9,938",-,-,"16,907","8,037","8,870",-,-,"-46,266","652,171","83,104","64,921","18,183","26,366","371,119","371,119","335,291","23,735","12,093","6,935","6,935","6,935","6,935","87,950","76,697",-,"81,195","3,807",-,0,"-77,388",-,"735,100","229,476","505,624","505,624","505,624","505,624",-,-,-,"505,624",3.50,3.47,"144,444","145,913","1,138,803","505,624","449,776","65,485","6,935","505,624","81,195","81,195",0,"25,347"
7,12/31/2016,"1,205,162","1,032,638","1,137,481","1,035,377","1,035,377","56,826","14,731","30,547",-,"104,843","84,224",-,"10,602","10,017",-,"172,524",0,"156,075","166,469","41,178","13,240","112,051","10,394",-,-,"16,449","10,362","6,087",-,-,"-27,479","605,495","74,367","61,453","12,914","25,583","335,077","335,077","300,115","23,279","11,683","8,086","8,086","8,086","8,086","91,532","78,936",-,0,-,-,0,-,-,"572,188","140,511","431,677","431,677","431,677","431,677",-,-,-,"431,677",3.00,2.97,"144,087","145,346","1,005,159","431,677","431,677","45,278","162,596","431,677",0,0,0,0
8,12/31/2015,"1,124,240","950,439","1,053,815","968,625","968,625","65,391",-,"19,799",-,"103,376","73,505",58,"8,906","20,965",-,"173,801","-37,980","146,540","156,122","39,495","18,268","98,359","9,582",-,-,"65,241","40,367","24,874",-,-,"-14,217","509,484","61,292","61,292",-,"33,607","291,150","291,150","262,193","18,772","10,185",-,-,-,-,"45,354","78,081",-,"-21,818",-,-,"21,818",-,-,"578,721","194,044","384,677","384,677","384,677","384,677",-,-,0,"384,677",2.67,2.66,"143,818","144,512","936,222","384,677","399,179","19,799","80,583","384,677","-21,818","-21,818",0,"-7,316"
9,12/31/2014,"1,025,726","1,040,878","1,153,698","1,059,205","1,059,205","74,170",-,"20,323",-,"112,820","65,486",0,"8,939","38,395",-,"-15,152","-201,417","82,367","85,805","37,866",-,"47,939","3,438","5,464","11,381","49,983","10,851","39,132",-,"48,451","-49,158","561,113","63,815","63,815",-,"61,529","269,648","269,648","231,838","21,922","15,888",-,-,-,-,"85,864","80,257",-,-,-,-,-,-,-,"415,455","72,972","342,483","342,483","342,483","342,483",-,-,-,"342,483",2.39,2.38,"142,952","143,563","991,720","342,483","342,483","20,323","127,625","342,483",-,-,0,0
