,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Other Customer Services,Fees & Commission Expense,Dividend Income,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Securities Amortization,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"2,319,039","2,045,881","2,321,231","2,048,301","2,048,301","202,050","41,113","29,767",-,"275,350","251,838",-,"7,349","16,163",-,"273,158",-,"169,700","195,208","167,643","27,565",-,"25,508",-,"48,158","43,811","37,400","6,411",-,"11,489","-73,500","833,885","90,760","62,501","28,259",-,"497,084","497,084","477,635","19,449","14,517",-,-,-,-,"113,358","132,683",-,0,-,-,0,-,-,"1,411,654","283,571","1,128,083","1,128,083","1,128,083","1,128,083",-,-,-,"1,128,083",-,-,-,-,"1,972,381","1,128,083","1,128,083","70,880","159,851","1,128,083",0,0,0,0
1,3/31/2023,"650,230","599,861","835,506","728,386","728,386","66,970","35,647","4,503",-,"235,645","216,794",-,"8,974","9,877",-,"50,369",-,"38,984","48,593","42,289","6,304",-,"9,609",-,"12,660","-5,537","-5,515",-22,-,"4,262","-20,000","204,966","22,947","15,587","7,360",-,"137,564","137,564","129,654","7,910",-,-,-,-,-,"10,110","34,345",-,"-3,872",-,-,"3,872",-,-,"421,392","98,953","322,439","322,439","322,439","322,439",-,-,-,"322,439",2.28,2.27,"141,112","141,913","579,861","322,439","325,402","40,150",-,"322,439","-3,872","-3,872",0,-909.2389
2,12/31/2022,"661,997","605,507","761,212","671,323","671,323","59,841","23,986","6,062",-,"155,705","147,467",-,"2,357","5,881",-,"56,490",-,"39,085","47,522","41,451","6,071",-,"8,437",-,"14,015",932,489,443,-,"2,458","-25,000","248,673","23,152","15,648","7,504",-,"128,993","128,993","120,422","4,930","3,641",-,-,-,-,"64,605","31,923",-,-,-,-,-,-,-,"388,324","51,561","336,763","336,763","336,763","336,763",-,-,-,"336,763",2.39,2.37,"140,947","142,138","580,507","336,763","336,763","30,048","77,871","336,763",-,-,0,0
3,9/30/2022,"620,654","551,809","628,236","560,452","560,452","51,092","9,080","6,769",843,"76,427","68,894",-,"1,935","5,598",-,"68,845",-,"46,121","52,828","43,925","8,903",-,"6,707",-,"10,083","10,310","8,181","2,129",-,"2,331","-27,000","209,266","22,809","15,920","6,889","2,309","136,180","136,180","127,580","4,875","3,725",-,-,-,-,"19,874","28,094",-,-,-,-,-,-,-,"384,388","89,049","295,339","295,339","295,339","295,339",-,-,-,"295,339",2.10,2.08,"140,917","142,011","524,809","295,339","295,339","15,849","33,069","295,339",-,-,0,0
4,6/30/2022,"545,725","472,952","499,754","439,416","439,416","46,176","4,787","8,553",822,"26,802","22,488",241,"1,655","2,659",-,"72,773",-,"43,382","49,053","42,514","6,539",-,"5,671",-,"11,361","15,609","14,692",917,-,"2,421","-13,500","176,210","15,469","15,469","6,572","3,068","128,349","128,349","113,364","4,927","10,058",-,-,-,-,"14,979","29,324",-,-,-,-,-,-,"-14,979","341,036","82,707","258,329","258,329","258,329","258,329",-,-,-,"258,329",1.83,1.81,"141,429","142,372","459,452","258,329","258,329","13,340","22,356","258,329",-,-,0,0
5,3/31/2022,"490,663","415,613","432,029","377,110","377,110","43,276","3,260","8,383",-,"16,416","12,989",9,"1,402","2,025",-,"75,050",-,"41,112","45,805","39,753","6,052",-,"4,693",-,"12,699","16,960","14,038","2,922",-,"4,279","-8,000","184,757","22,758","15,464","7,294","2,551","124,651","124,651","116,269","4,717","3,665",-,-,-,-,"13,900","20,897",-,-,-,-,-,-,-,"297,906","60,254","237,652","237,652","237,652","237,652",-,-,-,"237,652",1.67,1.66,"142,025","143,223","407,613","237,652","237,652","11,643","26,555","237,652",-,-,0,0
6,12/31/2021,"472,879","405,697","422,708","366,936","366,936","42,860","3,750","9,162",-,"17,011","13,369",0,"1,624","2,018",-,"67,182",-,"41,751","46,058","40,767","5,291",-,"4,307",-,"13,343","7,612","5,304","2,308",-,"4,476","10,000","205,798","23,340","15,846","7,494","3,714","123,690","123,690","114,743","4,772","4,175",-,-,-,-,"31,800","23,254",-,0,-,-,0,-,-,"277,081","59,285","217,796","217,796","217,796","217,796",-,-,-,"217,796",1.53,1.52,"141,907","143,323","415,697","217,796","217,796","12,912","40,421","217,796",0,0,0,0
7,9/30/2021,"464,679","395,706","415,307","363,503","363,503","38,326","4,521","8,957",-,"19,601","15,970",0,"1,619","2,012",-,"68,973",-,"37,486","41,622","36,024","5,598",-,"4,136",-,"13,101","16,188","12,859","3,329",-,"2,198","10,000","201,248","24,277","15,851","8,426","3,998","113,967","113,967","105,751","4,641","3,575",-,-,-,-,"38,008","20,998",-,0,-,-,0,-,-,"273,431","47,982","225,449","225,449","225,449","225,449",-,-,-,"225,449",1.59,1.57,"141,880","143,143","405,706","225,449","225,449","13,478","45,969","225,449",0,0,0,0
8,6/30/2021,"441,087","376,473","399,333","352,453","352,453","35,231","3,628","8,021",-,"22,860","17,998",0,"2,871","1,991",-,"64,614",-,"42,568","46,385","38,434","7,951",-,"3,817",-,"13,007","6,547","5,056","1,491",-,"2,492","15,000","185,706","22,898","15,377","7,521","3,843","113,735","113,735","105,426","4,274","4,035",-,-,-,-,"27,291","17,939",-,0,-,-,0,-,-,"270,381","45,639","224,742","224,742","224,742","224,742",-,-,-,"224,742",1.58,1.57,"141,868","143,040","391,473","224,742","224,742","11,649","32,912","224,742",0,0,0,0
9,3/31/2021,"422,669","353,695","381,386","342,008","342,008","29,647","3,632","6,099",-,"27,691","21,822",42,"3,849","2,020",-,"68,974",-,"36,759","40,651","33,740","6,911",-,"3,892",-,"9,526","19,895","18,114","1,781",-,"2,794",0,"161,827","15,922","15,922","7,159","2,977","123,321","123,321","107,808","3,876","11,637",-,-,-,-,"25,358","19,607",-,-,-,-,-,-,"-25,358","235,484","30,490","204,994","204,994","204,994","204,994",-,-,-,"204,994",1.45,1.44,"141,646","142,844","353,695","204,994","204,994","9,731","37,490","204,994",-,-,0,0
