,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 4/19/2023Current,7.87B,N/A,6.52,6.37,N/A,3.19,1.25,N/A,N/A
1,3/31/2023,7.82B,N/A,7.01,6.19,N/A,3.41,1.31,N/A,N/A
2,12/31/2022,9.29B,N/A,9.32,7.71,0.24,4.42,1.64,N/A,N/A
3,9/30/2022,9.46B,N/A,10.23,7.64,0.24,4.87,1.69,N/A,N/A
4,6/30/2022,9.13B,N/A,10.25,8.65,N/A,4.97,1.60,N/A,N/A
5,3/31/2022,11.24B,N/A,12.95,11.21,N/A,6.28,1.93,N/A,N/A
6,12/31/2021,11.17B,N/A,13.73,12.32,N/A,6.46,1.96,N/A,N/A
7,9/30/2021,11.00B,N/A,14.69,12.77,N/A,6.70,1.98,N/A,N/A
8,6/30/2021,10.17B,N/A,16.26,12.85,N/A,6.35,1.92,N/A,N/A
9,3/31/2021,10.47B,N/A,18.59,14.24,N/A,6.60,1.99,N/A,N/A
10,12/31/2020,7.18B,N/A,12.37,13.77,N/A,4.53,1.40,N/A,N/A
11,9/30/2020,4.63B,N/A,7.87,9.81,N/A,2.86,0.93,N/A,N/A
12,6/30/2020,5.13B,N/A,8.07,11.15,N/A,3.16,1.05,N/A,N/A
13,3/31/2020,3.64B,N/A,5.58,5.55,N/A,2.26,0.73,N/A,N/A
14,12/31/2019,7.09B,N/A,10.80,9.95,N/A,4.33,1.45,N/A,N/A
15,9/30/2019,6.45B,N/A,9.84,8.79,N/A,4.02,1.36,N/A,N/A
16,6/30/2019,6.81B,N/A,10.06,9.35,N/A,4.32,1.48,N/A,N/A
17,3/31/2019,6.98B,N/A,9.97,9.48,1.19,4.53,1.58,N/A,N/A
18,12/31/2018,6.31B,N/A,10.32,N/A,N/A,4.24,1.49,N/A,N/A
19,9/30/2018,8.75B,N/A,15.28,11.83,1.48,6.05,2.13,N/A,N/A
20,6/30/2018,9.45B,N/A,18.16,14.16,1.77,6.78,2.37,N/A,N/A
21,3/31/2018,9.06B,N/A,18.02,14.35,1.79,6.75,2.36,N/A,N/A
22,12/31/2017,8.79B,N/A,16.71,16.23,2.03,6.74,2.32,N/A,N/A
23,9/30/2017,8.64B,N/A,17.08,15.82,1.98,6.86,2.35,N/A,N/A
24,6/30/2017,8.46B,N/A,17.28,16.95,2.12,6.93,2.37,N/A,N/A
25,3/31/2017,7.46B,N/A,17.38,16.05,2.01,6.22,2.18,N/A,N/A
26,12/31/2016,7.33B,N/A,17.90,16.67,2.08,6.27,2.17,N/A,N/A
27,9/30/2016,5.29B,N/A,13.45,12.24,N/A,4.55,1.60,N/A,N/A
28,6/30/2016,4.93B,N/A,12.61,12.21,1.53,4.35,1.53,N/A,N/A
29,3/31/2016,4.68B,N/A,12.21,10.49,1.31,4.18,1.50,N/A,N/A
30,12/31/2015,5.98B,N/A,15.57,14.51,1.81,5.42,1.95,N/A,N/A
31,9/30/2015,5.53B,N/A,14.50,13.21,1.65,5.15,1.84,N/A,N/A
32,6/30/2015,6.45B,N/A,17.58,15.41,1.93,6.07,2.19,N/A,N/A
33,3/31/2015,5.82B,N/A,17.00,13.64,1.71,5.66,2.04,N/A,N/A
34,12/31/2014,5.56B,N/A,16.98,14.93,1.86,5.62,2.01,N/A,N/A
35,9/30/2014,4.88B,N/A,15.53,13.66,1.71,5.19,1.81,N/A,N/A
36,6/30/2014,5.02B,N/A,16.35,14.20,1.77,5.54,1.91,N/A,N/A
37,3/31/2014,5.23B,N/A,17.38,14.95,1.87,6.04,2.21,N/A,N/A
38,12/31/2013,4.81B,N/A,17.06,15.02,1.88,5.90,2.08,N/A,N/A
39,9/30/2013,4.40B,N/A,15.97,13.95,1.74,5.39,1.95,N/A,N/A
40,6/30/2013,3.74B,N/A,14.18,12.59,1.57,4.66,1.68,N/A,N/A
41,3/31/2013,3.51B,N/A,13.58,11.82,1.65,4.23,1.47,N/A,N/A
42,12/31/2012,3.01B,N/A,11.37,10.59,1.48,3.54,1.27,N/A,N/A
43,9/30/2012,3.00B,N/A,12.00,10.60,1.48,3.49,1.29,N/A,N/A
44,6/30/2012,3.39B,N/A,13.96,11.65,1.63,3.84,1.47,N/A,N/A
