,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"109,298,000","5,543,000","5,543,000","518,000",-,"5,025,000",-,-,"197,000",-,-,-,"586,000","20,348,000","1,074,000","10,279,000","8,995,000","67,688,000","68,610,000",-,"24,105,000","2,066,000","42,439,000",-,"922,000","2,873,000","329,000","2,544,000",-,"9,957,000","11,151,000","352,000","1,458,000","840,000",-,"8,501,000","-1,194,000","511,000","346,000","165,000","343,000","60,000","1,192,000","99,636,000","89,408,000","64,486,000","64,486,000","24,922,000","436,000",-,-,-,-,-,"1,750,000","1,750,000",-,"1,750,000","4,459,000","4,459,000",-,-,"3,583,000","9,662,000","9,662,000","896,000","881,000","15,000","5,392,000","4,109,000","-735,000",-,"14,121,000","881,000","8,781,000",-,"9,151,000","14,990,000","8,270,000","6,209,000","666,000","14,506","14,506","8,345",-
1,12/31/2021,"58,308,140","337,814","337,814",-,-,"337,814",-,-,"40,450",-,"39,328",-,"113,391","22,225,068","97,528","3,809,453","18,318,087","32,291,770","32,470,263","98,741","6,204,473","1,879,116","23,950,309","32,371,522","178,493","134,237",-,"134,237","37,660","1,233,418","2,376,256","334,375","1,307,502","671,172",-,"63,207","-1,079,631","389,149","346,064","43,085","289,030",-,"1,657,356","53,570,899","51,406,094","30,001,286","30,001,286","21,404,808","589,101",-,"589,101",0,0,-,-,-,-,-,"1,194,378","1,194,378","644,659","4,311","381,326","4,737,241","4,737,241","349,753","339,937","9,816","4,377,712",-,"9,776",-,"5,931,619","339,937","4,397,304","4,311","4,348,092","5,591,682","4,008,155","1,194,378","856,564","9,816","9,816","13,800",-
2,12/31/2020,"49,957,680","362,048","362,048",-,-,"362,048",-,-,-,-,"50,890",-,-,"14,270,241","9,922,905","2,816,982","4,347,336","32,567,661","32,791,975","124,837","7,419,935","1,808,370","23,100,788","32,791,975","224,314","145,694",-,"145,694",-,"1,251,283","2,261,459","336,258","1,286,092","639,109",-,-,"-1,010,176","401,073","350,298","50,775",-,-,"2,757,730","45,728,412","43,431,609","25,417,580","25,417,580","18,014,029","641,487",-,"641,487","15,601","15,601","15,601",-,-,-,-,"1,248,163","1,248,163","655,175",-,"2,296,803","4,229,268","4,229,268","349,753","339,937","9,816","3,867,252",0,"12,263",-,"5,477,431","339,937","4,229,268",-,"4,229,268","5,137,494","4,229,268","1,248,163","886,115","18,000","9,816",345,"8,184"
3,12/31/2019,"39,824,496","376,719","376,719","376,719",-,"376,719",-,-,-,-,"46,591","46,591",-,"8,280,847","82,333","30,996","1,107,844","28,724,224","28,949,365","67,869","4,713,885","1,780,404","21,828,491","558,716","225,141","123,154",-,"123,154",-,"1,244,396","2,159,367","335,093","1,228,588","595,686",-,-,"-914,971","417,674","349,398","68,276",-,-,"39,447,777","36,253,624","33,295,141","21,504,440","21,504,440","12,926,796","442,956",-,"442,956","112,395","112,395","112,395",-,-,-,-,"883,915","883,915","572,185",-,"2,958,483","3,570,872","3,570,872","10,629",0,"10,629","3,658,197","44,081","-126,723",-,"4,470,099",-,"3,570,872",-,"3,570,872","4,470,099","3,570,872","883,915","507,196","10,629","10,629",-,-
4,12/31/2018,"35,408,629","327,440","327,440","327,440",-,"327,440",-,-,-,-,"48,030","48,030",-,"7,539,169","6,741,763","2,184,653","797,406","25,299,564","25,523,276","45,505","4,235,154","1,713,781","18,967,765","25,523,276","223,712","109,903",-,"109,903",-,"1,204,179","2,096,239","306,734","1,228,582","560,923",-,-,"-892,060","308,645","236,347","72,298",-,-,"2,242,456","31,919,675","30,672,460","18,789,790","18,789,790","11,882,670","543,936",0,"543,936","105,618","105,618","105,618","28,351","28,351",-,"28,351","319,867","306,707","165,205","13,160","1,247,215","3,488,954","3,488,954","11,628",0,"11,628","3,218,551","493,962","-235,187",-,"3,795,661",-,"3,488,954","13,160","3,488,954","3,824,012","3,488,954","348,218","7,618","11,628","11,628",-,-
5,12/31/2017,"34,527,512","336,150","336,150","336,150",-,"336,150",-,-,-,-,"51,097","51,097",-,"8,568,183","7,180,256",76,"1,387,927","23,374,932","23,596,825","51,179","3,935,441","1,563,363","18,098,021","23,596,825","221,893","95,249",-,"95,249",-,"1,138,431","1,938,756","290,990","1,158,699","489,067",-,-,"-800,325","223,697","150,601","73,096",-,-,"2,248,247","31,193,448","29,266,275","18,028,900","18,028,900","11,237,375","588,722","2,551","586,171","101,342","101,342","101,342","90,085","90,085",-,"90,085","885,240","877,445","745,221","7,795","1,927,173","3,334,064","3,334,064","12,010",-,"12,010","2,785,430","658,918","-122,294",-,"4,211,509",-,"3,334,064","7,795","3,334,064","4,301,594","3,334,064","975,325","631,380","12,010","12,010",-,-
6,12/31/2016,"32,990,836","539,741","539,741","539,741",-,"539,741",-,-,-,-,"61,231","61,231",-,"8,879,272","7,006,678",98,"1,872,594","21,519,083","21,737,878","74,401","3,747,581","1,447,910","16,542,387","21,737,878","218,795","4,172",-,"4,172",-,"1,133,044","1,859,822","285,612","1,130,650","443,560",-,-,"-726,778","228,641","150,601","78,040",-,-,"2,052,740","29,978,409","28,161,343","18,030,794","18,030,794","10,130,549","593,323","2,551","590,772","97,008","97,008","97,008","10,164","10,164",0,"10,164","832,942","827,241","660,237","5,701","1,817,066","3,012,427","3,012,427","12,010",0,"12,010","2,476,691","658,918","-135,192",-,"3,839,668",-,"3,012,427","5,701","3,012,427","3,849,832","3,012,427","843,106","297,664","12,010","12,010",-,-
7,12/31/2015,"31,475,934","534,086","534,086","534,086",-,"534,086",-,-,-,-,"65,559","65,559",-,"8,924,680","6,861,548",255,"2,063,132","20,033,774","20,239,990","59,766","3,431,758","1,222,094","15,586,138","20,239,990","206,216","4,054",-,"4,054",-,"1,135,829","1,810,954","279,932","1,089,644","441,378",-,-,"-675,125","230,759","139,773","90,986",-,-,"1,983,394","28,603,825","26,930,755","17,656,285","17,656,285","9,274,470","594,733","2,551","592,182","126,453","126,453","126,453",-,-,-,-,"704,155","694,929","520,252","9,226","1,673,070","2,872,109","2,872,109","12,010",-,"12,010","2,265,621","658,918","-64,440",-,"3,567,038",-,"2,872,109","9,226","2,872,109","3,567,038","2,872,109","704,155","160,843","12,010","12,010",-,-
8,12/31/2014,"30,075,113","604,182","604,182","604,182",-,"604,182",-,-,-,-,"93,436","93,436",-,"8,897,354","7,172,435",518,"1,724,919","18,564,999","18,769,465","63,696","2,945,016","1,120,468","14,703,981","18,769,465","204,466","28,701",-,"28,701",-,"1,125,081","1,785,582","295,090","1,045,718","444,774",-,-,"-660,501","246,383","139,773","106,610",-,-,"2,008,578","27,387,519","25,678,577","17,591,793","17,591,793","8,086,784","296,977","2,551","294,426","116,535","116,535","116,535","490,258","490,258","410,258","80,000","551,269","548,119","170,268","3,150","1,708,942","2,687,594","2,687,594","12,010",-,"12,010","2,069,647","658,918","-52,981",-,"3,235,713",-,"2,687,594","3,150","2,687,594","3,725,971","2,687,594","1,041,527","434,195","12,010","12,010",-,-
9,12/31/2013,"21,199,091","533,599","533,599","533,599",-,"533,599",-,-,-,-,"83,979","83,979",-,"6,247,934","5,388,610",907,"859,324","12,900,330","13,133,724","47,271","1,656,377","387,303","11,090,044","13,133,724","233,394","93,397",-,"93,397",-,"876,522","1,474,118","204,259","875,511","394,348",-,-,"-597,596","103,872","102,625","1,247",-,-,"1,517,228","19,122,416","17,874,066","12,632,249","12,632,249","5,241,817","99,511","2,551","96,960","109,378","109,378","109,378","411,907","411,907","411,907",-,"510,769","504,254","250,283","6,515","1,248,350","2,076,675","2,076,675","9,619",-,"9,619","1,948,558","143,766","-25,268",-,"2,580,929",-,"2,076,675","6,515","2,076,675","2,992,836","2,076,675","922,676","382,562","9,619","9,619",-,-
