,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"214,658,000","40,120,000","40,120,000","1,598,000",-,"38,522,000",-,-,"393,000",-,-,-,"530,000","19,527,000","85,000","10,381,000","9,061,000","134,520,000","136,125,000",-,"76,463,000","2,084,000","57,578,000",-,"1,605,000","2,163,000","772,000","2,163,000",-,"10,074,000","10,074,000",-,-,-,-,"10,074,000",-,"710,000","346,000","364,000","359,000","94,000","7,450,000","195,442,000","140,050,000","85,401,000","85,401,000","54,649,000","509,000",-,-,-,-,-,"1,009,000","1,009,000",-,"1,009,000","45,085,000","45,085,000",-,"7,000","9,298,000","19,216,000","19,216,000","896,000","881,000","15,000","14,885,000","4,104,000","-669,000",-,"64,301,000","881,000","18,335,000","7,000","18,506,000","64,429,000","17,625,000","46,094,000","5,974,000","14,520","14,520","8,345",-
1,12/31/2022,"109,298,000","5,543,000","5,543,000","518,000",-,"5,025,000",-,-,"197,000",-,-,-,"586,000","20,348,000","1,074,000","10,279,000","8,995,000","67,688,000","68,610,000",-,"24,105,000","2,066,000","42,439,000",-,"922,000","2,873,000","329,000","2,544,000",-,"9,957,000","11,151,000","352,000","1,458,000","840,000",-,"8,501,000","-1,194,000","511,000","346,000","165,000","343,000","60,000","1,192,000","99,636,000","89,408,000","64,486,000","64,486,000","24,922,000","436,000",-,-,-,-,-,"1,750,000","1,750,000",-,"1,750,000","4,459,000","4,459,000",-,-,"3,583,000","9,662,000","9,662,000","896,000","881,000","15,000","5,392,000","4,109,000","-735,000",-,"14,121,000","881,000","8,781,000",-,"9,151,000","14,990,000","8,270,000","6,209,000","666,000","14,506","14,506","8,345",-
2,9/30/2022,"109,310,000","6,653,000","6,653,000","481,000",-,"6,172,000",-,-,-,-,-,-,"1,342,000","18,841,000","92,000","9,661,000","9,088,000","66,724,000","67,606,000",-,"24,288,000","1,997,000","41,321,000",-,"882,000","2,184,000",-,"2,184,000",-,"9,394,000","9,394,000",-,-,-,-,"9,394,000",-,"491,000","346,000","145,000",-,"21,000","3,660,000","99,477,000","87,553,000","60,966,000","60,966,000","26,587,000","578,000",-,-,-,-,-,"2,550,000","2,550,000",-,"2,550,000","5,215,000","5,207,000","3,250,000","8,000","3,581,000","9,833,000","9,833,000","896,000","881,000","15,000","5,160,000","4,506,000","-729,000",-,"15,040,000","881,000","8,952,000","8,000","9,342,000","16,709,000","8,461,000","7,765,000","1,104,000","14,976","14,976","8,345",-
3,6/30/2022,"107,673,000","7,059,000","7,059,000","583,000",-,"6,476,000",-,-,-,-,-,-,"1,334,000","19,136,000","94,000","9,832,000","9,210,000","64,707,000","65,557,000",-,"23,554,000","1,924,000","40,079,000",-,"850,000","2,178,000",-,"2,178,000",-,"9,386,000","9,386,000",-,-,-,-,"9,386,000",-,"496,000","346,000","150,000",-,"38,000","3,339,000","97,031,000","89,329,000","62,684,000","62,684,000","26,645,000","646,000",-,"646,000",-,-,-,-,-,-,-,"3,813,000","3,813,000","1,785,000",-,"3,243,000","10,642,000","10,642,000","897,000","881,000","16,000","4,865,000","5,345,000","-465,000",-,"14,455,000","881,000","9,761,000",-,"10,146,000","13,574,000","9,265,000","3,813,000",-,"16,002","16,002","8,345",-
4,3/31/2022,"108,597,000","9,808,000","9,808,000","523,000",-,"9,285,000",-,-,-,-,-,-,"1,326,000","19,469,000","100,000","10,074,000","9,295,000","62,456,000","63,304,000",-,"22,402,000","1,872,000","39,030,000",-,"848,000","2,220,000",-,"2,220,000",-,"9,403,000","9,403,000",-,-,-,-,"9,403,000",-,"502,000","346,000","156,000",-,"83,000","3,330,000","98,027,000","91,597,000","65,699,000","65,699,000","25,898,000","616,000",-,"616,000",-,-,-,-,-,-,-,"2,676,000","2,676,000","639,000",-,"3,138,000","10,570,000","10,570,000","897,000","881,000","16,000","4,634,000","5,344,000","-305,000",-,"13,246,000","881,000","9,689,000",-,"10,068,000","12,365,000","9,187,000","2,676,000",-,"16,002","16,002","21,800",-
5,12/31/2021,"58,308,140","337,814","337,814",-,-,"337,814",-,-,"40,450",-,"39,328",-,"113,391","22,225,068","97,528","3,809,453","18,318,087","32,291,770","32,470,263","98,741","6,204,473","1,879,116","23,950,309","32,371,522","178,493","134,237",-,"134,237","37,660","1,233,418","2,376,256","334,375","1,307,502","671,172",-,"63,207","-1,079,631","389,149","346,064","43,085","289,030",-,"1,657,356","53,570,899","51,406,094","30,001,286","30,001,286","21,404,808","589,101",-,"589,101",0,0,-,-,-,-,-,"1,194,378","1,194,378","644,659","4,311","381,326","4,737,241","4,737,241","349,753","339,937","9,816","4,377,712",-,"9,776",-,"5,931,619","339,937","4,397,304","4,311","4,348,092","5,591,682","4,008,155","1,194,378","856,564","9,816","9,816","13,800",-
6,9/30/2021,"56,901,977","337,450","337,450",-,-,"337,450",-,-,-,-,"40,649",-,-,"20,750,417","123,147","3,381,078","17,246,192","32,431,446","32,614,640","98,451","6,353,183","1,985,785","23,803,966","32,516,189","183,194","132,911",-,"132,911",-,"1,230,572",-,-,-,-,-,-,-,"394,440","350,298","44,142",-,-,"1,584,092","52,320,682","50,065,762","28,551,355","28,551,355","21,514,407","663,575",-,"663,575",0,0,-,-,-,-,-,"1,219,229","1,219,229","645,663",-,"372,116","4,581,295","4,581,295","349,753","339,937","9,816","4,263,679",-,"-32,137",-,"5,800,524","339,937","4,241,358",-,"4,186,855","5,460,587","3,846,918","1,219,229","881,779","9,816","9,816",345,"8,184"
7,6/30/2021,"55,175,318","395,364","395,364",-,-,"395,364",-,-,-,-,"43,685",-,-,"18,765,609","118,540","3,394,604","15,252,465","32,608,326","32,797,420","107,768","6,765,579","1,888,656","23,638,911","396,506","189,094","133,043",-,"133,043",-,"1,237,860",-,-,-,-,-,-,-,"397,737","350,298","47,439",-,-,"1,593,694","50,698,828","48,410,596","27,436,485","27,436,485","20,974,111","692,604",-,"692,604",0,0,-,-,-,-,-,"1,224,488","1,224,488","646,667",-,"371,140","4,476,490","4,476,490","349,753","339,937","9,816","4,148,857",-,"-22,120",-,"5,700,978","339,937","4,136,553",-,"4,078,753","5,361,041","3,738,816","1,224,488","829,124","9,816","9,816",345,-
8,3/31/2021,"53,908,606","410,495","410,495",-,-,"410,495",-,-,-,-,"48,512",-,-,"17,810,864","10,222,107","2,808,099","7,588,757","32,970,200","33,180,851","129,334","7,716,351","1,810,263","23,221,464","33,180,851","210,651","148,022",-,"148,022",-,"1,238,874",-,-,-,-,-,-,-,"401,845","350,298","51,547",-,-,"2,717,047","49,587,206","47,330,997","26,815,855","26,815,855","20,515,142","680,705",-,"680,705",0,0,-,-,-,-,-,"1,230,326","1,230,326","648,671",-,"2,256,209","4,321,400","4,321,400","349,753","339,937","9,816","4,005,318",-,"-33,671",-,"5,551,726","339,937","4,321,400",-,"4,321,400","5,211,789","4,321,400","1,230,326","819,831","18,000","9,816",345,"8,184"
9,12/31/2020,"49,957,680","362,048","362,048",-,-,"362,048",-,-,-,-,"50,890",-,-,"14,270,241","9,922,905","2,816,982","4,347,336","32,567,661","32,791,975","124,837","7,419,935","1,808,370","23,100,788","32,791,975","224,314","145,694",-,"145,694",-,"1,251,283","2,261,459","336,258","1,286,092","639,109",-,-,"-1,010,176","401,073","350,298","50,775",-,-,"2,757,730","45,728,412","43,431,609","25,417,580","25,417,580","18,014,029","641,487",-,"641,487","15,601","15,601","15,601",-,-,-,-,"1,248,163","1,248,163","655,175",-,"2,296,803","4,229,268","4,229,268","349,753","339,937","9,816","3,867,252",0,"12,263",-,"5,477,431","339,937","4,229,268",-,"4,229,268","5,137,494","4,229,268","1,248,163","886,115","18,000","9,816",345,"8,184"
