,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Asset Impairment Charge,Unrealized Gain Loss On Investment Securities,Stock based compensation,Other non-cash items,Change in working capital,Change in Receivables,Change in Prepaid Assets,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"2,791,000","2,791,000","1,098,000","-39,000",-,"-10,000",0,-,"533,000","533,000","533,000",-,-,"206,000","206,000",-,"3,000","19,000","-418,000","744,000",-,-,-,-,-,-,-,"484,000","260,000",-,"75,000","75,000","-818,000","-926,000","108,000","134,000",-,"134,000",-,-,"-666,000","-2,740,000","2,074,000","-441,000","-2,686,000","-2,686,000","352,000","-1,245,000","3,854,000","-5,099,000","1,597,000","3,105,000","-1,508,000","-1,240,000","-1,240,000",0,0,"-83,000",-,"-24,000",-,"518,000","180,000","338,000",-,-,"525,000","-926,000",0,"6,959,000","-6,607,000","-1,240,000","1,865,000"
1,12/31/2022,"2,791,000","2,791,000","1,098,000","-39,000",-,"-10,000",0,-,"533,000","533,000","533,000",-,-,"206,000","206,000",-,"3,000","19,000","-418,000","744,000",-,-,-,-,-,-,-,"484,000","260,000",-,"75,000","75,000","-818,000","-926,000","108,000","134,000",-,"134,000",-,-,"-666,000","-2,740,000","2,074,000","-441,000","-2,686,000","-2,686,000","352,000","-1,245,000","3,854,000","-5,099,000","1,597,000","3,105,000","-1,508,000","-1,240,000","-1,240,000",0,0,"-83,000",-,"-24,000",-,"518,000","180,000","338,000",-,-,"525,000","-926,000",0,"6,959,000","-6,607,000","-1,240,000","1,865,000"
2,12/31/2021,"-283,783","-283,783","547,459","-99,919",-,-,"-67,200",-,"132,167","132,167","106,585","25,582","25,582","-7,586","-7,586",-,-,-,"-102,387","-727,833","11,457","-731,741","-1,493","-1,493",-,-,"-1,493","-12,910","6,854",-,"-7,568,426","-7,568,426","-106,173","-107,367","1,194",0,0,-,-,-,"-7,884,608","-12,545,456","4,660,848",-902,"7,827,975","7,827,975","-106,718","-54,332",0,"-54,332","-52,386",-,"-52,386",0,0,0,0,"-41,612",-,-,-,"337,814","-24,234","362,048",-,"870,467","62,169","-107,367",0,0,"-106,718",0,"-391,150"
3,12/31/2020,"340,015","340,015","491,723","-127,242",-,"-12,149","-89,648","-100,000","141,442","141,442","108,641","32,801","32,801","-25,535","-25,535","4,056",-,-,"-144,308","-49,960","-27,876",-,"-8,683","-8,683",-,-,"-8,683","-7,286","-6,115",-,"-9,871,758","-9,871,758","-132,015","-133,384","1,369","-59,999","-59,999",-,-,-,"-5,818,736","-13,849,211","8,030,475","-71,188","9,517,072","9,517,072","562,366","659,112","745,849","-86,737","-96,746",-,"-96,746","-333,755","-333,755","339,937","339,937","-30,393","-30,393",-,-,"362,048","-14,671","376,719",-,"116,583","104,567","-133,384","339,937","745,849","-183,483","-333,755","206,631"
4,12/31/2019,"540,569","540,569","457,371","-38,808",-,"4,115","-27,740",-,"127,689","127,689","103,828","23,861","23,861","54,598","54,598","2,664",-,-,"-10,139","-50,207","-23,715",-,"21,189","21,189",-,-,"14,412","-28,097","-19,584",-,"-1,558,469","-1,558,469","-120,945","-121,077",132,"-236,728","-236,728",-,"25,918","25,918","32,211","-5,019,983","5,052,194","25,626","1,067,179","1,067,179","99,013","126,716","200,000","-73,284","-27,703",-,-,"-453,123","-453,123",-,-,"-18,137","-18,137",-,-,"376,719","49,279","327,440",-,"83,038","78,230","-121,077",-,"200,000","-73,284","-453,123","419,492"
5,12/31/2018,"765,800","765,800","400,313","-28,052",-,"2,452","7,259",-,"120,429","120,429","96,781","23,648","23,648","-13,377","-13,377","4,390",-,-,"9,984","280,212","12,568",-,"4,036","4,036",-,-,-240,"304,503","-40,895",-,"-210,891","-210,891","-138,723","-140,444","1,721","-155,126","-155,126",-,"28,128","28,128","1,072,691","-949,953","2,022,644","24,561","-563,619","-563,619","-873,964","-627,447","125,000","-752,447","-246,517",-,-,"-163,095","-163,095",-,-,"-16,779","-16,779",-,-,"327,440","-8,710","336,150",-,"73,806","37,097","-140,444",-,"125,000","-752,447","-163,095","625,356"
6,12/31/2017,"351,655","351,655","323,752","-21,586",-,-524,"-4,293",-,"113,646","113,646","90,804","22,842","22,842","125,838","125,838","4,460",-,-,"-96,395","-83,724","-1,135",-,"4,489","4,489",-,-,155,"-46,920","-29,542","-10,616","-668,672","-668,672","-81,737","-84,798","3,061","304,820",-,"304,820","40,709","40,709","126,298","-3,648,312","3,774,610","32,984","113,426","113,426","123,365","168,045","175,000","-6,955","-44,680",-,-,-,-,-,-,"-10,809","-10,809",-,-,"336,150","-203,591","539,741",-,"88,565","43,639","-84,798",-,"175,000","-6,955",-,"266,857"
7,12/31/2016,"232,440","232,440","225,482","-46,226",0,-,"-26,673",-,"110,585","110,585","88,777","21,808","21,808","33,146","33,146","6,201",-,-,"-1,294","-83,777","6,940",-,"-13,161","-13,161",-,-,"-1,916","-27,656","-25,520","-24,380","-1,100,396","-1,100,396","-81,841","-81,841",-,-727,-727,-,"34,944","34,944","125,170","-4,086,855","4,212,025","-6,230","873,611","873,611","105,715","138,787","150,000","-11,213","-33,072",-,-,-,-,-,-,"-14,412","-14,412",-,-,"539,741","5,655","534,086",-,"108,741","44,998","-81,841",-,"150,000","-11,213",-,"150,599"
8,12/31/2015,"233,056","233,056","210,386","-22,884",-216,-,"-10,817",-,"110,611","110,611","87,717","22,894","22,894",550,550,"2,168",-,-,"-27,149","23,776","34,262",-,"7,437","7,437",-,-,"-2,481","-12,904","14,458","-19,477","-1,248,003","-1,248,003","-89,734","-89,734",-,"100,895","-22,242","123,137","80,932","80,932","-41,215","-2,467,993","2,426,778","47,636","944,851","944,851","-53,848","344,104","350,000","-5,896","-397,952",-,-,-,-,-,-,"-18,015","-18,015",-,-,"534,086","-70,096","604,182",-,"136,900","46,785","-89,734",-,"350,000","-5,896",-,"143,322"
9,12/31/2014,"182,242","182,242","138,562","-36,055",0,-,"-29,096",-,"82,436","82,436","75,481","6,955","6,955","-33,339","-33,339","14,275",-,-,"20,726","43,371","34,068",-,"8,390","8,390",-,-,"1,457","-72,680","1,319","72,274","-17,698","-17,698","-82,708","-82,708",-,"182,370",-,"182,370","89,485","89,485","608,813","-2,518,680","3,127,493","88,199","-93,961","-93,961","-79,622","-54,301",0,"-54,301","-25,321",-,-,0,0,-,-,"-11,543","-11,543",-619,-,"604,182","70,583","533,599",-,"127,970","48,894","-82,708",-,0,"-54,301",0,"99,534"
