,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Receivables,Change in Prepaid Assets,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"2,791,000","2,791,000","1,098,000","-39,000",-,"-10,000",0,-,"-22,000","533,000","533,000","533,000",-,-,"206,000","206,000","-418,000",-,-,-,"19,000","645,000","3,000","744,000",-,-,-,-,-,-,-,"484,000","260,000",-,"75,000","75,000",-,"6,965,000","-666,000","-2,740,000","2,074,000",-,-,"-5,099,000","245,000","-5,344,000","-818,000","-926,000","108,000","134,000",-,"134,000","-441,000","-2,686,000","-2,686,000",-,"352,000","-1,245,000","3,854,000","-5,099,000","1,597,000","3,105,000","-1,508,000","-1,240,000","-1,240,000",0,0,"-83,000",-,"-24,000",-,"518,000","180,000","338,000",-,-,"525,000","-926,000",0,"6,959,000","-6,607,000","-1,240,000","1,865,000"
1,3/31/2023,"-362,000","-362,000","9,518,000","9,000",-,"-4,000","14,000",-,"-1,000","124,000","124,000",-,-,-,"-69,000","-69,000","-9,904,000",-,-,-,"1,000","783,000","9,000","-833,000",-,-,-,-,-,-,-,"-486,000","-347,000",-,"2,628,000","2,628,000",-,"-88,000","8,000","-337,000","345,000",-,-,"1,173,000","1,173,000",-,"-299,000","-332,000","33,000","1,347,000",-,"1,347,000","487,000","-1,186,000","-1,186,000","63,000","4,229,000","5,479,000","6,500,000","-1,021,000","-1,250,000","500,000","-1,750,000",-,-,-,-,"-26,000",-,"-6,000",-,"1,598,000","1,080,000","518,000",-,-,"366,000","-332,000",-,"7,000,000","-2,771,000",-,"-694,000"
2,12/31/2022,"1,020,000","1,020,000","257,000","-7,000",-,"-1,000",0,-,"-6,000","134,000","134,000","134,000",-,-,"126,000","126,000","-13,000",-,-,-,"2,000","79,000","-2,000","444,000",-,-,-,-,-,-,-,"400,000","44,000",-,"-711,000","-711,000",-,"1,148,000","-479,000","-927,000","448,000",-,-,"-624,000","72,000","-696,000","-344,000","-381,000","37,000",0,-,0,"-412,000","-272,000","-272,000",-,"-1,711,000","-758,000","601,000","-1,359,000","-953,000","105,000","-1,058,000","-448,000","-448,000",-,-,"-25,000",-,"20,000",-,"518,000","37,000","481,000",-,-,"210,000","-381,000",-,"706,000","-2,417,000","-448,000","639,000"
3,9/30/2022,"528,000","528,000","315,000","-5,000",-,"-1,000",0,-,"-3,000","128,000","128,000","128,000",-,-,"66,000","66,000","296,000",-,-,-,"3,000","60,000","2,000","-337,000",-,-,-,-,-,-,-,"-287,000","-50,000",-,"-1,894,000","-1,894,000",-,"303,000","-94,000","-529,000","435,000",-,-,"-1,975,000","57,000","-2,032,000","-148,000","-167,000","19,000",0,-,0,"20,000","1,264,000","1,264,000",-,"3,896,000","1,403,000","1,601,000","-198,000","2,493,000","2,943,000",-,-,-,-,-,"-20,000",-,"-23,000",-,"481,000","-102,000","583,000",-,-,"106,000","-167,000",-,"4,544,000","-648,000",-,"361,000"
4,6/30/2022,"843,000","843,000","255,000","-9,000",-,"-7,000","3,000",-,"-5,000","145,000","145,000","145,000",-,-,"75,000","75,000","-59,000",-,-,-,"2,000","42,000",-,"389,000",-,-,-,-,-,-,-,"189,000","200,000",-,"298,000","298,000",-,"2,809,000","104,000","-474,000","578,000",-,-,"-2,465,000","-144,000","-2,321,000","-104,000","-137,000","33,000",0,-,0,"-46,000","-1,081,000","-1,081,000",-,"1,170,000","1,140,000","1,651,000","-511,000","30,000","30,000",-,-,-,-,-,"-24,000",-,"1,000",-,"583,000","60,000","523,000",-,-,"87,000","-137,000",-,"1,681,000","-511,000",-,"706,000"
5,3/31/2022,"400,000","400,000","271,000","-18,000",-,"-1,000","-3,000",-,"-8,000","126,000","126,000","126,000",-,-,"-61,000","-61,000","-642,000",-,-,-,"12,000","464,000",-,"248,000",-,-,-,-,-,-,-,"182,000","66,000",-,"2,382,000","2,382,000",0,"2,705,000","-197,000","-810,000","613,000",-,-,"-35,000","260,000","-295,000","-222,000","-241,000","19,000","134,000",-,"134,000","-3,000","-2,597,000","-2,597,000",-,"-3,003,000","-3,030,000","1,000","-3,031,000","27,000","27,000",-,-,-,-,-,"-14,000",-,"-22,000",-,"523,000","185,000","338,000",-,-,"122,000","-241,000",-,"28,000","-3,031,000",-,"159,000"
6,12/31/2021,"177,988","177,988","123,282","-8,996",-,-,"-3,066",-,"-5,930","35,466","35,466","26,292","9,174","9,174","-16,852","-16,852","14,182","6,134",-,-,-,"-5,138",-,"29,910","-1,326","42,471","1,362","1,362",-,-,"1,362","-27,143","14,546",-,"-1,409,623","-1,409,623",-,-,"-1,477,242","-2,196,067","718,825",-,-,"98,048",-,-,"-34,904","-34,904",0,0,0,-,"4,475","1,231,999","1,231,999",-,"-99,463","-24,989",0,"-24,989","-74,474",-,-,0,0,0,0,"-9,249",-,-,-,"337,814",364,"337,450",-,-860,"13,243","-34,904",0,0,"-77,375",0,"143,084"
7,9/30/2021,"136,284","136,284","124,073","-18,455",-,"-1,891","-11,432",-,"-7,023","31,428","31,428","26,240","5,188","5,188","-4,175","-4,175","-37,971","3,527",-,-,-,"-1,120",-,"38,977",132,"30,872","-2,252","-2,252",-,-,"-2,252","-4,807","15,032",-,"-1,806,117","-1,806,117",-,-,"-1,978,379","-2,857,012","878,633",-,-,"189,200",-,-,"-21,163","-21,181",18,0,0,-,"4,225","1,611,919","1,611,919",-,"-34,425","-5,396",0,"-5,396","-29,029",-,-,0,0,0,0,"-9,251",-,-,-,"337,450","-57,914","395,364",-,"4,131","17,220","-21,181",0,0,"-5,396",0,"115,103"
8,6/30/2021,"-702,931","-702,931","152,788","-37,885",-,"-1,317","-27,484",-,"-10,401","31,614","31,614","26,189","5,425","5,425","4,886","4,886","-35,233","1,374",-,-,-,"-19,603",-,"-800,872","-11,724",-,"3,661","3,661",-,-,"3,661","1,505","10,770",-,"-384,340","-384,340",-,-,"-880,650","-2,305,447","1,424,797",-,-,"519,516",-,-,"-27,705","-27,738",33,0,0,-,"4,499","1,072,140","1,072,140",-,"5,925","-5,974",0,"-5,974","11,899",-,-,0,0,0,0,"-13,863",-,-,-,"395,364","-15,131","410,495",-,"867,185","11,771","-27,738",0,0,"-5,974",0,"-730,669"
9,3/31/2021,"104,876","104,876","147,316","-34,583",-,"-6,567","-25,218",0,"-9,365","33,659","33,659","27,864","5,795","5,795","8,555","8,555","-43,365",116,-,-,-,"-10,974",-,"4,152","24,375",-,"-4,264","-4,264",-,-,"-4,264","17,535","-33,494",-,"-3,968,346","-3,968,346",-,-,"-3,548,337","-5,186,930","1,638,593",-,-,"-383,507",-,-,"-22,401","-23,544","1,143",0,0,-,"-14,101","3,911,917","3,911,917",-,"21,245","-17,973",0,"-17,973","39,218",-,-,0,0,0,0,"-9,249",-,-,-,"410,495","48,447","362,048",-,11,"19,935","-23,544",0,0,"-17,973",0,"81,332"
