,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Fees & Commission Expense,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Loss on Extinguishment of Debt,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"4,541,000","2,946,000","3,413,000","2,953,000","2,953,000","354,000","106,000",-,-,"467,000","335,000",-,"132,000",-,-,"1,595,000","32,000","590,000","693,000","551,000","142,000",-,-,"103,000","12,000","-3,000","15,000","961,000","-645,000","2,741,000","410,000","194,000","216,000","57,000","1,669,000","1,616,000","1,396,000","189,000","31,000",-,"53,000","368,000","368,000","345,000","23,000","23,000","237,000","207,000",-,"-200,000","-7,000",-,"1,362,000","264,000","1,048,000","1,098,000","1,098,000","1,098,000","50,000","1,048,000",-,-,-,-,"189,000","2,301,000","1,098,000","919,068","106,000","533,000","1,098,000","222,000","222,000",0,"43,068"
1,12/31/2022,"4,541,000","2,946,000","3,413,000","2,953,000","2,953,000","354,000","106,000",-,-,"467,000","335,000",-,"132,000",-,-,"1,595,000","32,000","590,000","693,000","551,000","142,000",-,-,"103,000","12,000","-3,000","15,000","961,000","-645,000","2,741,000","410,000","194,000","216,000","57,000","1,669,000","1,616,000","1,396,000","189,000","31,000",-,"53,000","368,000","368,000","345,000","23,000","23,000","237,000","207,000",-,"-200,000","-7,000",-,"1,362,000","264,000","1,048,000","1,098,000","1,098,000","1,098,000","50,000","1,048,000",67.47,67.40,"15,532","15,550","189,000","2,301,000","1,098,000","919,068","106,000","533,000","1,098,000","222,000","222,000",0,"43,068"
2,12/31/2021,"1,838,593","1,390,334","1,451,010","1,294,813",-,"156,197",-,-,-,"60,676","33,240",-,"26,124","1,312",-,"448,259",-,"371,614","431,357","302,569","128,788",-,-,"59,743","67,200","67,200",-,"9,445","36,835","1,144,304","236,351","117,180","119,171","12,507","772,985","772,985","758,853",-,"14,132","59,743","9,763","10,948","10,948",-,"10,948","10,948","134,968","-29,463",-,"29,463",-,-,"701,661","154,202","528,915","547,459","547,459","547,459","18,544","528,915",53.88,53.88,"9,816","9,816",-,"1,427,169","547,459","570,440",-,"132,167","547,459","-29,463","-29,463",0,"-6,482"
3,12/31/2020,"1,864,919","1,388,169","1,484,026","1,332,720",-,"151,306",-,-,-,"95,857","66,635",-,"27,612","1,610",-,"476,750",-,"334,865","379,656","276,880","102,776",-,"14,544","44,791","89,648","89,648",-,"476,750","-58,352","1,188,685","232,704","117,169","115,535","12,751","757,154","747,144","722,264",-,"12,701","12,179","10,010","14,255","14,255",-,"14,255","14,255","109,580","-17,450",-,"17,450",0,-,"617,882","126,159","477,661","491,723","491,723","491,723","14,062","477,661",47.50,47.50,"10,057","10,057",-,"1,329,817","491,723","491,723",-,"141,442","491,723","-17,450","-17,450",0,0
4,12/31/2019,"1,727,230","1,311,369","1,404,011","1,217,306",-,"186,705",-,-,-,"92,642","76,254",-,"14,393","1,995",-,"415,861",-,"340,138","369,690","270,449","99,241",-,"12,810","29,552","27,740","27,740",-,"415,861","-31,441","1,103,741","223,469","111,179","112,290","12,801","703,105","691,668","671,613",-,"10,664","9,391","11,437","16,346","16,346",-,"16,346","16,346","101,302","-17,166",-,"17,166",0,-,"592,048","134,677","457,371","457,371","457,371","457,371",-,"457,371",41.05,41.05,"11,141","11,141",-,"1,279,928","457,371","457,371",-,"127,689","457,371","-17,166","-17,166",0,0
5,12/31/2018,"1,609,049","1,208,900","1,245,757","1,073,051",-,"172,706",-,-,-,"36,857","22,483","3,657","10,717",-,-,"400,149",-,"331,138","361,155","263,189","97,966",-,"12,702","30,017","-7,259","-7,259",-,"400,149","-28,468","1,076,971","212,078","109,169","102,909",-,"664,784","664,784","645,894",-,"18,890","30,017",-,-,-,-,-,-,"1,076,971",0,-,0,"-26,553",-,"503,610","103,297","400,313","400,313","400,313","400,313",-,"400,313",33.53,33.53,"11,938","11,938",-,"1,180,432","400,313","400,313",-,"120,429","400,313",0,0,0,0
6,12/31/2017,"1,566,180","1,059,896","1,103,690","955,637",-,"148,053",-,-,-,"43,794","16,196","4,838","22,760",-,-,"506,284",-,"351,317","460,427","373,708","86,719",-,"12,465","109,110","4,293","4,293",-,"506,284","-25,692","1,131,535","202,168","104,690","97,478",-,"610,636","610,636","588,445",-,"22,191",-,-,-,-,-,-,-,"1,131,535","134,745",-,"-134,745",-,-,"543,698","219,946","323,752","323,752","323,752","323,752",-,"323,752",26.96,26.96,"12,010","12,010",-,"1,034,204","323,752","242,905",-,"113,646","323,752","134,745","134,745",0,"53,898"
7,12/31/2016,"1,426,915","944,675","987,757","876,472",-,"111,285",-,-,-,"43,082","18,169","1,965","22,948",-,-,"482,240",-,"324,649","414,563","334,342","80,221",-,"11,150","89,914","26,673","26,673",-,"482,240","-32,941","1,048,738","195,110","102,609","92,501",-,"553,836","553,836","532,869",-,"20,967",-,-,-,-,-,-,-,"1,048,738","5,831",-,"-5,831",-,-,"351,067","125,585","225,482","225,482","225,482","225,482",-,"225,482",18.77,18.77,"12,010","12,010",-,"911,734","225,482","221,737",-,"110,585","225,482","5,831","5,831",0,"2,086"
8,12/31/2015,"1,349,063","924,905","969,209","874,892",-,"94,317",-,-,-,"44,304","21,230","4,660","18,414",-,-,"424,158",-,"395,991","395,991","313,126","82,865",-,"11,757",-,"10,817","10,817",-,"424,158","-20,664","1,038,915","190,830","98,191","92,639",-,"561,391","561,391","543,051",-,"18,340",-,-,-,-,-,-,-,"1,038,915","42,930",-,"-42,930",-,-,"332,414","122,028","210,386","210,386","210,386","210,386",-,"210,386",17.52,17.52,"12,010","12,010",-,"904,241","210,386","183,215",-,"110,611","210,386","42,930","42,930",0,"15,759"
9,12/31/2014,"1,050,523","710,097","760,448","700,525",-,"59,923",-,-,-,"50,351","24,786","9,177","16,388",-,-,"340,426",-,"314,204","314,204","248,089","66,115",-,"11,129",-,"29,096","29,096",-,"340,426",-640,"846,289","165,859","86,775","79,084",-,"442,156","442,156","429,177",-,"12,979",-,-,-,-,-,-,-,"225,210","-13,064",-,"13,064",-,-,"203,594","65,032","138,562","138,562","138,562","138,562",-,"138,562",13.56,13.56,"10,222","10,222",-,"709,457","138,562","138,562",-,"82,436","138,562","-13,064","-13,064",0,0
10,12/31/2013,"1,003,789","740,186","796,804","757,197",-,"39,607",-,-,-,"56,618","34,495","2,724","19,399",-,-,"263,603",-,"289,975","289,975","230,347","59,628",-,"10,694",-,0,0,-,"263,603","32,255","771,380","151,263","75,718","75,545",-,"409,595","409,595","399,420",-,"10,175",-,-,-,-,-,-,-,"210,522",0,-,0,-,-,"264,664","96,965","167,699","167,699","167,699","167,699",-,"167,699",17.43,17.43,"9,619","9,619",-,"772,441","167,699","167,699",-,"70,841","167,699",0,0,0,0
11,12/31/2012,"1,103,988","914,688","1,004,836","967,601",-,"37,235",-,-,-,"90,148","57,568","5,107","27,473",-,-,"189,300",-,"289,848","289,848","232,612","57,236",-,"9,974",-,"2,277","2,277",-,"189,300","-142,885","766,933","149,620","74,798","74,822",-,"396,848","396,848","386,192",-,"10,656",-,-,-,-,-,-,-,"766,933",0,-,0,-,-,"194,170","59,822","134,348","134,348","134,348","134,348",-,"134,348",13.11,13.11,"10,244","10,244",-,"771,803","134,348","134,348",-,"68,941","134,348",0,0,0,0
