,Breakdown,Total Revenue,Pretax Income,Tax Provision,Net Income Common Stockholders,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,Net Income from Continuing & Discontinued Operation,Normalized Income,Interest Income,Interest Expense,Net Interest Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"4,541,000","1,362,000","264,000","1,048,000","1,048,000",-,-,-,-,"189,000","1,098,000","919,068","3,413,000","467,000","2,946,000","533,000","1,098,000","222,000","222,000",0,"43,068"
1,3/31/2023,"1,256,000","9,471,000","-47,000","9,504,000","9,504,000",654.22,653.64,"14,527","14,540","56,000","9,518,000","3,638,000","1,211,000","361,000","850,000","94,000","9,518,000","9,800,000","9,800,000",0,"3,920,000"
2,12/31/2022,"1,205,000","392,000","135,000","243,000","243,000",-,-,-,-,"47,000","257,000","274,702","1,040,000","238,000","802,000","134,000","257,000","-27,000","-27,000",0,"-9,298"
3,9/30/2022,"1,200,000","408,000","93,000","303,000","303,000",19.27,19.25,"15,712","15,728","52,000","315,000","338,130","906,000","111,000","795,000","128,000","315,000","-30,000","-30,000",0,"-6,870"
4,6/30/2022,"1,098,000","337,000","82,000","238,000","238,000",14.87,14.86,"16,024","16,035","47,000","255,000","276,982","757,000","57,000","700,000","145,000","255,000","-29,000","-29,000",0,"-7,018"
5,3/31/2022,"1,038,000","225,000","-46,000","264,000","264,000",16.70,16.70,"15,779","15,779","43,000","271,000","89,800","710,000","61,000","649,000","126,000","271,000","302,000","302,000",0,"120,800"
6,12/31/2021,"455,620","153,611","30,329","118,646","118,646",12.09,12.09,"9,816","9,816",-,"123,282","131,201","372,007","14,605","357,402","35,466","123,282","-9,862","-9,862",0,"-1,943"
7,9/30/2021,"454,229","158,133","34,060","119,437","119,437",12.17,12.17,"9,816","9,816",-,"124,073","129,578","361,855","14,968","346,887","31,428","124,073","-7,013","-7,013",0,"-1,508"
8,6/30/2021,"466,116","198,568","45,780","148,152","148,152",15.09,15.09,"9,816","9,816",-,"152,788","157,224","361,825","15,432","346,393","31,614","152,788","-5,769","-5,769",0,"-1,333"
9,3/31/2021,"476,301","191,349","44,033","142,680","142,680",14.53,14.53,"9,816","9,816",-,"147,316","147,316","355,323","15,671","339,652","33,659","147,316","-6,819","-6,819",0,0
10,12/31/2020,"485,481","174,705","36,621","133,448","133,448",13.59,13.59,"9,816","9,816",-,"138,084","138,084","376,876","18,160","358,716","41,684","138,084","-5,342","-5,342",0,0
11,9/30/2020,"474,231","178,527","35,843","138,048","138,048",14.03,14.03,"9,837","9,837",-,"142,684","142,684","374,334","20,675","353,659","33,488","142,684","-3,507","-3,507",0,0
12,6/30/2020,"502,796","190,565","36,779","153,786","153,786",14.74,14.74,"10,106","10,106",-,"153,786","153,786","363,257","25,863","337,394","33,231","153,786","-4,369","-4,369",0,0
13,3/31/2020,"402,411","74,085","16,916","57,169","57,169",5.46,5.46,"10,473","10,473",-,"57,169","57,169","369,559","31,159","338,400","33,039","57,169","-4,232","-4,232",0,0
14,12/31/2019,"431,517","131,528","29,654","101,874","101,874",9.55,9.55,"10,708","10,708",-,"101,874","101,874","354,048","26,924","327,124","32,731","101,874","-7,471","-7,471",0,0
15,9/30/2019,"437,355","160,164","35,385","124,779","124,779",11.27,11.27,"11,060","11,060",-,"124,779","124,779","362,318","25,893","336,425","32,365","124,779","-3,892","-3,892",0,0
16,6/30/2019,"434,223","155,628","36,269","119,359","119,359",10.56,10.56,"11,287","11,287",-,"119,359","119,359","350,721","23,373","327,348","28,455","119,359","-4,084","-4,084",0,0
17,3/31/2019,"424,135","144,728","33,369","111,359","111,359",9.67,9.67,"11,519","11,519",-,"111,359","111,359","336,924","16,452","320,472","34,138","111,359","-1,719","-1,719",0,0
18,12/31/2018,"402,889","115,926","26,453","89,473","89,473",7.62,7.62,"11,764","11,764",-,"89,473","89,473","333,573","12,691","320,882","31,365","89,473",0,0,0,0
19,9/30/2018,"401,893","133,516","16,198","117,318","117,318",9.80,9.80,"11,971","11,971",-,"117,318","117,318","315,706","8,344","307,362","30,159","117,318",0,0,0,0
20,6/30/2018,"397,146","122,715","29,424","93,291","93,291",7.77,7.77,"12,010","12,010",-,"93,291","93,291","303,877","7,658","296,219","29,677","93,291","-2,412","-2,412",0,0
21,3/31/2018,"437,554","131,453","31,222","100,231","100,231",8.35,8.35,"12,010","12,010",-,"100,231","100,231","292,601","8,164","284,437","29,228","100,231",0,0,0,0
22,12/31/2017,"414,919","123,111","68,704","54,407","54,407",4.53,4.53,"12,010","12,010",-,"54,407","54,407","285,958","11,189","274,769","28,903","54,407",-767,-767,0,0
23,9/30/2017,"398,562","103,649","36,585","67,064","67,064",5.58,5.58,"12,010","12,010",-,"67,064","67,064","284,333","11,158","273,175","28,278","67,064",0,0,0,0
24,6/30/2017,"387,081","211,879","77,219","134,660","134,660",11.21,11.21,"12,010","12,010",-,"134,660","56,605","272,542","10,933","261,609","28,578","134,660","122,728","122,728",0,"44,673"
25,3/31/2017,"365,618","105,059","37,438","67,621","67,621",5.63,5.63,"12,010","12,010",-,"67,621","59,882","260,857","10,514","250,343","27,887","67,621","12,017","12,017",0,"4,278"
26,12/31/2016,"368,615","81,055","28,365","52,690","52,690",4.39,4.39,"12,010","12,010",-,"52,690","52,690","254,782","10,865","243,917","27,552","52,690",0,0,0,0
27,9/30/2016,"352,853","78,950","27,546","51,404","51,404",4.28,4.28,"12,010","12,010",-,"51,404","50,859","246,494","10,645","235,849","27,422","51,404",837,837,0,292.113
28,6/30/2016,"369,149","109,574","40,258","69,316","69,316",5.77,5.77,"12,010","12,010",-,"69,316","67,233","243,369","11,180","232,189","27,972","69,316","3,290","3,290",0,"1,207"
29,3/31/2016,"336,298","81,488","29,416","52,072","52,072",4.34,4.34,"12,010","12,010",-,"52,072","50,983","243,112","10,392","232,720","27,639","52,072","1,704","1,704",0,615.144
30,12/31/2015,"329,854","66,922","24,174","42,748","42,748",3.56,3.56,"12,010","12,010",-,"42,748","42,748","241,861","11,142","230,719","33,287","42,748",0,0,0,0
31,9/30/2015,"349,121","88,842","32,884","55,958","55,958",4.66,4.66,"12,010","12,010",-,"55,958","55,958","249,825","10,454","239,371","24,710","55,958",0,0,0,0
32,6/30/2015,"342,100","69,690","25,168","44,522","44,522",3.71,3.71,"12,010","12,010",-,"44,522","44,522","246,013","11,363","234,650","25,443","44,522",0,0,0,0
33,3/31/2015,"327,988","101,491","37,675","63,816","63,816",5.59,5.59,"12,010","12,010",-,"63,816","42,079","231,510","11,345","220,165","27,171","63,816","34,558","34,558",0,"12,821"
34,12/31/2014,"350,170","87,436","24,540","62,896","62,896",5.24,5.24,"12,010","12,010",-,"62,896","62,896","232,122","14,876","217,246","29,187","62,896","-5,712","-5,712",0,0
35,9/30/2014,"243,612","40,265","13,902","26,363","26,363",2.74,2.74,"9,619","9,619",-,"26,363","26,363","177,621","11,399","166,222","17,794","26,363","-1,505","-1,505",0,0
36,6/30/2014,"231,080","39,359","12,809","26,550","26,550",2.77,2.77,"9,619","9,619",-,"26,550","26,550","177,311","11,613","165,698","17,771","26,550",-,-,0,0
37,3/31/2014,"222,112","32,985","10,619","22,366","22,366",2.33,2.33,"9,619","9,619",-,"22,366","22,366","173,394","12,463","160,931","17,684","22,366",-,-,0,0
38,12/31/2013,"245,770","42,179","14,953","27,226","27,226",2.83,2.83,"9,619","9,619",-,"27,226","27,226","189,640","13,047","176,593","18,629","27,226",-,-,0,0
39,9/30/2013,"251,101","66,641","25,659","40,982","40,982",4.26,4.26,"9,619","9,619",-,"40,982","40,982","192,634","13,451","179,183","16,667","40,982",-,-,0,0
40,6/30/2013,"244,523","69,198","25,292","43,906","43,906",4.56,4.56,"9,619","9,619",-,"43,906","43,906","193,926","14,398","179,528","17,551","43,906",-,-,0,0
41,3/31/2013,"262,395","86,646","31,061","55,585","55,585",5.78,5.78,"9,619","9,619",-,"55,585","55,585","220,604","15,722","204,882","17,994","55,585",-,-,0,0
42,12/31/2012,"296,167","32,559","10,813","21,746","21,746",2.15,2.15,"10,159","10,159",-,"21,746","21,746","280,891","17,943","262,948","18,256","21,746",0,0,0,0
43,9/30/2012,"267,198","59,498","19,974","39,524","39,524",3.85,3.85,"10,264","10,264",-,"39,524","70,835","236,674","21,318","215,356","17,359","39,524","-47,135","-47,135",0,"-15,824"
