,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/9/2023Current,16.94B,N/A,16.23,8.35,N/A,3.75,1.81,N/A,N/A
1,3/31/2023,14.05B,N/A,14.44,10.81,N/A,3.33,1.61,N/A,N/A
2,12/31/2022,10.91B,N/A,12.08,7.96,N/A,3.00,1.23,N/A,N/A
3,9/30/2022,11.86B,N/A,14.31,9.37,N/A,4.19,1.22,N/A,N/A
4,6/30/2022,10.42B,N/A,11.66,9.06,N/A,4.33,1.08,N/A,N/A
5,3/31/2022,10.60B,N/A,12.35,11.12,N/A,3.55,2.42,N/A,N/A
6,12/31/2021,8.05B,N/A,15.00,9.45,N/A,4.39,1.92,N/A,N/A
7,9/30/2021,8.15B,N/A,14.77,9.33,N/A,4.44,2.00,N/A,N/A
8,6/30/2021,8.09B,N/A,14.72,N/A,N/A,4.36,2.05,N/A,N/A
9,3/31/2021,8.15B,N/A,17.60,N/A,N/A,4.62,2.11,N/A,N/A
10,12/31/2020,5.58B,N/A,13.20,N/A,N/A,3.34,1.51,N/A,N/A
11,9/30/2020,3.08B,N/A,7.80,N/A,N/A,1.94,0.86,N/A,N/A
12,6/30/2020,3.93B,N/A,10.99,N/A,N/A,2.63,1.02,N/A,N/A
13,3/31/2020,3.38B,N/A,8.11,N/A,N/A,2.18,0.95,N/A,N/A
14,12/31/2019,5.56B,N/A,13.60,N/A,N/A,3.63,1.59,N/A,N/A
15,9/30/2019,5.06B,N/A,12.52,N/A,N/A,3.35,1.44,N/A,N/A
16,6/30/2019,5.05B,N/A,12.92,N/A,N/A,3.33,1.43,N/A,N/A
17,3/31/2019,4.65B,N/A,12.14,N/A,N/A,3.13,1.33,N/A,N/A
18,12/31/2018,4.34B,N/A,12.39,N/A,N/A,2.88,1.25,N/A,N/A
19,9/30/2018,5.33B,N/A,17.24,N/A,N/A,3.52,1.57,N/A,N/A
20,6/30/2018,4.81B,N/A,13.59,N/A,N/A,3.23,1.44,N/A,N/A
21,3/31/2018,4.91B,N/A,15.33,N/A,N/A,3.41,1.49,N/A,N/A
22,12/31/2017,4.79B,N/A,15.03,N/A,N/A,3.40,1.46,N/A,N/A
23,9/30/2017,4.46B,N/A,14.66,N/A,N/A,3.25,1.39,N/A,N/A
24,6/30/2017,4.43B,N/A,18.58,N/A,N/A,3.28,1.44,N/A,N/A
25,3/31/2017,3.98B,N/A,17.87,N/A,N/A,3.01,1.34,N/A,N/A
26,12/31/2016,4.21B,N/A,19.78,N/A,N/A,3.07,1.38,N/A,N/A
27,9/30/2016,3.50B,N/A,16.03,N/A,N/A,2.55,1.16,N/A,N/A
28,6/30/2016,3.09B,N/A,15.91,N/A,N/A,2.29,1.05,N/A,N/A
29,3/31/2016,2.99B,N/A,14.33,N/A,N/A,2.24,1.05,N/A,N/A
30,12/31/2015,3.08B,N/A,13.14,N/A,N/A,2.27,1.08,N/A,N/A
31,9/30/2015,2.69B,N/A,12.73,N/A,N/A,2.15,0.97,N/A,N/A
32,6/30/2015,3.14B,N/A,15.91,N/A,N/A,2.73,1.14,N/A,N/A
33,3/31/2015,3.10B,N/A,19.15,12.50,N/A,2.97,1.16,N/A,N/A
34,12/31/2014,3.02B,N/A,23.71,N/A,N/A,2.58,1.40,N/A,N/A
35,9/30/2014,2.08B,N/A,17.79,N/A,N/A,2.19,0.97,N/A,N/A
36,6/30/2014,2.34B,N/A,17.53,11.79,N/A,2.45,1.12,N/A,N/A
37,3/31/2014,2.30B,N/A,13.81,11.59,N/A,2.31,1.12,N/A,N/A
38,12/31/2013,2.12B,N/A,13.29,10.68,N/A,2.06,1.08,N/A,N/A
39,9/30/2013,1.96B,N/A,12.58,9.90,N/A,1.90,1.02,N/A,N/A
40,6/30/2013,1.84B,N/A,12.44,9.54,N/A,1.76,0.96,N/A,N/A
41,3/31/2013,1.75B,N/A,13.94,10.08,N/A,1.70,0.94,N/A,N/A
