,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,12/31/2022,"78,953,000","2,927,000","2,445,000","1,061,000",-,"1,384,000",-,"482,000","482,000","482,000",-,-,-,-,"11,582,000","1,375,000","10,207,000","1,371,000","8,836,000",-,"58,006,000","58,691,000","590,000","31,780,000","840,000","25,481,000",-,"685,000",-,-,-,-,"612,000","1,067,000","163,000","544,000","277,000","82,000","1,000","-455,000","1,744,000","1,511,000","234,000","4,082,000","70,405,000","63,489,000","40,023,000","40,023,000","23,466,000","1,013,000",-,"1,013,000",-,-,-,"2,506,000","2,506,000",-,"2,506,000","335,000",-,"1,597,000","1,597,000",-,-,"2,478,000","8,548,000","8,253,000","1,350,000","1,014,000","336,000","3,430,000","4,840,000","-1,367,000",-,"295,000","9,850,000","1,014,000","7,239,000","6,509,000","11,342,000","5,495,000","4,103,000","1,658,000","537,101","537,101","21,500"
1,12/31/2021,"89,091,000","16,695,000","16,054,000","1,147,000",-,"14,907,000",-,"641,000","641,000","641,000",-,-,-,-,"11,020,000","1,601,000","9,419,000","712,000","8,707,000",-,"55,361,000","56,031,000","1,172,000","31,068,000","910,000","22,881,000",-,"670,000",-,-,-,-,"665,000","1,072,000","163,000","543,000","276,000","74,000","16,000","-407,000","1,808,000","1,511,000","298,000","3,542,000","80,598,000","74,894,000","47,011,000","47,011,000","27,883,000","1,247,000",-,"1,247,000",-,-,-,"2,124,000","2,124,000",-,"2,124,000","426,000",-,"1,590,000","1,590,000",-,-,"1,564,000","8,493,000","8,198,000","853,000","520,000","333,000","2,891,000","4,742,000","-288,000",-,"295,000","9,788,000","520,000","7,678,000","6,390,000","11,392,000","5,870,000","3,714,000",-,"533,577","533,577","21,500"
2,12/31/2020,"84,209,000","9,999,000","9,554,000","1,203,000",-,"8,351,000",-,"445,000","445,000","445,000",-,-,-,-,"9,233,000","1,176,000","8,057,000",-,"8,047,000",-,"58,291,000","59,254,000","1,022,000","33,103,000","1,128,000","24,000,000","1,000","963,000",-,-,-,-,"759,000","1,136,000","182,000","594,000","269,000","73,000","18,000","-377,000","1,864,000","1,511,000","354,000","4,063,000","75,903,000","69,983,000","47,810,000","47,810,000","22,173,000",-,-,-,-,-,-,"2,198,000","2,198,000",-,"2,198,000","353,000",-,"1,670,000","1,670,000",-,-,"1,699,000","8,306,000","8,011,000","817,000","470,000","347,000","2,261,000","5,073,000","-140,000",-,"295,000","9,681,000","470,000","7,541,000","6,147,000","11,409,000","5,677,000","3,868,000",-,"555,031","555,031","19,500"
3,12/31/2019,"43,310,900","1,749,298","1,116,133","633,728",-,"633,728","482,405","633,165","633,165","46,536","586,629",-,"17,838","17,838","5,801,610","1,346,207","4,455,403","10,000","4,445,403","183,115","31,454,594","31,654,901","593,790","20,051,091","495,864","10,514,156","31,061,111","200,307",-,"40,114","40,114","40,114","455,006","792,743","98,804","428,695","205,493","50,032","9,719","-337,737","1,562,987","1,432,787","130,200","2,046,338","38,234,892","32,429,535","24,000,584","24,000,584","8,428,951","1,265,269","548,344","716,925","49,535","49,535","49,535","2,253,045","2,253,045",0,"2,253,045","505,581","67,480","791,368","791,368",-,"46,236","873,079","5,076,008","4,780,577","290,292","95,624","194,668","1,798,442","2,931,451","-239,608",-,"295,431","5,571,945","95,624","4,684,953","3,217,590","7,729,366","3,121,966","3,044,413","1,928,280","311,469","311,469","4,000"
4,12/31/2018,"40,833,117","2,682,936","2,058,902","781,291",-,"781,291","1,277,611","624,034","624,034","237,591","386,443",-,"25,290","25,290","6,084,638","1,448,168","4,636,470","10,000","4,626,470","81,475","28,034,257","28,214,681","679,149","16,514,328","518,370","10,502,834","27,535,532","180,424",-,"38,861","38,861","38,861","494,041","815,845","107,864","461,665","196,469","30,230","19,617","-321,804","1,581,358","1,426,324","155,034","1,810,261","36,056,231","32,682,992","24,541,675","24,541,675","8,141,317","1,019,159","256,567","762,592","9,572","9,572","9,572","114,764","114,764","395,872","114,764","335,380","133,713","1,170,963","1,170,963",-,"46,168","589,688","4,776,886","4,481,455","294,732","95,624","199,108","1,542,408","3,029,425","-385,110",-,"295,431","5,652,418","95,624","4,385,831","2,900,097","5,671,558","2,804,473","1,285,727",-,"318,573","318,573","4,000"
5,12/31/2017,"41,423,388","2,637,646","1,824,673","639,073",-,"639,073","1,185,600","812,973","812,973","87,364","725,609",-,"43,382","43,382","6,596,600","1,416,345","5,180,255","10,000","5,170,255","81,634","28,168,751","28,358,306","699,377","16,057,273","619,899","10,981,757","27,658,929","189,555",-,"68,693","68,693","68,693","532,251","850,965","104,454","472,619","194,057","26,640","53,195","-318,714","1,571,242","1,386,853","184,389","1,723,189","36,842,900","30,629,196","22,588,889","22,588,889","8,040,307","1,047,588","399,820","647,768","48,996","48,996","48,996","2,626,213","2,626,213",-,"2,626,213","638,515","85,061","1,218,097","1,218,097",100,"46,100","549,234","4,580,488","4,285,057","299,835","95,624","204,211","1,102,888","3,147,613","-265,279",-,"295,431","5,503,154","95,624","4,189,433","2,713,815","8,033,743","2,618,191","3,844,310","2,019,637","326,736","326,736","4,000"
6,12/31/2016,"28,555,231","2,097,828","1,433,308","373,274",-,"373,274","1,060,034","664,520","664,520","50,838","613,682",-,"16,237",-,"4,854,917","897,071","3,957,846","14,347","3,943,499","121,654","19,498,700","19,700,768","111,248","12,148,087","359,033","7,082,400","19,589,520","202,068",-,"57,411","57,411","57,411","289,385","612,881","63,463","342,027","180,435","26,956",-,"-323,496","212,388","191,371","21,017","1,406,711","25,850,147","22,672,363","16,731,769","16,731,769","5,940,594","867,260","414,207","453,053","21,002","21,002","21,002","83,177","83,177",-,"83,177","561,848","135,897","1,040,656","1,040,656",100,"46,032","467,944","2,705,084","2,409,653","241,639","95,624","146,015","1,029,032","1,386,636","-247,654",-,"295,431","3,450,309","95,624","2,314,029","2,197,265","3,437,862","2,101,641","1,123,833",-,"233,624","233,624","4,000"
7,12/31/2015,"26,195,136","1,633,899","903,647","300,811",-,"300,811","602,836","730,252","730,252","114,479","615,773",-,"33,063",-,"4,825,616","881,450","3,944,166","14,320","3,929,846","104,365","17,602,602","17,812,844","126,342","10,436,390",-,"7,250,112","17,686,502","210,242",-,"63,660","63,660","63,660","275,619","636,581","67,442","343,797","194,072","31,270",-,"-360,962","217,522","191,307","26,215","1,438,790","23,555,550","19,967,478","14,431,593","14,431,593","5,535,885","802,299","464,166","338,133","23,072","23,072","23,072","137,861","137,861",-,"137,861","566,019","108,339","1,315,176","1,315,176",-,"45,964","635,306","2,639,586","2,344,155","244,741","95,624","149,117","874,303","1,439,303","-214,192",-,"295,431","3,659,331","95,624","2,248,531","2,126,633","3,701,568","2,031,009","1,453,037","549,390","238,587","238,587","4,000"
8,12/31/2014,"25,672,887","2,693,372","1,971,138","349,171",-,"349,171","1,621,967","722,234","722,234","63,080","659,154",-,"39,922",-,"4,755,296","1,194,391","3,560,905","4,292","3,556,613","134,088","16,139,003","16,371,451","141,285","9,007,286","358,131","6,864,749","16,230,166","232,448",-,"42,488",-,"42,488","302,996","670,647","76,667","360,133","201,443","32,404",-,"-367,651","177,967","145,932","32,035","1,387,755","23,081,919","18,068,939","12,873,283","12,873,283","5,195,656","1,599,266","1,037,052","562,214","18,157","18,157","18,157","157,218","157,218",-,"157,218","594,314","119,239","1,880,105","1,880,105",-,"45,896","644,681","2,590,968","2,295,537","242,011","95,624","146,387","860,963","1,380,809","-188,246",-,"295,431","4,175,642","95,624","2,199,913","2,117,570","4,237,236","2,021,946","2,037,323","66,185","234,220","234,220","4,000"
9,12/31/2013,"23,792,576","1,558,206","1,079,513","349,216",-,"349,216","730,297","478,693","478,693","66,079","412,614",-,"71,562",-,"4,200,175","801,718","3,398,457",-,"3,398,457","181,866","15,505,417","15,759,226","370,152","7,923,576","336,606","7,128,892","15,389,074","253,809",-,"45,255",-,"45,255","305,244","670,068",-,-,-,-,-,"-364,824","236,724","141,943","94,781","1,688,127","21,292,083","16,734,956","12,097,117","12,097,117","4,637,839","1,485,422","1,042,633","442,789","21,173","21,173","21,173","181,146","181,146",-,"181,146","368,348","154,280","1,739,859","1,739,859","2,390","45,828","606,899","2,500,493","2,205,062","243,355","95,624","147,731","694,949","1,416,767","-150,009",-,"295,431","3,944,921","95,624","2,109,438","1,968,338","4,030,443","1,872,714","1,921,005","841,492","236,370","236,370","4,000"
