,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,3/31/2023,"80,731,000","3,784,000","3,475,000","987,000",-,"2,488,000",-,"309,000","309,000","141,000","168,000",-,-,-,"11,439,000","1,122,000","10,317,000","1,362,000","8,954,000",-,"58,980,000","59,695,000","650,000","32,172,000","807,000","26,065,000","1,000","715,000",-,-,-,-,"603,000",-,-,-,-,-,-,-,"1,732,000","1,511,000","222,000","4,193,000","71,836,000","61,441,000","40,307,000","40,307,000","21,134,000","1,174,000",-,"1,174,000",-,-,-,-,"6,484,000","6,484,000",-,"6,484,000","144,000",-,"1,605,000","1,605,000",-,-,"2,162,000","8,895,000","8,600,000","1,350,000","1,014,000","336,000","3,595,000","4,863,000",-,"-1,208,000",-,"295,000","10,205,000","1,014,000","7,586,000","6,868,000","15,675,000","5,854,000","8,089,000","4,614,000","537,619","537,619","21,500"
1,12/31/2022,"78,953,000","2,927,000","2,445,000","1,061,000",-,"1,384,000",-,"482,000","482,000","482,000",-,-,-,-,"11,582,000","1,375,000","10,207,000","1,371,000","8,836,000",-,"58,006,000","58,691,000","590,000","31,780,000","840,000","25,481,000",-,"685,000",-,-,-,-,"612,000","1,067,000","163,000","544,000","277,000","82,000","1,000","-455,000","1,744,000","1,511,000","234,000","4,082,000","70,405,000","63,489,000","40,023,000","40,023,000","23,466,000","1,013,000",-,"1,013,000",-,-,-,-,"2,506,000","2,506,000",-,"2,506,000","335,000",-,"1,597,000","1,597,000",-,-,"2,478,000","8,548,000","8,253,000","1,350,000","1,014,000","336,000","3,430,000","4,840,000",-,"-1,367,000",-,"295,000","9,850,000","1,014,000","7,239,000","6,509,000","11,342,000","5,495,000","4,103,000","1,658,000","537,101","537,101","21,500"
2,9/30/2022,"82,551,000","8,248,000","7,587,000","1,246,000",-,"6,341,000",-,"661,000","661,000","690,000",-,-,-,-,"11,657,000","1,342,000","10,315,000","1,385,000","8,718,000",-,"56,665,000","57,304,000","761,000","31,120,000","864,000","24,559,000",-,"639,000",-,-,-,-,"629,000",-,-,-,-,-,-,-,"1,767,000","1,511,000","246,000","3,585,000","73,883,000","68,131,000","41,430,000","41,430,000","26,701,000","657,000",-,"657,000",-,-,-,-,"1,711,000","1,711,000",-,"1,711,000","372,000",-,"1,598,000","1,598,000",-,-,"2,071,000","8,668,000","8,373,000","1,349,000","1,014,000","335,000","3,175,000","4,802,000",-,"-953,000",-,"295,000","9,971,000","1,014,000","7,359,000","6,606,000","10,668,000","5,592,000","3,309,000",-,"536,737","536,737","21,500"
3,6/30/2022,"86,326,000","13,127,000","12,270,000","1,281,000",-,"10,989,000",-,"857,000","857,000","712,000",-,-,-,-,"11,290,000","1,509,000","9,781,000","687,000","8,941,000",-,"55,982,000","56,603,000","1,027,000","30,963,000","867,000","23,746,000",-,"621,000",-,-,-,-,"645,000",-,-,-,-,-,-,-,"1,789,000","1,511,000","272,000","3,493,000","77,712,000","71,945,000","44,154,000","44,154,000","27,791,000","1,158,000",-,"1,158,000",-,-,-,-,"1,710,000","1,710,000",-,"1,710,000","585,000",-,"1,597,000","1,597,000",-,-,"1,875,000","8,614,000","8,319,000","1,349,000","1,014,000","335,000","3,051,000","4,778,000",-,"-859,000",-,"295,000","9,916,000","1,014,000","7,305,000","6,530,000","10,612,000","5,516,000","3,307,000",-,"536,333","536,333",26.75
4,3/31/2022,"88,661,000","15,413,000","14,773,000","1,225,000",-,"13,548,000",-,"640,000","640,000","640,000",-,-,-,-,"11,766,000","1,823,000","9,943,000","701,000","9,242,000",-,"55,404,000","56,026,000","1,014,000","30,798,000","854,000","23,361,000","-1,000","622,000",-,-,-,-,"669,000",-,-,-,-,-,-,-,"1,795,000","1,511,000","285,000","3,614,000","79,964,000","74,115,000","46,063,000","46,063,000","28,052,000","760,000",-,"760,000",-,-,-,-,"1,719,000","1,719,000",-,"1,719,000","513,000",-,"1,591,000","1,591,000",-,-,"2,026,000","8,697,000","8,402,000","1,348,000","1,014,000","334,000","2,996,000","4,769,000",-,"-711,000",-,"295,000","9,993,000","1,014,000","7,388,000","6,607,000","10,698,000","5,593,000","3,310,000",-,"534,587","534,587","21,500"
5,12/31/2021,"89,091,000","16,695,000","16,054,000","1,147,000",-,"14,907,000",-,"641,000","641,000","641,000",-,-,-,-,"11,020,000","1,601,000","9,419,000","712,000","8,707,000",-,"55,361,000","56,031,000","1,172,000","31,068,000","910,000","22,881,000",-,"670,000",-,-,-,-,"665,000","1,072,000","163,000","543,000","276,000","74,000","16,000","-407,000","1,808,000","1,511,000","298,000","3,542,000","80,598,000","74,894,000","47,011,000","47,011,000","27,883,000","1,247,000",-,"1,247,000",-,-,-,-,"2,124,000","2,124,000",-,"2,124,000","426,000",-,"1,590,000","1,590,000",-,-,"1,564,000","8,493,000","8,198,000","853,000","520,000","333,000","2,891,000","4,742,000",-,"-288,000",-,"295,000","9,788,000","520,000","7,678,000","6,390,000","11,392,000","5,870,000","3,714,000",-,"533,577","533,577","21,500"
6,9/30/2021,"88,537,000","16,387,000","16,026,000","1,197,000",-,"14,829,000",-,"361,000","361,000","361,000",-,-,-,-,"10,117,000","1,319,000","8,798,000","304,000","8,494,000",-,"55,753,000","56,487,000","1,052,000","31,516,000","938,000","22,981,000",-,"734,000",-,-,-,-,"692,000",-,-,-,-,-,-,-,"1,822,000","1,511,000","311,000","3,766,000","80,004,000","74,264,000","46,916,000","46,916,000","27,348,000",-,-,-,-,-,-,-,"2,225,000","2,225,000",-,"2,225,000","315,000",-,"1,584,000","1,584,000",-,-,"1,616,000","8,533,000","8,238,000","859,000","520,000","339,000","2,754,000","4,866,000",-,"-241,000",-,"295,000","9,822,000","520,000","7,718,000","6,416,000","11,527,000","5,896,000","3,809,000",-,"541,860","541,860","21,500"
7,6/30/2021,"87,908,000","15,376,000","14,754,000","1,303,000",-,"13,451,000",-,"622,000","622,000","622,000",-,-,-,-,"9,433,000","1,035,000","8,398,000",-,"8,388,000",-,"56,849,000","57,664,000","977,000","32,528,000","1,002,000","23,156,000","1,000","815,000",-,-,-,-,"714,000",-,-,-,-,-,-,-,"1,836,000","1,511,000","325,000","3,700,000","79,342,000","73,280,000","47,447,000","47,447,000","25,833,000",-,-,-,-,-,-,-,"2,246,000","2,246,000",-,"2,246,000","531,000",-,"1,672,000","1,672,000",-,-,"1,613,000","8,566,000","8,271,000","864,000","520,000","344,000","2,613,000","4,997,000",-,"-203,000",-,"295,000","9,943,000","520,000","7,751,000","6,435,000","11,669,000","5,915,000","3,918,000",-,"550,865","550,865","21,500"
8,3/31/2021,"87,512,000","13,324,000","12,804,000","1,169,000",-,"11,635,000",-,"520,000","520,000","520,000",-,-,-,-,"9,437,000","1,076,000","8,361,000",-,"8,351,000",-,"58,497,000","59,411,000","811,000","33,951,000","1,126,000","23,523,000",-,"914,000",-,-,-,-,"719,000",-,-,-,-,-,-,-,"1,850,000","1,511,000","339,000","3,685,000","79,206,000","73,167,000","48,121,000","48,121,000","25,046,000",-,-,-,-,-,-,-,"2,203,000","2,203,000",-,"2,203,000","454,000",-,"1,671,000","1,671,000",-,-,"1,711,000","8,306,000","8,011,000","815,000","470,000","345,000","2,402,000","5,036,000",-,"-242,000",-,"295,000","9,682,000","470,000","7,541,000","6,161,000","11,415,000","5,691,000","3,874,000",-,"552,374","552,374","19,500"
9,12/31/2020,"84,209,000","9,999,000","9,554,000","1,203,000",-,"8,351,000",-,"445,000","445,000","445,000",-,-,-,-,"9,233,000","1,176,000","8,057,000",-,"8,047,000",-,"58,291,000","59,254,000","1,022,000","33,103,000","1,128,000","24,000,000","1,000","963,000",-,-,-,-,"759,000","1,136,000","182,000","594,000","269,000","73,000","18,000","-377,000","1,864,000","1,511,000","354,000","4,063,000","75,903,000","69,983,000","47,810,000","47,810,000","22,173,000",-,-,-,-,-,-,-,"2,198,000","2,198,000",-,"2,198,000","353,000",-,"1,670,000","1,670,000",-,-,"1,699,000","8,306,000","8,011,000","817,000","470,000","347,000","2,261,000","5,073,000",-,"-140,000",-,"295,000","9,681,000","470,000","7,541,000","6,147,000","11,409,000","5,677,000","3,868,000",-,"555,031","555,031","19,500"
