,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Asset Impairment Charge,Unrealized Gain Loss On Investment Securities,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Other non-cash items,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Interest Received CFI,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"2,311,000","2,311,000","912,000","-53,000","-22,000","-13,000","-18,000",-,"99,000","99,000","59,000","40,000","40,000","91,000","91,000",-,-,"75,000",-,"-1,552,000","2,644,000",-,-,-,-,-,-,"23,827",-,-,"2,644,000","8,313,000","8,313,000","-10,000","-28,000","18,000",0,-,-,-,-,"-2,073,000","-3,479,000","1,406,000",-,"97,000","-10,869,000","-10,869,000","386,000","4,000","4,000",-,"382,000","382,000",-,"-12,000",-,"-12,000","494,000","494,000",-,"-356,000","-324,000","-32,000","36,000","-11,000",-,"1,543,000","-245,000","1,788,000",-,"20,000","280,000","-28,000","494,000","386,000",-,"-12,000","2,283,000"
1,12/31/2021,"741,000","741,000","1,010,000","42,000",-,"29,000","-13,000",-,"50,000","50,000","61,000","-11,000","-11,000",0,0,-,"1,824,000","43,000",-,"-2,330,000","2,236,000",-,-,-,-,-,-,-,-,-,"2,236,000","-4,617,000","-4,617,000","-11,000","-53,000","42,000",0,-,-,-,-,"-1,600,000","-4,456,000","2,856,000",-,"41,000","4,016,000","4,016,000","-183,000","-108,000",-,-,"-75,000",-,-,"-416,000",-,"-416,000","145,000","145,000",-,"-366,000","-333,000","-33,000","28,000","-111,000",-,"1,788,000","140,000","1,648,000",-,"258,000","170,000","-53,000","145,000",-,-,"-416,000","688,000"
2,12/31/2020,"172,000","172,000","857,000","14,000",-,"8,000","6,000",-,"62,000","62,000","52,000","10,000","10,000","-18,000","-18,000",-,-,"32,000",-,"-1,055,000","-223,000",-,-,-,-,-,-,-,-,-,"-223,000","-4,967,000","-4,967,000","-46,000","-58,000","12,000","2,071,000",-,-,-,-,"-12,000","-4,740,000","4,728,000",-,"26,000","5,176,000","5,176,000","-1,856,000","-327,000","1,249,000","-1,576,000","-1,529,000",-,-,"-11,000",-,"-11,000","144,000","144,000",-,"-239,000","-222,000","-17,000","7,000","-12,000",-,"1,648,000","381,000","1,267,000",-,"105,000","261,000","-58,000","144,000","1,249,000","-1,576,000","-11,000","114,000"
3,12/31/2019,"830,294","830,294","452,373","20,950",-,"22,172",-174,-509,"65,239","65,239","43,785","21,454","21,454","14,357","14,357",-,"4,725","22,730",-,"-1,277,796","1,480,716","3,293","4,546","40,302","40,302",-,-,339,"-116,888","95,200","1,458,809","-2,389,842","-2,389,842","-29,101","-49,159","20,058",0,0,-,"15,824","15,824","363,619","-629,649","993,268",489,"30,231","1,421,116","1,421,116","1,988,464","-395,927","9,635","-405,562","2,384,391",-,-,"-134,813",-,"-134,813",-,-,-,"-177,276","-171,076","-6,200","9,665","-11,465",-,"1,266,893","-138,432","1,405,325",-,"70,505","410,883","-49,159",-,"9,635","-405,562","-134,813","781,135"
4,12/31/2018,"234,305","234,305","556,507","-219,009",-,"-1,320","-212,948",-353,"59,125","59,125","47,232","11,893","11,893","103,557","103,557",-,398,"23,171",-,"-1,410,964","1,114,520","14,460","-15,372","-24,259","-24,259",-,-,"15,165","32,950","-3,980","1,095,349","480,372","480,372","-17,522","-47,986","30,464","-73,622","-73,622",-,"30,824","30,824","463,278","-473,205","936,483",800,"43,684","-761,398","-761,398","-2,597,260","-48,548","20,477","-69,025","-2,548,712",-,"-2,548,712","-104,768",-,"-104,768",-,-,-,"-144,906","-138,706","-6,200","4,482","-11,465",-,"1,405,325","-46,721","1,452,046",-,"42,817","307,578","-47,986",-,"20,477","-2,617,737","-104,768","186,319"
5,12/31/2017,"-17,358","-17,358","176,980","15,233",-,"6,657",-592,"-5,100","70,924","70,924","34,703","36,221","36,221","121,001","121,001",-,"-1,021","20,627",-,"-208,035","-213,067","-45,634","-34,352","-62,561","-62,561",-,-,"5,934","243,057","-16,877","-331,052","-1,336,042","-1,336,042","-49,630","-53,046","3,416","-336,634",-,-,"13,468","13,468","-34,278","-1,554,250","1,519,972",865,"13,468","1,767,652","1,767,652","2,061,770","-18,269","129,144","-147,413","2,080,039","2,080,039",-,"-5,554",-,"-5,554",-,-,-,"-86,104","-79,904","-6,200","6,132","-11,434",-,"1,452,046","414,252","1,037,794",-,"54,417","140,373","-53,046",-,"2,209,183","-147,413","-5,554","-70,404"
6,12/31/2016,"181,118","181,118","238,511","-162,886",-,"3,447","-1,341","-165,000","64,673","64,673","32,387","32,286","32,286","79,604","79,604",-,-,"17,536","-1,613","-2,906","-62,801","7,876","1,627","-6,605","-6,605",-,-,"-4,535","-7,191","-36,546","-20,335","-2,468,552","-2,468,552","-51,158","-62,554","11,396",0,-,-,"27,135","27,135","-58,734","-1,239,912","1,181,178","2,429","27,135","2,294,165","2,294,165","-257,150","-267,427",100,"-267,527","10,277","10,277",-,"-97,396",-,"-97,396",-,-,-,"-69,704","-63,504","-6,200","22,479","-9,821",-,"1,037,794","6,731","1,031,063",-,"11,609","92,456","-62,554",-,"10,377","-267,527","-97,396","118,564"
7,12/31/2015,"367,163","367,163","97,313","-3,849",0,454,"-1,378",-,"60,743","60,743","35,780","24,963","24,963","24,196","24,196",-,-,"13,796",-356,"30,061","136,259","-16,368","4,804","-4,209","-4,209",-,-,"-9,124","-80,309","-39,153","276,298","-520,014","-520,014","1,196","-39,947","41,143","-5,087","-5,087",0,-,-,"-342,209","-1,066,194","723,985","1,731",-,"112,509","112,509","-1,345,992","-529,668","497,040","-1,026,708","-816,324",-,"-816,324","-32,648",-,"-32,648",0,0,-,"-60,147","-53,947","-6,200","7,219","-11,203",-,"1,031,063","-40,342","1,071,405",-,"14,990","90,722","-39,947",0,"497,040","-1,843,032","-32,648","327,216"
8,12/31/2014,"704,734","704,734","231,050","76,869",0,"1,906","-2,872",-,"56,894","56,894","35,715","21,179","21,179","9,081","9,081",-,-,"11,351","7,220","-6,308","291,577","4,678","1,911","-2,847","-2,847",-,-,169,"288,148","-60,599","-166,670","-1,486,679","-1,486,679","-27,897","-31,404","3,507","413,352",-,"413,352",-,-,"-116,049","-751,365","635,316","1,692",-,"1,025,441","1,025,441","466,326","376,410","399,982","-23,572","89,916","89,916",-,"-43,579",-,"-43,579",0,0,-,"-53,566","-47,366","-6,200","1,864","-243,836",-,"1,071,405","243,496","827,909",-,"77,779","81,151","-31,404",0,"489,898","-23,572","-43,579","673,330"
9,12/31/2013,"431,373","431,373","41,067","4,802",-638,"2,213","-1,760",-,"71,613","71,613","36,514","35,099","35,099","-14,449","-14,449",0,-,"16,144","1,569","213,472","42,155","76,088","3,571","-93,457","-93,457",-,-,"-4,301","53,493","-285,843","260,089","762,953","762,953","-26,584","-27,349",765,"54,931",-,"54,931",-,-,"-385,148","-1,348,526","963,378","5,482",-,"-1,472,679","-1,472,679","-1,163,686","-425,036","5,052","-430,088","-738,650",-,"-738,650","-91,533",-,"-91,533","95,624","95,624",-,"-42,517","-38,229","-4,288",651,"-13,034",-,"827,909","-278,353","1,106,262",-,"5,437","97,387","-27,349","95,624","5,052","-1,168,738","-91,533","404,024"
