,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Interest Received CFI,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"2,311,000","2,311,000","912,000","-53,000","-22,000","-13,000","-18,000",-,-,"99,000","99,000","59,000","40,000","40,000","91,000","91,000","-1,552,000",-,"75,000",-,"95,000",-,"2,644,000",-,-,-,-,-,-,"23,827",-,-,-,"2,644,000","8,313,000","8,313,000","13,523,000",-,-,"-2,073,000","-3,479,000","1,406,000",-,-,"-3,224,000",-,"-3,224,000","-10,000","-28,000","18,000",0,-,-,-,"97,000","-10,869,000","-10,869,000","386,000","4,000","4,000",-,"382,000","382,000",-,"-12,000","-12,000","494,000","494,000","-356,000","-324,000","-32,000","36,000","-11,000",-,"1,543,000","-245,000","1,788,000",-,"20,000","280,000","-28,000","494,000","386,000",-,"-12,000","2,283,000"
1,3/31/2023,"-69,000","-69,000","255,000",-,-,-,0,-,-,"30,000","30,000","14,000","16,000","16,000","6,000","6,000","-541,000",-,"22,000",-,"50,000",-,"109,000",-,-,-,-,-,-,-,-,-,-,"109,000","-2,022,000","-2,022,000","-1,103,000",-,-,"33,000","-221,000","254,000",-,-,"-949,000",-,-,"-5,000","-5,000",0,-,-,-,-,"2,000","1,844,000","1,844,000","3,987,000","8,000",-,-,"3,979,000",-,-,"-4,000","-4,000",0,0,"-91,000","-83,000","-8,000","5,000","-4,000",-,"1,296,000","-247,000","1,543,000",-,"3,000","200,000","-5,000",0,-,-,"-4,000","-74,000"
2,12/31/2022,"25,000","25,000","270,000","-1,000","-1,000",0,0,-,-,"18,000","18,000","14,000","4,000","4,000","-76,000","-76,000","-347,000",-,"22,000",-,"45,000",-,"94,000",-,-,-,-,-,-,-,-,-,-,"94,000","1,158,000","1,158,000","1,857,000",-,-,"-24,000","-310,000","286,000",-,-,"-753,000",-,-,"-5,000","-6,000","1,000",-,-,-,-,"83,000","-1,523,000","-1,523,000","1,088,000","-1,000",-,-,"1,089,000",-,-,0,0,0,0,"-89,000","-81,000","-8,000","6,000","-2,000",-,"1,543,000","-340,000","1,883,000",-,"9,000","153,000","-6,000",0,-,-,0,"19,000"
3,9/30/2022,"768,000","768,000","268,000","-45,000",-,"-12,000","-12,000",-,-,"40,000","40,000","15,000","25,000","25,000","10,000","10,000","-235,000",-,"21,000",-,"60,000",-,"649,000",-,-,-,-,-,-,-,-,-,-,"649,000","4,435,000","4,435,000","6,234,000",-,-,"-971,000","-1,306,000","335,000",-,-,"-831,000",-,-,"-1,000","-3,000","2,000",-,-,-,-,"4,000","-5,165,000","-5,165,000","-540,000","-4,000",-,-,"-536,000",-,-,"-2,000","-2,000",0,0,"-89,000","-81,000","-8,000","4,000","-3,000",-,"1,883,000","38,000","1,845,000",-,"1,000","56,000","-3,000",0,-,-,"-2,000","765,000"
4,6/30/2022,"824,000","824,000","176,000","-1,000",-,"-1,000",0,-,-,"23,000","23,000","15,000","8,000","8,000","119,000","119,000","-533,000",-,"18,000",-,"30,000",-,"992,000",-,-,-,-,-,-,-,-,-,-,"992,000","2,566,000","2,566,000","4,073,000",-,-,"-5,000","-371,000","366,000",-,-,"-1,506,000",-,-,"2,000","-9,000","11,000",-,-,-,-,"2,000","-3,410,000","-3,410,000","242,000","8,000",-,-,"234,000",-,-,"-8,000","-8,000",0,0,"-88,000","-80,000","-8,000","11,000","-3,000",-,"1,845,000","-20,000","1,865,000",-,"8,000","52,000","-9,000",0,-,-,"-8,000","815,000"
5,3/31/2022,"694,000","694,000","198,000","-6,000",-,0,"-6,000",-,-,"18,000","18,000","15,000","3,000","3,000","38,000","38,000","-437,000",-,"14,000",-,"-40,000",-,"909,000",-,-,-,-,-,-,-,-,-,-,"909,000","154,000","154,000","1,359,000",-,-,"-1,073,000","-1,492,000","419,000",-,-,"-134,000",-,-,"-6,000","-10,000","4,000",-,-,-,-,"8,000","-771,000","-771,000","-404,000","1,000",-,-,"-405,000",-,-,"-2,000","-2,000","494,000","494,000","-90,000","-82,000","-8,000","15,000","-3,000",-,"1,865,000","77,000","1,788,000",-,"2,000","19,000","-10,000","494,000",-,-,"-2,000","684,000"
6,12/31/2021,"173,000","173,000","229,000","-1,000",-,"-3,000","-1,000",-,-,"12,000","12,000","15,000","-3,000","-3,000","28,000","28,000","-1,969,000",-,"12,000",-,"-65,000",-,"1,927,000",-,-,-,-,-,-,-,-,-,-,"1,927,000","-144,000","-144,000","-78,000",-,-,"-711,000","-1,809,000","1,098,000",-,-,"618,000",-,-,"13,000","-7,000","20,000",0,-,-,-,"14,000","201,000","201,000","-98,000","4,000",-,-,"-102,000",-,-,"-144,000","-144,000",0,0,"-90,000","-81,000","-9,000","3,000","-102,000",-,"1,788,000","230,000","1,558,000",-,"4,000","42,000","-7,000",0,-,-,"-144,000","166,000"
7,9/30/2021,"-447,000","-447,000","235,000","21,000",-,"-1,000","-1,000",-,-,"11,000","11,000","15,000","-4,000","-4,000","-51,000","-51,000","-644,000",-,"10,000",-,"-85,000",-,"56,000",-,-,-,-,-,-,-,-,-,-,"56,000","-527,000","-527,000","-1,378,000",-,-,"-450,000","-1,000,000","550,000",-,-,"1,290,000",-,-,"-2,000","-20,000","18,000",-,-,-,-,"13,000","607,000","607,000","-134,000","-113,000","-1,000",-,"-21,000",-,-,"-146,000","-146,000",0,0,"-93,000","-85,000","-8,000",0,"-3,000",-,"1,558,000","-367,000","1,925,000",-,"81,000","30,000","-20,000",0,"-1,000",-,"-146,000","-467,000"
8,6/30/2021,"-49,000","-49,000","310,000","-12,000",-,"-1,000",-,-,-,"11,000","11,000","15,000","-4,000","-4,000","26,000","26,000","-211,000",-,"11,000",-,"-115,000",-,"-69,000",-,-,-,-,-,-,-,-,-,-,"-69,000","126,000","126,000","-1,816,000",-,-,"9,000","-582,000","591,000",-,-,"1,939,000",-,-,"-13,000","-16,000","3,000",-,-,-,-,"7,000","159,000","159,000","45,000","1,000",-,-,"44,000",-,-,"-64,000","-64,000",-,-,"-91,000","-83,000","-8,000","13,000","-3,000",-,"1,925,000","236,000","1,689,000",-,"171,000","59,000","-16,000",-,"-3,000",-,"-64,000","-65,000"
9,3/31/2021,"1,064,000","1,064,000","236,000","34,000",-,"34,000",-,-,-,"16,000","16,000","16,000",0,0,"-3,000","-3,000","494,000",-,"10,000",-,"-45,000",-,"322,000",-,-,-,-,-,-,-,-,-,-,"322,000","-4,072,000","-4,072,000","-3,284,000",-,"-3,284,000","-448,000","-1,065,000","617,000",-,-,"-338,000",-,"-338,000","-9,000","-10,000","1,000",-,-,-,-,"7,000","3,049,000","3,049,000","4,000",0,-,-,"4,000","4,000",-,"-62,000","-62,000",-,-,"-92,000","-84,000","-8,000","12,000","-3,000",-,"1,689,000","41,000","1,648,000",-,"2,000","39,000","-10,000",-,"4,000",-,"-62,000","1,054,000"
