,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"3,120,000","2,392,000","2,683,000","2,331,000","2,331,000","256,000","87,000","10,000","96,000","291,000","184,000","23,000","72,000","12,000","728,000",-,"430,000","517,000","293,000","48,000","92,000","84,000",-,"87,000","9,304",-,-,"223,000","223,000",-,-,"75,000","-95,000","1,859,000","286,000","128,000","158,000","62,000","1,205,000","1,155,000","1,155,000",-,-,"50,000","51,000","51,000","51,000","51,000","255,000","-7,000",-,0,0,-,"-9,723","1,159,000","247,000","868,000","900,000","912,000","912,000",-,-,-,"-12,000","32,000","868,000",-,-,-,-,"2,297,000","900,000","905,509","97,000","99,000","900,000","9,707","-7,000",0,"-1,491"
1,12/31/2022,"3,209,000","2,392,000","2,696,000","2,341,000","2,341,000","258,000","87,000","10,000","96,000","304,000","184,000","23,000","72,000","25,000","817,000",-,"519,000","519,000","294,000","48,000","141,000","84,000",-,"87,000",-,-,-,"223,000","223,000",-,-,"298,000","-95,000","1,953,000","286,000","128,000","158,000","62,000","1,101,000","1,101,000","1,101,000",-,-,"50,000","51,000","51,000","51,000","51,000","515,000","-7,000",-,0,0,-,"7,000","1,159,000","247,000","868,000","900,000","912,000","912,000",-,-,-,"-12,000","32,000","868,000",1.62,1.53,"535,000","566,000","2,297,000","900,000","900,000","97,000","51,000","900,000","-7,000","-7,000",0,0
2,12/31/2021,"3,071,000","1,994,000","2,170,000","2,003,000","2,003,000","148,000","17,000",0,"2,000","176,000","81,000","5,000","72,000","18,000","1,077,000",-,"592,000","592,000","451,000","51,000","141,000",-,-,"80,000",-,-,-,"406,000","406,000",-,-,"79,000","310,000","2,095,000","300,000","137,000","163,000","68,000","1,210,000","1,210,000","1,210,000",-,"37,000","37,000","56,000","56,000","56,000","56,000","529,000","-49,000",-,"1,000","34,000",-,"14,000","1,285,000","274,000","962,000","999,000","1,010,000","1,010,000",-,-,-,"-11,000","37,000","962,000",1.76,1.74,"546,000","551,000","2,304,000","999,000","999,000","17,000","56,000","999,000","-49,000","-49,000",0,0
3,12/31/2020,"3,154,000","1,662,000","1,898,000","1,752,000","1,752,000","139,000",-,-,"7,000","236,000","152,000","14,000","64,000","6,000","1,492,000",-,"469,000","469,000","362,000","39,000","107,000","59,000",-,"56,000",-,-,-,"423,000","423,000",-,-,"600,000","-503,000","1,717,000","243,000","116,000","127,000","84,000","1,032,000","1,032,000","1,032,000",-,"31,000","18,000","40,000","40,000","40,000","40,000","402,000","492,000",-,"-533,000",-,-,"41,000","933,000","76,000","822,000","845,000","857,000","857,000",-,-,-,"-12,000","23,000","822,000",1.90,1.89,"432,000","434,000","1,159,000","845,000","845,000",-,"40,000","845,000","492,000","492,000",0,0
4,12/31/2019,"1,818,203","1,210,187","1,624,340","1,425,569","1,425,569","167,659",-,-,"31,112","414,153","307,216","41,172","53,263","12,502","608,016","19,210","259,157","305,163","186,295","29,511","55,467","28,308","5,582","46,006","7,186",-,-,"278,963","278,963",-,-,"43,500","-47,000","1,182,674","174,990","80,271","94,719","72,098","805,920","771,561","713,357","30,069","28,135","34,359","24,834","24,834","24,834","24,834","104,832","-2,865",-,-,-,-58,"2,923","585,664","133,291","434,708","440,908","452,373","452,373",-,-,-,"-11,465","6,200","434,708",1.39,1.38,"313,637","315,657","1,163,187","440,908","443,111",-,"24,834","440,908","-2,865","-2,865",0,-661.815
5,12/31/2018,"1,886,840","1,220,317","1,546,021","1,331,578","1,331,578","189,585",-,-,"24,858","325,704","216,551","36,747","53,047","19,359","666,523","18,955","239,919","296,199","179,574","29,806","54,803","26,718","5,298","56,280","10,555",-,-,"380,830","380,830",-,-,"16,264","-7,000","1,165,072","184,745","85,009","99,736","56,948","778,983","754,231","683,963","41,326","28,942","24,752","25,855","25,855","25,855","25,855","118,541",-659,-,-,-,15,644,"714,109","157,602","538,842","545,042","556,507","556,507",-,-,-,"-11,465","6,200","538,842",1.66,1.65,"324,375","327,445","1,213,317","545,042","545,556",-,"25,855","545,042",-659,-659,0,-145.4396
6,12/31/2017,"1,303,039","842,314","989,930","834,323","834,323","140,601",-,-,"15,006","147,616","80,111","16,000","36,037","15,468","460,725","15,124","211,033","254,856","147,794","28,420","48,514","25,467","4,661","43,823",-,-,-,"217,217","217,217",-,-,"17,351",0,"939,321","132,423","54,646","77,777","60,005","686,952","667,738","609,916","36,504","21,318","19,214","8,728","8,728","8,728","8,728","51,213","-54,846",-,-,-,"14,329","40,517","308,872","131,892","159,315","165,515","176,980","176,980",-,-,-,"-11,465","6,200","159,315",0.66,0.65,"241,436","244,453","842,314","165,515","198,423",-,"8,728","165,515","-54,846","-54,846",0,"-21,938"
7,12/31/2016,"1,239,673","729,084","817,909","685,423","685,423","128,239",-,-,"4,247","88,825","39,986","4,736","29,103","15,000","510,589","14,687","208,241","250,093","150,922","27,727","42,911","24,430","4,103","41,852",-,-,-,"269,902","269,902",-,-,"17,759","-11,000","852,883","123,387","50,880","72,507","40,727","653,752","632,140","578,700","32,476","20,964","21,612","5,198","5,198","5,198","5,198","29,819","-30,469",-,-,-,0,"30,469","345,321","106,810","220,846","227,046","238,511","238,511",-,-,-,"-11,465","6,200","220,846",0.95,0.94,"232,700","235,292","718,084","227,046","248,091",-,"5,198","227,046","-30,469","-30,469",0,"-9,424"
8,12/31/2015,"1,125,991","653,720","736,405","605,770","605,770","128,983",-,-,"1,652","82,685","25,150","3,172","38,387","15,976","472,271","17,353","207,751","247,012","146,080","27,577","46,496","22,238","4,621","39,261",-,-,-,"232,715","232,715",-,-,"14,452","-9,000","826,923","126,705","51,117","75,588","35,209","600,471","581,284","531,517","30,968","18,799","19,187","5,253","5,253","5,253","5,253","59,285","-181,814",0,-,-,"-5,793","187,607","108,254","10,941","79,679","85,879","97,313","97,313",0,-,-,"-11,434","6,200","79,679",0.34,0.34,"234,189","236,266","644,720","85,879","249,312",-,"5,253","85,879","-181,814","-181,814",0,"-18,381"
9,12/31/2014,"1,146,681","627,718","709,249","582,968","582,968","125,511",-,-,770,"81,531","26,806","4,765","34,570","15,390","518,963","18,651","282,413","317,660","212,223","27,777","49,099","23,697","4,864","35,247",-,-,-,"2,872","2,872",-,-,"215,027","-27,000","808,684","126,913","54,018","72,895","44,205","563,710","545,027","502,097","24,364","18,566","18,683","4,170","4,170","4,170","4,170","69,686","-1,446",0,-,-,"4,166","-2,720","309,551","78,501","213,323","219,523","231,050","231,050",0,-,-,"-11,527","6,200","213,323",0.91,0.90,"234,220","236,735","600,718","219,523","220,602",-,"4,170","219,523","-1,446","-1,446",0,-366.7056
