,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"3,120,000","2,392,000","2,683,000","2,331,000","2,331,000","256,000","87,000","10,000","96,000","291,000","184,000","23,000","72,000",-,"12,000","728,000",-,"430,000","517,000","293,000","48,000","92,000","84,000",-,"87,000","9,304",-,-,"223,000","223,000",-,-,"75,000","-95,000","1,859,000","286,000","128,000","158,000","62,000","1,205,000","1,155,000","1,155,000",-,-,"50,000","51,000","51,000","51,000","51,000","255,000","-7,000",-,0,0,-,"-9,723","1,159,000","247,000","868,000","900,000","912,000","912,000",-,-,-,"-12,000","32,000","868,000",-,-,-,-,"2,297,000","900,000","905,509","97,000","99,000","900,000","9,707","-7,000",0,"-1,491"
1,3/31/2023,"858,000","688,000","923,000","820,000","820,000","83,000","17,000","4,000","-1,000","236,000","171,000","38,000","20,000",-,"7,000","170,000",-,"113,000","113,000","79,000","11,000","34,000","20,000",-,"22,000",-,"10,000",-,"39,000","39,000",-,-,"18,000","-50,000","478,000","70,000","31,000","39,000","8,000","271,000","271,000","271,000",-,-,"14,000","12,000","12,000","12,000","12,000","125,000",-,-,-,-,-,-,"331,000","75,000","243,000","251,000","256,000","256,000",-,-,-,"-4,000","8,000","243,000",0.45,0.43,"536,938","571,991","638,000","251,000","251,000","21,000","12,000","251,000",-,-,0,0
2,12/31/2022,"884,000","709,000","860,000","751,000","751,000","80,000","24,000","5,000","14,000","151,000","112,000","13,000","19,000",-,"7,000","175,000",-,"113,000","113,000","60,000","12,000","33,000","20,000",-,"22,000",-,-,-,"35,000","35,000",-,-,"62,000","-45,000","505,000","71,000","32,000","39,000","12,000","282,000","282,000","282,000",-,-,"16,000","13,000","13,000","13,000","13,000","139,000","-7,000",-,-,-,-,-,"334,000","64,000","258,000","266,000","270,000","270,000",-,-,-,"-4,000","8,000","258,000",0.48,0.45,"536,000","572,000","664,000","266,000","266,000","29,000","13,000","266,000","-7,000","-7,000",0,0
3,9/30/2022,"875,000","662,000","737,000","628,000","628,000","70,000","34,000","2,000","3,000","74,000","42,000","7,000","18,000",-,"7,000","213,000",-,"120,000","120,000","86,000","11,000","34,000",-,-,"22,000",-,-,-,"46,000","46,000",-,-,"47,000","-60,000","470,000","71,000","32,000","39,000","10,000","276,000","276,000","276,000",-,-,"12,000","13,000","13,000","13,000","13,000","110,000",0,-,-,-,0,-,"346,000","78,000","257,000","265,000","268,000","268,000",-,-,-,"-3,000","8,000","257,000",0.48,0.45,"536,000","570,000","602,000","265,000","265,000","36,000","13,000","265,000",0,0,0,0
4,6/30/2022,"742,000","542,000","586,000","504,000","504,000","59,000","22,000","1,000","23,000","44,000","18,000","2,000","17,000","2,000","7,000","200,000",-,"150,000","150,000","114,000","12,000","36,000",-,-,"23,000",-,-,-,"51,000","51,000",-,-,"-1,000","-30,000","489,000","73,000","33,000","40,000","17,000","265,000","265,000","265,000",-,"9,000","10,000","13,000","13,000","13,000","13,000","138,000",-,-,-,-,-,-,"225,000","48,000","166,000","174,000","177,000","177,000",-,-,-,"-3,000","8,000","166,000",0.31,0.29,"535,000","569,000","512,000","174,000","174,000","23,000","13,000","174,000",-,-,0,0
5,3/31/2022,"708,000","479,000","513,000","457,000","457,000","49,000","7,000",-,"7,000","35,000","11,000","1,000","17,000",-,"6,000","229,000",-,"136,000","136,000","99,000","13,000","37,000",-,-,"20,000",-,-,-,"73,000","73,000",-,-,"20,000","40,000","492,000","72,000","32,000","40,000","23,000","279,000","279,000","279,000",-,"10,000","11,000","13,000","13,000","13,000","13,000","128,000",-,-,-,-,-,-,"255,000","57,000","187,000","195,000","198,000","198,000",-,-,-,"-3,000","8,000","187,000",0.35,0.34,"533,000","550,000","519,000","195,000","195,000","7,000","13,000","195,000",-,-,0,0
6,12/31/2021,"744,000","498,000","534,000","486,000","486,000","40,000","6,000",0,"2,000","36,000","13,000","1,000","17,000",-,"5,000","246,000",-,"139,000","139,000","103,000","12,000","36,000",-,-,"21,000",-,-,-,"82,000","82,000",-,-,"25,000","65,000","529,000","74,000","34,000","41,000","16,000","290,000","290,000","290,000",-,"9,000",-,"14,000","14,000","14,000","14,000","151,000","-13,000",-,0,-,-,"2,000","282,000","53,000","219,000","227,000","229,000","229,000",-,-,-,"-3,000","8,000","219,000",0.41,0.40,"537,000","542,000","563,000","227,000","227,000","6,000","14,000","227,000","-13,000","-13,000",0,0
7,9/30/2021,"738,000","492,000","536,000","492,000","492,000","37,000","6,000",0,"1,000","43,000","20,000","1,000","18,000",-,"4,000","246,000",-,"148,000","148,000","111,000","13,000","37,000","15,000",-,"24,000",-,-,-,"96,000","96,000",-,-,"2,000","85,000","526,000","75,000","33,000","42,000","21,000","296,000","296,000","296,000",-,"9,000",-,"14,000","14,000","14,000","14,000","141,000","-29,000",-,0,-,"23,000","6,000","298,000","63,000","224,000","232,000","235,000","235,000",-,-,-,"-3,000","8,000","224,000",0.41,0.41,"546,000","550,000","577,000","232,000","232,000","6,000","14,000","232,000","-29,000","-29,000",0,0
8,6/30/2021,"781,000","497,000","545,000","505,000","505,000","36,000","3,000",-,"1,000","48,000","24,000","1,000","18,000",-,"5,000","284,000",-,"148,000","148,000","113,000","14,000","35,000","21,000",-,"19,000",-,-,-,"102,000","102,000",-,-,"34,000","115,000","498,000","75,000","33,000","42,000","16,000","306,000","306,000","306,000",-,-,-,"14,000","14,000","14,000","14,000","103,000",-,-,-,-,-,-,"399,000","88,000","295,000","308,000","311,000","311,000",-,-,-,"-3,000","13,000","295,000",0.54,0.53,"550,000","557,000","612,000","308,000","308,000","3,000","14,000","308,000",-,-,0,0
9,3/31/2021,"808,000","508,000","508,000","514,000","514,000","36,000",-,-,"2,000","48,000","24,000","1,000","18,000",-,"1,000","300,000",-,"156,000","156,000","123,000","12,000","33,000","17,000",-,"16,000",-,-,-,"126,000","126,000",-,-,"18,000","45,000","545,000","76,000","37,000","39,000","14,000","319,000","319,000","319,000",-,-,-,"14,000","14,000","14,000","14,000","136,000",-,-,-,-,-,-,"307,000","71,000","225,000","233,000","235,000","236,000",-,-,-,"-3,000","8,000","225,000",0.41,0.40,"552,000","558,000","553,000","233,000","233,000",-,"14,000","233,000",-,-,0,0
