,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/31/2023Current,5.62B,N/A,6.45,5.96,N/A,1.83,0.74,N/A,N/A
1,3/31/2023,9.56B,N/A,11.62,8.55,N/A,3.23,1.32,N/A,N/A
2,12/31/2022,13.15B,N/A,16.55,11.67,N/A,4.62,1.89,N/A,N/A
3,9/30/2022,12.29B,N/A,15.90,13.04,N/A,4.45,1.70,N/A,N/A
4,6/30/2022,11.72B,N/A,13.01,13.83,N/A,4.16,1.59,N/A,N/A
5,3/31/2022,12.56B,N/A,13.50,14.99,N/A,4.33,1.64,N/A,N/A
6,12/31/2021,8.71B,N/A,9.44,10.54,N/A,2.94,1.13,N/A,N/A
7,9/30/2021,8.83B,N/A,6.24,10.31,N/A,2.88,1.14,N/A,N/A
8,6/30/2021,9.52B,N/A,7.68,10.60,N/A,2.96,1.26,N/A,N/A
9,3/31/2021,9.34B,N/A,8.95,11.74,N/A,2.86,1.24,N/A,N/A
10,12/31/2020,7.08B,N/A,6.79,9.81,N/A,2.11,0.96,N/A,N/A
11,9/30/2020,5.23B,N/A,10.14,7.37,N/A,1.55,1.12,N/A,N/A
12,6/30/2020,3.11B,N/A,8.97,9.96,N/A,1.68,0.67,N/A,N/A
13,3/31/2020,2.51B,N/A,5.84,5.10,N/A,1.40,0.54,N/A,N/A
14,12/31/2019,5.16B,N/A,12.74,10.35,N/A,3.04,1.12,N/A,N/A
15,9/30/2019,5.04B,N/A,9.05,10.07,N/A,2.72,1.11,N/A,N/A
16,6/30/2019,4.71B,N/A,8.83,9.99,N/A,2.57,1.05,N/A,N/A
17,3/31/2019,4.44B,N/A,8.47,9.20,N/A,2.43,1.00,N/A,N/A
18,12/31/2018,4.19B,N/A,11.96,N/A,N/A,2.23,0.96,N/A,N/A
19,9/30/2018,5.61B,N/A,30.82,10.99,N/A,3.27,1.34,N/A,N/A
20,6/30/2018,5.84B,N/A,25.86,12.18,N/A,3.34,1.39,N/A,N/A
