,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Other Capital Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,12/31/2022,"212,639,000","4,283,000","4,283,000","485,000",-,"3,798,000",-,-,-,"379,000",-,-,"3,435,000","33,102,000","4,754,000","28,008,000","340,000",-,"95,000","166,084,000","166,868,000",-,"18,793,000",-,"137,317,000","10,758,000","784,000",-,"708,000","708,000",-,-,-,"1,923,000","2,794,000","4,000","898,000",-,"452,000","1,440,000","-871,000","229,000","172,000","57,000","666,000","666,000","1,735,000","195,193,000","176,437,000","113,858,000","113,858,000","62,579,000",-,-,-,-,-,-,"6,700,000","6,700,000","6,700,000",-,"8,579,000","8,579,000","7,300,000",-,"3,477,000","17,446,000","17,446,000","3,635,000","3,633,000","2,000",-,"7,886,000","6,256,000",-,"-331,000",-,-,"26,025,000","3,633,000","13,813,000",-,"17,217,000","29,092,000","13,584,000","15,279,000","10,996,000","183,250","183,250","145,300"
1,12/31/2021,"181,087,000","12,947,000","12,947,000","368,000",-,"12,579,000",-,-,-,"115,000",-,-,"2,650,000","26,921,000","4,629,000","22,030,000","262,000",-,"37,000","134,263,000","134,957,000","1,000","19,185,000",-,"106,794,000","8,977,000","694,000",-,"501,000","501,000",-,-,-,"1,786,000","2,504,000","4,000","765,000",-,"403,000","1,332,000","-718,000","238,000","172,000","66,000","561,000","561,000","1,068,000","165,189,000","156,321,000","85,481,000","85,481,000","70,840,000",-,0,-,-,-,-,0,0,0,"31,000","6,882,000","5,477,000","3,700,000","1,405,000","1,955,000","15,898,000","15,898,000","3,635,000","3,633,000","2,000",-,"6,569,000","5,725,000",-,"-31,000",-,-,"21,375,000","3,633,000","12,265,000","1,405,000","15,660,000","17,742,000","12,027,000","6,882,000",-,"179,473","179,473","145,300"
2,12/31/2020,"142,502,134","5,094,754","5,094,754","471,541",-,"4,623,213",-,-,-,"354,339",-,-,"2,061,362","19,662,096","3,058,786","16,603,310","1,906,315",-,-,"111,951,925","112,586,944","20,679","16,696,942",-,"88,419,168","7,450,155","635,019",-,"430,586","430,586",-,-,-,"1,355,453","1,944,086","2,795","624,215",-,"365,105","951,971","-588,633","253,510","171,616","81,894","458,908","458,908","879,201","130,751,488","114,928,800","68,647,688","68,647,688","46,281,112",-,0,-,-,-,-,0,0,0,"73,297","14,524,573","13,529,458","11,755,000","995,115","1,224,818","11,750,646","11,750,646","1,546,741","1,545,000","1,741",-,"5,346,355","4,834,172",-,"23,378",-,-,"25,280,104","1,545,000","10,205,646","995,115","11,497,136","23,735,104","9,952,136","14,524,573","8,434,704","174,124","174,124","61,800"
3,12/31/2019,"116,263,634","1,699,557","1,699,557","361,932",-,"1,337,625",-,-,-,"367,943",-,-,"1,434,642","19,549,897","2,402,264","17,147,633","1,282,169",-,-,"90,324,031","90,820,135","23,304","11,646,816",-,"72,747,043","6,402,972","496,104",-,"381,560","381,560",-,-,-,"1,174,305","1,650,232","2,795","526,907",-,"333,066","787,464","-475,927","276,989","171,616","105,373","391,781","391,781","662,929","106,412,527","90,133,246","57,008,981","57,008,981","33,124,265","450,000","450,000",-,-,-,-,"350,000","350,000","350,000","27,051","14,287,145","13,475,604","12,200,000","811,541","1,165,085","9,851,107","9,851,107","1,146,686","1,145,000","1,686",-,"4,484,375","4,214,915",-,"5,131",-,-,"23,326,711","1,145,000","8,706,107","811,541","9,574,118","22,531,711","8,429,118","14,637,145","12,126,047","168,621","168,621","45,800"
4,12/31/2018,"99,205,204","2,811,159","2,811,159",-,-,"2,811,159",-,-,-,"273,240",-,-,"1,376,579","17,292,349","1,076,260","14,436,973","1,779,116",-,-,"75,525,219","75,964,267","98,985","10,998,503",-,"59,755,750","5,111,029","439,048",-,"333,708","333,708",-,-,"595,475","332,483","722,364","2,795","427,937",-,"291,632",-,"-389,881","328,444","198,447","129,997","336,548","336,548",-,"90,527,427","79,063,236","49,029,578","49,029,578","30,033,658",-,-,-,-,-,-,"100,000","100,000","100,000",-,"10,373,907","10,373,907","8,700,000",-,"990,284","8,677,777","8,677,777","941,649","940,000","1,649",-,"3,731,205","4,024,306",-,"-19,383",-,-,"19,051,684","940,000","7,737,777",-,"8,349,333","18,211,684","7,409,333","10,473,907","7,662,748","164,902","164,902","37,600"
5,12/31/2017,"87,780,507","2,297,021","2,297,021",-,-,"2,297,021",-,-,-,"282,150",-,-,"1,330,652","19,683,579","1,107,546","16,157,945","2,418,088",-,-,"62,561,978","62,927,910","87,695","8,295,224",-,"50,675,386","3,869,605","365,932",-,"369,536","290,210",-,"79,326","365,334","296,197","603,359","2,795","347,118",-,"253,446",-,"-307,162","356,360","198,447","157,913","237,700","237,700",-,"79,962,206","68,918,708","42,563,377","42,563,377","26,355,331",-,0,0,-,-,-,"100,000","100,000","100,000",-,"9,971,807","9,971,807","8,300,000",-,"971,691","7,818,301","7,818,301","991,617","990,000","1,617",-,"3,051,611","3,778,913",-,"-3,840",-,-,"17,790,108","990,000","6,828,301",-,"7,461,941","16,900,108","6,471,941","10,071,807","7,774,786","161,696","161,696","25,600"
6,12/31/2016,"73,277,772","2,107,822","2,107,722",-,-,"2,107,722",100,100,100,"160,650",-,-,"1,273,172","16,278,831","1,121,416","13,150,157","2,007,258",-,"20,048","52,109,145","52,415,543","407,226","6,872,327",-,"42,457,479","2,678,511","306,398",-,"225,313","225,313",-,-,"283,158","207,592","441,402","1,320","225,196",-,"214,886",-,"-233,810","377,986","203,177","174,809","234,055","234,055",-,"66,369,120","58,602,381","35,862,078","35,862,078","22,740,303","100,000",0,"100,000",-,-,-,0,0,0,-,"6,711,308","6,711,308","5,900,000",-,"955,431","6,908,652","6,908,652","1,141,068","1,139,525","1,543",-,"2,459,540","3,301,705",-,"6,339",-,-,"13,619,960","1,139,525","5,769,127",-,"6,530,666","12,480,435","5,391,141","6,711,308","4,603,586","154,292","154,292","37,600"
7,12/31/2015,"58,981,285","1,131,210","1,131,110",-,-,"1,131,110",100,100,100,"135,068",-,-,"1,168,596","11,458,315","1,006,836","7,540,678","2,910,801",-,"40,093","43,871,192","44,132,250","48,681","6,217,175",-,"36,378,420","1,487,974","261,058",-,"178,531","178,531",-,-,"264,708","172,008","356,452","1,320","163,697",-,"191,435",-,"-184,444","362,554","171,616","190,938","199,010","199,010",-,"53,275,602","47,893,465","29,641,458","29,641,458","18,252,007","100,000",-,"100,000",-,-,-,-,-,-,-,"4,426,802","4,426,802","4,000,000",-,"855,335","5,705,683","5,705,683","990,986","989,525","1,461",-,"1,949,652","2,770,265",-,"-5,220",-,-,"10,132,485","989,525","4,716,158",-,"5,343,129","9,142,960","4,353,604","4,426,802","3,295,692","146,110","146,110","35,581"
8,12/31/2014,"48,353,330","817,250","817,150",-,-,"817,150",100,100,100,-,0,0,"1,014,734","7,466,704","828,640","5,244,707","1,393,357",-,-,"37,872,475","38,201,378","271,448","4,873,580",-,"32,102,640","953,710","328,903",-,-,-,-,-,"750,891","165,703",-,-,-,-,-,-,-,"265,573","106,549","159,024",-,-,-,"43,574,863","37,130,929","24,588,048","24,588,048","12,542,881",-,-,-,-,-,-,-,-,-,-,"5,710,551","5,710,551","5,275,000",-,"733,383","4,778,467","4,778,467","890,908","889,525","1,383",-,"1,570,871","2,313,592",-,"3,096",-,-,"10,489,018","889,525","3,888,942",-,"4,512,894","9,599,493","3,623,369","5,710,551","4,893,401","138,269","138,269",889.525
9,12/31/2013,"42,112,763","807,985","807,885",-,-,"807,885",100,100,100,-,"3,200","3,200","766,291","5,512,610","688,870","3,252,534","1,571,206",-,-,"33,906,302","34,257,613","58,759","3,582,054","763,725","29,853,075","763,725","351,311","-198,306",-,-,-,-,"680,756","166,544",-,-,-,-,-,-,-,"269,075","106,549","162,526",-,-,0,"37,952,716","32,082,716","23,223,440","23,223,440","8,859,276",-,-,-,-,-,-,0,0,0,-,"5,193,132","5,193,132",-,-,"676,868","4,160,047","4,160,047","890,853","889,525","1,328",0,"1,213,896","2,042,027",-,"13,271",-,-,"9,353,179","889,525","3,270,522",-,"3,890,972","8,463,654","3,001,447","5,193,132","4,385,247","132,768","132,768",889.525
