,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Other Capital Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,12/31/2022,"212,639,000","4,283,000","4,283,000","485,000",-,"3,798,000",-,-,-,-,"379,000",-,-,"3,435,000","33,102,000",-,"4,754,000","28,008,000","340,000",-,"95,000","166,084,000","166,868,000",-,"18,793,000",-,"137,317,000","10,758,000","784,000",-,"708,000","708,000",-,-,-,"1,923,000","2,794,000","4,000","898,000",-,"452,000","1,440,000","-871,000","229,000","172,000","57,000","666,000","666,000","1,735,000","195,193,000","176,437,000","113,858,000","113,858,000","62,579,000",-,-,-,-,-,-,-,"6,700,000","6,700,000","6,700,000",-,"8,579,000","8,579,000","7,300,000",-,"3,477,000","17,446,000","17,446,000","3,635,000","3,633,000","2,000",-,"7,886,000","6,256,000",-,"-331,000",-,-,"26,025,000","3,633,000","13,813,000",-,"17,217,000","29,092,000","13,584,000","15,279,000","10,996,000","183,250","183,250","145,300"
1,9/30/2022,"205,109,000","5,532,000","5,532,000","498,000",-,"5,034,000",-,-,-,-,-,-,-,"3,409,000","32,902,000",-,"4,655,000","27,919,000","328,000",-,-,"158,007,000","158,767,000",-,"17,707,000",-,"130,792,000","10,268,000","760,000",-,-,-,-,-,-,"483,000",-,-,-,-,-,-,-,"219,000","172,000","47,000",-,-,"4,557,000","187,990,000","172,382,000","102,451,000","102,451,000","69,931,000",-,-,-,-,-,-,-,"5,100,000","5,100,000","5,100,000",-,"7,179,000","7,179,000","5,900,000",-,"3,329,000","17,119,000","17,119,000","3,635,000","3,633,000","2,000",-,"7,591,000","6,230,000",-,"-337,000",-,-,"24,298,000","3,633,000","13,486,000",-,"16,900,000","25,765,000","13,267,000","12,279,000","6,747,000","182,904","182,904","145,300"
2,6/30/2022,"197,908,000","6,237,000","6,237,000","494,000",-,"5,743,000",-,-,-,-,-,-,-,"3,340,000","32,475,000",-,"4,765,000","27,463,000","247,000",-,-,"150,790,000","151,519,000",-,"19,052,000",-,"122,658,000","9,809,000","729,000",-,-,-,-,-,-,"474,000",-,-,-,-,-,-,-,"220,000","172,000","48,000",-,-,"4,372,000","181,482,000","165,647,000","90,439,000","90,439,000","75,208,000",-,-,-,-,-,-,-,"6,300,000","6,300,000","6,300,000",-,"5,978,000","5,978,000","4,700,000",-,"3,557,000","16,426,000","16,426,000","3,635,000","3,633,000","2,000",-,"7,236,000","5,782,000",-,"-227,000",-,-,"22,404,000","3,633,000","12,793,000",-,"16,206,000","25,071,000","12,573,000","12,278,000","6,041,000","179,657","179,657","145,300"
3,3/31/2022,"187,121,000","7,756,000","7,756,000","413,000",-,"7,343,000",-,-,-,-,"115,000",-,-,"2,682,000","31,533,000",-,"4,702,000","26,617,000","214,000",-,"62,000","140,612,000","141,313,000",-,"18,939,000",-,"113,132,000","9,242,000","701,000",-,"482,000","331,000",-,"151,000",-,"1,882,000","1,882,000",-,-,-,-,"1,882,000",-,"236,000","172,000","64,000",-,-,"1,761,000","170,967,000","162,060,000","89,636,000","89,636,000","72,424,000",-,-,-,-,-,-,-,-,-,-,"57,000","6,974,000","5,478,000","3,700,000","1,496,000","1,876,000","16,154,000","16,154,000","3,635,000","3,633,000","2,000",-,"6,893,000","5,763,000",-,"-137,000",-,-,"21,632,000","3,633,000","12,521,000","1,496,000","15,918,000","17,999,000","12,285,000","6,974,000",-,"179,657","179,657","145,300"
4,12/31/2021,"181,087,000","12,947,000","12,947,000","368,000",-,"12,579,000",-,-,-,-,"115,000",-,-,"2,650,000","26,921,000",-,"4,629,000","22,030,000","262,000",-,"37,000","134,263,000","134,957,000","1,000","19,185,000",-,"106,794,000","8,977,000","694,000",-,"501,000","501,000",-,-,-,"1,786,000","2,504,000","4,000","765,000",-,"403,000","1,332,000","-718,000","238,000","172,000","66,000","561,000","561,000","1,068,000","165,189,000","156,321,000","85,481,000","85,481,000","70,840,000",-,0,-,-,-,-,-,0,0,0,"31,000","6,882,000","5,477,000","3,700,000","1,405,000","1,955,000","15,898,000","15,898,000","3,635,000","3,633,000","2,000",-,"6,569,000","5,725,000",-,"-31,000",-,-,"21,375,000","3,633,000","12,265,000","1,405,000","15,660,000","17,742,000","12,027,000","6,882,000",-,"179,473","179,473","145,300"
5,9/30/2021,"172,570,503","12,279,447","12,279,447","408,268",-,"11,871,179",-,-,-,-,"239,299",-,-,"2,627,940","25,365,480",-,"4,172,943","21,192,537","2,960,571",-,"34,522","127,710,690","128,378,876","3,782","17,096,372",-,"102,871,786","8,406,936","668,186",-,"472,887","309,233",-,"163,654",-,"1,795,358","1,795,358",-,-,-,-,"1,795,358",-,"241,225","171,616","69,609",-,-,"1,803,655","157,768,709","145,326,345","79,493,340","79,493,340","65,833,005",-,-,-,-,-,-,-,-,-,-,"37,399","10,905,338","9,476,370","7,700,000","1,428,968","1,499,627","14,801,794","14,801,794","2,894,293","2,892,500","1,793",-,"6,241,963","5,685,384",-,"-19,846",-,-,"24,278,164","2,892,500","11,909,294","1,428,968","14,560,569","21,385,664","11,668,069","10,905,338",-,"179,261","179,261","115,700"
6,6/30/2021,"161,646,734","7,876,952","7,876,952","389,455",-,"7,487,497",-,-,-,-,"279,664",-,-,"2,597,637","24,124,945",-,"3,888,647","20,236,298","2,634,983",-,"40,769","122,483,437","123,120,347","3,169","16,725,221",-,"98,326,502","8,065,455","636,910",-,"486,214","300,066",-,"186,148",-,"1,776,211","1,776,211",-,-,-,-,"1,776,211",-,"245,298","171,616","73,682",-,-,"1,735,607","148,372,007","134,656,835","75,207,677","75,207,677","59,449,158",-,-,-,-,-,-,-,-,-,-,"41,901","12,191,327","10,775,728","9,000,000","1,415,599","1,481,944","13,274,727","13,274,727","2,144,267","2,142,500","1,767",-,"5,936,669","5,204,166",-,"-10,375",-,-,"24,050,455","2,142,500","11,132,227","1,415,599","13,029,429","21,907,955","10,886,929","12,191,327","2,898,776","176,742","176,742","85,700"
7,3/31/2021,"155,797,960","8,889,492","8,889,492","345,878",-,"8,543,614",-,-,-,-,"326,394","1,334",-,"2,328,844","22,809,853",-,"3,577,519","19,232,334","2,428,833",-,"54,121","117,462,593","118,083,418",0,"17,929,946",-,"92,720,307","7,433,165","620,825",-,"446,455","301,907",-,"144,548",-,"1,762,290","1,762,290",-,-,-,-,"1,762,290",-,"249,407","171,616","77,791",-,-,"1,467,177","142,856,230","127,906,953","74,100,191","74,100,191","53,806,762",-,-,-,-,-,-,-,-,-,-,"53,368","13,680,318","12,280,091","10,505,000","1,400,227","1,215,591","12,941,730","12,941,730","2,144,263","2,142,500","1,763",-,"5,626,958","5,191,932",-,"-21,423",-,-,"25,221,821","2,142,500","10,799,230","1,400,227","12,692,323","23,079,321","10,549,823","13,680,318","3,390,599","176,287","176,287","85,700"
8,12/31/2020,"142,502,134","5,094,754","5,094,754","471,541",-,"4,623,213",-,-,-,-,"354,339",-,-,"2,061,362","19,662,096",-,"3,058,786","16,603,310","1,906,315",-,-,"111,951,925","112,586,944","20,679","16,696,942",-,"88,419,168","7,450,155","635,019",-,"430,586","430,586",-,-,-,"1,355,453","1,944,086","2,795","624,215",-,"365,105","951,971","-588,633","253,510","171,616","81,894","458,908","458,908","879,201","130,751,488","114,928,800","68,647,688","68,647,688","46,281,112",-,0,-,-,-,-,-,0,0,0,"73,297","14,524,573","13,529,458","11,755,000","995,115","1,224,818","11,750,646","11,750,646","1,546,741","1,545,000","1,741",-,"5,346,355","4,834,172",-,"23,378",-,-,"25,280,104","1,545,000","10,205,646","995,115","11,497,136","23,735,104","9,952,136","14,524,573","8,434,704","174,124","174,124","61,800"
9,9/30/2020,"133,225,771","3,691,149","3,691,149","401,740",-,"3,289,409",-,-,-,-,"419,486",-,-,"1,949,360","19,755,099",-,"2,831,393","16,923,706","1,711,202",-,"33,549","104,190,559","104,795,306","33,655","14,554,216",-,"83,012,718","7,194,717","604,747",-,"430,068","307,419",-,"122,649",-,"1,319,140","1,319,140",-,-,-,-,"1,319,140",-,"257,560","171,616","85,944",-,-,"1,179,801","121,881,162","104,403,376","62,864,700","62,864,700","41,538,676",-,0,-,-,-,-,-,"5,000","5,000","5,000","29,009","16,248,577","15,278,830","13,505,000","969,747","1,195,200","11,344,609","11,344,609","1,646,722","1,645,000","1,722",-,"5,102,229","4,571,499",-,"24,159",-,-,"26,623,439","1,645,000","9,699,609","969,747","11,087,049","24,983,439","9,442,049","16,253,577","11,592,681","172,188","172,188","65,800"
