,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"252,000","252,000","1,665,000",-,-,-,"192,000","192,000",-,-,-,"20,000","20,000","-908,000",-,"199,000",-,"107,000","-1,023,000",-,-,-,-,-,"-642,000","-381,000","-38,805,000","-38,805,000",-,"-6,236,000","-7,930,000","1,694,000","-31,937,000",0,"-31,937,000","-197,000","-197,000",-,-,"-435,000","29,889,000","29,889,000",-,"9,800,000","3,100,000","3,600,000","-500,000","6,700,000",-,"402,000","402,000",0,0,0,"-348,000","-190,000","-158,000","34,000","-104,000",-,"4,283,000","-8,664,000","12,947,000","304,000","802,000","-197,000","402,000","3,600,000","-500,000",0,"55,000"
1,12/31/2022,"24,000","24,000","386,000",-,-,-,"44,000","44,000",-,-,-,"6,000","6,000","-110,000",-,"50,000",-,"30,000","-382,000",-,-,-,-,-,"-418,000","36,000","-8,205,000","-8,205,000",-,"26,000","-248,000","274,000","-8,101,000",-,"-8,101,000","-45,000","-45,000",-,-,"-85,000","6,932,000","6,932,000",-,"3,000,000","1,400,000","1,400,000",0,"1,600,000",-,0,0,0,0,0,"-91,000","-51,000","-40,000","7,000","-31,000",-,"4,283,000","-1,249,000","5,532,000","31,000","451,000","-45,000",0,"1,400,000",0,0,"-21,000"
2,9/30/2022,"112,000","112,000","445,000",-,-,-,"48,000","48,000",-,-,-,"-56,000","-56,000","-187,000",-,"56,000",-,"36,000","-230,000",-,-,-,-,-,"52,000","-282,000","-7,876,000","-7,876,000",-,"-460,000","-929,000","469,000","-7,278,000",-,"-7,278,000","-48,000","-48,000",-,-,"-90,000","7,059,000","7,059,000",-,0,"1,200,000","1,200,000",0,"-1,200,000",-,"402,000","402,000",0,0,0,"-90,000","-50,000","-40,000","7,000","-17,000",-,"5,532,000","-705,000","6,237,000","67,000","239,000","-48,000","402,000","1,200,000",0,0,"64,000"
3,6/30/2022,"106,000","106,000","433,000",-,-,-,"49,000","49,000",-,-,-,"-22,000","-22,000","-255,000",-,"53,000",-,"31,000","-183,000",-,-,-,-,-,"-175,000","-8,000","-11,866,000","-11,866,000",-,"-1,388,000","-1,829,000","441,000","-10,196,000",-,"-10,196,000","-49,000","-49,000",-,-,"-233,000","10,241,000","10,241,000",-,"6,800,000","500,000",-,"-500,000",-,-,0,0,0,0,0,"-90,000","-49,000","-41,000","8,000","-42,000",-,"6,237,000","-1,519,000","7,756,000","120,000","61,000","-49,000",0,-,"-500,000",0,"57,000"
4,3/31/2022,"10,000","10,000","401,000",-,-,-,"51,000","51,000","51,000",-,-,"92,000","92,000","-356,000",-,"40,000",-,"10,000","-228,000",-,-,-,-,-,"-101,000","-127,000","-10,858,000","-10,858,000",-,"-4,414,000","-4,924,000","510,000","-6,362,000",-,"-6,362,000","-55,000","-55,000",-,-,"-27,000","5,657,000","5,657,000",-,0,0,-,0,-,-,0,0,0,0,0,"-77,000","-40,000","-37,000","12,000","-14,000",-,"7,756,000","-5,191,000","12,947,000","86,000","51,000","-55,000",0,-,0,0,"-45,000"
5,12/31/2021,"981,183","981,183","400,374","3,630","3,123",-,"43,883","43,883","43,883",-,-,"-43,259","-43,259","-149,122",-,"71,524",-,"23,440","630,713",-,-,-,-,-,"248,435","382,278","-7,907,750","-7,907,750",-,"-1,360,985","-2,004,435","643,450","-6,574,941",0,"-6,574,941","-60,193","-60,193",-,-,"88,369","7,593,874","7,593,874",-,"-4,000,000","-4,000,000",0,"-4,000,000",0,-,-268,-268,"721,448","721,448",0,"-72,551","-40,158","-32,393","8,867","-54,336",-,"12,947,000","667,307","12,279,447","70,741","41,012","-60,193","721,180",0,"-4,000,000",0,"920,990"
6,9/30/2021,"538,901","538,901","369,687","-2,279","-2,139",-140,"48,405","48,405","53,142",-,-,"-32,992","-32,992","-4,927",-,"68,006",-,"34,025","58,976",-,-,-,-,-,"48,018","10,958","-6,606,743","-6,606,743",-,"-1,304,889","-1,969,844","664,955","-5,263,782",0,"-5,263,782","-47,542","-47,542",-,-,"9,470","10,470,337","10,470,337",-,"-1,300,000","-1,300,000",0,"-1,300,000",0,-,"443,919","443,919","735,724","735,724",0,"-63,621","-39,194","-24,427","5,934","-23,457",-,"12,279,447","4,402,495","7,876,952","35,252","73,255","-47,542","1,179,643",0,"-1,300,000",0,"491,359"
7,6/30/2021,"152,300","152,300","373,106","-1,387","-1,329",-58,"48,935","48,935","46,659","2,276","2,276","-28,249","-28,249","-215,872",-,"56,511",-,"16,143","-96,887",-,-,-,-,-,"-207,219","110,332","-6,305,262","-6,305,262",-,"-1,235,327","-1,942,283","706,956","-5,040,982",0,"-5,040,982","-44,454","-44,454",-,-,"15,501","5,140,422","5,140,422",-,"-1,505,000","-1,505,000",0,"-1,505,000",0,-,0,0,0,0,0,"-63,598","-39,943","-23,655","7,234","-50,389",-,"7,876,952","-1,012,540","8,889,492","88,084","65,920","-44,454",0,0,"-1,505,000",0,"107,846"
8,3/31/2021,"-468,384","-468,384","334,833",-964,-655,-309,"42,777","42,777","40,316","2,461","2,461","25,500","25,500","-692,079",-,"43,959",-,"-14,608","-207,802",-,-,-,-,-,"-146,234","-61,568","-8,323,245","-8,323,245",-,"-2,759,799","-3,556,438","796,639","-5,519,295",0,"-5,519,295","-45,811","-45,811",-,-,"1,660","12,586,367","12,586,367",-,"-1,250,000","-1,250,000",0,"-1,250,000",0,-,"331,349","331,349","582,828","732,828","-150,000","-54,230","-35,705","-18,525","6,965","-9,818",-,"8,889,492","3,794,738","5,094,754","60,923","91,813","-45,811","1,064,177",0,"-1,250,000","-150,000","-514,195"
9,12/31/2020,"112,754","112,754","295,560","-2,500",-88,"-2,412","41,541","41,541","38,823","2,718","2,718","-12,220","-12,220","-243,628",-,"43,928",-,"35,066","-44,993",-,-,-,-,-,"-62,486","17,493","-7,542,199","-7,542,199",-,"283,468","-771,700","1,055,168","-7,799,097",506,"-7,799,603","-47,823","-47,823",-,-,"21,253","8,833,050","8,833,050",-,"-1,755,000","-1,750,000","800,000","-2,550,000","-5,000",-,"225,416","225,416","-99,897",103,-,"-51,434","-35,362","-16,072","6,392","-13,147",-,"5,094,754","1,403,605","3,691,149","53,027","92,263","-47,823","225,519","800,000","-2,550,000",-,"64,931"
