,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"5,773,000","4,834,000","5,722,000","4,803,000","4,803,000","839,000",-,"80,000","888,000","654,000","234,000",-,"939,000","103,000","838,000","928,000","170,000","640,000","118,000",-,"90,000",-,"-8,000","-8,000",0,"6,000","-105,000","3,527,000","285,000","285,000","108,000","2,438,000","2,367,000","2,285,000","82,000",-,"71,000",-,-,-,-,"696,000",-,-,-,"2,141,000","476,000","1,507,000","1,665,000","1,665,000","1,665,000",-,-,"158,000","1,507,000",-,-,-,-,"4,729,000","1,665,000","1,665,000",-,"192,000","1,665,000",-,-,0,0
1,12/31/2022,"5,773,000","4,834,000","5,722,000","4,803,000","4,803,000","839,000",-,"80,000","888,000","654,000","234,000",-,"939,000","103,000","838,000","928,000","170,000","640,000","118,000",-,"90,000",-,"-8,000","-8,000",0,"6,000","-105,000","3,527,000","285,000","285,000","108,000","2,438,000","2,367,000","2,285,000","82,000",-,"71,000",-,-,-,-,"696,000",-,-,-,"2,141,000","476,000","1,507,000","1,665,000","1,665,000","1,665,000",-,-,"158,000","1,507,000",-,-,-,-,"4,729,000","1,665,000","1,665,000",-,"192,000","1,665,000",-,-,0,0
2,12/31/2021,"4,960,000","4,114,000","4,385,000","3,725,000","3,725,000","624,000",-,"36,000","271,000","95,000","176,000",-,"846,000","104,000","733,000","805,000","152,000","579,000","74,000",-,"72,000",-,0,"-1,000","1,000","9,000","-57,000","3,075,000","254,000","254,000","101,000","2,167,000","2,103,000","2,035,000","68,000",-,"64,000",-,-,-,-,"553,000",-,-,-,"1,828,000","350,000","1,379,000","1,478,000","1,478,000","1,478,000",-,-,"99,000","1,379,000",7.78,7.68,"177,000","180,000","4,057,000","1,478,000","1,478,000",-,"184,000","1,478,000",-,-,0,0
3,12/31/2020,"3,853,318","3,262,552","3,852,673","3,244,796","3,244,796","576,484",-,"31,393","590,121","276,085","314,036",-,"590,766","65,158","503,843","565,077","99,772","414,788","50,517","49,552","61,234",-,"18,594","1,607","16,987","3,171","-154,858","2,364,495","220,752","220,752","66,494","1,603,382","1,560,247","1,503,463","56,784","69,088","43,135","7,757","7,757","7,757","7,757","466,110",-,-,-,"1,333,965","269,814","1,005,426","1,064,151","1,064,151","1,064,151",-,-,"58,725","1,005,426",5.85,5.81,"172,000","173,000","3,107,694","1,064,151","1,064,151",-,"166,079","1,064,151",-,-,0,0
4,12/31/2019,"3,253,989","2,764,167","3,579,479","2,986,210","2,986,210","547,988",-,"45,281","815,312","500,557","314,755",-,"489,822","58,278","427,782","515,180","98,264","375,881","41,035","41,026","87,398",-,"-2,901","-3,436",535,"6,663","-61,690","2,059,063","192,678","192,678","68,099","1,387,185","1,321,224","1,270,795","50,429","42,974","65,961","11,874","11,874","11,874","11,874","399,227",-,-,-,"1,133,236","202,907","881,259","930,329","930,329","930,329",-,-,"49,070","881,259",5.25,5.20,"168,000","170,000","2,702,477","930,329","930,329",-,"137,639","930,329",-,-,0,0
5,12/31/2018,"2,967,465","2,501,108","3,031,606","2,442,469","2,442,469","540,753",-,"48,384","530,498","290,040","240,458",-,"466,357","50,760","400,546","477,634","89,595","356,172","31,867","35,606","77,088",-,"10,818","5,202","5,616","4,233","-76,092","1,839,631","152,258","152,258","60,058","1,249,299","1,188,836","1,119,314","69,522","37,876","60,463","16,247","16,247","16,247","16,247","361,769",-,-,-,"1,051,742","197,914","796,103","853,828","853,828","853,828",-,-,"57,725","796,103",4.89,4.81,"162,948","165,612","2,425,016","853,828","853,828",-,"114,363","853,828",-,-,0,0
6,12/31/2017,"2,553,147","2,151,463","2,451,618","1,903,070","1,903,070","521,837",-,"26,711","300,155","134,786","165,369",-,"401,684","37,874","347,106","405,883","77,136","296,526","32,221","27,691","58,777",-,"8,400",-833,"9,233","8,304","-60,181","1,580,764","136,746","136,746","56,950","1,054,882","1,006,484","939,474","67,010","32,152","48,398","20,625","20,625","20,625","20,625","311,561",-,-,-,"912,202","154,542","699,620","757,660","757,660","757,660",-,-,"58,040","699,620",4.44,4.31,"157,624","162,340","2,091,282","757,660","757,660",-,"91,954","757,660",-,-,0,0
7,12/31/2016,"2,168,559","1,817,162","1,980,873","1,573,403","1,573,403","378,719",-,"28,751","163,711","73,765","89,946",-,"351,397","48,119","296,111","339,526","70,667","236,991","31,868","22,406","43,415",-,"5,883","1,055","4,828","1,284","-47,192","1,293,771","119,139","119,139","52,740","857,663","824,880","770,247","54,633","27,318","32,783","25,002","25,002","25,002","25,002","239,227",-,-,-,"827,596","154,168","604,839","673,428","673,428","673,428",-,-,"68,589","604,839",4.07,3.93,"148,752","154,095","1,769,970","673,428","673,428",-,"85,370","673,428",-,-,0,0
8,12/31/2015,"1,808,988","1,516,663","1,664,092","1,361,654","1,361,654","268,682",-,"33,756","147,429","61,072","86,357",-,"292,325","35,474","243,675","276,403","67,261","189,483","19,659","22,517","32,728",-,"10,546",821,"9,725","2,630","-55,814","1,062,506","106,856","106,856","73,022","675,278","649,716","604,828","44,888","20,176","25,562","21,760","21,760","21,760","21,760","185,590",-,-,-,"690,668","168,523","463,217","522,145","522,145","522,145",-,-,"58,928","463,217",3.27,3.18,"141,689","145,510","1,460,849","522,145","522,145",-,"70,329","522,145",-,-,0,0
9,12/31/2014,"1,649,115","1,330,760","1,483,009","1,271,562","1,271,562","207,736",-,"3,711","152,249","60,454","91,795",-,"318,355","29,558","229,106","229,106","56,379","10,483","162,244","19,552",-,-,"57,352","21,837","35,515","2,339","-56,486","922,746","98,466","98,466","84,723","516,044","490,341","490,341",-,"95,387","25,703","22,744","22,744","22,744","22,744","200,769",-,-,-,"669,883","182,877","431,450","487,006","487,006","487,006",-,0,"55,556","431,450",3.16,3.07,"136,420","140,497","1,274,274","487,006","487,006",-,"61,445","487,006",-,-,0,0
