,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"5,773,000","4,834,000","5,722,000","4,803,000","4,803,000","839,000",-,"80,000","888,000","654,000",-,"234,000",-,"939,000","103,000","838,000","928,000","170,000","640,000","118,000",-,"90,000",-,-,"-8,000","-8,000",0,"6,000","-105,000","3,527,000","285,000","285,000","108,000","2,438,000","2,367,000","2,285,000","82,000",-,"71,000",-,-,-,-,"696,000",-,-,-,"2,141,000","476,000","1,507,000","1,665,000","1,665,000","1,665,000",-,-,"158,000","1,507,000",-,-,-,-,"4,729,000","1,665,000","1,665,000",-,"192,000","1,665,000",-,-,0,0
1,12/31/2022,"1,415,000","1,174,000","1,699,000","1,438,000","1,438,000","231,000",-,"30,000","525,000","428,000",-,"97,000",-,"241,000","42,000","198,000","220,000","43,000","148,000","29,000",-,"22,000",-,-,0,0,-,"1,000","-30,000","897,000","73,000","73,000","27,000","613,000","590,000","567,000","23,000",-,"23,000",-,-,-,-,"184,000",-,-,-,"488,000","102,000","346,000","386,000","386,000","386,000",-,-,"40,000","346,000",-,-,-,-,"1,144,000","386,000","386,000",-,"44,000","386,000",-,-,0,0
2,9/30/2022,"1,500,000","1,269,000","1,518,000","1,269,000","1,269,000","219,000",-,"30,000","249,000","169,000",-,"80,000",-,"231,000","29,000","203,000","226,000","43,000","149,000","34,000",-,"23,000",-,-,"-1,000","-1,000",-,-,"-36,000","896,000","73,000","73,000","31,000","607,000","588,000","567,000","21,000",-,"19,000",-,-,-,-,"185,000",-,-,-,"568,000","123,000","405,000","445,000","445,000","445,000",-,-,"40,000","405,000",2.23,2.21,"182,000","183,000","1,233,000","445,000","445,000",-,"48,000","445,000",-,-,0,0
3,6/30/2022,"1,484,000","1,246,000","1,316,000","1,094,000","1,094,000","209,000",-,"13,000","70,000","37,000",-,"33,000",-,"238,000","14,000","225,000","249,000","45,000","171,000","33,000",-,"24,000",-,-,"-3,000","-3,000",-,"2,000","-30,000","889,000","70,000","70,000","27,000","617,000","601,000","582,000","19,000",-,"16,000",-,-,-,-,"175,000",-,-,-,"565,000","132,000","392,000","433,000","433,000","433,000",-,-,"41,000","392,000",2.18,2.16,"180,000","181,000","1,216,000","433,000","433,000",-,"49,000","433,000",-,-,0,0
4,3/31/2022,"1,374,000","1,145,000","1,189,000","1,002,000","1,002,000","180,000",-,"7,000","44,000","20,000",-,"24,000",-,"229,000","18,000","212,000","233,000","39,000","172,000","22,000",-,"21,000",-,-,"-4,000","-4,000",-,"3,000","-9,000","845,000","69,000","69,000","23,000","601,000","588,000","569,000","19,000",-,"13,000",-,-,-,-,"152,000",-,-,-,"520,000","119,000","364,000","401,000","401,000","401,000",-,-,"37,000","364,000",2.03,2.00,"180,000","182,000","1,136,000","401,000","401,000",-,"51,000","401,000",-,-,0,0
5,12/31/2021,"1,345,133","1,119,069","1,167,360","992,099","992,099","165,325",-,"9,936","48,291","20,923",-,"27,368",-,"226,064","34,006","195,804","216,724","40,762","156,744","19,218",-,"20,920",-,-,"-2,829","-3,322",493,-917,"-23,241","844,388","65,972","65,972","26,360","590,359","569,172","551,185","17,987",-,"21,187",-,-,-,-,"161,697",-,-,-,"477,504","77,130","367,981","400,374","400,374","400,374",-,-,"32,393","367,981",-,-,-,-,"1,095,828","400,374","400,374",-,"43,883","400,374",-,-,0,0
6,9/30/2021,"1,284,936","1,052,284","1,117,671","946,846","946,846","161,017",-,"9,808","65,387","22,410",-,"42,977",-,"232,652","26,246","201,721","219,131","41,765","154,722","22,644","26,032","17,410",-,-,"1,983","1,843",140,"2,702","-33,729","781,121","66,953","66,953","27,911","555,270","541,650","524,187","17,463",-,"13,620",-,-,-,-,"130,987",-,-,-,"470,086","100,399","345,260","369,687","369,687","369,687",-,-,"24,427","345,260",1.94,1.91,"178,000","180,000","1,018,555","369,687","369,687",-,"48,405","369,687",-,-,0,0
7,6/30/2021,"1,212,206","1,003,865","1,078,005","912,885","912,885","156,947",-,"8,173","74,140","24,096",-,"50,044",-,"208,341","24,125","179,615","197,499","37,164","142,761","17,574","20,612","17,884",-,-,"1,004",946,58,"3,597","-15,760","744,881","63,526","63,526","25,475","523,083","506,523","489,536","16,987","16,213","16,560",-,-,-,-,"132,797",-,-,-,"451,565","78,459","349,451","373,106","373,106","373,106",-,-,"23,655","349,451",1.98,1.95,"176,000","179,000","988,105","373,106","373,106",-,"48,935","373,106",-,-,0,0
8,3/31/2021,"1,117,725","938,782","1,021,964","873,170","873,170","140,711",-,"8,083","83,182","27,571",-,"55,611",-,"178,943","19,623","155,860","171,646","32,309","124,773","14,564","17,167","15,786",-,-,-158,-467,309,"3,618","15,730","704,610","57,549","57,549","21,254","498,288","485,655","470,092","15,563","20,348","12,633",-,-,-,-,"127,519",-,-,-,"428,845","94,012","316,308","334,833","334,833","334,833",-,-,"18,525","316,308",1.81,1.79,"175,000","177,000","954,512","334,833","334,833",-,"42,777","334,833",-,-,0,0
9,12/31/2020,"1,063,351","892,728","991,152","845,150","845,150","138,429",-,"7,573","98,424","30,405",-,"68,019",-,"170,623","22,566","144,532","160,360","29,218","119,653","11,489","14,688","15,828",-,-,"1,314","-1,098","2,412","2,211","-33,880","650,216","56,627","56,627","18,015","446,901","433,139","418,172","14,967","46,754","13,762","1,673","1,673","1,673","1,673","127,000",-,-,-,"379,255","83,695","279,488","295,560","295,560","295,560",-,-,"16,072","279,488",-,-,-,-,"858,848","295,560","295,560",-,"41,541","295,560",-,-,0,0
10,9/30/2020,"985,045","830,280","961,976","811,708","811,708","142,971",-,"7,297","131,696","54,355",-,"77,341",-,"154,765","22,762","121,735","137,620","25,643","101,181","10,796","12,575","15,885",-,-,"13,059",-738,"13,797","-2,791","-28,205","592,325","55,543","55,543","19,845","398,898","389,989","375,649","14,340","6,510","8,909","1,790","1,790","1,790","1,790","116,249",-,-,-,"364,515","71,378","278,321","293,137","293,137","293,137",-,-,"14,816","278,321",1.62,1.61,"172,142","172,932","802,075","293,137","293,137",-,"40,906","293,137",-,-,0,0
11,6/30/2020,"905,371","787,412","943,424","791,286","791,286","146,515",-,"5,623","156,012","72,480",-,"83,532",-,"117,959","9,513","107,138","120,452","18,364","89,682","12,406","10,105","13,314",-,-,86,"1,233","-1,147","1,222","-30,821","556,144","54,941","54,941","15,517","369,762","361,141","346,857","14,284","5,994","8,621","2,010","2,010","2,010","2,010","113,914",-,-,-,"318,406","61,638","241,951","256,768","256,768","256,768",-,-,"14,817","241,951",1.41,1.40,"171,627","172,659","756,591","256,768","256,768",-,"43,132","256,768",-,-,0,0
12,3/31/2020,"899,551","752,132","956,121","796,652","796,652","148,569",-,"10,900","203,989","118,845",-,"85,144",-,"147,419","10,317","130,438","146,645","26,547","104,272","15,826","12,184","16,207",-,-,"4,135","2,210","1,925","2,529","-61,952","565,810","53,641","53,641","13,117","389,707","377,864","364,671","13,193","9,830","11,843","2,284","2,284","2,284","2,284","107,061",-,-,-,"271,789","53,103","205,666","218,686","218,686","218,686",-,-,"13,020","205,666",1.20,1.20,"170,835","172,039","690,180","218,686","218,686",-,"40,500","218,686",-,-,0,0
13,12/31/2019,"861,754","720,118","936,954","780,326","780,326","146,080",-,"10,548","216,836","128,705",-,"88,131",-,"141,636","18,220","123,078","138,787","24,937","101,434","12,416","10,365","15,709",-,-,"-1,472","-1,541",69,"1,810","-9,579","543,136","50,474","50,474","22,476","361,300","343,685","329,812","13,873","10,849","17,615","2,558","2,558","2,558","2,558","106,328",-,-,-,"309,039","62,709","235,622","246,330","246,330","246,330",-,-,"10,708","235,622",-,-,-,-,"710,539","246,330","246,330",-,"39,777","246,330",-,-,0,0
14,9/30/2019,"814,152","694,985","909,776","764,468","764,468","134,099",-,"11,209","214,791","134,917",-,"79,874",-,"119,167","14,864","103,256","126,296","25,936","87,687","12,673","11,685","23,040",-,-,-561,-683,122,"1,608","-16,711","510,910","50,722","50,722","17,507","343,954","328,042","315,311","12,731","10,942","15,912","2,832","2,832","2,832","2,832","95,895",-,-,-,"286,531","51,687","222,057","234,844","234,844","234,844",-,-,"12,787","222,057",1.32,1.31,"168,272","169,346","678,274","234,844","234,844",-,"36,208","234,844",-,-,0,0
15,6/30/2019,"794,303","674,026","885,732","741,328","741,328","134,044",-,"10,360","211,706","129,188",-,"82,518",-,"120,277","13,745","105,806","130,879","24,645","97,947","8,287","10,345","25,073",-,-,"-1,078","-1,063",-15,"1,804","-21,200","503,781","47,587","47,587","16,435","334,920","318,220","306,203","12,017","11,263","16,700","3,104","3,104","3,104","3,104","101,735",-,-,-,"269,322","46,758","209,776","222,564","222,564","222,564",-,-,"12,788","209,776",1.25,1.24,"167,685","169,572","652,826","222,564","222,564",-,"31,949","222,564",-,-,0,0
16,3/31/2019,"783,780","675,038","847,017","700,088","700,088","133,765",-,"13,164","171,979","107,747",-,"64,232",-,"108,742","11,449","95,642","119,218","22,746","88,813","7,659","8,631","23,576",-,-,210,-149,359,"1,441","-14,200","501,236","43,895","43,895","11,681","342,981","327,247","315,439","11,808","9,920","15,734","3,380","3,380","3,380","3,380","99,299",-,-,-,"268,344","41,753","213,804","226,591","226,591","226,591",-,-,"12,787","213,804",1.28,1.26,"167,112","169,410","660,838","226,591","226,591",-,"29,705","226,591",-,-,0,0
17,12/31/2018,"786,207","667,203","828,655","677,450","677,450","134,380",-,"16,825","161,452","96,188",-,"65,264",-,"119,004","20,063","98,808","123,351","24,024","95,876","3,451","10,223","24,543",-,-,-734,"-1,313",579,867,"-25,089","474,039","40,078","40,078","15,338","316,277","296,389","284,675","11,714","11,613","19,888","3,651","3,651","3,651","3,651","98,695",-,-,-,"287,079","55,661","215,190","231,418","231,418","231,418",-,-,"16,228","215,190",-,-,-,-,"642,114","231,418","231,418",-,"30,865","231,418",-,-,0,0
18,9/30/2018,"750,413","634,454","780,038","633,794","633,794","134,111",-,"12,133","145,584","81,438",-,"64,146",-,"115,959","11,608","104,707","123,123","21,906","92,159","9,058","8,439","18,416",-,-,"-1,352","-1,655",303,996,"-18,633","465,583","38,792","38,792","15,718","316,487","302,960","282,378","20,582","9,316","13,527","3,925","3,925","3,925","3,925","90,661",-,-,-,"266,197","52,651","196,434","213,546","213,546","213,546",-,-,"17,112","196,434",1.20,1.19,"163,048","165,498","615,821","213,546","213,546",-,"29,408","213,546",-,-,0,0
19,6/30/2018,"725,305","611,693","734,439","589,912","589,912","133,992",-,"10,535","122,746","62,027",-,"60,719",-,"113,612","9,612","99,695","118,504","23,147","86,531","8,826","9,547","18,809",-,-,"3,018","-1,027","4,045","1,287","-19,370","453,748","37,216","37,216","15,588","307,760","292,640","273,819","18,821","9,411","15,120","4,199","4,199","4,199","4,199","88,985",-,-,-,"252,187","42,406","197,618","209,781","209,781","209,781",-,-,"12,163","197,618",1.22,1.20,"162,152","165,013","592,323","209,781","209,781",-,"28,013","209,781",-,-,0,0
20,3/31/2018,"705,540","587,758","688,474","541,313","541,313","138,270",-,"8,891","100,716","50,387",-,"50,329",-,"117,782","9,477","97,336","112,656","20,518","81,606","10,532","7,397","15,320",-,-,"9,886","9,197",689,"1,083","-13,000","446,261","36,172","36,172","13,414","308,775","296,847","278,442","18,405","7,536","11,928","4,472","4,472","4,472","4,472","83,428",-,-,-,"246,279","47,196","186,861","199,083","199,083","199,083",-,-,"12,222","186,861",1.16,1.13,"161,752","164,839","574,758","199,083","199,083",-,"26,077","199,083",-,-,0,0
21,12/31/2017,"683,071","568,861","662,801","514,700","514,700","140,396",-,"7,705","93,940","46,120",-,"47,820",-,"114,210","9,836","100,508","116,595","21,101","86,120","9,374","8,198","16,087",-,-,"3,065",0,"3,065",801,"-17,042","429,456","35,620","35,620","15,976","287,810","270,637","253,009","17,628","7,993","17,173","4,746","4,746","4,746","4,746","85,304",-,-,-,"236,573","42,296","180,005","194,277","194,277","194,277",-,-,"14,272","180,005",-,-,-,-,"551,819","194,277","194,277",-,"27,890","194,277",-,-,0,0
22,9/30/2017,"654,901","550,953","637,167","497,162","497,162","132,948",-,"7,057","86,214","40,260",-,"45,954",0,"103,948","8,865","85,577","100,962","19,077","74,042","7,843","6,551","15,385",-,"6,551","3,167","1,204","1,963","6,339","-10,113","402,974","34,129","34,129","17,573","266,264","255,625","238,637","16,988","7,668","10,639","5,019","5,019","5,019","5,019","79,989",-,-,-,"241,814","41,805","185,737","200,009","200,009","200,009",-,-,"14,272","185,737",1.18,1.14,"157,752","162,377","540,840","200,009","200,009",-,"23,804","200,009",-,-,0,0
23,6/30/2017,"625,961","531,964","599,155","462,810","462,810","130,435",-,"5,910","67,191","26,355",-,"40,836",-,"93,997","9,538","83,545","98,920","19,688","72,267","6,965","7,081","15,375",-,-,239,-602,841,675,"-23,938","381,725","33,631","33,631","12,236","251,547","239,987","223,607","16,380","9,246","11,560","5,293","5,293","5,293","5,293","79,018",-,-,-,"220,298","33,698","172,256","186,600","186,600","186,600",-,-,"14,344","172,256",1.10,1.06,"157,302","162,335","508,026","186,600","186,600",-,"18,579","186,600",-,-,0,0
