,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 4/27/2023Current,653.63M,N/A,0.43,2.64,0.64,0.11,0.05,N/A,N/A
1,12/31/2022,22.30B,N/A,14.51,17.24,1.04,3.89,1.66,N/A,N/A
2,9/30/2022,23.88B,N/A,16.10,13.64,0.76,4.33,1.87,N/A,N/A
3,6/30/2022,25.96B,N/A,18.28,17.24,1.22,5.01,2.07,N/A,N/A
4,3/31/2022,29.12B,N/A,21.11,19.76,1.42,5.88,2.37,N/A,N/A
5,12/31/2021,37.06B,N/A,28.44,25.25,1.44,7.85,3.11,N/A,N/A
6,9/30/2021,34.58B,N/A,27.75,24.04,1.37,7.75,3.11,N/A,N/A
7,6/30/2021,33.08B,N/A,29.25,27.32,N/A,8.01,3.06,N/A,N/A
8,3/31/2021,29.40B,N/A,28.70,25.64,N/A,7.49,2.88,N/A,N/A
9,12/31/2020,25.58B,N/A,26.24,24.63,N/A,6.91,2.64,N/A,N/A
10,9/30/2020,18.78B,N/A,20.58,19.12,N/A,5.36,1.99,N/A,N/A
11,6/30/2020,18.24B,N/A,20.62,22.08,N/A,5.35,1.98,N/A,N/A
12,3/31/2020,14.10B,N/A,15.82,16.39,N/A,4.29,1.62,N/A,N/A
13,12/31/2019,19.80B,N/A,23.03,22.08,N/A,6.24,2.33,N/A,N/A
14,9/30/2019,16.29B,N/A,19.42,17.67,N/A,5.21,1.97,N/A,N/A
15,6/30/2019,16.33B,N/A,19.77,18.38,N/A,5.35,2.03,N/A,N/A
16,3/31/2019,16.80B,N/A,20.89,18.90,N/A,5.61,2.17,N/A,N/A
17,12/31/2018,14.33B,N/A,18.81,16.05,N/A,5.00,1.90,N/A,N/A
18,9/30/2018,15.62B,N/A,21.01,17.61,N/A,5.69,2.22,N/A,N/A
19,6/30/2018,15.68B,N/A,21.85,20.33,N/A,5.93,2.25,N/A,N/A
20,3/31/2018,14.98B,N/A,21.49,19.72,N/A,5.89,2.20,N/A,N/A
21,12/31/2017,13.91B,N/A,20.43,17.33,0.92,5.66,2.18,N/A,N/A
22,9/30/2017,16.48B,N/A,25.48,18.73,1.00,7.06,2.63,N/A,N/A
23,6/30/2017,15.78B,N/A,24.96,22.03,1.17,6.96,2.57,N/A,N/A
24,3/31/2017,14.74B,N/A,23.87,20.37,1.08,6.67,2.55,N/A,N/A
25,12/31/2016,13.81B,N/A,24.64,20.16,1.12,6.76,2.68,N/A,N/A
26,9/30/2016,11.55B,N/A,21.66,17.18,0.96,5.82,2.24,N/A,N/A
27,6/30/2016,10.48B,N/A,20.89,19.34,N/A,5.41,2.16,N/A,N/A
28,3/31/2016,9.75B,N/A,20.96,15.77,N/A,5.36,2.07,N/A,N/A
29,12/31/2015,9.65B,N/A,21.59,18.18,N/A,5.40,2.20,N/A,N/A
30,9/30/2015,8.94B,N/A,20.25,17.45,N/A,5.17,2.09,N/A,N/A
31,6/30/2015,8.97B,N/A,20.67,17.76,N/A,5.29,2.14,N/A,N/A
32,3/31/2015,8.11B,N/A,18.60,16.95,1.54,4.86,2.09,N/A,N/A
33,12/31/2014,7.21B,N/A,16.81,18.21,1.66,4.54,1.90,N/A,N/A
34,9/30/2014,6.82B,N/A,16.57,15.90,1.45,4.47,1.84,N/A,N/A
35,6/30/2014,7.59B,N/A,18.45,15.95,1.45,5.07,2.10,N/A,N/A
36,3/31/2014,7.42B,N/A,17.25,15.60,1.42,5.13,2.33,N/A,N/A
37,12/31/2013,6.95B,N/A,16.73,15.90,1.45,4.97,2.18,N/A,N/A
38,9/30/2013,6.16B,N/A,15.04,13.93,1.27,4.47,1.99,N/A,N/A
39,6/30/2013,5.06B,N/A,13.09,11.83,1.08,3.78,1.68,N/A,N/A
40,3/31/2013,5.07B,N/A,13.99,11.65,1.06,3.94,1.75,N/A,N/A
41,12/31/2012,4.30B,N/A,11.88,10.86,0.99,3.35,1.48,N/A,N/A
42,9/30/2012,4.50B,N/A,13.20,12.03,1.09,3.72,1.67,N/A,N/A
43,6/30/2012,4.38B,N/A,12.68,11.74,1.07,3.75,1.68,N/A,N/A
44,3/31/2012,4.26B,N/A,12.43,11.88,1.08,3.76,1.70,N/A,N/A
45,12/31/2011,3.96B,N/A,8.64,11.55,1.05,3.74,1.64,N/A,N/A
46,9/30/2011,2.99B,N/A,6.53,8.82,0.88,2.83,1.24,N/A,N/A
47,6/30/2011,4.16B,N/A,13.16,N/A,N/A,3.93,1.79,N/A,N/A
48,3/31/2011,3.98B,N/A,13.66,N/A,N/A,3.77,1.78,N/A,N/A
49,12/31/2010,3.75B,N/A,10.57,N/A,N/A,3.47,1.75,N/A,N/A
