,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"1,442,000,000","656,000,000","242,000,000",-,"242,000,000",-,-,"414,000,000","225,117,000","225,117,000","189,041,000",-,"432,000,000","301,000,000","131,000,000","46,343,000","13,180,000","766,000","59,413,000","179,000,000","179,000,000","4,594,000","37,818,000","22,146,000","50,402,000","69,869,000","5,543,000","136,000,000","136,000,000","11,579,000","19,246,000","31,436,000","31,436,000","-12,190,000","8,383,000","6,374,000","2,009,000","39,000,000","1,325,000,000","387,000,000","386,665,000","295,983,000","90,682,000","155,000,000","110,349,000","30,727,000","262,000,000","262,000,000","262,000,000","2,669,000","2,669,000","8,733,000","61,000,000","61,000,000",-,"1,718,000","61,000,000","191,000,000","54,735,000","247,000,000","247,000,000","2,154,000","7,250,000",-,"649,000","22,000,000","117,000,000","117,000,000","10,712,000","10,703,000","9,000","139,372,000","59,050,000","94,631,000","-3,010,000",-,-,"5,696,000",-,"364,000,000","10,703,000","117,000,000","2,154,000","117,000,000","308,000,000","117,000,000","308,000,000","66,000,000","917,815","334,919","159,998","582,896"
1,12/31/2021,"1,463,000,000","645,000,000","261,000,000",-,"261,000,000",-,-,"384,000,000","205,703,000","205,703,000","178,771,000",-,"464,000,000","375,000,000","89,000,000","4,699,000","25,000","593,000","63,960,000","158,000,000","158,000,000","7,859,000","53,452,000","55,882,000","38,551,000","6,391,000","3,573,000","161,000,000","161,000,000","9,519,000","20,386,000","30,566,000","30,566,000","-10,180,000","4,703,000","4,285,000","418,000","35,000,000","1,353,000,000","364,000,000","364,227,000","149,399,000","214,828,000","230,000,000","165,883,000","46,505,000","252,000,000","252,000,000","252,000,000","2,360,000","2,360,000","8,146,000","47,000,000","47,000,000",-,"6,730,000","47,000,000","181,000,000","51,953,000","254,000,000","254,000,000","2,288,000","10,867,000",-,"840,000","25,000,000","110,000,000","110,000,000","10,712,000","10,703,000","9,000","131,811,000","56,396,000","91,136,000","-2,068,000",-,-,"4,211,000",-,"364,000,000","10,703,000","110,000,000","2,288,000","110,000,000","301,000,000","110,000,000","301,000,000","40,000,000","906,430","333,573","159,998","572,857"
2,12/31/2020,"1,163,000,000","406,000,000","156,000,000",-,"156,000,000",-,-,"250,000,000","108,060,000","108,060,000","142,160,000",-,"483,000,000","394,000,000","89,000,000","4,800,000","526,000","366,000","69,581,000","116,000,000","116,000,000","2,799,000","47,529,000","41,116,000","24,787,000","3,758,000","3,874,000","121,000,000","121,000,000","7,056,000","25,427,000","35,547,000","35,547,000","-10,120,000","4,962,000","4,332,000","630,000","37,000,000","1,067,000,000","260,000,000","259,962,000","97,220,000","162,742,000","174,000,000","126,571,000","21,621,000","191,000,000","191,000,000","191,000,000","3,155,000","3,155,000","7,443,000","53,000,000","53,000,000",-,"6,085,000","53,000,000","154,000,000","58,591,000","213,000,000","213,000,000","2,283,000","7,930,000",-,-,"22,000,000","96,000,000","96,000,000","11,212,000","11,203,000","9,000","112,947,000","55,679,000","85,940,000","-1,434,000",-,-,"3,468,000",-,"309,000,000","11,203,000","96,000,000","2,283,000","96,000,000","266,000,000","96,000,000","266,000,000","110,000,000","901,692","344,089","266,998","557,603"
3,12/31/2019,"993,000,000","355,000,000","133,000,000",-,"133,000,000",-,-,"222,000,000","85,691,000","85,691,000","136,071,000",-,"419,000,000","355,000,000","64,000,000","5,825,000",-,"285,000","45,252,000","109,000,000","109,000,000","5,323,000","44,353,000","34,545,000","22,058,000","4,066,000","1,441,000","75,000,000","75,000,000","5,799,000","24,246,000","34,196,000","34,196,000","-9,950,000","4,837,000","4,196,000","641,000","35,000,000","903,000,000","190,000,000","190,019,000","72,814,000","117,205,000","152,000,000","117,756,000","14,985,000","175,000,000","175,000,000","175,000,000","2,947,000","2,947,000","7,636,000","48,000,000","48,000,000",-,-,"48,000,000","109,000,000","43,802,000","207,000,000","207,000,000","2,385,000","6,970,000",-,-,"22,000,000","90,000,000","90,000,000","11,212,000","11,203,000","9,000","106,465,000","54,883,000","84,006,000","-1,484,000",-,-,"3,195,000",-,"297,000,000","11,203,000","90,000,000","2,385,000","90,000,000","255,000,000","90,000,000","255,000,000","122,000,000","896,783","347,343","188,998","549,439"
4,12/31/2018,"933,000,000","406,000,000","130,000,000",-,"130,000,000",-,-,"276,000,000","139,258,000","139,258,000","135,285,000",-,"336,161,000",-,"336,161,000",-,-,-,-,"80,590,000","81,656,000",-,"37,283,000","21,755,000","18,725,000","3,893,000","1,066,000","496,000,000","336,000,000","160,000,000","18,317,000","27,397,000","27,397,000","-9,080,000","4,082,000","3,758,000","324,000","31,000,000","843,000,000","158,000,000","158,257,000","70,850,000","87,407,000","113,000,000","78,723,000","11,808,000","180,000,000","180,000,000","180,000,000","2,864,000","2,864,000","6,219,000","41,000,000","41,000,000",-,-,"41,000,000",-,-,"224,000,000","224,000,000",-,"6,956,000",-,-,"127,000,000","90,000,000","90,000,000","11,212,000","11,203,000","9,000","100,100,000","54,005,000","78,670,000","693,000",-,-,"2,845,000",-,"314,000,000","11,203,000","90,000,000",-,"90,000,000","265,000,000","90,000,000","265,000,000","135,000,000","891,356","367,742","194,998","523,614"
5,12/31/2017,"917,000,000","422,000,000","110,000,000",-,"110,000,000","312,000,000",-,"120,822,000","120,822,000","120,822,000","190,848,000",-,"315,988,000",-,"315,988,000",-,-,-,-,"65,933,000","66,736,000",-,"30,749,000","18,503,000","14,221,000","3,263,000","803,000","94,002,000","60,112,000","33,890,000","15,094,000","23,374,000","23,374,000","-8,280,000","4,038,000","3,665,000","373,000","495,000,000","835,000,000","139,000,000","138,604,000","69,764,000","68,840,000","84,718,000","124,000,000","14,793,000","187,653,000","182,220,000","178,000,000","4,051,000","4,051,000","5,433,000","61,818,000","61,818,000",-,-,"61,818,000",-,-,"227,598,000","227,598,000",-,"6,866,000",-,-,"808,000,000","82,000,000","82,000,000","11,862,000","11,853,000","9,000","91,519,000","53,357,000","75,392,000","-1,880,000",-,-,"2,777,000",-,"309,841,000","11,853,000","82,000,000",-,"82,000,000","359,806,000","82,000,000","289,416,000","179,365,000","884,593","374,809","220,998","509,784"
6,12/31/2016,"860,165,000","238,636,000","121,711,000",-,"121,711,000",-,-,"116,925,000","116,925,000","116,925,000","184,600,000",-,"295,952,000",-,"295,952,000",-,-,"219,000",-,"49,672,000","50,181,000",-,"24,837,000","13,828,000","8,626,000","2,890,000","509,000","74,921,000","47,780,000","27,141,000","12,070,000","19,750,000","19,750,000","-7,680,000","4,095,000","3,666,000","429,000",-,"773,272,000","124,098,000","124,098,000","73,174,000","50,924,000","71,816,000","71,816,000","7,524,000","194,469,000","190,249,000","188,455,000","1,794,000","1,794,000","4,220,000","52,383,000","52,383,000",-,-,"52,383,000",-,-,"198,075,000","198,075,000",-,"7,258,000",-,-,"117,649,000","86,893,000","86,893,000","11,212,000","11,203,000","9,000","89,039,000","52,638,000","68,694,000","-1,216,000",-,-,"3,914,000",-,"284,968,000","11,203,000","75,690,000",-,"82,798,000","326,148,000","71,595,000","250,458,000","128,747,000","873,608","392,632","254,998","480,976"
7,12/31/2015,"861,395,000","252,848,000","75,105,000",-,"75,105,000","56,838,000",-,"120,905,000","120,905,000","120,905,000","172,099,000",-,"293,940,000",-,"293,940,000",-,-,"258,000",-,"45,407,000","45,821,000",-,"20,740,000","13,961,000","7,587,000","3,533,000","414,000","82,739,000","46,430,000","36,309,000","9,956,000","17,726,000","17,726,000","-7,770,000","4,148,000","3,657,000","491,000",-,"774,667,000","97,519,000","97,519,000","47,353,000","50,166,000","86,069,000","86,069,000","3,614,000","219,997,000","211,642,000","210,362,000","1,280,000","1,280,000","8,355,000","57,020,000","57,020,000",-,"208,000","56,812,000",-,-,"186,443,000","186,443,000",-,"8,298,000",-,-,"115,707,000","86,728,000","86,728,000","11,209,000","11,200,000","9,000","83,386,000","51,340,000","62,640,000","-718,000",-,-,"4,151,000",-,"273,171,000","11,200,000","75,528,000",-,"82,580,000","318,991,000","71,380,000","243,463,000","168,358,000","863,977","419,481","225,998","444,496"
8,12/31/2014,"856,240,000","237,254,000","57,600,000",-,"57,600,000","51,716,000",-,"127,938,000","127,938,000","127,938,000","160,722,000",-,"312,248,000",-,"312,248,000",-,-,"360,000",-,"28,938,000","29,166,000",-,"15,044,000","11,289,000","1,705,000","1,128,000","228,000","103,214,000","63,808,000","39,406,000","9,344,000","18,324,000","18,324,000","-8,980,000","4,160,000","3,645,000","515,000",-,"773,443,000","83,008,000","83,008,000","41,409,000","41,599,000","88,215,000","88,215,000","5,570,000","219,856,000","215,105,000","213,572,000","1,533,000","1,533,000","4,751,000","60,100,000","60,100,000","338,000","617,000","59,145,000",-,-,"175,663,000","175,663,000",-,"8,544,000",-,-,"132,487,000","82,797,000","82,797,000","9,209,000","9,200,000","9,000","78,984,000","50,049,000","58,468,000","-743,000",-,-,"3,766,000",-,"258,460,000","9,200,000","73,597,000",-,"78,637,000","309,360,000","69,437,000","235,763,000","178,163,000","852,785","430,259","225,998","422,526"
9,12/31/2013,"911,507,000","272,536,000","61,133,000",-,"61,133,000","49,671,000",-,"161,732,000","161,732,000","161,732,000","164,566,000",-,"339,121,000",-,"339,121,000",-,-,"417,000",-,-,-,-,-,-,-,-,-,"121,295,000","88,935,000","32,360,000","9,196,000","18,236,000","18,236,000","-9,040,000","4,376,000","3,705,000","671,000",-,"833,040,000","70,807,000",-,-,-,"164,782,000","164,782,000","18,745,000","211,922,000","206,739,000","204,765,000","1,974,000","1,974,000","5,183,000","61,982,000","61,982,000","292,000","1,011,000","60,679,000",-,-,"168,966,000","168,966,000",-,"8,084,000",-,-,"127,752,000","78,467,000","78,467,000","7,208,000","7,200,000","8,000","71,961,000","48,998,000","53,015,000","-524,000",-,-,"3,839,000",-,"247,433,000","7,200,000","71,267,000",-,"74,091,000","302,215,000","66,891,000","230,948,000","169,815,000","837,219","446,359","197,998","390,860"
