,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"1,538,000,000","634,000,000","229,000,000",-,"229,000,000",-,-,"405,000,000","202,151,000","202,151,000","203,177,000",-,"539,000,000","407,000,000","132,000,000","47,124,000","20,952,000","740,000","50,120,000","178,000,000","178,000,000","5,864,000","38,246,000","18,843,000","49,934,000","70,219,000","5,032,000","145,000,000","145,000,000","14,789,000","18,609,000","31,489,000","31,489,000","-12,880,000","8,404,000","6,439,000","1,965,000",-,-,"42,000,000","1,421,000,000","375,000,000","375,531,000","290,048,000","85,483,000","263,000,000","197,387,000","46,319,000","266,000,000","266,000,000","266,000,000","2,681,000","2,681,000","8,123,000","65,000,000","65,000,000",-,"3,207,000","65,000,000","194,000,000","52,042,000","241,000,000","241,000,000","2,129,000","3,708,000",-,"621,000","17,000,000","117,000,000","117,000,000","10,712,000","10,703,000","9,000","141,591,000","60,143,000","97,159,000","-2,601,000",-,-,"4,823,000",-,"358,000,000","10,703,000","117,000,000","2,129,000","117,000,000","306,000,000","117,000,000","306,000,000","77,000,000","922,693","332,884","159,998","589,809"
1,12/31/2022,"1,442,000,000","656,000,000","242,000,000",-,"242,000,000",-,-,"414,000,000","225,117,000","225,117,000","189,041,000",-,"432,000,000","301,000,000","131,000,000","46,343,000","13,180,000","766,000","59,413,000","179,000,000","179,000,000","4,594,000","37,818,000","22,146,000","50,402,000","69,869,000","5,543,000","136,000,000","136,000,000","11,579,000","19,246,000","31,436,000","31,436,000","-12,190,000","8,383,000","6,374,000","2,009,000",-,-,"39,000,000","1,325,000,000","387,000,000","386,665,000","295,983,000","90,682,000","155,000,000","110,349,000","30,727,000","262,000,000","262,000,000","262,000,000","2,669,000","2,669,000","8,733,000","61,000,000","61,000,000",-,"1,718,000","61,000,000","191,000,000","54,735,000","247,000,000","247,000,000","2,154,000","7,250,000",-,"649,000","22,000,000","117,000,000","117,000,000","10,712,000","10,703,000","9,000","139,372,000","59,050,000","94,631,000","-3,010,000",-,-,"5,696,000",-,"364,000,000","10,703,000","117,000,000","2,154,000","117,000,000","308,000,000","117,000,000","308,000,000","66,000,000","917,815","334,919","159,998","582,896"
2,9/30/2022,"1,557,000,000","664,000,000","284,000,000",-,"284,000,000",-,-,"380,000,000","182,502,000","182,502,000","196,968,000",-,"511,000,000","384,000,000","127,000,000","42,629,000","8,215,000","834,000","80,121,000","177,000,000","177,000,000","6,800,000","59,275,000","68,949,000","37,832,000","8,659,000","4,846,000","166,000,000","166,000,000","11,760,000","19,234,000","31,104,000","31,104,000","-11,870,000","8,251,000","6,288,000","1,963,000",-,-,"39,000,000","1,438,000,000","395,000,000","394,733,000","173,693,000","221,040,000","219,000,000","159,690,000","43,822,000","279,000,000","279,000,000","279,000,000","3,274,000","3,274,000","8,479,000","52,000,000","52,000,000",-,"5,152,000","52,000,000","232,000,000","70,769,000","240,000,000","240,000,000","2,057,000","6,245,000",-,"824,000","21,000,000","119,000,000","119,000,000","10,712,000","10,703,000","9,000","139,067,000","59,031,000","93,127,000","-1,872,000",-,-,"5,479,000",-,"359,000,000","10,703,000","119,000,000","2,057,000","119,000,000","292,000,000","119,000,000","292,000,000","8,000,000","917,805","339,103","159,998","578,702"
3,6/30/2022,"1,601,000,000","736,000,000","288,000,000",-,"288,000,000",-,-,"448,000,000","239,017,000","239,017,000","208,667,000",-,"487,000,000","372,000,000","115,000,000","32,002,000","4,991,000","753,000","76,314,000","176,000,000","176,000,000","7,046,000","59,376,000","64,705,000","41,056,000","8,317,000","4,562,000","163,000,000","163,000,000","10,159,000","20,705,000","32,255,000","32,255,000","-11,550,000","8,210,000","6,196,000","2,014,000",-,-,"39,000,000","1,483,000,000","391,000,000","391,326,000","154,981,000","236,345,000","228,000,000","172,894,000","38,254,000","280,000,000","280,000,000","280,000,000","3,223,000","3,223,000","9,054,000","58,000,000","58,000,000",-,"10,091,000","58,000,000","255,000,000","63,779,000","251,000,000","251,000,000","2,160,000","5,092,000",-,"844,000","20,000,000","118,000,000","118,000,000","10,712,000","10,703,000","9,000","136,998,000","58,993,000","92,123,000","-1,954,000",-,-,"5,245,000",-,"369,000,000","10,703,000","118,000,000","2,160,000","118,000,000","309,000,000","118,000,000","309,000,000","21,000,000","917,639","341,963",159.998,"575,676"
4,3/31/2022,"1,589,000,000","727,000,000","274,000,000",-,"274,000,000",-,-,"453,000,000","262,060,000","262,060,000","191,356,000",-,"484,000,000","392,000,000","92,000,000","10,586,000","897,000","669,000","82,951,000","166,000,000","166,000,000","7,116,000","56,910,000","59,698,000","38,660,000","7,217,000","4,086,000","175,000,000","175,000,000","10,066,000","20,625,000","31,825,000","31,825,000","-11,200,000","6,481,000","5,272,000","1,209,000",-,-,"37,000,000","1,474,000,000","387,000,000","386,808,000","158,611,000","228,197,000","227,000,000","164,569,000","43,775,000","293,000,000","293,000,000","293,000,000","2,686,000","2,686,000","7,971,000","58,000,000","58,000,000",-,"9,264,000","58,000,000","233,000,000","63,226,000","258,000,000","258,000,000","2,261,000","4,041,000",-,"903,000","18,000,000","115,000,000","115,000,000","10,712,000","10,703,000","9,000","134,931,000","58,938,000","91,623,000","-2,684,000",-,-,"4,965,000",-,"373,000,000","10,703,000","115,000,000","2,261,000","115,000,000","316,000,000","115,000,000","316,000,000","42,000,000","917,527","343,396","159,998","574,131"
5,12/31/2021,"1,463,000,000","645,000,000","261,000,000",-,"261,000,000",-,-,"384,000,000","205,703,000","205,703,000","178,771,000",-,"464,000,000","375,000,000","89,000,000","4,699,000","25,000","593,000","63,960,000","158,000,000","158,000,000","7,859,000","53,452,000","55,882,000","38,551,000","6,391,000","3,573,000","161,000,000","161,000,000","9,519,000","20,386,000","30,566,000","30,566,000","-10,180,000","4,703,000","4,285,000","418,000",-,-,"35,000,000","1,353,000,000","364,000,000","364,227,000","149,399,000","214,828,000","230,000,000","165,883,000","46,505,000","252,000,000","252,000,000","252,000,000","2,360,000","2,360,000","8,146,000","47,000,000","47,000,000",-,"6,730,000","47,000,000","181,000,000","51,953,000","254,000,000","254,000,000","2,288,000","10,867,000",-,"840,000","25,000,000","110,000,000","110,000,000","10,712,000","10,703,000","9,000","131,811,000","56,396,000","91,136,000","-2,068,000",-,-,"4,211,000",-,"364,000,000","10,703,000","110,000,000","2,288,000","110,000,000","301,000,000","110,000,000","301,000,000","40,000,000","906,430","333,573","159,998","572,857"
6,9/30/2021,"1,443,000,000","612,000,000","212,000,000",-,"212,000,000",-,-,"400,000,000","213,062,000","213,062,000","186,671,000",-,"480,000,000","393,000,000","87,000,000","5,205,000",-,"534,000","71,583,000","143,000,000","143,000,000","5,494,000","51,963,000","51,475,000","32,254,000","5,770,000","3,332,000","172,000,000","172,000,000","11,275,000","20,459,000","20,459,000","20,459,000","-10,730,000","4,823,000","4,326,000","497,000",-,-,"36,000,000","1,337,000,000","333,000,000","333,038,000","129,767,000","203,271,000","229,000,000","167,339,000","41,534,000","252,000,000","252,000,000","252,000,000","3,058,000","3,058,000","9,994,000","49,000,000","49,000,000",-,"4,752,000","49,000,000","204,000,000","53,506,000","243,000,000","243,000,000","2,283,000","10,245,000",-,-,"27,000,000","106,000,000","106,000,000","9,962,000","9,953,000","9,000","128,631,000","56,398,000","90,634,000","-1,956,000",-,-,"3,896,000",-,"349,000,000","9,953,000","106,000,000","2,283,000","106,000,000","292,000,000","106,000,000","292,000,000","80,000,000","906,430","334,793","159,998","571,637"
7,6/30/2021,"1,388,000,000","590,000,000","240,000,000",-,"240,000,000",-,-,"350,000,000","154,123,000","154,123,000","196,254,000",-,"467,000,000","376,000,000","91,000,000","4,759,000","526,000","446,000","66,352,000","131,000,000","131,000,000","1,981,000","46,939,000","48,422,000","31,111,000","5,355,000","3,271,000","162,000,000","162,000,000","9,986,000","23,140,000","33,720,000","33,720,000","-10,580,000","4,855,000","4,332,000","523,000",-,-,"38,000,000","1,286,000,000","306,000,000","306,142,000","113,790,000","192,352,000","217,000,000","151,692,000","38,157,000","239,000,000","239,000,000","239,000,000","3,166,000","3,166,000","7,573,000","62,000,000","62,000,000",-,"10,710,000","62,000,000","199,000,000","48,694,000","239,000,000","239,000,000","2,291,000","9,287,000",-,-,"24,000,000","102,000,000","102,000,000","9,212,000","9,203,000","9,000","124,051,000","56,390,000","89,633,000","-1,889,000",-,-,"3,759,000",-,"341,000,000","9,203,000","102,000,000","2,291,000","102,000,000","301,000,000","102,000,000","301,000,000","61,000,000","906,380","337,276","159,998","569,104"
8,3/31/2021,"1,302,000,000","515,000,000","191,000,000",-,"191,000,000",-,-,"324,000,000","146,084,000","146,084,000","178,245,000",-,"463,000,000","375,000,000","88,000,000","4,761,000","529,000","387,000","69,543,000","121,000,000","121,000,000","3,179,000","46,508,000","43,359,000","27,607,000","4,123,000","3,515,000","165,000,000","165,000,000","8,247,000","24,757,000","35,057,000","35,057,000","-10,300,000","4,907,000","4,332,000","575,000",-,-,"38,000,000","1,204,000,000","286,000,000","286,018,000","104,896,000","181,122,000","193,000,000","130,607,000","34,345,000","224,000,000","224,000,000","224,000,000","4,278,000","4,278,000","8,164,000","58,000,000","58,000,000",-,"8,209,000","58,000,000","201,000,000","50,222,000","219,000,000","219,000,000","2,319,000","6,170,000",-,-,"23,000,000","98,000,000","98,000,000","9,212,000","9,203,000","9,000","119,210,000","56,340,000","88,632,000","-2,074,000",-,-,"3,608,000",-,"317,000,000","9,203,000","98,000,000","2,319,000","98,000,000","277,000,000","98,000,000","277,000,000","86,000,000","906,271","340,018","186,998","566,252"
9,12/31/2020,"1,163,000,000","406,000,000","156,000,000",-,"156,000,000",-,-,"250,000,000","108,060,000","108,060,000","142,160,000",-,"483,000,000","394,000,000","89,000,000","4,800,000","526,000","366,000","69,581,000","116,000,000","116,000,000","2,799,000","47,529,000","41,116,000","24,787,000","3,758,000","3,874,000","121,000,000","121,000,000","7,056,000","25,427,000","35,547,000","35,547,000","-10,120,000","4,962,000","4,332,000","630,000",-,-,"37,000,000","1,067,000,000","260,000,000","259,962,000","97,220,000","162,742,000","174,000,000","126,571,000","21,621,000","191,000,000","191,000,000","191,000,000","3,155,000","3,155,000","7,443,000","53,000,000","53,000,000",-,"6,085,000","53,000,000","154,000,000","58,591,000","213,000,000","213,000,000","2,283,000","7,930,000",-,-,"22,000,000","96,000,000","96,000,000","11,212,000","11,203,000","9,000","112,947,000","55,679,000","85,940,000","-1,434,000",-,-,"3,468,000",-,"309,000,000","11,203,000","96,000,000","2,283,000","96,000,000","266,000,000","96,000,000","266,000,000","110,000,000","901,692","344,089","266,998","557,603"
