,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"8,708,000","8,708,000","11,261,000",-,-,-,"2,455,000","2,455,000",-,-,-,"-2,412,000","-2,412,000",-,"4,083,000","2,715,000","-9,394,000",-,-,-,-,"-97,835,000",-,-,"88,441,000","-75,960,000","-75,960,000","-47,575,000","-60,536,000","12,961,000","-25,228,000",-,"-1,042,000","-3,748,000","2,706,000","-2,115,000","-2,115,000",-,"59,602,000","59,602,000","38,147,000","40,109,000","86,322,000","-46,213,000","-1,962,000",-,"-3,500,000",-,"-3,500,000",0,0,0,"-3,682,000",-,-,"563,000","241,825,000","-7,650,000","-11,561,000","261,036,000","4,555,000","19,022,000","-3,748,000",0,"86,322,000","-46,213,000","-3,500,000","4,960,000"
1,12/31/2022,"8,708,000","8,708,000","11,261,000",-,-,-,"2,455,000","2,455,000",-,-,-,"-2,412,000","-2,412,000",-,"4,083,000","2,715,000","-9,394,000",-,-,-,-,"-97,835,000",-,-,"88,441,000","-75,960,000","-75,960,000","-47,575,000","-60,536,000","12,961,000","-25,228,000",-,"-1,042,000","-3,748,000","2,706,000","-2,115,000","-2,115,000",-,"59,602,000","59,602,000","38,147,000","40,109,000","86,322,000","-46,213,000","-1,962,000",-,"-3,500,000",-,"-3,500,000",0,0,0,"-3,682,000",-,-,"563,000","241,825,000","-7,650,000","-11,561,000","261,036,000","4,555,000","19,022,000","-3,748,000",0,"86,322,000","-46,213,000","-3,500,000","4,960,000"
2,12/31/2021,"921,000","921,000","21,635,000",-,-,-,"2,015,000","2,015,000",-,-,-,"5,000","5,000",-,"2,348,000","357,000","-25,439,000",-,-,-,-,"-75,614,000",-,-,"50,175,000","-30,465,000","-30,465,000","5,789,000","-39,912,000","45,701,000","-35,520,000",-,"-734,000","-4,667,000","3,933,000",0,0,-,"134,738,000","134,738,000","39,131,000","38,314,000","97,512,000","-59,198,000","817,000",-,"-5,200,000",-,"-5,200,000","-503,000","2,172,000","-2,675,000","-2,725,000",-,-,"497,000","261,036,000","105,194,000",-,"155,842,000","6,195,000","5,521,000","-4,667,000","2,172,000","97,512,000","-59,198,000","-7,875,000","-3,746,000"
3,12/31/2020,"-13,728,000","-13,728,000","9,459,000","-1,000",-,-,"1,902,000","1,902,000",-,-,-,"-833,000","-833,000",-,"1,920,000","3,098,000","-29,273,000",-,-,-,-,"-11,187,000",-,-,"-18,086,000","-34,356,000","-34,356,000","-19,613,000","-48,670,000","29,057,000","-11,173,000","-11,173,000","-3,339,000","-6,309,000","2,970,000","-231,000","-231,000",-,"70,380,000","70,380,000","6,703,000","-3,865,000","55,323,000","-59,188,000","10,568,000",-,"-1,928,000",0,"-1,928,000","-1,000","349,000","-350,000","-2,336,000","-2,336,000",-,"599,000","155,842,000","22,296,000",-,"133,546,000","2,754,000","9,091,000","-6,309,000","349,000","55,323,000","-59,188,000","-2,278,000","-20,037,000"
4,12/31/2019,"23,868,000","23,868,000","8,466,000","-20,000",-,-,"1,704,000","1,704,000",-,-,-,"-334,000","-334,000",-,"2,018,000","1,065,000","10,969,000",-,-,-,-,"93,533,000",-,-,"-82,564,000","-24,236,000","-24,236,000","-11,961,000","-29,773,000","17,812,000","-9,661,000","-9,661,000","-1,811,000","-8,443,000","6,632,000","-803,000","-803,000",-,"3,367,000","3,367,000","-24,008,000","-21,972,000","29,638,000","-51,610,000","-2,036,000",-,"-5,335,000",0,"-5,335,000","-2,000","1,098,000","-1,100,000","-2,104,000","-2,104,000",-,"3,602,000","133,546,000","2,999,000",-,"130,547,000","1,266,000","18,645,000","-8,443,000","1,098,000","29,638,000","-51,610,000","-6,435,000","15,425,000"
5,12/31/2018,"20,421,000","20,421,000","10,459,000","-160,000",-,-,"1,328,000","1,328,000",-,-,-,"-2,645,000","-2,645,000",-,"1,831,000","674,000","8,934,000",-,-,-,-,"28,147,000",-,-,"-19,213,000","-22,677,000","-22,677,000","-3,379,000","-3,790,000","411,000","-14,865,000","-14,865,000","-4,271,000","-7,982,000","3,711,000","-162,000",-,-,"22,752,000","22,752,000","7,121,000","4,198,000","50,923,000","-46,725,000","2,923,000",-,"-3,256,000","38,000","-3,294,000","-685,000",0,"-685,000","-1,810,000","-1,810,000",-,"1,176,000","130,547,000","20,496,000",-,"110,051,000","1,270,000","16,720,000","-7,982,000","38,000","50,923,000","-46,725,000","-3,979,000","12,439,000"
6,12/31/2017,"-17,742,000","-17,742,000","4,286,000","-114,000",-,-,"1,152,000","1,152,000",-,-,-,"5,458,000","5,458,000",-,"1,769,000",-,"-30,293,000","-30,082,000",-,-,-,"10,025,000",-,-,"-10,236,000","-29,116,000","-29,116,000","-6,966,000","-9,853,000","2,887,000","-17,156,000","-17,156,000","-2,611,000","-3,185,000","574,000","-2,383,000",-,-,"35,198,000","35,198,000","29,360,000","30,266,000","65,748,000","-35,482,000","-906,000",-,"-6,765,000","7,000","-6,772,000","408,000","1,495,000","-1,087,000","-1,769,000","-1,769,000",-,"-542,000","110,051,000","-11,660,000",-,"121,711,000","1,420,000","11,170,000","-3,185,000","1,502,000","65,748,000","-35,482,000","-7,859,000","-20,927,000"
7,12/31/2016,"5,570,000","5,570,000","7,398,000","3,000",-,-,"998,000","998,000",-,-,-,"551,000","551,000",-,"2,111,000",-,"-5,491,000","-15,813,000",-,-,-,"78,000",-,-,"10,244,000","9,270,000","9,270,000","1,512,000",-,"1,512,000","-4,669,000","-4,669,000","-2,495,000","-2,876,000","381,000","14,922,000",-,-,"13,432,000","13,432,000","8,703,000","11,017,000","54,949,000","-43,932,000","-2,314,000",-,"-6,072,000","6,000","-6,078,000","132,000","1,303,000","-1,171,000","-1,706,000","-1,706,000",-,"2,317,000","121,711,000","28,272,000",-,"93,439,000","1,060,000","7,140,000","-2,876,000","1,309,000","54,949,000","-43,932,000","-7,249,000","2,694,000"
8,12/31/2015,"6,961,000","6,961,000","6,083,000","-34,000",-,-,"991,000","991,000",-,-,-,"425,000","425,000",-,"2,272,000",-,"-2,776,000","19,132,000",-,-,-,"-9,005,000","-5,123,000",-,"-7,780,000","-18,574,000","-18,574,000","1,019,000",-,"1,019,000","-16,180,000","-16,180,000","-1,605,000","-1,833,000","228,000","-1,808,000","-1,808,000",-,"29,118,000","29,118,000","17,685,000","18,921,000","54,944,000","-36,023,000","-1,236,000",-,"-3,876,000","259,000","-4,135,000","1,993,000","1,993,000",-,"-1,681,000","-1,681,000",-,"358,000","75,105,000","17,505,000",-,"57,600,000","2,650,000","4,820,000","-1,833,000","2,252,000","54,944,000","-36,023,000","-4,135,000","5,128,000"
9,12/31/2014,"-7,623,000","-7,623,000","8,477,000","-289,000",0,0,"1,337,000","1,337,000",-,-,-,"495,000","495,000",-,"2,085,000",-,"-19,728,000","12,328,000",-,-,-,"-52,104,000","-2,046,000",-,"22,094,000","-14,909,000","-14,909,000","1,514,000",0,"1,514,000","-14,043,000","-14,043,000","-648,000","-678,000","30,000","-1,732,000","-1,732,000",-,"18,999,000","18,999,000","10,194,000","9,372,000","46,757,000","-37,385,000","822,000",-,"-5,346,000","123,000","-5,469,000","1,980,000","1,980,000",-,"-1,454,000","-1,454,000",-,"1,424,000","57,600,000","-3,533,000",-,"61,133,000","3,050,000","6,430,000","-678,000","2,103,000","46,757,000","-37,385,000","-5,469,000","-8,301,000"
