,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"8,708,000","8,708,000","11,261,000",-,"2,455,000","2,455,000",-,-,-,"-2,412,000","-2,412,000",-,"4,083,000","2,715,000","-9,394,000",-,-,-,-,"-97,835,000",-,-,"88,441,000","-75,960,000","-75,960,000","-47,575,000","-60,536,000","12,961,000","-25,228,000",-,"-1,042,000","-3,748,000","2,706,000","-2,115,000","-2,115,000",-,"59,602,000","59,602,000","38,147,000","40,109,000","86,322,000","-46,213,000","-1,962,000",-,-,"-3,500,000",-,"-3,500,000",0,0,0,"-3,682,000",-,-,"563,000","241,825,000","-7,650,000","-11,561,000","261,036,000","4,555,000","19,022,000","-3,748,000",0,"86,322,000","-46,213,000","-3,500,000","4,960,000"
1,3/31/2023,"9,404,000","9,404,000","3,234,000",-,"970,000","970,000",-,-,-,-,-,-,"1,541,000","-171,000","3,830,000",-,-,-,-,"112,696,000",-,-,"-108,866,000","-1,978,000","-1,978,000","-2,295,000","-10,461,000","8,166,000","497,000","497,000","-180,000","-597,000","417,000",0,-,-,"-20,544,000","-20,544,000","-5,257,000","-13,135,000","8,876,000","-22,011,000","7,878,000",-,-,"-2,546,000",-,"-2,546,000",-,-,-,"-1,013,000",-,-,"-286,000","229,327,000","-13,118,000","620,000","241,825,000","459,000","13,082,000","-597,000",-,"8,876,000","-22,011,000","-2,546,000","8,807,000"
2,12/31/2022,"-14,997,000","-14,997,000","1,326,000",-,"727,000","727,000",-,-,-,-,-,-,"272,000","972,000","-15,882,000",-,-,-,-,"-96,004,000",-,-,"80,122,000","-6,292,000","-6,292,000","-2,666,000","-7,547,000","4,881,000","-4,304,000",-,"680,000","-754,000","1,434,000","-2,000","-2,000",-,"-9,576,000","-9,576,000","3,997,000","6,995,000","15,203,000","-8,208,000","-2,998,000",-,-,"-1,500,000",-,"-1,500,000",0,0,0,"-1,013,000",-,-,"40,000","241,825,000","-30,865,000",-,"284,251,000","1,509,000","9,140,000","-754,000",0,"12,752,000","-6,793,000","-1,500,000","-15,751,000"
3,9/30/2022,"8,183,000","8,183,000","3,069,000",-,"666,000","666,000",-,-,-,-,-,-,"300,000","515,000","3,633,000",-,-,-,-,"59,575,000",-,-,"-55,942,000","-14,159,000","-14,159,000","-13,371,000","-16,487,000","3,116,000","152,000","152,000","-657,000","-990,000","333,000","-283,000",-,-,"1,621,000","1,621,000","-3,136,000","4,356,000","16,649,000","-12,293,000","-7,492,000",-,-,"-1,000,000",-,"-1,000,000",0,0,0,"-997,000",-,-,"386,000","284,251,000","-4,355,000",-,"288,606,000","1,446,000","6,144,000","-990,000",0,"19,100,000","-13,708,000","-1,000,000","7,193,000"
4,6/30/2022,"38,474,000","38,474,000","2,927,000",-,"570,000","570,000",-,-,-,-,-,-,"383,000","667,000","33,927,000",-,-,-,-,"8,878,000",-,-,"25,049,000","-38,488,000","-38,488,000","-25,127,000","-27,722,000","2,595,000","-11,004,000","-11,004,000","-540,000","-1,051,000","511,000","-1,817,000",-,-,"14,456,000","14,456,000","7,271,000","7,487,000","16,999,000","-9,512,000","-216,000",-,-,"-500,000",-,"-500,000",0,-,0,"-857,000",-,-,"342,000","288,606,000","14,442,000",-,"274,164,000","1,165,000","2,439,000","-1,051,000",-,"16,999,000","-9,512,000","-500,000","37,423,000"
5,3/31/2022,"-22,952,000","-22,952,000","3,939,000",-,"492,000","492,000",-,-,-,-,-,-,"3,128,000","561,000","-31,072,000",-,-,-,-,"-70,284,000",-,-,"39,212,000","-17,021,000","-17,021,000","-6,411,000","-8,780,000","2,369,000","-10,072,000","-10,072,000","-525,000","-953,000","428,000","-13,000",-,-,"53,101,000","53,101,000","30,015,000","21,271,000","37,471,000","-16,200,000","8,744,000",-,-,"-500,000",-,"-500,000",0,-,0,"-815,000",-,-,"-205,000","274,164,000","13,128,000",-,"261,036,000","435,000","1,299,000","-953,000",-,"37,471,000","-16,200,000","-500,000","-23,905,000"
6,12/31/2021,"24,897,000","24,897,000","3,935,000",-,"488,000","488,000",-,-,-,-,-,-,"207,000","344,000","19,918,000",-,-,-,-,"14,998,000",-,-,"4,920,000","-13,938,000","-13,938,000","-2,340,000","-7,914,000","5,574,000","-11,301,000",-,"-297,000","-1,119,000","822,000",0,0,-,"38,247,000","38,247,000","9,257,000","9,147,000","25,053,000","-15,906,000","110,000",-,-,"-500,000",-,"-500,000","749,000","749,000",0,"-822,000",-,-,"637,000","261,036,000","49,206,000",-,"211,830,000","1,426,000","1,127,000","-1,119,000","749,000","25,053,000","-15,906,000","-500,000","23,778,000"
7,9/30/2021,"-39,260,000","-39,260,000","5,378,000",-,"509,000","509,000",-,-,-,-,-,-,"180,000","175,000","-45,502,000",-,-,-,-,"-32,547,000",-,-,"-12,955,000","-4,819,000","-4,819,000","4,276,000","-12,282,000","16,558,000","-10,588,000","-10,588,000","1,493,000","-883,000","2,376,000",-,-,-,"15,620,000","15,620,000","-11,771,000","-1,973,000","16,683,000","-18,656,000","-9,798,000",-,-,"-1,000,000",-,"-1,000,000","748,000","748,000",0,"-792,000",-,-,"157,000","211,830,000","-28,459,000",-,"240,289,000","1,470,000","1,371,000","-883,000","748,000","16,683,000","-18,656,000","-1,000,000","-40,143,000"
8,6/30/2021,"20,467,000","20,467,000","5,486,000",-,"520,000","520,000",-,-,-,-,-,-,"202,000","-92,000","14,351,000",-,-,-,-,"-60,000",-,-,"14,411,000","-9,221,000","-9,221,000","1,382,000","-6,868,000","8,250,000","-9,793,000","-9,793,000","-810,000","-1,353,000","543,000",-,-,-,"37,888,000","37,888,000","19,672,000","15,510,000","27,655,000","-12,145,000","4,162,000",-,-,"-1,000,000",-,"-1,000,000",0,"675,000","-675,000","-560,000",-,-,"-36,000","240,289,000","49,134,000",-,"191,155,000","2,744,000","1,127,000","-1,353,000","675,000","27,655,000","-12,145,000","-1,675,000","19,114,000"
9,3/31/2021,"-5,183,000","-5,183,000","6,836,000",-,"498,000","498,000",-,-,-,-,-,-,"1,759,000","-70,000","-14,206,000",-,-,-,-,"-58,005,000",-,-,"43,799,000","-2,487,000","-2,487,000","2,471,000","-12,848,000","15,319,000","-3,838,000","-3,838,000","-1,120,000","-1,312,000","192,000",-,-,-,"42,983,000","42,983,000","21,973,000","15,630,000","28,121,000","-12,491,000","6,343,000",-,-,"-2,700,000",-,"-2,700,000","-2,000,000",0,"-2,000,000","-551,000",-,-,"-261,000","191,155,000","35,313,000",-,"155,842,000","555,000","1,896,000","-1,312,000",0,"28,121,000","-12,491,000","-4,700,000","-6,495,000"
