,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Trust Fees by Commissions,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Loss on Extinguishment of Debt,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"47,365,000","7,678,000","29,024,000","9,059,000","9,059,000","7,286,000","3,233,000","4,468,000","4,978,000","21,346,000","5,823,000","541,000","5,716,000","2,808,000","6,458,000","39,687,000","13,039,000","13,039,000","9,005,000","4,034,000",-,"7,360,000","7,626,000","11,662,000",0,0,-,"-2,715,000","30,274,000","1,026,000","1,026,000","1,887,000","15,960,000","15,148,000","15,148,000",-,-,"812,000","2,455,000","2,455,000","8,946,000","-890,000",-,-,"314,000",-,0,"576,000","13,486,000","2,225,000","10,764,000","11,261,000","11,261,000","11,261,000","497,000","10,764,000",-,-,-,-,"4,963,000","11,261,000","12,004,150","7,701,000","2,455,000","11,261,000","-890,000","-890,000",0,"-146,850"
1,12/31/2022,"47,365,000","7,678,000","29,024,000","9,059,000","9,059,000","7,286,000","3,233,000","4,468,000","4,978,000","21,346,000","5,823,000","541,000","5,716,000","2,808,000","6,458,000","39,687,000","13,039,000","13,039,000","9,005,000","4,034,000",-,"7,360,000","19,288,000","11,662,000",0,0,-,"-2,715,000","31,164,000","1,026,000","1,026,000","1,887,000","15,960,000","15,148,000","15,148,000",-,-,"812,000","2,455,000","2,455,000","9,836,000","-890,000",-,-,"314,000",-,0,"576,000","13,486,000","2,225,000","10,764,000","11,261,000","11,261,000","11,261,000","497,000","10,764,000",30.42,30.06,"352,100","358,100","4,963,000","11,261,000","11,261,000","7,701,000","2,455,000","11,261,000","-890,000","-890,000",0,0
2,12/31/2021,"59,339,000","6,470,000","12,120,000","5,319,000","5,319,000","6,305,000","-24,000","-980,000","1,500,000","5,650,000","1,303,000","527,000","3,231,000",0,"589,000","52,869,000","11,678,000","11,678,000","8,059,000","3,619,000",-,"14,168,000","27,023,000","5,627,000",0,0,"11,671,000","-357,000","31,404,000","981,000","981,000","1,648,000","18,272,000","17,719,000","17,719,000",-,-,"553,000","2,015,000","2,015,000","8,488,000","-534,000",-,-,"143,000",-,0,"534,000","27,044,000","5,409,000","21,151,000","21,635,000","21,635,000","21,635,000","484,000","21,151,000",60.25,59.45,"350,500","355,800","6,113,000","21,635,000","22,062,200","-1,004,000","2,015,000","21,635,000","-534,000","-534,000",0,"-106,800"
3,12/31/2020,"40,419,000","4,751,000","13,689,000","4,883,000","4,883,000","6,837,000","245,000","282,000","1,442,000","8,938,000","2,386,000","542,000","4,153,000","599,000","1,258,000","35,668,000","6,330,000","10,471,000","6,923,000","3,548,000","4,141,000","9,141,000","20,197,000","-3,257,000",0,0,"4,651,000","-3,098,000","21,422,000","960,000","960,000","1,306,000","13,710,000","13,309,000","13,309,000",-,"1,347,000","401,000","1,902,000","1,902,000","3,544,000","-3,420,000",-,-,"171,000",-,"-1,000","3,420,000","12,479,000","3,020,000","8,915,000","9,459,000","9,459,000","9,459,000","544,000","8,915,000",24.94,24.74,"356,400","360,300","1,653,000","9,459,000","12,051,360","527,000","1,902,000","9,459,000","-3,420,000","-3,420,000",0,"-827,640"
4,12/31/2019,"33,294,000","4,362,000","21,738,000","5,411,000","5,411,000","7,356,000","1,211,000","4,397,000","3,363,000","17,376,000","3,568,000","668,000","5,359,000","2,658,000","5,123,000","28,932,000","5,925,000","9,177,000","6,189,000","2,988,000","3,252,000","6,798,000","16,209,000","2,902,000",0,0,"6,052,000","-1,065,000","20,406,000","1,029,000","1,029,000","1,316,000","13,092,000","12,353,000","12,353,000",-,"1,167,000","739,000","1,704,000","1,704,000","3,265,000","-1,240,000",-,-,-,-,"-20,000","1,240,000","10,583,000","2,117,000","7,897,000","8,466,000","8,466,000","8,466,000","569,000","7,897,000",21.18,21.03,"371,600","375,500","3,297,000","8,466,000","9,458,000","5,608,000","1,704,000","8,466,000","-1,240,000","-1,240,000",0,"-248,000"
5,12/31/2018,"33,416,000","3,767,000","19,679,000","4,148,000","4,148,000","6,894,000","1,418,000","3,852,000","3,367,000","15,912,000","2,606,000","695,000","5,555,000","2,051,000","5,005,000","29,649,000","6,513,000","9,713,000","6,514,000","3,199,000","3,200,000","7,862,000","15,274,000","4,582,000",0,0,"5,823,000","-674,000","19,417,000","809,000","809,000","1,214,000","13,068,000","12,328,000","12,328,000",-,"1,023,000","740,000","1,328,000","1,328,000","2,998,000","-844,000",-,-,-,-,"-160,000","844,000","12,481,000","2,022,000","9,860,000","10,459,000","10,459,000","10,459,000","599,000","9,860,000",25.53,25.27,"385,400","390,200","3,093,000","10,459,000","11,166,272","5,270,000","1,328,000","10,459,000","-844,000","-844,000",0,"-136,728"
6,12/31/2017,"29,533,000","2,932,000","13,113,000","2,678,000","2,678,000","5,904,000","819,000","1,661,000","2,051,000","10,181,000","1,380,000","698,000","4,599,000","863,000","2,641,000","26,601,000","6,314,000","8,854,000","5,803,000","3,051,000","2,540,000","7,371,000","12,916,000","-3,249,000",0,0,"5,256,000",-,"18,213,000","733,000","733,000","965,000","12,441,000","11,853,000","11,853,000",-,"897,000","588,000","1,152,000","1,152,000","2,922,000","-188,000",-,-,-,-,"-114,000","188,000","11,132,000","6,846,000","3,685,000","4,286,000","4,286,000","4,286,000","601,000","3,685,000",9.12,9.01,"401,600","409,100","2,932,000","4,286,000","4,398,800","2,480,000","1,152,000","4,286,000","-188,000","-188,000",0,"-75,200"
7,12/31/2016,"28,053,000","2,587,000","9,691,000","1,843,000","1,843,000","5,444,000","452,000","691,000","1,261,000","7,104,000","878,000","446,000","4,242,000","442,000","1,096,000","25,466,000","6,060,000","8,615,000","5,407,000","3,208,000","2,555,000","6,273,000","13,133,000","6,158,000",0,0,"3,200,000",-,"17,353,000","788,000","788,000","882,000","12,104,000","11,647,000","11,647,000",-,"809,000","457,000","998,000","998,000","2,581,000","-396,000",-,-,-,-,"3,000","396,000","10,304,000","2,906,000","7,087,000","7,398,000","7,398,000","7,398,000","311,000","7,087,000",16.53,16.29,"427,400","435,100","2,587,000","7,398,000","7,682,328","1,143,000","998,000","7,398,000","-396,000","-396,000",0,"-111,672"
8,12/31/2015,"31,244,000","3,064,000","8,452,000","1,191,000","1,191,000","5,842,000","161,000","10,000","1,248,000","5,388,000","408,000","429,000","3,878,000","330,000","343,000","28,180,000","6,612,000","9,188,000","5,868,000","3,320,000","2,576,000","7,027,000","14,541,000","3,345,000",0,0,"5,018,000",-,"18,456,000","772,000","772,000","963,000","13,235,000","12,678,000","12,678,000",0,"806,000","557,000","991,000","991,000","2,495,000","-4,010,000",-,-,"81,000","22,000","-34,000","4,010,000","8,778,000","2,695,000","5,568,000","6,083,000","6,083,000","6,083,000","515,000","5,568,000",12.35,12.14,"448,900","458,600","3,064,000","6,083,000","8,861,930","171,000","991,000","6,083,000","-4,010,000","-4,010,000",0,"-1,231,070"
9,12/31/2014,"31,757,000","4,047,000","9,604,000","708,000","708,000","7,452,000","164,000","-81,000","1,361,000","5,557,000","333,000","447,000","3,460,000","431,000","886,000","27,710,000","6,563,000","9,064,000","5,748,000","3,316,000","2,501,000","6,464,000","14,953,000",-,0,0,"-270,000",-,"18,916,000","827,000","827,000","902,000","13,240,000","12,691,000","12,691,000",0,"779,000","549,000","1,337,000","1,337,000","2,610,000","-484,000",-,-,"360,000",-,"-270,000","754,000","12,357,000","3,880,000","8,077,000","8,477,000","8,477,000","8,477,000","400,000","8,077,000",17.55,17.07,"458,900","473,200","4,047,000","8,477,000","8,809,024","83,000","1,337,000","8,477,000","-484,000","-484,000",0,"-151,976"
10,12/31/2013,"31,865,000","3,392,000","10,060,000",-,-,"8,159,000","186,000","43,000","1,672,000","6,668,000","387,000","394,000","3,752,000","576,000","1,559,000","28,473,000","6,108,000","8,449,000","5,194,000","3,255,000","2,341,000","6,004,000","16,361,000",-,0,0,"6,993,000",-,"19,166,000","839,000","839,000","930,000","13,330,000","12,789,000","12,613,000","176,000","776,000","541,000","1,322,000","1,322,000","2,745,000","-962,000",0,-,"216,000",-,-,"962,000","11,737,000","3,697,000","7,726,000","8,040,000","8,040,000","8,040,000","314,000","7,726,000",16.34,15.46,"471,300","499,600","3,392,000","8,040,000","8,698,970","229,000","1,322,000","8,040,000","-962,000","-962,000",0,"-303,030"
11,12/31/2012,"31,455,000","3,880,000","11,381,000",-,-,"9,817,000","156,000","-77,000","1,485,000","7,501,000","399,000","581,000","3,736,000","822,000","1,963,000","27,575,000","5,921,000","8,129,000","4,968,000","3,161,000","2,208,000","4,941,000","17,213,000",-,0,0,"-500,000",-,"20,748,000","875,000","875,000","867,000","14,051,000","13,542,000","12,944,000","598,000","782,000","509,000","1,738,000","1,738,000","3,217,000","500,000","500,000",-,"400,000",-,-,"448,000","11,207,000","3,732,000","7,292,000","7,475,000","7,475,000","7,475,000","183,000","7,292,000",14.63,14.13,"496,200","516,100","3,880,000","7,475,000","7,141,500","79,000","1,738,000","7,475,000","500,000","500,000",0,"166,500"
12,12/31/2011,"26,348,000","5,192,000","13,174,000",-,-,"10,718,000","125,000","666,000","1,665,000","7,982,000","280,000","526,000","3,439,000","905,000","2,832,000","21,156,000","6,001,000","8,464,000","4,691,000","3,773,000","2,463,000","4,361,000","10,794,000",-,0,0,"1,507,000",0,"20,179,000","1,030,000","1,030,000","992,000","13,392,000","12,752,000","12,223,000","529,000","-11,924,000","640,000","1,865,000","1,865,000","2,900,000","-615,000",-,-,"220,000","220,000",-,"175,000","6,169,000","1,727,000","2,510,000","4,442,000","4,442,000","4,442,000","1,932,000","2,510,000",4.71,4.51,"524,600","556,900","5,192,000","4,442,000","4,442,000","791,000","1,865,000","4,442,000","-615,000","-615,000",0,0
13,12/31/2010,"36,880,000","5,503,000","12,309,000",-,-,"10,346,000","86,000","540,000","1,337,000","6,806,000","304,000","453,000","3,155,000","708,000","2,186,000","31,377,000","5,957,000","8,238,000","4,669,000","3,569,000","2,281,000","4,810,000","20,610,000",-,0,0,"6,932,000",0,"23,001,000","1,086,000","1,086,000","927,000","15,906,000","15,376,000","15,376,000",-,"1,223,000","530,000","1,889,000","1,889,000","3,193,000","-987,000",-,-,-,"305,000",-,"682,000","12,892,000","4,538,000","7,713,000","8,354,000","8,354,000","8,354,000","641,000","7,713,000",14.15,13.18,"542,000","585,300","5,503,000","8,354,000","8,993,575","626,000","1,889,000","8,354,000","-987,000","-987,000",0,"-347,425"
14,12/31/2009,"42,875,000","7,407,000","13,907,000",-,-,"11,106,000","65,000","951,000","1,785,000","6,500,000","415,000","623,000","2,585,000","3,171,000","-294,000","35,468,000","1,792,000","4,090,000","4,090,000",-,"2,298,000","4,797,000","28,879,000",-,0,0,"30,000",0,"22,416,000","950,000","950,000","678,000","16,535,000","16,193,000","16,193,000",-,"709,000","342,000","1,134,000","1,134,000","3,119,000","-630,000",-,-,-,"600,000",-,"30,000","19,829,000","6,444,000","12,192,000","13,385,000","13,385,000","13,385,000","1,193,000","12,192,000",23.74,22.13,"512,300","550,900","7,407,000","13,385,000","13,810,264","1,016,000","1,134,000","13,385,000","-630,000","-630,000",0,"-204,736"
15,11/30/2008,"19,224,000","4,276,000","35,633,000",-,-,"13,150,000","188,000","11,746,000","10,549,000","31,357,000","756,000","1,864,000","13,687,000","10,203,000","4,847,000","14,948,000","1,674,000","4,672,000","4,672,000",-,"2,998,000","5,179,000","8,095,000",-,0,0,"4,672,000",-,"16,613,000","960,000","960,000","779,000","11,144,000","10,659,000","10,659,000",-,-,"485,000","1,262,000","1,262,000","2,468,000","-275,000",-,"275,000",-,-,-,"-4,000","2,336,000","14,000","2,041,000","2,322,000","2,322,000","2,322,000","281,000","2,041,000",4.67,4.47,"437,000","456,200","4,276,000","2,322,000","2,595,352","11,934,000","1,262,000","2,322,000","-275,000","-275,000",0,"-1,648"
16,11/30/2007,"43,229,000","3,987,000","45,968,000",-,-,-,-,-,-,"41,981,000",-,-,-,-,-,"39,242,000","1,973,000","4,731,000","4,731,000",-,"2,758,000","7,555,000","29,714,000",-,0,0,"37,000",-,"25,588,000","975,000","975,000","714,000","20,791,000","20,190,000","20,190,000",-,-,"601,000","819,000","819,000","2,289,000","-37,000",-,-,-,-,-,"37,000","17,604,000","6,005,000","11,407,000","11,599,000","11,599,000","11,599,000","192,000","11,407,000",26.34,24.73,"433,000","461,200","3,987,000","11,599,000","11,623,379",-,"1,167,000","11,599,000","-37,000","-37,000",0,"-12,621"
17,11/30/2006,"35,680,000","3,498,000","35,186,000",-,-,-,-,-,-,"31,688,000",-,-,-,-,-,"32,182,000","2,542,000","4,527,000","4,527,000",-,"1,985,000","5,613,000","24,027,000",-,0,0,"45,000",-,"21,075,000","850,000","850,000","545,000","16,949,000","16,457,000","16,457,000",-,-,"492,000","694,000","694,000","2,037,000","-45,000",-,-,-,-,-,"45,000","14,560,000","5,023,000","9,398,000","9,537,000","9,537,000","9,537,000","139,000","9,398,000",20.93,19.69,"449,000","477,400","3,498,000","9,537,000","9,566,476",-,"995,000","9,537,000","-45,000","-45,000",0,"-15,524"
18,11/30/2005,"25,238,000","3,097,000","21,250,000",-,-,-,-,-,-,"18,153,000",-,-,-,-,-,"22,141,000",-,-,-,-,-,"3,599,000",-,-,"15,452,000","15,452,000","3,090,000",-,"16,965,000","728,000",-,-,"12,066,000","11,688,000","11,688,000",-,-,"378,000",-,-,"4,171,000",-,-,-,-,-,-,-,"8,273,000","2,647,000","5,609,000","5,626,000","5,626,000","5,626,000","17,000","5,609,000",11.73,11.21,"478,100","500,200","3,097,000","5,626,000","5,626,000",-,"854,000","5,626,000",-,-,0,0
19,11/30/2004,"20,951,000","3,026,000","11,914,000",-,-,-,-,-,-,"8,888,000",-,-,-,-,-,"17,925,000",-,-,-,-,-,"3,286,000",-,-,"11,984,000","11,984,000","2,655,000",-,"14,275,000","646,000",-,-,"10,026,000","9,652,000","9,652,000",-,-,"374,000",-,-,"3,603,000",-,-,-,-,-,-,-,"6,676,000","2,123,000","4,553,000","4,553,000","4,553,000","4,553,000",-,"4,553,000",9.30,8.92,"489,500","510,500","3,026,000","4,553,000","4,553,000",-,"624,000","4,553,000",-,-,0,0
20,11/30/2003,"16,023,000","3,151,000","10,751,000",-,-,-,-,-,-,"7,600,000",-,-,-,-,-,"12,872,000",-,-,-,-,-,"2,400,000",-,-,"8,555,000","8,555,000","1,917,000",-,"11,567,000","722,000",-,-,"7,657,000","7,393,000","7,393,000",-,-,"264,000",-,-,"3,188,000","-11,000",-,-,-,-,-,-,"4,445,000","1,440,000","3,005,000","3,005,000","3,005,000","3,005,000",-,"3,005,000",6.15,5.87,"488,400","511,900","3,151,000","3,005,000","3,012,436",-,"881,000","3,005,000","-11,000","-11,000",0,"-3,564"
21,11/30/2002,"13,986,000","2,401,000","11,269,000",-,-,-,-,-,-,"8,868,000",-,-,-,-,-,"11,585,000",-,-,-,-,-,"2,572,000",-,-,"4,063,000","4,063,000","4,950,000",-,"10,733,000","637,000",-,-,"7,050,000","6,744,000","6,744,000",-,-,"306,000",-,-,"3,046,000",-,-,-,-,-,-,-,"3,253,000","1,139,000","2,114,000","2,114,000","2,114,000","2,114,000",-,"2,114,000",4.27,4.03,"495,600","525,100","2,401,000","2,114,000","2,114,000",-,"744,000","2,114,000",-,-,0,0
22,11/30/2001,"15,811,000","1,293,000","16,620,000",-,-,-,-,-,-,"15,327,000",-,-,-,-,-,"14,518,000",-,-,-,-,-,"3,677,000",-,-,"6,254,000","6,254,000","4,587,000",-,"12,115,000","591,000",-,-,"8,106,000","7,700,000","7,700,000",-,-,"406,000",-,-,"3,418,000",-,-,-,-,-,-,-,"3,696,000","1,386,000","2,310,000","2,310,000","2,310,000","2,310,000",-,"2,310,000",4.53,4.26,"509,700","541,800","1,293,000","2,310,000","2,310,000",-,"873,000","2,310,000",-,-,0,0
23,11/30/2000,"16,590,000","986,000","17,396,000",-,-,-,-,-,-,"16,410,000",-,-,-,-,-,"15,604,000",-,-,-,-,-,"5,339,000",-,-,"6,528,000","6,528,000","3,737,000",-,"11,570,000","440,000",-,-,"8,279,000","7,773,000","7,773,000",-,-,"506,000",-,-,"2,851,000",-,-,-,-,-,-,-,"5,020,000","1,953,000","3,067,000","3,067,000","3,067,000","3,067,000",-,"3,067,000",6.33,6.00,"484,600","511,500","986,000","3,067,000","3,067,000",-,"486,000","3,067,000",-,-,0,0
24,11/30/1999,"13,345,000","704,000","12,722,000",-,-,-,-,-,-,"12,018,000",-,-,-,-,-,"12,641,000",-,-,-,-,-,"4,359,000",-,-,"5,758,000","5,758,000","2,524,000",-,"11,353,000","314,000",-,-,"6,823,000","6,459,000","6,459,000",-,-,"364,000",-,-,"4,216,000",-,-,-,-,-,-,-,"1,992,000","-716,000","2,708,000","2,708,000","2,708,000","2,708,000",-,"2,708,000",5.69,5.57,"475,900","485,800","704,000","2,708,000","2,708,000",-,"337,000","2,708,000",-,-,0,0
