,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Trust Fees by Commissions,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Loss on Extinguishment of Debt,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"47,365,000","7,678,000","29,024,000","9,059,000","9,059,000","7,286,000","3,233,000","4,468,000","4,978,000","21,346,000","5,823,000","541,000","5,716,000","2,808,000","6,458,000","39,687,000","13,039,000","13,039,000","9,005,000","4,034,000",-,"7,360,000","7,626,000","11,662,000",0,0,-,"-2,715,000","30,274,000","1,026,000","1,026,000","1,887,000","15,960,000","15,148,000","15,148,000",-,-,"812,000","2,455,000","2,455,000",-,-,-,"8,946,000","-890,000",-,-,"314,000",-,0,"576,000","13,486,000","2,225,000","10,764,000","11,261,000","11,261,000","11,261,000","497,000","10,764,000",-,-,-,-,"4,963,000","11,261,000","12,004,150","7,701,000","2,455,000","11,261,000","-890,000","-890,000",0,"-146,850"
1,3/31/2023,"12,224,000","1,781,000","14,938,000","3,458,000","3,458,000","2,641,000","2,470,000","3,389,000","2,980,000","13,157,000","3,495,000","216,000","2,650,000","2,360,000","4,436,000","10,443,000","3,377,000","3,377,000","2,289,000","1,088,000",-,"1,578,000","5,488,000","363,000",0,0,-,"171,000","7,975,000","265,000","265,000","383,000","4,262,000","4,090,000","4,090,000",-,-,"172,000","615,000","615,000",-,-,-,"2,450,000","-427,000",-,-,-,"355,000",-,"72,000","3,993,000","759,000","3,087,000","3,234,000","3,234,000","3,234,000","147,000","3,087,000",8.87,8.79,"346,600","351,300","1,952,000","3,234,000","3,579,870","5,859,000","615,000","3,234,000","-427,000","-427,000",0,"-81,130"
2,12/31/2022,"10,593,000","2,074,000","12,411,000","3,122,000","3,122,000","2,302,000","1,841,000","2,756,000","2,390,000","10,337,000","2,848,000","208,000","2,283,000","1,500,000","3,498,000","8,519,000","3,226,000","3,226,000","2,258,000","968,000",-,"1,873,000","3,420,000","-2,335,000",0,0,-,"-972,000","7,922,000","261,000","261,000","495,000","3,980,000","3,764,000","3,764,000",-,-,"216,000","727,000","727,000",-,-,-,"2,459,000","-169,000",-,-,"184,000",-,-,"169,000","1,530,000","204,000","1,185,000","1,326,000","1,326,000","1,326,000","141,000","1,185,000",3.35,3.32,"349,500","356,700","1,102,000","1,326,000","1,472,467","4,597,000","727,000","1,326,000","-169,000","-169,000",0,"-22,533"
3,9/30/2022,"11,975,000","2,043,000","8,550,000","2,487,000","2,487,000","1,912,000","1,107,000","1,542,000","1,502,000","6,507,000","1,811,000","152,000","1,503,000","990,000","2,051,000","9,932,000","3,271,000","3,271,000","2,276,000","995,000",-,"1,541,000","5,120,000","5,769,000",0,0,-,"-515,000","7,513,000","255,000","255,000","465,000","3,805,000","3,606,000","3,606,000",-,-,"199,000","666,000","666,000",-,-,-,"2,322,000","-191,000",-,-,"106,000",-,-,"191,000","3,756,000","687,000","2,962,000","3,069,000","3,069,000","3,069,000","107,000","2,962,000",8.35,8.25,"352,800","359,200","1,528,000","3,069,000","3,225,065","2,649,000","666,000","3,069,000","-191,000","-191,000",0,"-34,935"
4,6/30/2022,"11,864,000","1,734,000","4,851,000","1,900,000","1,900,000","1,601,000","277,000","372,000","701,000","3,117,000","794,000","104,000","1,176,000","307,000","736,000","10,130,000","3,466,000","3,466,000","2,393,000","1,073,000",-,"1,785,000","4,879,000","4,087,000",0,0,-,"-667,000","7,653,000","259,000","259,000","490,000","3,930,000","3,695,000","3,695,000",-,-,"235,000","570,000","570,000",-,-,-,"2,404,000","-91,000",-,-,-,-,-,"91,000","3,544,000","617,000","2,786,000","2,927,000","2,927,000","2,927,000","141,000","2,786,000",7.81,7.73,"355,000","360,500","1,067,000","2,927,000","2,927,000","649,000","570,000","2,927,000","-91,000","-91,000",0,0
5,3/31/2022,"12,933,000","1,827,000","3,212,000","1,550,000","1,550,000","1,471,000","8,000","-202,000","385,000","1,385,000","370,000","77,000","754,000","11,000","173,000","11,106,000","3,075,000","3,075,000","2,064,000","1,011,000",-,"2,131,000","5,900,000","4,141,000",0,0,"-90,000","-561,000","7,591,000","251,000","251,000","437,000","4,245,000","4,083,000","4,083,000",-,-,"162,000","492,000","492,000",-,-,-,"2,166,000","-125,000",-,-,-,-,-,"125,000","4,656,000","717,000","3,831,000","3,939,000","3,939,000","3,939,000","108,000","3,831,000",10.87,10.76,"351,200","355,900","1,266,000","3,939,000","4,044,750","-194,000","492,000","3,939,000","-125,000","-125,000",0,"-19,250"
6,12/31/2021,"12,639,000","1,795,000","3,010,000","1,441,000","1,441,000","1,509,000","-15,000","-329,000","404,000","1,215,000","325,000","94,000","754,000","-41,000","83,000","10,844,000","3,072,000","3,072,000","2,219,000","853,000",-,"3,604,000","4,168,000","1,106,000",0,0,"1,912,000","-344,000","7,088,000","254,000","254,000","511,000","3,439,000","3,246,000","3,246,000",-,-,"193,000","488,000","488,000",-,-,-,"2,396,000","-182,000",-,-,"9,000",-,-,"182,000","5,025,000","1,090,000","3,809,000","3,935,000","3,935,000","3,935,000","126,000","3,809,000",10.96,10.81,"346,600","352,300","1,451,000","3,935,000","4,077,521","-344,000","488,000","3,935,000","-182,000","-182,000",0,"-39,479"
7,9/30/2021,"13,608,000","1,564,000","3,117,000","1,363,000","1,363,000","1,588,000","-13,000","-220,000","399,000","1,553,000","319,000","115,000","843,000","33,000","243,000","12,044,000","2,999,000","2,999,000","2,139,000","860,000",-,"3,548,000","5,497,000","1,779,000",0,0,"1,568,000","-175,000","6,539,000","239,000","239,000","433,000","3,332,000","3,167,000","3,167,000",-,-,"165,000","509,000","509,000",-,-,-,"2,026,000","-52,000",-,-,-,-,-,"52,000","6,842,000","1,464,000","5,284,000","5,378,000","5,378,000","5,378,000","94,000","5,284,000",15.14,14.93,"348,300","353,900","1,389,000","5,378,000","5,418,873","-233,000","509,000","5,378,000","-52,000","-52,000",0,"-11,127"
8,6/30/2021,"15,388,000","1,629,000","2,939,000","1,295,000","1,295,000","1,508,000","7,000","-250,000","379,000","1,310,000","316,000","160,000","741,000","25,000","68,000","13,759,000","2,738,000","2,738,000","1,905,000","833,000","1,125,000","3,450,000","7,571,000","-108,000",0,0,"4,297,000","92,000","8,414,000","241,000","241,000","344,000","5,378,000","5,263,000","5,263,000",-,-,"115,000","520,000","520,000",-,-,-,"1,931,000","-226,000",-,-,-,-,-,"226,000","6,840,000","1,354,000","5,347,000","5,486,000","5,486,000","5,486,000","139,000","5,347,000",15.22,15.02,"350,800","356,000","1,721,000","5,486,000","5,667,263","-243,000","520,000","5,486,000","-226,000","-226,000",0,"-44,737"
9,3/31/2021,"17,704,000","1,482,000","3,054,000","1,220,000","1,220,000","1,700,000","-3,000","-181,000","318,000","1,572,000","343,000","158,000","893,000","-17,000","195,000","16,222,000","2,869,000","2,869,000","1,796,000","1,073,000",-,"3,566,000","9,787,000","2,850,000",0,0,"3,894,000","70,000","9,363,000","247,000","247,000","360,000","6,123,000","6,043,000","6,043,000",-,-,"80,000","498,000","498,000",-,-,-,"2,135,000","-74,000",-,-,-,-,-,"74,000","8,337,000","1,501,000","6,711,000","6,836,000","6,836,000","6,836,000","125,000","6,711,000",18.80,18.60,"356,600","360,900","1,552,000","6,836,000","6,896,680","-184,000","498,000","6,836,000","-74,000","-74,000",0,"-13,320"
