,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/3/2023Current,107.23B,N/A,11.70,10.17,2.08,2.51,0.94,N/A,N/A
1,3/31/2023,109.19B,N/A,10.88,9.55,N/A,2.47,1.03,N/A,N/A
2,12/31/2022,116.28B,N/A,9.14,9.11,N/A,2.48,1.07,N/A,N/A
3,9/30/2022,99.37B,N/A,6.62,7.37,N/A,2.04,0.93,N/A,N/A
4,6/30/2022,101.57B,N/A,5.76,7.70,N/A,1.93,0.97,N/A,N/A
5,3/31/2022,113.36B,N/A,5.55,8.28,1.22,1.98,1.14,N/A,N/A
6,12/31/2021,127.61B,N/A,6.30,9.40,1.68,2.34,1.32,N/A,N/A
7,9/30/2021,126.56B,N/A,6.91,9.93,1.77,2.47,1.37,N/A,N/A
8,6/30/2021,128.01B,N/A,9.43,10.87,3.29,2.55,1.45,N/A,N/A
9,3/31/2021,111.19B,N/A,13.22,11.20,2.20,2.64,1.31,N/A,N/A
10,12/31/2020,90.74B,N/A,15.19,10.57,2.07,2.44,1.11,N/A,N/A
11,9/30/2020,69.15B,N/A,15.26,8.51,1.44,1.99,0.88,N/A,N/A
12,6/30/2020,67.97B,N/A,10.72,13.62,2.96,2.22,0.84,N/A,N/A
13,3/31/2020,53.16B,N/A,7.35,7.02,1.53,1.74,0.67,N/A,N/A
14,12/31/2019,79.86B,N/A,10.27,9.53,N/A,2.78,0.99,N/A,N/A
15,9/30/2019,74.09B,N/A,8.69,8.13,10.17,2.49,0.93,N/A,N/A
16,6/30/2019,74.85B,N/A,8.51,8.73,10.92,2.47,0.93,N/A,N/A
17,3/31/2019,70.41B,N/A,7.60,7.73,0.33,2.25,0.89,N/A,N/A
18,12/31/2018,61.43B,N/A,11.84,N/A,N/A,1.99,0.81,N/A,N/A
19,9/30/2018,84.66B,N/A,17.46,9.00,0.39,2.71,1.11,N/A,N/A
20,6/30/2018,83.31B,N/A,20.40,9.54,0.41,2.84,1.15,N/A,N/A
21,3/31/2018,95.46B,N/A,27.95,11.71,0.50,3.50,1.35,N/A,N/A
22,12/31/2017,96.10B,N/A,13.30,12.44,2.14,3.56,1.27,N/A,N/A
23,9/30/2017,91.76B,N/A,12.48,11.61,2.19,3.38,1.19,N/A,N/A
