,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Long Term Equity Investment,Derivative Assets,Net Loan,Allowance for Loans And Lease Losses,Receivables,Prepaid Assets,Net PPE,Gross PPE,Properties,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Other Equity Interest,Minority Interest,Total Capitalization,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"2,966,530,000","588,053,000","334,299,000","327,002,000","15,752,000","7,297,000",-,"253,754,000","253,754,000","253,754,000","29,254,000","284,146,000","1,029,736,000","11,522,000",-,"156,866,000","12,584,000","12,584,000",-,-,-,-,"12,584,000",-,"21,321,000","4,156,000","17,165,000","7,282,000","115,919,000","43,254,000","2,770,502,000","1,637,025,000","72,353,000","285,764,000","100,439,000","1,743,000","171,534,000","196,028,000","187,484,000","10,147,000","10,147,000","152,068,000","14,664,000","19,746,000","8,544,000","287,923,000","187,484,000","166,163,000","287,923,000","166,163,000","100,439,000",-,"20,293,607","19,968,334",-,"325,273"
1,12/31/2021,"2,957,939,000","648,802,000","407,154,000","403,018,000","15,283,000","4,136,000",-,"241,648,000","241,648,000","241,648,000","29,609,000","196,882,000","1,128,950,000","11,434,000",-,"139,982,000","13,240,000","13,240,000",-,-,-,-,"13,240,000",-,"20,622,000","5,033,000","15,589,000","10,269,000","811,000","139,982,000","2,751,162,000","1,811,726,000","84,904,000","191,064,000","99,044,000","1,847,000","169,248,000","206,777,000","198,250,000","10,316,000","10,316,000","144,458,000","14,602,000","22,414,000","8,527,000","297,294,000","198,250,000","177,628,000","297,294,000","177,628,000","99,044,000",-,"20,957,273","20,632,000",-,"325,273"
2,12/31/2020,"2,984,164,000","539,203,000","308,575,000","304,481,000","40,420,000","4,094,000","59,543,000","230,628,000","230,628,000","230,628,000","26,684,000","307,726,000","1,119,603,000","14,532,000","10,278,000","156,412,000","14,414,000","14,414,000",-,-,-,-,"14,414,000",-,"20,443,000","5,881,000","14,562,000","10,450,000","299,000","156,412,000","2,779,169,000","1,724,860,000","75,266,000","303,001,000","117,443,000","1,856,000","152,321,000","204,995,000","196,443,000","10,347,000","10,347,000","140,572,000","14,277,000","22,414,000","8,552,000","313,886,000","196,443,000","176,000,000","313,886,000","176,000,000","117,443,000",-,"20,693,621","20,368,348","1,450","325,273"
3,12/31/2019,"2,715,152,000","399,917,000","159,055,000","154,099,000","38,380,000","4,956,000","49,148,000","240,862,000","240,862,000","240,862,000","24,474,000","242,995,000","1,105,946,000","8,748,000","136,680,000","136,680,000","14,702,000","14,702,000",-,-,-,-,"14,702,000",-,"20,163,000","5,590,000","14,573,000","8,280,000","123,000","38,380,000","2,522,484,000","1,498,137,000","83,170,000","239,497,000","129,155,000","2,244,000","178,724,000","192,668,000","183,955,000","10,319,000","10,319,000","136,679,000","13,959,000","20,871,000","8,713,000","313,110,000","183,955,000","163,792,000","313,110,000","163,792,000","129,155,000","93,939,000","20,963,798","20,638,525","1,450","325,273"
4,12/31/2018,"2,558,124,000","411,434,000","168,630,000","162,843,000","35,859,000","5,787,000","33,202,000","242,804,000","242,804,000","242,804,000","22,407,000","207,825,000","1,053,863,000","8,638,000","110,571,000","110,571,000","10,060,000","10,060,000",-,-,-,-,"10,060,000",-,"24,357,000","12,986,000","11,371,000","7,934,000","735,000","35,859,000","2,363,875,000","1,418,974,000","84,431,000","205,835,000","107,779,000","2,197,000","201,743,000","194,249,000","186,253,000","10,180,000","10,180,000","138,191,000","13,609,000","22,367,000","7,996,000","294,032,000","186,253,000","161,896,000","294,032,000","161,896,000","107,779,000","47,243,000","20,360,841","20,035,568","1,450","325,273"
5,12/31/2017,"2,521,771,000","388,805,000","187,252,000","180,624,000","34,186,000","6,628,000",-,"201,553,000","201,553,000","201,553,000","22,744,000","219,818,000","1,053,357,000","7,484,000","67,191,000","67,191,000","10,027,000","10,027,000",-,-,-,-,"10,027,000",-,"23,453,000","13,588,000","9,865,000","8,752,000","781,000","34,186,000","2,323,900,000","1,434,384,000","184,361,000","216,821,000","84,372,000","2,297,000","164,188,000","197,871,000","190,250,000","10,160,000","10,160,000","139,999,000","10,177,000","22,250,000","7,621,000","274,622,000","190,250,000","166,797,000","274,622,000","166,797,000","84,372,000","11,078,000","20,646,273","20,321,000","1,450","325,273"
6,12/31/2016,"2,374,986,000","293,986,000","133,012,000","128,009,000","31,228,000","5,003,000",-,"160,974,000","160,974,000","160,974,000","20,029,000","290,872,000","949,630,000","7,850,000","59,520,000","59,520,000","9,373,000",-,-,-,-,-,-,-,"21,346,000","12,330,000","9,016,000","4,714,000","4,389,000","31,228,000","2,192,408,000","1,332,325,000","153,691,000","279,819,000","86,899,000","2,165,000","120,186,000","182,578,000","175,386,000","10,096,000","10,096,000","136,795,000","12,619,000","17,110,000","7,192,000","262,285,000","175,386,000","154,040,000","262,285,000","154,040,000","86,899,000","17,011,000","20,517,273","20,192,000","1,450","325,273"
7,12/31/2015,"2,409,656,000","250,957,000","104,702,000","98,934,000","28,410,000","5,768,000",-,"146,255,000","146,255,000","146,255,000","19,139,000","288,476,000","1,014,855,000","9,573,000","16,914,000","54,398,000","9,923,000","9,923,000",-,-,-,-,"9,923,000",-,"24,605,000","16,294,000","8,302,000","5,272,000","43,900,000","28,410,000","2,212,138,000","1,343,957,000","141,614,000","281,071,000","111,651,000","3,271,000","108,810,000","197,518,000","188,460,000","9,842,000","9,842,000","143,976,000","12,421,000","15,112,000","9,058,000","300,111,000","188,460,000","163,855,000","300,111,000","163,855,000","111,651,000","6,949,000","19,685,097","19,685,097","1,450",0
8,12/31/2014,"2,634,139,000","296,597,000","134,884,000","129,957,000","27,674,000","4,927,000",-,"161,713,000","161,713,000","161,713,000","18,181,000","345,008,000","1,086,809,000","12,386,000","21,329,000","75,176,000","10,532,000","21,831,000",-,-,-,-,"10,532,000","-11,299,000","27,577,000","19,169,000","8,408,000","5,028,000","7,647,000","27,674,000","2,434,161,000","1,428,068,000","190,572,000","340,669,000","122,611,000","5,804,000","135,106,000","199,978,000","190,447,000","9,609,000","9,609,000","137,144,000","11,918,000","11,532,000","9,531,000","313,058,000","190,447,000","162,870,000","313,058,000","162,870,000","122,611,000","35,878,000","19,217,874","19,217,874","1,450",0
9,12/31/2013,"2,671,318,000","172,620,000","172,620,000","166,599,000","25,220,000","6,021,000",-,"88,215,000","88,215,000","88,215,000","16,640,000","282,265,000","1,291,825,000",-,"11,006,000","61,945,000","10,847,000","21,927,000","10,039,000",-,-,"11,888,000",-,"-11,080,000","29,918,000","21,179,000","8,739,000","2,140,000","4,050,000","50,939,000","2,480,859,000","1,612,024,000","207,025,000","274,284,000","133,056,000","8,088,000","25,220,000","190,459,000","181,871,000","9,415,000","9,415,000","128,728,000","11,135,000","5,851,000","8,588,000","314,927,000","181,871,000","151,953,000","314,927,000","151,953,000","133,056,000","4,697,000","18,830,007","18,830,007","1,450",0
