,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Fees & Commission Expense,Dividend Income,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,Net Income from Continuing & Discontinued Operation,Normalized Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"67,013,000","32,610,000","55,059,000","22,449,000","34,403,000","9,431,000","11,010,000","14,772,000","3,762,000",-,"2,723,000","-8,281,000","3,129,000","-4,000","2,378,000","2,778,000",-,"17,528,000","858,000","14,822,000","16,035,000","16,670,000","16,670,000","-635,000",-,"14,822,000",-,-,-,-,-,"16,035,000","23,910,231","3,873,000","16,035,000","-8,281,000","-8,281,000",0,"-405,769"
1,12/31/2022,"67,013,000","32,610,000","55,059,000","22,449,000","34,403,000","9,431,000","11,451,000","15,213,000","3,762,000",-,"2,723,000","-8,281,000","3,129,000","-4,000","2,378,000","2,778,000",-,"17,528,000","858,000","14,822,000","16,035,000","16,670,000","16,670,000","-635,000",-,"14,822,000",3.75,3.70,"3,969,800","3,997,200",-,"16,035,000","23,910,231","3,873,000","16,035,000","-8,281,000","-8,281,000",0,"-405,769"
2,12/31/2021,"64,236,000","26,489,000","36,188,000","9,699,000","37,747,000","14,923,000","13,097,000","16,788,000","3,691,000",-,"3,046,000","-2,768,000","2,143,000",-,-,"38,000",-,"18,906,000","4,213,000","12,607,000","13,917,000","14,693,000","14,693,000","-776,000","7,000","12,607,000",3.10,3.10,"4,039,400","4,060,400",-,"13,917,000","16,654,736","4,286,000","13,917,000","-2,768,000","-2,768,000",0,"-617,264"
3,12/31/2020,"63,223,000","27,578,000","41,756,000","14,178,000","35,645,000","12,174,000","11,874,000","15,051,000","3,177,000",-,"1,597,000","694,000","-1,738,000","1,049,000",-,"-46,000",-,"8,777,000","2,678,000","3,898,000","5,229,000","6,099,000","6,099,000","-870,000","90,000","3,898,000",0.95,0.95,"4,033,800","4,048,400",-,"5,229,000","4,787,670","5,241,000","5,229,000","694,000","694,000",0,"211,670"
4,12/31/2019,"70,861,000","30,462,000","54,695,000","24,233,000","40,399,000","14,114,000","12,023,000","15,439,000","3,416,000",-,"2,354,000","-9,391,000","985,000",-,-,"1,057,000","2,957,000","13,347,000","4,639,000","5,969,000","7,383,000","8,708,000","8,708,000","-1,325,000","90,000","5,969,000",1.50,1.50,"4,031,600","4,046,600",-,"7,383,000","20,854,932","10,519,000","7,383,000","-9,391,000","-9,391,000",0,"-3,268,068"
5,12/31/2018,"63,766,000","30,489,000","49,609,000","19,120,000","33,277,000","9,171,000","12,620,000","16,044,000","3,424,000","75,000","2,536,000","-1,722,000","427,000","-126,000",-,"1,295,000","885,000","19,890,000","4,865,000","12,608,000","13,727,000","15,025,000","15,025,000","-1,298,000","90,000","12,608,000",3.15,3.15,"3,979,200","3,996,600",-,"13,727,000","15,027,110","1,933,000","13,727,000","-1,722,000","-1,722,000",0,"-421,890"
6,12/31/2017,"64,132,000","29,797,000","42,616,000","12,819,000","34,335,000","9,779,000","12,811,000","15,853,000","3,042,000","106,000","2,375,000","-3,910,000","3,500,000",-,-,"410,000","337,000","17,167,000","5,288,000","9,683,000","10,798,000","11,879,000","11,879,000","-1,081,000","90,000","9,683,000",2.40,2.40,"3,994,400","4,014,400",-,"10,798,000","13,503,720","1,862,000","10,798,000","-3,910,000","-3,910,000",0,"-1,204,280"
7,12/31/2016,"61,136,000","31,199,000","43,800,000","12,601,000","29,937,000","9,951,000","12,777,000","15,669,000","2,892,000","95,000","2,355,000","-10,267,000","3,341,000",-,-,"3,686,000","-971,000","7,112,000","3,666,000","1,299,000","2,479,000","3,446,000","3,446,000","-967,000","90,000","1,299,000",0.35,0.35,"3,950,600","3,969,000",-,"2,479,000","13,932,600","5,212,000","2,479,000","-10,267,000","-10,267,000",0,"-2,053,400"
8,12/31/2015,"72,239,000","34,306,000","48,964,000","14,658,000","37,933,000","10,355,000","13,943,000","17,254,000","3,311,000","123,000","2,556,000","-4,716,000","1,114,000",-,-,"3,602,000","1,055,000","18,867,000","3,771,000","12,572,000","13,522,000","15,096,000","15,096,000","-1,574,000","90,000","12,572,000",3.25,3.20,"3,876,000","3,903,400",-,"13,522,000","17,294,800","2,206,000","13,522,000","-4,716,000","-4,716,000",0,"-943,200"
9,12/31/2014,"73,732,000","36,612,000","52,862,000","16,250,000","37,120,000","11,921,000","15,085,000","18,673,000","3,588,000","311,000","2,532,000","-2,215,000",-,"319,000",-,"2,215,000","1,131,000","18,680,000","3,975,000","13,115,000","13,688,000","14,705,000","14,705,000","-1,017,000","90,000","13,115,000",3.45,3.45,"3,792,000","3,811,200",-,"13,688,000","15,431,205","2,318,000","13,688,000","-2,215,000","-2,215,000",0,"-471,795"
