,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Fees & Commission Expense,Dividend Income,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"67,013,000","32,610,000","55,059,000","22,449,000","34,403,000","9,431,000","11,010,000","14,772,000","3,762,000",-,"2,723,000","-8,281,000","3,129,000","-4,000","2,378,000","2,778,000",-,"17,528,000","858,000","14,822,000","16,035,000","16,670,000","16,670,000","-635,000",-,"14,822,000",-,-,-,-,"16,035,000","23,910,231","3,873,000","16,035,000","-8,281,000","-8,281,000",0,"-405,769"
1,3/31/2023,"16,530,000","8,959,000","8,959,000",-,"7,571,000","266,000","3,004,000",-,-,-,"733,000","3,643,000","-1,511,000",-,"-2,130,000",-,-,"12,886,000","1,860,000","10,327,000","10,745,000","11,026,000","11,026,000","-281,000",-,"10,327,000",2.60,2.60,"3,944,800","3,944,800","10,745,000","7,624,592",-,"10,745,000","3,643,000","3,643,000",0,"524,592"
2,12/31/2022,"21,091,000","9,578,000","32,027,000",-,"11,513,000","3,465,000","2,163,000",-,-,-,"693,000","-3,800,000","1,444,000",-,-,"65,000",-,"5,205,000","311,000","4,620,000","4,744,000","4,894,000","4,894,000","-150,000",-,"4,620,000",-,-,-,-,"4,744,000","8,233,949",-,"4,744,000","-3,800,000","-3,800,000",0,"-227,051"
3,9/30/2022,"10,093,000","8,581,000","8,581,000",-,"1,512,000","1,369,000","2,783,000",-,-,-,"581,000","1,773,000","649,000",-,-,"-2,429,000",-,"3,147,000","586,000","1,913,000","2,376,000","2,561,000","2,561,000","-185,000",-,"1,913,000",0.50,0.50,"3,977,200","3,977,200","2,376,000","940,149",-,"2,376,000","1,773,000","1,773,000",0,"330,149"
4,6/30/2022,"15,027,000","7,454,000","13,858,000",-,"7,573,000","2,228,000","2,938,000",-,-,-,"793,000","-136,000","442,000",-,-,"-310,000",-,"5,010,000","-762,000","5,486,000","5,624,000","5,772,000","5,772,000","-148,000",-,"5,486,000",-,-,-,-,"5,624,000","5,709,600",-,"5,624,000","-136,000","-136,000",0,"-54,400"
5,3/31/2022,"15,288,000","6,997,000","6,997,000",-,"8,291,000","2,367,000","3,126,000",-,-,-,"656,000","-537,000","530,000","5,000",-,"2,000",-,"4,166,000","723,000","2,803,000","3,291,000","3,443,000","3,443,000","-152,000",-,"2,803,000",0.70,0.70,"4,004,800","4,004,800","3,291,000","3,739,562",-,"3,291,000","-537,000","-537,000",0,"-93,438"
6,12/31/2021,"15,586,000","6,781,000","16,480,000",-,"8,805,000","3,716,000","2,084,000",-,-,-,"669,000","-962,000","479,000",-,-,"18,000",-,"2,664,000","635,000","1,788,000","1,930,000","2,029,000","2,029,000","-99,000",0,"1,788,000",-,-,-,-,"1,930,000","3,127,694",-,"1,930,000","-962,000","-962,000",0,"-229,306"
7,9/30/2021,"14,645,000","6,610,000","6,610,000",-,"8,035,000","2,749,000","3,322,000",-,-,-,"721,000","-359,000","272,000",-,-,"7,000",-,"5,403,000","1,161,000","3,543,000","4,038,000","4,242,000","4,242,000","-204,000",-,"3,543,000",0.90,0.85,"3,936,667","4,168,235","4,038,000","4,399,858",-,"4,038,000","-359,000","-359,000",0,"-77,142"
8,6/30/2021,"16,601,000","6,584,000","11,446,000",-,"10,017,000","4,417,000","2,635,000",-,-,-,"771,000","-537,000","510,000",-,-,"27,000",-,"5,060,000","1,206,000","3,396,000","3,608,000","3,854,000","3,854,000","-246,000",0,"3,396,000",-,-,-,-,"3,608,000","4,017,011",-,"3,608,000","-537,000","-537,000",0,"-127,989"
9,3/31/2021,"16,830,000","6,514,000","6,514,000",-,"10,316,000","4,041,000","3,463,000",-,-,-,"885,000","-276,000","268,000",-,-,"8,000",-,"5,779,000","1,211,000","3,880,000","4,341,000","4,568,000","4,568,000","-227,000","7,000","3,880,000",0.95,0.95,"4,039,400","4,039,400","4,341,000","4,559,040",-,"4,341,000","-276,000","-276,000",0,"-57,960"
