,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/4/2023Current,150.78B,N/A,6.82,6.82,0.79,2.14,0.80,N/A,N/A
1,3/31/2023,136.02B,N/A,9.22,6.37,0.80,2.04,0.73,N/A,N/A
2,12/31/2022,124.14B,N/A,10.56,6.23,0.58,2.03,0.70,N/A,N/A
3,9/30/2022,104.20B,N/A,7.78,5.43,0.41,1.72,0.55,N/A,N/A
4,6/30/2022,132.37B,N/A,11.46,9.17,0.71,2.11,0.68,N/A,N/A
5,3/31/2022,137.81B,N/A,11.04,9.51,0.80,2.16,0.69,N/A,N/A
6,12/31/2021,124.93B,N/A,10.77,9.13,0.26,3.33,0.63,N/A,N/A
7,9/30/2021,105.80B,N/A,11.62,8.24,0.23,1.63,0.53,N/A,N/A
8,6/30/2021,116.80B,N/A,19.90,10.07,0.28,1.78,0.59,N/A,N/A
9,3/31/2021,118.80B,N/A,30.67,11.65,0.32,1.88,0.61,N/A,N/A
10,12/31/2020,105.16B,N/A,N/A,11.07,0.54,2.96,0.55,N/A,N/A
11,9/30/2020,78.99B,N/A,N/A,8.51,0.42,1.24,0.43,N/A,N/A
12,6/30/2020,94.91B,N/A,25.92,13.66,0.64,1.45,0.50,N/A,N/A
13,3/31/2020,114.43B,N/A,18.67,10.18,0.44,1.60,0.62,N/A,N/A
14,12/31/2019,160.17B,N/A,12.22,11.15,1.74,3.96,0.85,N/A,N/A
15,9/30/2019,155.55B,N/A,11.09,10.42,1.63,2.27,0.80,N/A,N/A
16,6/30/2019,168.47B,N/A,12.10,11.44,1.36,2.50,0.90,N/A,N/A
17,3/31/2019,163.49B,N/A,12.88,11.12,1.37,2.54,0.88,N/A,N/A
18,12/31/2018,164.46B,N/A,15.51,N/A,N/A,4.43,0.89,N/A,N/A
19,9/30/2018,174.51B,N/A,17.96,11.43,0.16,2.72,0.95,N/A,N/A
20,6/30/2018,185.69B,N/A,20.06,12.25,0.17,2.99,0.96,N/A,N/A
21,3/31/2018,187.14B,N/A,19.86,12.69,0.18,2.98,1.00,N/A,N/A
22,12/31/2017,206.08B,N/A,36.89,13.81,0.19,3.36,1.10,N/A,N/A
23,9/30/2017,198.61B,N/A,98.82,13.91,0.19,3.44,1.05,N/A,N/A
24,6/30/2017,188.67B,N/A,927.80,14.24,0.21,3.14,1.06,N/A,N/A
25,3/31/2017,161.06B,N/A,116.63,13.11,0.18,2.65,0.92,N/A,N/A
26,12/31/2016,160.32B,N/A,38.27,12.56,1.06,2.78,0.86,N/A,N/A
27,9/30/2016,150.43B,N/A,15.67,12.44,1.05,2.21,0.78,N/A,N/A
28,6/30/2016,123.21B,N/A,10.80,9.35,0.77,1.78,0.65,N/A,N/A
29,3/31/2016,123.13B,N/A,9.72,7.75,0.60,1.68,0.65,N/A,N/A
30,12/31/2015,156.37B,N/A,10.67,9.39,0.73,2.11,0.81,N/A,N/A
31,9/30/2015,147.84B,N/A,11.31,43.48,2.98,1.91,0.77,N/A,N/A
32,6/30/2015,174.96B,N/A,13.18,46.51,3.67,2.33,0.93,N/A,N/A
33,3/31/2015,163.84B,N/A,12.34,44.84,3.54,2.21,0.86,N/A,N/A
34,12/31/2014,182.04B,N/A,11.66,43.86,3.45,2.42,0.94,N/A,N/A
35,9/30/2014,194.75B,N/A,12.72,44.44,2.48,2.55,1.02,N/A,N/A
36,6/30/2014,192.58B,N/A,13.19,32.47,2.22,2.55,1.05,N/A,N/A
37,3/31/2014,190.95B,N/A,12.10,30.40,1.88,2.46,1.06,N/A,N/A
38,12/31/2013,205.68B,N/A,12.82,37.74,2.33,4.72,1.16,N/A,N/A
39,9/30/2013,201.90B,N/A,13.07,35.09,2.16,2.79,1.16,N/A,N/A
40,6/30/2013,193.78B,N/A,11.04,32.68,1.92,3.14,1.10,N/A,N/A
41,3/31/2013,198.18B,N/A,14.42,35.09,2.07,2.58,1.13,N/A,N/A
42,12/31/2012,193.15B,N/A,14.34,37.88,4.03,2.57,1.12,N/A,N/A
43,9/30/2012,170.17B,N/A,10.80,31.35,3.04,1.96,1.03,N/A,N/A
44,6/30/2012,160.31B,N/A,10.76,28.65,2.55,1.94,0.98,N/A,N/A
45,3/31/2012,160.92B,N/A,9.76,N/A,N/A,1.91,1.01,N/A,N/A
46,12/31/2011,136.15B,N/A,9.07,N/A,N/A,1.69,0.85,N/A,N/A
47,9/30/2011,135.78B,N/A,9.06,N/A,N/A,1.69,0.85,N/A,N/A
48,6/30/2011,176.82B,N/A,11.81,N/A,N/A,2.20,1.10,N/A,N/A
49,3/31/2011,183.44B,N/A,13.63,N/A,N/A,2.47,1.20,N/A,N/A
50,12/31/2010,180.54B,N/A,14.18,N/A,N/A,2.36,1.22,N/A,N/A
51,6/30/2010,159.65B,N/A,17.88,N/A,N/A,2.07,1.17,N/A,N/A
52,3/31/2010,176.66B,N/A,29.82,N/A,N/A,2.16,1.38,N/A,N/A
53,12/31/2008,135.22B,N/A,27.24,N/A,N/A,1.19,1.44,N/A,N/A
54,9/30/2008,223.63B,N/A,18.69,N/A,N/A,2.01,1.76,N/A,N/A
55,6/30/2008,211.34B,N/A,15.86,N/A,N/A,2.29,1.67,N/A,N/A
56,3/31/2008,224.16B,N/A,12.37,N/A,N/A,2.06,1.75,N/A,N/A
57,12/31/2007,227.26B,N/A,11.79,N/A,N/A,2.14,1.77,N/A,N/A
58,9/30/2007,250.20B,N/A,13.62,N/A,N/A,3.06,2.09,N/A,N/A
59,6/30/2007,246.69B,N/A,14.22,N/A,N/A,3.00,2.28,N/A,N/A
60,3/31/2007,233.51B,N/A,14.50,N/A,N/A,2.83,2.16,N/A,N/A
61,12/31/2006,243.41B,N/A,15.19,N/A,N/A,3.36,2.40,N/A,N/A
62,9/30/2006,241.17B,N/A,14.59,N/A,N/A,3.35,2.38,N/A,N/A
63,6/30/2006,232.80B,N/A,14.08,N/A,N/A,3.23,2.30,N/A,N/A
64,3/31/2006,217.92B,N/A,13.78,N/A,N/A,3.03,2.36,N/A,N/A
65,12/31/2005,208.32B,N/A,14.66,N/A,N/A,3.32,2.40,N/A,N/A
66,9/30/2005,209.86B,N/A,14.80,N/A,N/A,3.35,2.42,N/A,N/A
67,6/30/2005,205.14B,N/A,3.01,N/A,N/A,3.29,2.37,N/A,N/A
68,3/31/2005,203.86B,N/A,16.27,N/A,N/A,3.30,2.38,N/A,N/A
69,12/31/2004,218.30B,N/A,16.70,N/A,N/A,3.47,2.55,N/A,N/A
70,9/30/2004,202.94B,N/A,17.61,N/A,N/A,N/A,2.63,N/A,N/A
71,6/30/2004,189.43B,N/A,0.27,N/A,N/A,N/A,2.46,N/A,N/A
72,3/31/2004,188.75B,N/A,18.66,N/A,N/A,N/A,2.53,N/A,N/A
73,12/31/2003,198.26B,N/A,18.26,N/A,N/A,N/A,2.66,N/A,N/A
74,9/30/2003,164.65B,N/A,19.67,N/A,N/A,561.03,3.14,N/A,N/A
75,6/30/2003,146.45B,N/A,20.54,N/A,N/A,479.53,2.79,N/A,N/A
76,3/31/2003,126.17B,N/A,17.13,N/A,N/A,407.07,2.41,N/A,N/A
77,12/31/2002,119.63B,N/A,19.11,N/A,N/A,444.20,2.28,N/A,N/A
78,9/30/2002,111.68B,N/A,19.69,N/A,N/A,8.30,2.43,N/A,N/A
79,6/30/2002,126.22B,N/A,27.91,N/A,N/A,669.75,2.75,N/A,N/A
80,3/31/2002,125.12B,N/A,25.28,N/A,N/A,694.52,2.72,N/A,N/A
81,12/31/2001,128.19B,N/A,25.90,N/A,N/A,711.56,2.79,N/A,N/A
82,9/30/2001,114.23B,N/A,11.00,N/A,N/A,N/A,1.68,N/A,N/A
83,6/30/2001,127.41B,N/A,11.55,N/A,N/A,N/A,1.87,N/A,N/A
84,3/31/2001,126.88B,N/A,12.22,N/A,N/A,N/A,1.86,N/A,N/A
85,12/31/2000,156.56B,N/A,14.80,N/A,N/A,N/A,2.68,N/A,N/A
86,9/30/2000,138.60B,N/A,22.58,N/A,N/A,N/A,2.38,N/A,N/A
87,6/30/2000,112.22B,N/A,18.29,N/A,N/A,N/A,1.92,N/A,N/A
88,3/31/2000,118.29B,N/A,12.81,N/A,N/A,N/A,2.03,N/A,N/A
89,12/31/1999,138.55B,N/A,15.58,N/A,N/A,62.51,2.38,N/A,N/A
90,9/30/1999,107.90B,N/A,15.09,N/A,N/A,49.80,3.41,N/A,N/A
91,6/30/1999,114.29B,N/A,15.98,N/A,N/A,52.75,3.61,N/A,N/A
92,3/31/1999,97.56B,N/A,13.64,N/A,N/A,45.03,2.14,N/A,N/A
