,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"3,665,743,000","882,826,000","567,234,000","27,697,000",-,"539,537,000",-,-,"315,592,000","315,592,000",-,"185,369,000",-,"1,014,081,000","382,919,000",-,"425,305,000","205,857,000",-,-,"1,115,921,000","1,135,647,000","46,049,000","603,670,000","485,928,000","237,561,000",-,"19,726,000",-,"196,069,000","125,189,000",-,"70,880,000","27,734,000","60,859,000","51,662,000","9,197,000","182,884,000","3,373,411,000","2,340,179,000","1,668,272,000","1,668,272,000","671,907,000","202,613,000","351,282,000","351,282,000","300,141,000","51,141,000","44,027,000","44,027,000",-,"44,027,000","126,835,000",-,"422,700,000","422,700,000","11,093,000","12,610,000","292,332,000","292,332,000","31,509,000","27,404,000","4,105,000","296,456,000","89,044,000","107,336,000","-17,341,000",-,-,"715,032,000","27,404,000","264,928,000","231,473,000","731,655,000","204,069,000","466,727,000",-,"4,104,934","2,934,258","391,850","1,170,676"
1,12/31/2021,"3,743,567,000","1,002,532,000","740,834,000","26,438,000",-,"714,396,000",-,-,"261,698,000","261,698,000",-,"206,071,000",-,"1,048,726,000","376,494,000",-,"363,707,000","308,525,000",-,-,"1,061,328,000","1,077,714,000","67,508,000","560,354,000","449,852,000","224,795,000",-,"16,386,000",-,"159,651,000","102,570,000",-,"57,081,000","27,070,000","56,691,000","50,315,000","6,376,000","181,498,000","3,449,440,000","2,462,303,000","1,797,195,000","1,797,195,000","665,108,000","194,340,000","312,871,000","312,871,000","262,755,000","50,116,000","53,594,000","53,594,000",-,"53,594,000","114,577,000",-,"415,582,000","415,582,000","11,110,000","10,750,000","294,127,000","294,127,000","38,943,000","34,838,000","4,105,000","272,268,000","88,415,000","105,415,000","-84,000",-,-,"709,709,000","34,838,000","259,289,000","237,436,000","728,465,000","202,598,000","469,176,000",-,"4,104,934","2,944,149","391,850","1,160,785"
2,12/31/2020,"3,386,071,000","823,893,000","527,609,000","24,874,000",-,"502,735,000","32,227,000","32,227,000","296,284,000","296,284,000",-,"160,635,000",-,"1,013,495,000","423,496,000","13,827,000","201,821,000","388,178,000",-,"79,630,000","984,525,000","1,012,853,000","52,347,000","514,947,000","445,559,000","225,302,000","19,200,000","28,328,000",-,"170,133,000","90,503,000",-,"79,630,000","27,109,000","53,428,000","49,248,000","4,180,000","152,853,000","3,106,717,000","2,144,257,000","1,548,111,000","1,548,111,000","596,146,000","215,209,000","303,222,000","303,222,000","232,599,000","70,623,000","45,208,000","45,208,000","12,031,000","45,208,000","99,558,000","70,623,000","381,243,000","381,243,000","14,123,000","17,578,000","279,354,000","279,354,000","34,168,000","30,063,000","4,105,000","236,990,000","88,394,000","88,184,000","7,986,000",-,-,"660,597,000","30,063,000","249,291,000","225,926,000","675,742,000","195,863,000","426,451,000",-,"4,104,934","3,049,434","280,850","1,055,499"
3,12/31/2019,"2,687,379,000","512,788,000","263,631,000","21,704,000",-,"241,927,000",-,-,"249,157,000","249,157,000",-,"139,758,000",-,"759,576,000","361,337,000","398,239,000","47,540,000","361,337,000",-,"49,766,000","946,646,000","959,769,000","3,002,000","455,805,000","500,962,000","236,036,000","27,199,000","13,123,000",-,"122,627,000","72,861,000",-,"49,766,000","25,813,000","53,341,000","47,823,000","5,518,000","126,830,000","2,426,049,000","1,562,431,000","1,146,677,000","1,146,677,000","415,754,000","183,675,000","254,115,000","254,115,000","210,407,000","43,708,000","40,920,000","40,920,000","14,754,000","40,920,000","75,569,000","43,708,000","367,067,000","367,067,000","28,635,000","17,841,000","261,330,000","261,330,000","31,098,000","26,993,000","4,105,000","223,211,000","88,522,000","83,049,000","1,569,000","-21,000",-,"628,397,000","26,993,000","234,337,000","207,989,000","642,324,000","180,996,000","407,987,000","144,356,000","4,104,934","3,084,021","338,050","1,020,913"
4,12/31/2018,"2,622,532,000","600,381,000","278,793,000","22,324,000",-,"256,469,000",-,-,"321,588,000","321,588,000",-,"111,995,000",-,"621,329,000","359,501,000","261,828,000","31,434,000","359,501,000",-,"54,213,000","971,109,000","984,554,000","15,139,000","439,162,000","530,253,000","275,016,000","26,612,000","13,445,000",-,"127,413,000","73,200,000",-,"54,213,000","14,934,000","54,349,000","47,471,000","6,878,000","121,022,000","2,366,017,000","1,470,666,000","1,082,069,000","1,082,069,000","388,597,000","182,320,000","238,479,000","238,479,000","196,710,000","41,769,000","69,276,000","69,276,000","30,059,000","69,276,000","103,004,000","41,769,000","385,035,000","385,035,000","44,455,000","20,241,000","256,515,000","256,515,000","30,173,000","26,068,000","4,105,000","199,202,000","89,162,000","60,494,000","-1,507,000","-21,000",-,"641,550,000","26,068,000","230,447,000","202,166,000","684,758,000","176,098,000","454,311,000","175,518,000","4,104,934","3,275,766","336,250","829,168"
5,12/31/2017,"2,533,600,000","628,543,000","430,121,000","25,827,000",-,"404,294,000",-,-,"198,422,000","198,422,000",-,"105,112,000",-,"575,279,000","325,321,000","249,958,000","47,733,000","325,321,000",-,"56,523,000","917,093,000","930,697,000","5,859,000","402,898,000","521,940,000","269,833,000","25,789,000","13,604,000",-,"124,252,000","67,729,000",-,"56,523,000","14,159,000","54,392,000","47,507,000","6,885,000","114,770,000","2,277,907,000","1,443,982,000","1,034,761,000","1,034,761,000","409,221,000","158,916,000","227,160,000","227,160,000","189,383,000","37,777,000","51,802,000","51,802,000","24,186,000","51,802,000","85,886,000","37,777,000","369,966,000","369,966,000","60,617,000","26,081,000","255,693,000","255,693,000","30,173,000","26,068,000","4,105,000","177,676,000","90,579,000","42,595,000","-119,000","-21,000",-,"625,659,000","26,068,000","229,625,000","201,301,000","651,393,000","175,233,000","421,768,000",-,"4,104,934","3,425,299","268,400","679,635"
6,12/31/2016,"2,490,972,000","619,602,000","389,635,000","23,873,000",-,"365,762,000",-,-,"229,967,000","229,967,000",-,"96,409,000",-,"597,111,000","308,052,000","289,059,000","50,168,000","308,052,000","1,674,000","64,078,000","880,989,000","894,765,000","4,858,000","383,790,000","506,117,000","254,671,000","22,698,000","13,776,000",-,"116,408,000","52,330,000",-,"64,078,000","14,131,000","54,246,000","47,288,000","6,958,000","112,076,000","2,236,782,000","1,375,179,000","959,584,000","959,584,000","415,595,000","165,666,000","239,774,000","239,774,000","190,543,000","49,231,000","11,738,000","11,738,000","11,738,000",-,"87,428,000","49,231,000","405,378,000","405,378,000","79,519,000","39,047,000","254,190,000","254,190,000","30,173,000","26,068,000","4,105,000","162,440,000","91,627,000","28,854,000","-1,175,000","-21,000",-,"659,568,000","26,068,000","228,122,000","199,944,000","645,238,000","173,876,000","417,116,000","27,481,000","4,104,934","3,561,190","318,700","543,744"
7,12/31/2015,"2,351,698,000","573,080,000","360,505,000","20,490,000",-,"340,015,000",-,-,"212,575,000","212,575,000",-,"98,721,000",-,"574,989,000","284,162,000","290,827,000","49,073,000","284,162,000","1,860,000","59,677,000","823,744,000","837,299,000","4,507,000","357,050,000","475,742,000","238,943,000","21,208,000","13,555,000",-,"106,282,000","46,605,000",-,"59,677,000","14,362,000","54,948,000","47,325,000","7,623,000","105,572,000","2,104,125,000","1,279,715,000","868,073,000","868,073,000","411,642,000","152,678,000","230,428,000","230,428,000","177,638,000","52,790,000","15,562,000","15,562,000","15,562,000",-,"74,107,000","52,790,000","383,863,000","383,863,000","71,581,000","41,879,000","247,573,000","247,573,000","30,173,000","26,068,000","4,105,000","146,420,000","92,500,000","21,691,000","192,000","-21,000",-,"631,436,000","26,068,000","221,505,000","192,625,000","620,930,000","166,557,000","399,425,000","38,920,000","4,104,934","3,663,475","318,700","441,459"
8,12/31/2014,"2,573,126,000","728,111,000","512,308,000","27,831,000",-,"484,477,000",-,-,"215,803,000","215,803,000",-,"110,435,000",-,"668,017,000","320,013,000","348,004,000","49,252,000","320,013,000","5,747,000","78,975,000","743,151,000","757,336,000","9,828,000","324,502,000","423,006,000","193,707,000","20,058,000","14,185,000",-,"149,054,000","70,079,000",-,"78,975,000","15,133,000","56,275,000","47,647,000","8,628,000","102,950,000","2,341,061,000","1,363,427,000","906,791,000","906,791,000","456,636,000","192,101,000","278,070,000","278,070,000","206,954,000","71,116,000","66,344,000","66,344,000","66,344,000",-,"81,699,000","71,116,000","388,757,000","388,757,000","64,994,000","52,362,000","232,065,000","232,065,000","24,168,000","20,063,000","4,105,000","130,315,000","93,270,000","17,856,000","2,189,000","-21,000",-,"620,822,000","20,063,000","212,002,000","175,790,000","667,103,000","155,727,000","455,101,000",-,"4,104,934","3,714,789","2,006","390,145"
9,12/31/2013,"2,415,689,000","603,938,000","355,822,000","39,771,000",-,"316,051,000",-,-,"248,116,000","248,116,000",-,"111,465,000",-,"662,908,000","308,905,000","354,003,000","23,731,000","308,905,000",-,"65,759,000","722,154,000","738,418,000","14,241,000","327,214,000","209,694,000","187,269,000","18,951,000","16,264,000",-,"130,919,000","65,160,000",-,"65,759,000","14,891,000","59,313,000","48,081,000","11,232,000","110,101,000","2,204,511,000","1,287,765,000","880,291,000","880,291,000","407,474,000","181,163,000","251,805,000","251,805,000","194,491,000","57,314,000","57,848,000","57,848,000","57,848,000",-,"80,430,000","57,314,000","376,313,000","376,313,000","61,876,000","49,617,000","211,178,000","211,178,000","15,263,000","11,158,000","4,105,000","115,756,000","93,828,000","14,847,000","1,199,000","-21,000",-,"587,491,000","11,158,000","200,020,000","151,865,000","634,181,000","140,707,000","434,161,000","78,339,000","4,104,934","3,756,108","86,300","348,826"
