,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"3,744,305,000","863,111,000","546,000,000","25,098,000",-,"520,902,000",-,-,"317,111,000","317,111,000",-,"195,917,000",-,"1,129,693,000","519,618,000",-,"412,827,000","197,248,000",-,-,"1,108,843,000","1,128,896,000","44,046,000","604,324,000","480,526,000","236,115,000",-,"20,053,000",-,"174,590,000","115,316,000",-,"59,274,000","28,266,000","62,090,000","52,144,000","9,946,000","181,795,000","3,441,223,000","2,377,253,000","1,696,416,000","1,696,416,000","680,837,000","246,396,000","319,788,000","319,788,000","275,077,000","44,711,000","42,241,000","42,241,000",-,"42,241,000","145,153,000",-,"440,642,000","440,642,000","11,091,000",-,"14,903,000","303,082,000","303,082,000","31,509,000","27,404,000","4,105,000","306,208,000","89,155,000","109,372,000","-14,418,000",-,-,-,-,"743,724,000","27,404,000","275,678,000","240,992,000","758,561,000","213,588,000","482,883,000",-,"4,104,934","2,922,289","391,850","1,182,645"
1,12/31/2022,"3,665,743,000","882,826,000","567,234,000","27,697,000",-,"539,537,000",-,-,"315,592,000","315,592,000",-,"185,369,000",-,"1,014,081,000","382,919,000",-,"425,305,000","205,857,000",-,-,"1,115,921,000","1,135,647,000","46,049,000","603,670,000","485,928,000","237,561,000",-,"19,726,000",-,"196,069,000","125,189,000",-,"70,880,000","27,734,000","60,859,000","51,662,000","9,197,000","182,884,000","3,373,411,000","2,340,179,000","1,668,272,000","1,668,272,000","671,907,000","202,613,000","351,282,000","351,282,000","300,141,000","51,141,000","44,027,000","44,027,000",-,"44,027,000","126,835,000",-,"422,700,000","422,700,000","11,093,000",-,"12,610,000","292,332,000","292,332,000","31,509,000","27,404,000","4,105,000","296,456,000","89,044,000","107,336,000","-17,341,000",-,-,-,-,"715,032,000","27,404,000","264,928,000","231,473,000","731,655,000","204,069,000","466,727,000",-,"4,104,934","2,934,258","391,850","1,170,676"
2,9/30/2022,"3,773,884,000","946,065,000","644,187,000","24,654,000",-,"619,533,000",-,-,"301,878,000","301,878,000",-,"193,216,000",-,"1,032,199,000","413,953,000",-,"430,106,000","188,140,000",-,-,"1,094,448,000","1,112,633,000","44,560,000","596,208,000","471,865,000","237,771,000",-,"18,185,000",-,"236,439,000","143,905,000",-,"92,534,000","27,199,000","60,806,000","51,461,000","9,345,000","183,512,000","3,485,866,000","2,408,615,000","1,693,694,000","1,693,694,000","714,921,000","239,939,000","356,719,000","356,719,000","300,016,000","56,703,000","47,866,000","47,866,000",-,"47,866,000","133,175,000",-,"420,648,000","420,648,000","11,098,000",-,"12,079,000","288,018,000","288,018,000","36,943,000","32,838,000","4,105,000","288,776,000","88,865,000","107,432,000","-19,134,000",-,-,-,-,"708,666,000","32,838,000","255,180,000","227,212,000","723,694,000","194,374,000","468,514,000",-,"4,105,562","2,933,200","391,850","1,172,362"
3,6/30/2022,"3,841,314,000","991,416,000","669,260,000","27,215,000",-,"642,045,000",-,-,"322,156,000","322,156,000",-,"202,393,000",-,"1,047,978,000","384,260,000",-,"441,649,000","222,069,000",-,-,"1,086,405,000","1,104,155,000","51,765,000","584,265,000","468,125,000","237,142,000",-,"17,750,000",-,"226,759,000","145,442,000",-,"81,317,000","26,770,000","59,360,000","50,697,000","8,663,000","200,233,000","3,555,171,000","2,471,544,000","1,730,083,000","1,730,083,000","741,461,000","222,719,000","365,743,000","365,743,000","313,326,000","52,417,000","58,422,000","58,422,000",-,"58,422,000","137,891,000",-,"426,103,000","426,103,000","11,103,000",-,"10,640,000","286,143,000","286,143,000","36,943,000","32,838,000","4,105,000","282,445,000","88,614,000","107,490,000","-14,369,000",-,-,-,-,"712,246,000","32,838,000","253,305,000","226,783,000","737,830,000","193,945,000","484,525,000",-,"4,104,934","2,932,572","391,850","1,172,362"
4,3/31/2022,"3,954,687,000","1,056,407,000","754,532,000","26,165,000",-,"728,367,000",-,-,"301,875,000","301,875,000",-,"224,852,000",-,"1,117,352,000","437,892,000",-,"366,585,000","312,875,000",-,-,"1,056,093,000","1,073,285,000","54,888,000","569,953,000","448,444,000","227,926,000",-,"17,192,000",-,"225,843,000","152,207,000",-,"73,636,000","26,916,000","58,485,000","50,298,000","8,187,000","188,739,000","3,668,788,000","2,561,207,000","1,812,264,000","1,812,264,000","748,943,000","223,858,000","378,474,000","378,474,000","320,671,000","57,803,000","57,586,000","57,586,000",-,"57,586,000","144,280,000",-,"437,519,000","437,519,000","11,108,000",-,"10,144,000","285,899,000","285,899,000","36,943,000","32,838,000","4,105,000","277,177,000","88,260,000","106,914,000","-9,567,000",-,-,-,-,"723,418,000","32,838,000","253,061,000","227,414,000","748,166,000","194,576,000","495,105,000",-,"4,104,934","2,937,050","391,850","1,167,883"
5,12/31/2021,"3,743,567,000","1,002,532,000","740,834,000","26,438,000",-,"714,396,000",-,-,"261,698,000","261,698,000",-,"206,071,000",-,"1,048,726,000","376,494,000",-,"363,707,000","308,525,000",-,-,"1,061,328,000","1,077,714,000","67,508,000","560,354,000","449,852,000","224,795,000",-,"16,386,000",-,"159,651,000","102,570,000",-,"57,081,000","27,070,000","56,691,000","50,315,000","6,376,000","181,498,000","3,449,440,000","2,462,303,000","1,797,195,000","1,797,195,000","665,108,000","194,340,000","312,871,000","312,871,000","262,755,000","50,116,000","53,594,000","53,594,000",-,"53,594,000","114,577,000",-,"415,582,000","415,582,000","11,110,000",-,"10,750,000","294,127,000","294,127,000","38,943,000","34,838,000","4,105,000","272,268,000","88,415,000","105,415,000","-84,000",-,-,-,-,"709,709,000","34,838,000","259,289,000","237,436,000","728,465,000","202,598,000","469,176,000",-,"4,104,934","2,944,149","391,850","1,160,785"
6,9/30/2021,"3,757,576,000","1,042,030,000","759,869,000","25,857,000",-,"734,012,000",-,-,"282,161,000","282,161,000",-,"202,987,000",-,"1,043,125,000","447,993,000",-,"343,542,000","251,590,000",-,-,"1,026,465,000","1,044,615,000","70,355,000","532,786,000","441,474,000","221,671,000",-,"18,150,000",-,"184,303,000","116,395,000",-,"67,908,000","26,996,000","56,566,000","50,313,000","6,253,000","175,104,000","3,467,535,000","2,402,353,000","1,717,326,000","1,717,326,000","685,027,000","254,920,000","322,089,000","322,089,000","268,604,000","53,485,000","50,393,000","50,393,000","10,309,000","50,393,000","126,058,000",-,"424,523,000","424,523,000","11,113,000",-,"13,257,000","290,041,000","290,041,000","38,943,000","34,838,000","4,105,000","265,276,000","88,357,000","103,498,000","963,000",-,-,-,-,"714,564,000","34,838,000","255,203,000","233,475,000","730,119,000","198,637,000","474,916,000",-,"4,104,934","2,955,266","391,850","1,149,668"
7,6/30/2021,"3,684,256,000","966,408,000","705,421,000","26,592,000",-,"678,829,000",-,-,"260,987,000","260,987,000",-,"186,376,000",-,"1,023,514,000","449,877,000","52,234,000","341,476,000","232,161,000",-,-,"1,021,454,000","1,040,954,000","77,289,000","524,855,000","438,810,000","218,031,000","16,700,000","19,500,000",-,"195,964,000","125,253,000",-,"70,711,000","26,631,000","54,655,000","49,256,000","5,399,000","209,254,000","3,397,870,000","2,305,217,000","1,641,380,000","1,641,380,000","663,837,000","245,437,000","353,127,000","353,127,000","297,082,000","56,045,000","51,938,000","51,938,000","10,420,000","51,938,000","127,822,000",-,"427,748,000","427,748,000","12,116,000",-,"14,403,000","286,386,000","286,386,000","36,943,000","32,838,000","4,105,000","256,983,000","88,194,000","98,304,000","2,570,000",-,-,-,-,"714,134,000","32,838,000","253,548,000","231,731,000","733,234,000","198,893,000","479,686,000",-,"4,104,934","2,988,155","311,850","1,116,779"
8,3/31/2021,"3,689,336,000","983,553,000","711,072,000","25,397,000",-,"685,675,000",-,-,"272,481,000","272,481,000",-,"179,516,000",-,"1,068,327,000","470,933,000","50,492,000","217,452,000","379,942,000",-,-,"988,306,000","1,011,307,000","62,665,000","514,478,000","434,164,000","219,173,000","23,400,000","23,001,000",-,"187,873,000","114,754,000",-,"73,119,000","26,926,000","54,588,000","49,243,000","5,345,000","200,247,000","3,408,622,000","2,278,112,000","1,626,312,000","1,626,312,000","651,800,000","304,019,000","345,506,000","345,506,000","285,066,000","60,440,000","54,978,000","54,978,000","15,189,000","54,978,000","130,909,000",-,"410,336,000","410,336,000","13,121,000",-,"15,671,000","280,714,000","280,714,000","35,668,000","31,563,000","4,105,000","248,151,000","88,005,000","92,151,000","1,041,000",-,-,-,-,"691,050,000","31,563,000","249,151,000","226,126,000","714,465,000","194,563,000","465,314,000",-,"4,104,934","3,027,128","280,850","1,077,806"
9,12/31/2020,"3,386,071,000","823,893,000","527,609,000","24,874,000",-,"502,735,000","32,227,000","32,227,000","296,284,000","296,284,000",-,"160,635,000",-,"1,013,495,000","423,496,000","13,827,000","201,821,000","388,178,000",-,"79,630,000","984,525,000","1,012,853,000","52,347,000","514,947,000","445,559,000","225,302,000","19,200,000","28,328,000",-,"170,133,000","90,503,000",-,"79,630,000","27,109,000","53,428,000","49,248,000","4,180,000","152,853,000","3,106,717,000","2,144,257,000","1,548,111,000","1,548,111,000","596,146,000","215,209,000","303,222,000","303,222,000","232,599,000","70,623,000","45,208,000","45,208,000","12,031,000","45,208,000","99,558,000","70,623,000","381,243,000","381,243,000","14,123,000",-,"17,578,000","279,354,000","279,354,000","34,168,000","30,063,000","4,105,000","236,990,000","88,394,000","88,184,000","7,986,000",-,-,-,-,"660,597,000","30,063,000","249,291,000","225,926,000","675,742,000","195,863,000","426,451,000",-,"4,104,934","3,049,434","280,850","1,055,499"
