,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"107,119,000","107,119,000","37,676,000",-,-,-,-,-,"7,051,000","7,051,000",-,-,-,"-2,738,000","-2,738,000","26,055,000",-,"6,389,000","32,686,000","-22,970,000","-22,970,000","58,614,000","58,614,000","58,614,000","-2,882,000",-,"-76,000","-137,819,000","-137,819,000","-54,278,000",-,"12,467,000","-159,934,000","172,401,000","-84,076,000","44,892,000","-128,968,000",-,-,-,"-11,932,000","-126,257,000","-126,257,000","8,455,000","23,902,000","32,886,000","78,442,000","-45,556,000","-8,984,000",-,-,"-3,162,000",-,"-3,162,000","-7,434,000",0,"-7,434,000","-13,562,000",-,"2,439,000","567,234,000","-156,957,000","-16,643,000","740,834,000",-,"4,355,000","23,143,000",-,0,"78,442,000","-45,556,000","-10,596,000","107,119,000"
1,12/31/2022,"107,119,000","107,119,000","37,676,000",-,-,-,-,-,"7,051,000","7,051,000",-,-,-,"-2,738,000","-2,738,000","26,055,000",-,"6,389,000","32,686,000","-22,970,000","-22,970,000","58,614,000","58,614,000","58,614,000","-2,882,000",-,"-76,000","-137,819,000","-137,819,000","-54,278,000",-,"12,467,000","-159,934,000","172,401,000","-84,076,000","44,892,000","-128,968,000",-,-,-,"-11,932,000","-126,257,000","-126,257,000","8,455,000","23,902,000","32,886,000","78,442,000","-45,556,000","-8,984,000",-,-,"-3,162,000",-,"-3,162,000","-7,434,000",0,"-7,434,000","-13,562,000",-,"2,439,000","567,234,000","-156,957,000","-16,643,000","740,834,000",-,"4,355,000","23,143,000",-,0,"78,442,000","-45,556,000","-10,596,000","107,119,000"
2,12/31/2021,"78,084,000","78,084,000","48,334,000",-,-,-,-,-,"7,932,000","7,932,000",-,-,-,"3,748,000","3,748,000","-8,575,000",-,"-9,256,000","35,901,000","-12,401,000","-12,401,000","43,162,000","43,162,000","43,162,000","-11,745,000",-,"16,885,000","-129,344,000","-129,344,000","34,473,000",-,"-96,821,000","-360,541,000","263,720,000","-55,952,000","35,845,000","-91,797,000",-,-,-,"-11,044,000","275,993,000","275,993,000","-20,799,000","35,250,000","27,477,000","82,409,000","-54,932,000","7,773,000",-,-,"-18,408,000",-,"-18,408,000","4,775,000","7,350,000","-2,575,000","-12,858,000",-,"-5,731,000","740,834,000","224,733,000","-11,508,000","527,609,000",-,"18,737,000","5,142,000",-,"7,350,000","82,409,000","-54,932,000","-20,983,000","78,084,000"
3,12/31/2020,"-79,910,000","-79,910,000","29,131,000",-,-,-,-,-,"8,614,000","8,614,000",-,-,-,"-3,981,000","-3,981,000","13,750,000",-,"17,480,000","-144,904,000","-18,012,000","-18,012,000","7,827,000","7,827,000","7,827,000","-42,434,000",-,"-92,285,000","-261,912,000","-261,912,000","-47,115,000",-,"-180,752,000","-409,545,000","228,793,000","-26,704,000","23,559,000","-50,263,000",-,-,-,"-7,341,000","596,645,000","596,645,000","31,528,000","-21,931,000","-26,369,000","78,686,000","-105,055,000","4,438,000",-,-,"-6,517,000",-,"-6,517,000","3,070,000","4,500,000","-1,430,000","-12,690,000",-,"420,000","527,609,000","254,823,000","9,155,000","263,631,000",-,"7,661,000","13,077,000",-,"4,500,000","78,686,000","-105,055,000","-7,947,000","-79,910,000"
4,12/31/2019,"6,046,000","6,046,000","36,431,000",-,-,-,-,-,"8,368,000","8,368,000",-,-,-,"949,000","949,000","15,891,000",-,"5,585,000","-61,178,000","-78,000","-78,000","-352,000","-352,000","-352,000","-17,949,000",-,"-42,799,000","-54,013,000","-54,013,000","72,396,000",-,"-129,772,000","-255,576,000","125,804,000","8,398,000","62,095,000","-53,697,000",-,-,-,"-5,035,000","32,987,000","32,987,000","1,347,000","-37,086,000","-8,525,000","61,085,000","-69,610,000","-28,561,000",-,-,"-24,001,000",-,"-24,001,000","925,000","5,000,000","-4,075,000","-12,343,000","-12,343,000","3,143,000","263,631,000","-14,980,000","-182,000","278,793,000",-,"5,624,000","29,918,000",-,"5,000,000","61,085,000","-69,610,000","-28,076,000","6,046,000"
5,12/31/2018,"14,187,000","14,187,000","32,474,000",-,-,-,-,-,"7,791,000","7,791,000","7,791,000",-,-,"1,721,000","1,721,000","-5,676,000",-,"4,871,000","-26,994,000","-5,849,000","-5,849,000","14,630,000","14,630,000","14,630,000","-8,833,000",-,"-26,942,000","-197,993,000","-197,993,000","-123,201,000",-,"-18,046,000","-104,459,000","86,413,000","-51,760,000","29,826,000","-81,586,000",-,-,-,"-4,986,000","34,158,000","34,158,000","23,415,000","13,825,000","-4,651,000","71,662,000","-76,313,000","18,476,000",-,-,"-19,983,000",-,"-19,983,000",0,"1,696,000","-1,696,000","-10,109,000","-10,109,000","282,000","278,793,000","-149,648,000","-2,863,000","431,304,000",-,"3,542,000","21,152,000",-,"1,696,000","71,662,000","-76,313,000","-21,679,000","14,187,000"
6,12/31/2017,"-2,501,000","-2,501,000","24,441,000",-,-,-,-,-,"6,179,000","6,179,000","6,179,000",-,-,"2,312,000","2,312,000","8,581,000",-,"5,290,000","-49,304,000","-15,868,000","-15,868,000","-8,518,000","-8,518,000","-8,518,000","4,318,000",-,"-29,236,000","-10,283,000","-10,283,000","31,448,000","-38,532,000","43,223,000","-107,658,000","150,881,000","-45,859,000","15,791,000","-61,650,000",-,-,-,"-563,000","14,642,000","14,642,000","-6,739,000","-10,268,000","-26,808,000","56,271,000","-83,079,000","16,540,000",-,-,"-15,410,000",-,"-15,410,000",0,"1,258,000","-1,258,000","-8,993,000","-8,993,000","-970,000","25,827,000","1,858,000","96,000","23,873,000",-,"4,325,000","14,153,000",-,"1,258,000","56,271,000","-83,079,000","-16,668,000","-2,501,000"
7,12/31/2016,"20,196,000","20,196,000","24,733,000",-,-,-,-,-,"5,478,000","5,478,000","5,478,000",-,-,"4,651,000","4,651,000","-939,000",-,"5,361,000","-19,088,000","-5,815,000","-5,815,000","3,740,000","3,740,000","3,740,000","-4,517,000",-,"-12,496,000","-114,949,000","-114,949,000","-17,468,000","-25,747,000","-3,342,000","-124,102,000","120,760,000","-65,567,000","15,429,000","-80,996,000",-,-,-,"-2,825,000","98,271,000","98,271,000","13,007,000","11,660,000","14,121,000","83,070,000","-68,949,000","-2,461,000",-,"-2,461,000","-9,082,000",-,"-9,082,000",0,0,-,"-8,476,000","-8,476,000","-6,174,000","23,873,000","3,518,000","-135,000","20,490,000",-,"2,405,000","9,508,000",-,0,"83,070,000","-71,410,000","-9,082,000","20,196,000"
8,12/31/2015,"73,466,000","73,466,000","24,442,000",-,-,-,-,-,"4,940,000","4,940,000","4,940,000",-,-,"1,333,000","1,333,000","-2,083,000",-,"3,827,000","41,007,000","22,664,000","22,664,000","-23,361,000","-23,361,000","-23,361,000","-3,701,000",-,"45,405,000","106,980,000","106,980,000","3,190,000","144,462,000","45,983,000","-77,008,000","122,991,000","-90,358,000","18,604,000","-108,962,000",-,-,-,"3,703,000","-187,511,000","-187,511,000","-39,415,000","-45,464,000","12,364,000","79,611,000","-67,247,000","-57,828,000","-57,828,000","-57,828,000","-5,616,000",-,"-5,616,000","5,893,000","5,893,000",0,"-7,873,000","-7,873,000","-6,358,000","20,490,000","-7,065,000","-276,000","27,831,000",-,"9,423,000","7,220,000",-,"5,893,000","79,611,000","-125,075,000","-5,616,000","73,466,000"
9,12/31/2014,"36,593,000","36,593,000","21,762,000","-77,000",-,"-77,000",-,-,"4,759,000","4,759,000","4,759,000",-,-,"4,210,000","4,210,000","4,324,000","2,190,000","3,139,000","-3,714,000","-3,637,000","-3,637,000","6,065,000","6,065,000","6,065,000","-9,166,000",-,"3,024,000","-165,636,000","-165,636,000","30,848,000","-168,426,000","1,395,000","-131,849,000","133,244,000","-31,634,000","20,115,000","-51,749,000",-,"843,000",-,"1,338,000","118,228,000","118,228,000","10,905,000","22,482,000","13,240,000","78,515,000","-65,275,000","9,242,000","9,242,000",-,"-4,760,000",-,"-4,760,000","8,847,000","8,847,000",0,"-6,990,000","-6,990,000","-1,602,000","27,831,000","-10,815,000","-1,125,000","39,771,000",-,"1,392,000","8,194,000",-,"8,847,000","87,757,000","-65,275,000","-4,760,000","36,593,000"
