,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"128,641,000","66,710,000","92,807,000","52,736,000","52,736,000","20,400,000","9,039,000","6,869,000","3,763,000","26,097,000","10,082,000","747,000","11,321,000","3,721,000","226,000","61,931,000","33,445,000","33,445,000","10,696,000","14,096,000","2,831,000","4,420,000","1,402,000","6,686,000","14,793,000","5,119,000","-2,434,000","-2,434,000",-,"4,322,000","-6,335,000","76,140,000","14,054,000","4,696,000","9,358,000","10,440,000","45,547,000","41,636,000","41,636,000",-,"3,911,000",-,-,-,-,"6,099,000",-,"-266,000",-,"266,000","46,166,000","8,490,000","35,892,000","37,676,000","37,676,000","37,676,000",-,-,"1,595,000","35,892,000",-,-,-,-,"60,375,000","37,676,000","37,676,000","15,908,000","7,051,000","37,676,000","-266,000","-266,000",0,0
1,12/31/2022,"128,695,000","66,710,000","92,807,000","52,736,000","52,736,000","20,400,000","9,039,000","6,869,000","3,763,000","26,097,000","10,082,000","747,000","11,321,000","3,721,000","226,000","61,985,000","33,445,000","33,445,000","8,348,000","20,677,000","2,831,000","4,420,000","1,402,000","6,686,000","19,912,000","5,119,000","-2,380,000","-2,380,000",-,"4,322,000","-6,389,000","75,874,000","14,054,000","4,696,000","9,358,000","10,174,000","45,547,000","41,636,000","41,636,000",-,"3,911,000",-,-,-,-,"6,099,000",-,"-266,000",-,"266,000","46,166,000","8,490,000","35,892,000","37,676,000","37,676,000","37,676,000",-,-,"1,595,000","35,892,000",12.10,12.09,"2,965,800","2,970,000","60,321,000","37,676,000","37,893,082","15,908,000","7,051,000","37,676,000","-266,000","-266,000",0,"-48,918"
2,12/31/2021,"121,649,000","52,311,000","57,864,000","41,537,000","41,537,000","14,348,000","512,000","573,000","894,000","5,553,000","531,000","126,000","4,539,000","274,000","83,000","69,338,000","35,333,000","35,333,000","9,202,000","21,029,000","3,046,000","5,102,000","1,024,000","13,216,000","16,304,000","2,787,000","-345,000","-345,000",-,"4,830,000","9,256,000","71,343,000","14,457,000","4,516,000","9,941,000","9,814,000","41,603,000","38,567,000","38,567,000",-,"3,036,000",-,-,-,-,"5,469,000","-21,000",-,-,-,"59,562,000","11,228,000","46,503,000","48,334,000","48,334,000","48,334,000",-,-,"1,600,000","46,503,000",15.39,15.36,"3,021,500","3,026,600","61,567,000","48,334,000","48,334,000","1,085,000","7,932,000","48,334,000",-,-,0,0
3,12/31/2020,"119,543,000","54,563,000","64,523,000","43,758,000","43,758,000","16,859,000","749,000","2,134,000","1,023,000","9,960,000","2,357,000","372,000","5,959,000","1,058,000","214,000","64,980,000","32,214,000","32,214,000","9,602,000","18,177,000","2,959,000","4,435,000","937,000","9,486,000","18,021,000",-,"802,000","802,000",-,"4,457,000","-17,480,000","66,656,000","14,787,000","4,449,000","10,338,000","8,464,000","37,464,000","34,988,000","34,988,000","10,338,000","2,476,000",-,-,-,-,"5,941,000",-,-,-,-,"35,407,000","6,276,000","27,410,000","29,131,000","29,131,000","29,131,000",-,-,"1,583,000","27,410,000",8.89,8.88,"3,082,400","3,087,400","37,083,000","29,131,000","29,131,000","2,883,000","8,614,000","29,131,000",-,-,0,0
4,12/31/2019,"115,627,000","57,245,000","84,040,000","50,375,000","50,375,000","20,091,000","3,887,000","7,720,000","1,967,000","26,795,000","8,957,000","1,248,000","11,392,000","4,630,000","568,000","58,382,000","30,874,000","30,874,000","8,405,000","17,165,000","2,439,000","5,304,000","1,349,000","7,501,000","14,018,000",-,"258,000","258,000",-,"5,731,000","-5,585,000","65,497,000","14,143,000","4,322,000","9,821,000","8,772,000","37,734,000","34,155,000","34,155,000","9,821,000","3,579,000",-,-,-,-,"4,848,000",-,-,-,-,"44,545,000","8,114,000","34,642,000","36,431,000","36,431,000","36,431,000",-,-,"1,587,000","34,642,000",10.75,10.72,"3,221,500","3,230,400","51,660,000","36,431,000","36,431,000","11,607,000","8,368,000","36,431,000",-,-,0,0
5,12/31/2018,"109,029,000","55,059,000","77,442,000","47,620,000","47,620,000","15,951,000","5,907,000","4,547,000","3,417,000","22,383,000","5,973,000","1,144,000","11,707,000","3,066,000","493,000","53,970,000","29,413,000","29,413,000","7,306,000","17,118,000","2,505,000","4,989,000","1,396,000","7,550,000","12,059,000",-,"-395,000","-395,000",-,"5,343,000","-4,871,000","63,394,000","12,754,000","3,952,000","8,802,000","8,574,000","36,407,000","33,117,000","33,117,000","8,802,000","3,290,000",-,-,-,-,"5,659,000",-,-,-,-,"40,764,000","8,290,000","30,709,000","32,474,000","32,474,000","32,474,000",-,-,"1,551,000","30,709,000",9.04,9.00,"3,396,400","3,414,000","50,188,000","32,474,000","32,474,000","10,454,000","7,791,000","32,474,000",-,-,0,0
6,12/31/2017,"98,979,000","50,097,000","64,372,000","41,008,000","41,008,000","14,992,000","4,219,000","2,290,000","1,863,000","14,275,000","2,857,000","481,000","8,823,000","1,611,000","503,000","48,882,000","27,359,000","27,359,000","7,549,000","15,377,000","2,239,000","4,433,000","1,289,000","7,248,000","11,347,000",-,"-66,000","-66,000",-,"2,994,000","-5,290,000","58,434,000","11,429,000","3,723,000","7,706,000","6,805,000","33,909,000","31,009,000","31,009,000","7,706,000","2,900,000",-,-,-,-,"6,291,000",-,"645,000",-,"-645,000","35,900,000","11,459,000","22,567,000","24,441,000","24,441,000","24,441,000",-,-,"1,663,000","22,567,000",6.35,6.31,"3,551,600","3,576,800","44,807,000","24,441,000","24,001,755","6,509,000","6,179,000","24,441,000","645,000","645,000",0,"205,755"
7,12/31/2016,"95,668,000","46,083,000","55,901,000","36,634,000","36,634,000","14,596,000","1,863,000","1,933,000","875,000","9,818,000","1,356,000","135,000","6,734,000","1,089,000","504,000","49,585,000","27,635,000","27,635,000","8,265,000","14,591,000","2,151,000","4,779,000","1,324,000","6,448,000","11,566,000",-,"141,000","141,000",-,"3,795,000","-5,361,000","55,771,000","10,484,000","3,638,000","6,846,000","6,338,000","32,876,000","29,979,000","29,979,000","6,846,000","2,897,000",-,-,-,-,"6,073,000",-,-,-,-,"34,536,000","9,803,000","22,583,000","24,733,000","24,733,000","24,733,000",-,-,"1,647,000","22,583,000",6.24,6.19,"3,618,500","3,649,800","40,722,000","24,733,000","24,733,000","3,796,000","5,478,000","24,733,000",-,-,0,0
8,12/31/2015,"93,029,000","43,510,000","50,973,000","33,134,000","33,134,000","14,877,000","1,250,000","1,060,000","652,000","7,463,000","1,252,000","110,000","5,057,000","609,000","435,000","49,519,000","29,640,000","29,640,000","8,207,000","15,509,000","2,304,000","5,924,000","1,435,000","6,751,000","10,408,000",-,"202,000","202,000",-,"2,518,000","-3,827,000","59,014,000","9,961,000","3,768,000","6,193,000","10,002,000","32,458,000","29,750,000","29,750,000","6,193,000","2,708,000",-,-,-,-,"6,593,000",-,"514,000",-,"-514,000","30,702,000","6,260,000","22,406,000","24,442,000","24,442,000","24,442,000",-,-,"1,515,000","22,406,000",6.05,6.00,"3,707,800","3,743,600","39,683,000","24,442,000","24,032,856","2,310,000","4,940,000","24,442,000","514,000","514,000",0,"104,856"
9,12/31/2014,"94,205,000","43,634,000","51,531,000","32,218,000","32,218,000","16,352,000","1,157,000","1,141,000","663,000","7,897,000","1,633,000","1,450,000","4,409,000",-,"405,000","50,571,000","31,315,000","31,315,000","9,364,000","15,931,000",-,"6,020,000",-,"6,542,000","10,531,000",-,"77,000","77,000",-,"2,106,000","-3,139,000","61,274,000","9,713,000","3,909,000","5,804,000","7,705,000","32,710,000","30,160,000","30,160,000","5,804,000","2,550,000",-,-,-,-,"11,146,000",-,-,-,-,"29,792,000","8,030,000","20,093,000","21,762,000","21,762,000","21,762,000",-,-,"1,125,000","20,093,000",5.34,5.29,"3,763,500","3,797,500","40,495,000","21,762,000","21,762,000","2,298,000","4,759,000","21,762,000",-,-,0,0
