,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"128,641,000","66,710,000","92,807,000","52,736,000","52,736,000","20,400,000","9,039,000","6,869,000","3,763,000","26,097,000","10,082,000","747,000","11,321,000","3,721,000","226,000","61,931,000","33,445,000","33,445,000","10,696,000","14,096,000","2,831,000","4,420,000","1,402,000","6,686,000","14,793,000","5,119,000","-2,434,000","-2,434,000",-,"4,322,000","-6,335,000","76,140,000","14,054,000","4,696,000","9,358,000","10,440,000","45,547,000","41,636,000","41,636,000",-,"3,911,000",-,-,-,-,"6,099,000",-,"-266,000",-,"266,000","46,166,000","8,490,000","35,892,000","37,676,000","37,676,000","37,676,000",-,-,"1,595,000","35,892,000",-,-,-,-,"60,375,000","37,676,000","37,676,000","15,908,000","7,051,000","37,676,000","-266,000","-266,000",0,0
1,3/31/2023,"38,349,000","20,711,000","37,004,000","17,708,000","17,708,000","7,861,000","4,819,000","4,847,000","1,769,000","16,293,000","7,637,000","421,000","5,284,000","2,804,000","147,000","17,638,000","8,235,000","8,235,000","1,841,000","3,465,000","747,000","1,234,000","1,695,000","1,649,000","7,615,000","1,551,000","-868,000","-868,000",-,"1,007,000","-2,275,000","20,107,000","3,299,000","1,115,000","2,184,000","2,448,000","12,721,000","11,676,000","11,676,000",-,"1,045,000",-,-,-,-,"1,639,000",-,-,-,-,"15,967,000","3,345,000","12,193,000","12,622,000","12,622,000","12,622,000",-,-,"356,000","12,193,000",4.11,4.10,"2,968,500","2,972,700","18,436,000","12,622,000","12,622,000","9,666,000","1,649,000","12,622,000",-,-,0,0
2,12/31/2022,"34,547,000","20,192,000","33,054,000","16,492,000","16,492,000","6,504,000","4,707,000","3,658,000","1,693,000","12,862,000","5,843,000","462,000","4,572,000","1,869,000","116,000","14,355,000","7,985,000","7,985,000","1,753,000","5,006,000","635,000","1,226,000","372,000","1,418,000","4,434,000","972,000","-874,000","-874,000",-,"1,392,000","-2,288,000","18,995,000","3,527,000","1,271,000","2,256,000","2,652,000","11,102,000","10,009,000","10,009,000",-,"1,093,000",-,-,-,-,"1,714,000",-,"-27,000",-,"27,000","13,237,000","2,229,000","10,598,000","11,008,000","11,008,000","11,008,000",-,-,"356,000","10,598,000",3.58,3.57,"2,962,900","2,967,100","17,904,000","11,008,000","11,030,453","8,365,000","1,671,000","11,008,000","-27,000","-27,000",0,"-4,547"
3,9/30/2022,"32,716,000","17,518,000","25,611,000","13,985,000","13,985,000","5,322,000","3,015,000","2,185,000","1,104,000","8,093,000","3,159,000","155,000","3,450,000","1,267,000","62,000","15,198,000","8,200,000","8,200,000","2,045,000","5,069,000","648,000","1,086,000","368,000","1,674,000","5,383,000","1,398,000","-959,000","-959,000",-,"900,000","-1,537,000","19,131,000","3,528,000","1,162,000","2,366,000","2,481,000","11,556,000","10,539,000","10,539,000",-,"1,017,000",-,-,-,-,"1,566,000",-,"-47,000",-,"47,000","12,001,000","2,264,000","9,255,000","9,737,000","9,737,000","9,737,000",-,-,"432,000","9,255,000",3.13,3.12,"2,961,200","2,965,400","15,981,000","9,737,000","9,775,117","5,200,000","1,771,000","9,737,000","-47,000","-47,000",0,"-8,883"
4,6/30/2022,"30,715,000","15,128,000","18,646,000","11,626,000","11,626,000","4,583,000","1,079,000","716,000","642,000","3,518,000","898,000","90,000","2,032,000","468,000","30,000","15,587,000","8,624,000","8,624,000","2,251,000","5,240,000","738,000","1,133,000","395,000","1,586,000","4,990,000","1,425,000","-153,000","-153,000",-,"540,000","-1,101,000","18,749,000","3,505,000","1,129,000","2,376,000","2,469,000","11,182,000","10,301,000","10,301,000",-,"881,000",-,-,-,-,"1,593,000",-,"-73,000",-,"73,000","10,865,000","2,216,000","8,195,000","8,649,000","8,649,000","8,649,000",-,-,"410,000","8,195,000",2.77,2.76,"2,962,200","2,966,300","14,027,000","8,649,000","8,649,000","1,795,000","1,789,000","8,649,000","-73,000","-73,000",0,0
5,3/31/2022,"30,717,000","13,872,000","15,496,000","10,633,000","10,633,000","3,991,000","238,000","310,000","324,000","1,624,000","182,000","40,000","1,267,000","117,000","18,000","16,845,000","8,636,000","8,636,000","2,299,000","5,362,000","810,000","975,000","267,000","2,008,000","5,105,000","1,324,000","-394,000","-394,000",-,"1,490,000","-1,463,000","19,191,000","3,494,000","1,134,000","2,360,000","2,572,000","11,707,000","10,787,000","10,787,000",-,"920,000",-,-,-,-,"1,418,000",-,-,-,-,"10,063,000","1,781,000","7,845,000","8,282,000","8,282,000","8,282,000",-,-,"397,000","7,845,000",2.64,2.63,"2,977,000","2,981,000","12,409,000","8,282,000","8,282,000","548,000","1,820,000","8,282,000",-,-,0,0
6,12/31/2021,"29,257,000","13,601,000","15,019,000","10,760,000","10,760,000","3,629,000","170,000","174,000","286,000","1,418,000","127,000","29,000","1,165,000","80,000","17,000","15,656,000","8,748,000","8,748,000","2,099,000","5,549,000","766,000","1,100,000","264,000","3,494,000","2,182,000","500,000","52,000","52,000",-,"1,180,000","1,288,000","17,888,000","3,663,000","1,202,000","2,461,000","2,703,000","10,012,000","9,065,000","9,065,000",-,"947,000",-,-,-,-,"1,510,000","9,000",-,-,-,"12,657,000","2,258,000","9,927,000","10,399,000","10,399,000","10,399,000",-,-,"426,000","9,927,000",3.33,3.33,"2,977,300","2,981,800","14,889,000","10,399,000","10,399,000","344,000","1,931,000","10,399,000",-,-,0,0
7,9/30/2021,"29,647,000","13,080,000","14,480,000","10,445,000","10,445,000","3,497,000","174,000","158,000","206,000","1,400,000","126,000","31,000","1,106,000","119,000","18,000","16,567,000","8,663,000","8,663,000","2,401,000","5,257,000","719,000","1,005,000","248,000","3,282,000","3,546,000","648,000","-256,000","-256,000",-,"1,332,000","1,527,000","17,063,000","3,582,000","1,109,000","2,473,000","2,523,000","9,799,000","9,087,000","9,087,000",-,"712,000",-,-,-,-,"1,159,000","-115,000","-76,000",-,"76,000","14,111,000","2,424,000","11,229,000","11,687,000","11,687,000","11,687,000",-,-,"402,000","11,229,000",3.74,3.74,"2,999,900","3,005,100","14,607,000","11,687,000","11,687,000","332,000","1,928,000","11,687,000","-76,000","-76,000",0,0
8,6/30/2021,"30,479,000","12,741,000","14,094,000","10,145,000","10,145,000","3,558,000","103,000","85,000","203,000","1,353,000","132,000","33,000","1,107,000","60,000","21,000","17,738,000","9,152,000","9,152,000","2,311,000","5,194,000","761,000","1,647,000","267,000","3,470,000","4,076,000",-,"-155,000","-155,000",-,"1,195,000","2,285,000","17,667,000","3,578,000","1,090,000","2,488,000","2,385,000","10,440,000","9,814,000","9,814,000","2,488,000","626,000",-,-,-,-,"1,264,000",-,-,-,-,"15,097,000","3,149,000","11,496,000","11,948,000","11,948,000","11,948,000",-,-,"393,000","11,496,000",3.79,3.78,"3,036,600","3,041,900","15,026,000","11,948,000","11,948,000","188,000","2,003,000","11,948,000",-,-,0,0
9,3/31/2021,"32,266,000","12,889,000","14,271,000","10,187,000","10,187,000","3,664,000","65,000","156,000","199,000","1,382,000","146,000","33,000","1,161,000","15,000","27,000","19,377,000","8,770,000","8,770,000","2,391,000","5,029,000","800,000","1,350,000","245,000","2,970,000","6,500,000",-,"14,000","14,000",-,"1,123,000","4,156,000","18,725,000","3,634,000","1,115,000","2,519,000","2,203,000","11,352,000","10,601,000","10,601,000","2,519,000","751,000",-,-,-,-,"1,536,000",-,-,-,-,"17,697,000","3,397,000","13,851,000","14,300,000","14,300,000","14,300,000",-,-,"379,000","13,851,000",4.51,4.50,"3,073,500","3,078,900","17,045,000","14,300,000","14,300,000","221,000","2,070,000","14,300,000",-,-,0,0
