,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/31/2023Current,402.05B,N/A,10.15,9.54,2.89,3.00,1.46,N/A,N/A
1,3/31/2023,380.80B,N/A,10.78,10.18,3.40,3.01,1.44,N/A,N/A
2,12/31/2022,393.34B,N/A,11.32,10.44,N/A,3.23,1.54,N/A,N/A
3,9/30/2022,306.52B,N/A,8.38,8.24,N/A,2.59,1.21,N/A,N/A
4,6/30/2022,330.24B,N/A,8.35,9.79,N/A,2.81,1.30,N/A,N/A
5,3/31/2022,400.38B,N/A,8.88,12.29,N/A,3.39,1.54,N/A,N/A
6,12/31/2021,466.21B,N/A,10.02,13.26,1.37,3.98,1.83,N/A,N/A
7,9/30/2021,483.75B,N/A,10.92,13.55,1.49,4.16,1.91,N/A,N/A
8,6/30/2021,464.78B,N/A,12.34,12.67,2.44,3.88,1.87,N/A,N/A
9,3/31/2021,460.82B,N/A,17.14,14.22,2.90,3.93,1.85,N/A,N/A
10,12/31/2020,387.49B,N/A,16.59,13.61,8.50,3.32,1.61,N/A,N/A
11,9/30/2020,293.45B,N/A,12.96,10.95,4.98,2.54,1.25,N/A,N/A
12,6/30/2020,286.66B,N/A,10.63,14.77,4.76,2.61,1.24,N/A,N/A
13,3/31/2020,274.32B,N/A,8.40,8.50,2.02,2.52,1.17,N/A,N/A
14,12/31/2019,429.91B,N/A,13.73,13.07,1.98,4.03,1.82,N/A,N/A
15,9/30/2019,369.13B,N/A,12.01,11.16,1.77,3.52,1.56,N/A,N/A
16,6/30/2019,362.68B,N/A,12.05,11.32,1.77,3.42,1.54,N/A,N/A
17,3/31/2019,328.78B,N/A,11.25,10.30,1.63,3.17,1.43,N/A,N/A
18,12/31/2018,319.78B,N/A,12.07,N/A,N/A,3.17,1.38,N/A,N/A
19,9/30/2018,379.24B,N/A,15.05,11.40,0.69,3.77,1.62,N/A,N/A
20,6/30/2018,354.78B,N/A,14.82,11.63,0.71,3.62,1.52,N/A,N/A
21,3/31/2018,375.04B,N/A,17.43,12.56,0.83,3.97,1.63,N/A,N/A
22,12/31/2017,371.05B,N/A,15.43,14.16,1.04,3.89,1.58,N/A,N/A
23,9/30/2017,336.10B,N/A,14.11,12.69,1.13,3.52,1.43,N/A,N/A
24,6/30/2017,321.63B,N/A,14.08,13.72,1.23,3.41,1.40,N/A,N/A
25,3/31/2017,312.08B,N/A,14.19,13.40,2.53,3.35,1.37,N/A,N/A
26,12/31/2016,308.77B,N/A,14.88,13.28,2.14,3.35,1.35,N/A,N/A
27,9/30/2016,238.28B,N/A,11.29,10.67,2.27,2.65,1.05,N/A,N/A
28,6/30/2016,224.45B,N/A,10.53,10.73,2.28,2.51,1.00,N/A,N/A
29,3/31/2016,216.55B,N/A,9.87,9.17,1.76,2.38,0.98,N/A,N/A
30,12/31/2015,241.90B,N/A,11.23,10.58,1.14,2.68,1.10,N/A,N/A
31,9/30/2015,224.44B,N/A,11.01,9.45,1.07,2.44,1.04,N/A,N/A
32,6/30/2015,250.58B,N/A,12.41,10.52,1.19,2.70,1.17,N/A,N/A
33,3/31/2015,224.82B,N/A,11.45,9.37,1.08,2.44,1.06,N/A,N/A
34,12/31/2014,232.47B,N/A,11.59,10.39,1.13,2.51,1.10,N/A,N/A
35,9/30/2014,225.19B,N/A,15.45,10.11,1.06,2.45,1.08,N/A,N/A
36,6/30/2014,216.73B,N/A,14.26,9.23,0.97,2.32,1.06,N/A,N/A
37,3/31/2014,229.77B,N/A,13.96,9.12,1.98,2.40,1.15,N/A,N/A
38,12/31/2013,219.66B,N/A,13.17,9.57,2.08,2.30,1.12,N/A,N/A
39,9/30/2013,194.31B,N/A,8.64,8.45,1.59,1.99,0.98,N/A,N/A
40,6/30/2013,199.53B,N/A,9.43,8.63,1.41,2.10,1.01,N/A,N/A
41,3/31/2013,180.09B,N/A,9.13,7.99,1.31,1.89,0.92,N/A,N/A
42,12/31/2012,167.26B,N/A,8.46,8.42,1.03,1.75,0.86,N/A,N/A
43,9/30/2012,153.77B,N/A,9.32,7.70,0.83,1.66,0.84,N/A,N/A
44,6/30/2012,136.01B,N/A,7.92,6.24,0.67,1.40,0.75,N/A,N/A
