,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"189,813,000","887,000","887,000",-,"887,000",-,-,-,-,"4,369,000","52,396,000","829,000","1,308,000","8,710,000","41,549,000",-,"115,084,000","116,421,000","963,000","59,647,000","7,577,000","48,234,000","14,000","1,337,000",-,"13,159,000","13,159,000","636,000","2,308,000","114,000","714,000","824,000","41,000","615,000",-,"-1,672,000","2,846,000","2,752,000","94,000","436,000",-,"176,359,000","142,595,000","101,761,000","101,761,000","40,834,000","4,077,000",-,-,"4,994,000","4,994,000","5,386,000","5,386,000","5,386,000",-,-,"24,693,000","24,693,000","6,594,000","6,000",-,-,"13,454,000","13,454,000","3,757,000","2,500,000","1,257,000","15,616,000","6,286,000","5,910,000","-6,295,000",-,-,"38,147,000","2,500,000","10,954,000","6,000","10,608,000","35,647,000","8,108,000","24,693,000","23,806,000","1,256,702","933,325","63,700","323,378"
1,12/31/2021,"186,346,000","913,000","913,000",-,"913,000",-,-,-,-,"4,327,000","65,253,000","701,000","639,000","7,539,000","56,374,000",-,"99,451,000","100,512,000","2,729,000","50,525,000","6,795,000","40,463,000","18,000","1,061,000",-,"12,335,000","12,335,000","681,000","2,317,000","118,000","699,000","814,000","70,000","616,000",-,"-1,636,000","2,823,000","2,693,000","130,000","562,000","1,000","168,923,000","152,572,000","100,568,000","100,568,000","52,004,000","173,000",-,-,"3,548,000","3,548,000","588,000","588,000","588,000",-,-,"12,630,000","12,630,000","604,000","8,000",-,-,"17,423,000","17,423,000","3,157,000","1,900,000","1,257,000","14,553,000","6,278,000","5,979,000","-586,000",-,-,"30,053,000","1,900,000","15,523,000","8,000","14,600,000","28,153,000","12,700,000","12,630,000","11,717,000","1,256,702","928,850","55,000","327,852"
2,12/31/2020,"170,336,000","1,091,000","1,091,000",-,"1,091,000",-,-,-,-,"4,286,000","52,701,000","735,000","621,000","7,595,000","43,750,000",-,"96,778,000","98,369,000","1,583,000","52,907,000","10,547,000","33,332,000","18,000","1,591,000",-,"11,176,000","11,176,000","753,000","2,394,000","126,000","750,000","843,000","44,000","631,000","28,000","-1,641,000","2,852,000","2,664,000","188,000","699,000",-,"152,355,000","135,282,000","92,083,000","92,083,000","43,199,000","220,000",-,-,"2,385,000","2,385,000","759,000","759,000","759,000","759,000",-,"14,468,000","14,468,000","608,000","12,000",-,"21,000","17,981,000","17,981,000","3,157,000","1,900,000","1,257,000","12,751,000","6,281,000","4,946,000","738,000",-,0,"32,449,000","1,900,000","16,081,000","12,000","15,129,000","30,549,000","13,229,000","14,468,000","13,377,000","1,256,702","975,773","55,000","280,929"
3,12/31/2019,"144,988,000","732,000","732,000",-,"732,000",-,-,-,-,"4,233,000","34,827,000","1,040,000","605,000","10,067,000","23,115,000",-,"90,392,000","91,292,000","1,334,000","48,295,000","9,317,000","32,346,000","45,000","900,000",-,"10,182,000","10,182,000","814,000","2,425,000","128,000","757,000","872,000","48,000","620,000","28,000","-1,611,000","2,917,000","2,664,000","253,000","891,000",-,"127,950,000","111,870,000","83,017,000","83,017,000","28,853,000","387,000","200,000","187,000","2,540,000","2,540,000","705,000","705,000","705,000","705,000",-,"13,153,000","13,153,000","121,000","13,000",-,"26,000","17,038,000","17,038,000","3,157,000","1,900,000","1,257,000","12,469,000","6,295,000","4,909,000","26,000",-,0,"30,191,000","1,900,000","15,138,000","13,000","14,121,000","28,291,000","12,221,000","13,153,000","12,421,000","1,256,702","977,189","20,000","279,514"
4,12/31/2018,"139,613,000","678,000","678,000",-,"678,000",-,-,-,-,"4,171,000","35,024,000","849,000","666,000","11,519,000","21,990,000",-,"85,290,000","86,173,000","1,227,000","45,753,000","6,587,000","32,606,000","25,000","883,000",-,"8,643,000","8,643,000","882,000","2,478,000","135,000","775,000","907,000","35,000","626,000","28,000","-1,596,000","2,832,000","2,516,000","316,000","1,100,000","993,000","124,017,000","107,309,000","78,017,000","78,017,000","29,292,000","319,000",0,"319,000","2,113,000","2,113,000","544,000","544,000","544,000","544,000",-,"14,276,000","14,276,000","1,130,000","16,000",-,"83,000","15,596,000","15,595,000","2,707,000","1,450,000","1,257,000","11,556,000","6,331,000","4,181,000","-818,000",-,"1,000","29,871,000","1,450,000","14,145,000","16,000","12,763,000","28,421,000","11,313,000","14,276,000","13,598,000","1,256,702","1,019,503","20,000","237,199"
5,12/31/2017,"137,698,000","671,000","671,000",-,"671,000",-,-,-,-,"4,132,000","35,978,000","836,000","726,000","11,830,000","22,586,000","669,000","81,809,000","82,686,000","1,107,000","41,859,000","6,161,000","33,559,000","15,000","877,000",-,"8,394,000","8,394,000","930,000","2,508,000","138,000","768,000","931,000","38,000","633,000","27,000","-1,578,000","2,954,000","2,538,000","416,000","1,340,000","821,000","122,673,000","105,235,000","71,570,000","71,570,000","33,665,000","377,000","3,000","374,000","1,803,000","1,803,000","634,000","634,000","634,000","634,000","291,000","14,333,000","14,333,000","1,106,000","17,000",-,"88,000","15,025,000","15,023,000","2,282,000","1,025,000","1,257,000","10,194,000","6,335,000","3,150,000","-638,000",-,"2,000","29,356,000","1,025,000","13,998,000","17,000","12,069,000","28,965,000","11,044,000","14,967,000","14,296,000","1,256,702","1,069,084","20,000","187,618"
6,12/31/2016,"136,453,000","677,000","677,000",-,"677,000",-,-,-,-,"4,068,000","34,824,000","867,000","738,000","10,232,000","22,987,000","803,000","81,599,000","82,457,000","1,104,000","39,768,000","5,908,000","35,677,000","18,000","858,000",-,"8,549,000","8,549,000","978,000",-,-,-,-,-,-,-,-,"2,830,000","2,446,000","384,000","1,585,000","540,000","121,213,000","104,087,000","71,262,000","71,262,000","32,825,000","1,502,000","1,005,000","497,000","1,796,000","1,796,000","808,000","808,000","808,000","808,000","636,000","13,192,000","13,192,000","126,000","20,000",-,"100,000","15,240,000","15,240,000","2,922,000","1,665,000","1,257,000","9,378,000","6,385,000","2,904,000","-541,000",-,0,"28,432,000","1,665,000","13,575,000","20,000","12,410,000","26,767,000","10,745,000","13,192,000","12,515,000","1,256,702","1,079,314","36,900","177,388"
7,12/31/2015,"95,133,000","607,000","607,000",-,"607,000",-,-,-,-,"3,541,000","23,265,000","788,000","655,000","4,897,000","16,925,000","619,000","55,699,000","56,495,000","639,000","31,240,000","3,027,000","21,589,000","6,000","796,000",-,"7,312,000","7,312,000","779,000",-,-,-,-,-,-,-,-,"1,125,000","1,060,000","65,000","1,846,000","340,000","84,374,000","71,046,000","44,949,000","44,949,000","26,097,000","372,000","20,000","352,000","1,605,000","1,605,000","533,000","533,000","533,000","533,000","632,000","10,719,000","10,719,000","166,000",-,0,"100,000","10,759,000","10,746,000","1,307,000","290,000","1,017,000","8,922,000","3,922,000","3,000,000","-405,000",-,"13,000","21,465,000","290,000","10,456,000",-,"9,621,000","21,175,000","9,331,000","10,719,000","10,112,000","1,016,970","835,751","2,900","181,219"
8,12/31/2014,"93,821,000","653,000","653,000",-,"653,000",-,-,-,-,"3,479,000","24,154,000","750,000","760,000","5,015,000","17,629,000","609,000","53,069,000","53,863,000","734,000","27,982,000","3,142,000","22,005,000","2,000","794,000",-,"7,204,000","7,204,000","841,000",-,-,-,-,-,-,-,-,"1,158,000","1,057,000","101,000","2,324,000","330,000","83,279,000","71,998,000","42,770,000","42,770,000","29,228,000","575,000","18,000","557,000","1,621,000","1,621,000","423,000","423,000","423,000","423,000","784,000","8,298,000","8,298,000","200,000",-,"3,000","95,000","10,542,000","10,530,000","1,308,000","291,000","1,017,000","8,273,000","3,986,000","2,681,000","-356,000",-,"12,000","18,828,000","291,000","10,239,000",-,"9,372,000","18,537,000","9,081,000","8,298,000","7,645,000","1,016,970","859,403","2,905","157,566"
9,12/31/2013,"92,934,000","617,000","617,000",-,"617,000",-,-,-,-,"3,408,000","24,399,000","738,000","969,000","4,756,000","17,936,000","407,000","49,669,000","50,517,000","611,000","24,963,000","3,269,000","21,674,000","3,000","848,000",-,"7,566,000","7,566,000","885,000",-,-,-,-,-,-,-,-,"1,106,000","979,000","127,000","4,572,000","305,000","82,614,000","69,262,000","43,261,000","43,261,000","26,001,000","1,534,000","18,000","1,516,000","1,557,000","1,557,000","343,000","343,000","343,000","343,000","414,000","7,993,000","7,993,000","224,000","5,000","1,854,000","90,000","10,320,000","10,303,000","1,308,000","291,000","1,017,000","7,606,000","4,022,000","2,281,000","-352,000",-,"17,000","18,296,000","291,000","10,012,000","5,000","9,197,000","18,005,000","8,906,000","7,993,000","7,376,000","1,016,970","890,724","2,905","126,246"
