,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"197,519,000","784,000","784,000",-,"784,000",-,-,-,-,"4,372,000","60,174,000","1,118,000","1,587,000","9,561,000","47,908,000",-,"116,039,000","117,419,000","1,211,000","60,565,000","7,367,000","48,276,000","1,000","1,380,000",-,"12,275,000","12,275,000","628,000",-,-,-,-,-,-,-,-,"2,837,000","2,752,000","85,000","410,000",-,"183,197,000","144,148,000","106,841,000","106,841,000","37,307,000","1,374,000",-,-,"4,861,000",-,-,-,"4,861,000",-,-,-,-,-,"32,814,000","32,814,000",-,-,-,-,-,"14,322,000","14,322,000","3,757,000","2,500,000","1,257,000","15,700,000","6,207,000","5,868,000","-5,474,000",-,-,"47,136,000","2,500,000","11,822,000",-,"11,485,000","44,636,000","8,985,000","32,814,000","32,030,000","1,256,702","935,229","79,000","321,473"
1,12/31/2022,"189,813,000","887,000","887,000",-,"887,000",-,-,-,-,"4,369,000","52,396,000","829,000","1,308,000","8,710,000","41,549,000",-,"115,084,000","116,421,000","963,000","59,647,000","7,577,000","48,234,000","14,000","1,337,000",-,"13,159,000","13,159,000","636,000","2,308,000","114,000","714,000","824,000","41,000","615,000",-,"-1,672,000","2,846,000","2,752,000","94,000","436,000",-,"176,359,000","142,595,000","101,761,000","101,761,000","40,834,000","4,077,000",-,-,"4,994,000",-,-,-,"4,994,000","5,386,000","5,386,000","5,386,000",-,-,"24,693,000","24,693,000","6,594,000","6,000",-,-,-,"13,454,000","13,454,000","3,757,000","2,500,000","1,257,000","15,616,000","6,286,000","5,910,000","-6,295,000",-,-,"38,147,000","2,500,000","10,954,000","6,000","10,608,000","35,647,000","8,108,000","24,693,000","23,806,000","1,256,702","933,325","63,700","323,378"
2,9/30/2022,"190,051,000","717,000","717,000",-,"717,000",-,-,-,-,"4,351,000","55,399,000","1,068,000","1,272,000","8,163,000","44,896,000",-,"112,218,000","113,362,000","1,048,000","56,971,000","7,830,000","47,513,000","6,000","1,144,000",-,"13,402,000","13,402,000","629,000",-,-,-,-,-,-,-,-,"2,858,000","2,752,000","106,000","467,000","10,000","176,761,000","144,855,000","97,875,000","97,875,000","46,980,000","4,224,000",-,-,"4,849,000",-,-,-,"4,849,000",-,-,-,-,-,"22,833,000","22,833,000",-,-,-,-,-,"13,290,000","13,290,000","3,757,000","2,500,000","1,257,000","15,450,000","6,257,000","5,917,000","-6,257,000",-,-,"36,123,000","2,500,000","10,790,000",-,"10,432,000","33,623,000","7,932,000","22,833,000","22,116,000","1,256,702","932,938","79,000","323,764"
3,6/30/2022,"187,008,000","678,000","678,000",-,"678,000",-,-,-,-,"4,343,000","54,857,000","809,000","969,000","8,186,000","44,893,000",-,"108,641,000","109,740,000","1,306,000","55,245,000","7,687,000","45,502,000","14,000","1,099,000",-,"14,485,000","14,485,000","638,000",-,-,-,-,-,-,-,-,"2,870,000","2,752,000","118,000","496,000","12,000","172,581,000","145,865,000","94,892,000","94,892,000","50,973,000","3,234,000",-,-,"4,056,000",-,-,-,"4,056,000",-,-,-,-,-,"19,426,000","19,426,000",-,-,-,-,-,"14,427,000","14,427,000","3,157,000","1,900,000","1,257,000","15,118,000","6,241,000","5,923,000","-4,166,000",-,-,"33,853,000","1,900,000","12,527,000",-,"11,557,000","31,953,000","9,657,000","19,426,000","18,748,000","1,256,702","932,643","55,000","324,060"
4,3/31/2022,"181,221,000","684,000","684,000",-,"684,000",-,-,-,-,"4,340,000","56,003,000","848,000","722,000","6,871,000","47,562,000","2,739,000","102,749,000","103,854,000","1,170,000","52,815,000","7,241,000","42,628,000","4,000","1,105,000",-,"13,460,000","13,460,000","647,000",-,-,-,-,-,-,-,-,"2,812,000","2,694,000","118,000","526,000",-,"165,913,000","148,663,000","98,239,000","98,239,000","50,424,000","599,000",-,-,"3,615,000",-,-,-,"3,615,000",-,-,-,-,"598,000","13,036,000","13,036,000",-,-,"166,000",-,-,"15,308,000","15,308,000","3,157,000","1,900,000","1,257,000","14,793,000","6,214,000","5,927,000","-2,929,000",-,-,"28,344,000","1,900,000","13,408,000",-,"12,496,000","26,444,000","10,596,000","13,036,000","12,352,000","1,256,702","932,398","55,000","324,304"
5,12/31/2021,"186,346,000","913,000","913,000",-,"913,000",-,-,-,-,"4,327,000","65,253,000","701,000","639,000","7,539,000","56,374,000",-,"99,451,000","100,512,000","2,729,000","50,525,000","6,795,000","40,463,000","18,000","1,061,000",-,"12,335,000","12,335,000","681,000","2,317,000","118,000","699,000","814,000","70,000","616,000",-,"-1,636,000","2,823,000","2,693,000","130,000","562,000","1,000","168,923,000","152,572,000","100,568,000","100,568,000","52,004,000","173,000",-,-,"3,548,000",-,-,-,"3,548,000","588,000","588,000","588,000",-,-,"12,630,000","12,630,000","604,000","8,000",-,-,-,"17,423,000","17,423,000","3,157,000","1,900,000","1,257,000","14,553,000","6,278,000","5,979,000","-586,000",-,-,"30,053,000","1,900,000","15,523,000","8,000","14,600,000","28,153,000","12,700,000","12,630,000","11,717,000","1,256,702","928,850","55,000","327,852"
6,9/30/2021,"187,035,000","763,000","763,000",-,"763,000",-,-,-,-,"4,312,000","70,134,000","902,000","607,000","8,423,000","60,202,000",-,"95,354,000","96,432,000","1,805,000","49,553,000","6,329,000","38,745,000","13,000","1,078,000",-,"12,380,000","12,380,000","678,000",-,-,-,-,-,-,-,-,"2,817,000","2,673,000","144,000","597,000",-,"169,525,000","151,931,000","98,706,000","98,706,000","53,225,000","228,000",-,-,"3,434,000",-,-,-,"3,434,000","767,000","767,000","767,000",-,-,"13,932,000","13,932,000",-,-,-,-,-,"17,510,000","17,510,000","3,157,000","1,900,000","1,257,000","14,133,000","6,141,000","5,876,000","-45,000",-,0,"31,442,000","1,900,000","15,610,000",-,"14,693,000","29,542,000","12,793,000","13,932,000","13,169,000","1,256,702","930,544","55,000","326,158"
7,6/30/2021,"181,115,000","792,000","792,000",-,"792,000",-,-,-,-,"4,304,000","62,759,000","851,000","635,000","6,175,000","55,098,000",-,"96,986,000","98,206,000","1,537,000","50,672,000","9,722,000","36,275,000","15,000","1,220,000",-,"12,027,000","12,027,000","785,000",-,-,-,-,-,-,-,-,"2,832,000","2,673,000","159,000","630,000",-,"163,174,000","146,072,000","96,792,000","96,792,000","49,280,000","211,000",-,-,"2,957,000",-,-,-,"2,957,000","723,000","723,000","723,000","723,000",-,"13,934,000","13,934,000",-,-,-,-,-,"17,941,000","17,941,000","3,157,000","1,900,000","1,257,000","13,689,000","6,232,000","5,287,000","150,000",-,0,"31,875,000","1,900,000","16,041,000",-,"15,109,000","29,975,000","13,209,000","13,934,000","13,142,000","1,256,702","960,276","55,000","296,426"
8,3/31/2021,"176,203,000","938,000","938,000",-,"938,000",-,-,-,-,"4,296,000","57,588,000","811,000","621,000","6,857,000","49,299,000",-,"97,680,000","99,118,000","2,296,000","52,486,000","10,054,000","34,282,000","13,000","1,438,000",-,"11,451,000","11,451,000","737,000",-,-,-,-,-,-,-,-,"2,846,000","2,673,000","173,000","667,000",-,"158,569,000","142,183,000","94,651,000","94,651,000","47,532,000","281,000",-,-,"2,862,000",-,-,-,"2,862,000","744,000","744,000","744,000","744,000",-,"13,243,000","13,243,000",-,-,-,-,-,"17,634,000","17,634,000","3,157,000","1,900,000","1,257,000","13,166,000","6,213,000","5,005,000","103,000",-,0,"30,877,000","1,900,000","15,734,000",-,"14,788,000","28,977,000","12,888,000","13,243,000","12,305,000","1,256,702","972,587","55,000","284,115"
9,12/31/2020,"170,336,000","1,091,000","1,091,000",-,"1,091,000",-,-,-,-,"4,286,000","52,701,000","735,000","621,000","7,595,000","43,750,000",-,"96,778,000","98,369,000","1,583,000","52,907,000","10,547,000","33,332,000","18,000","1,591,000",-,"11,176,000","11,176,000","753,000","2,394,000","126,000","750,000","843,000","44,000","631,000","28,000","-1,641,000","2,852,000","2,664,000","188,000","699,000",-,"152,355,000","135,282,000","92,083,000","92,083,000","43,199,000","220,000",-,-,"2,385,000",-,-,-,"2,385,000","759,000","759,000","759,000","759,000",-,"14,468,000","14,468,000","608,000","12,000",-,-,"21,000","17,981,000","17,981,000","3,157,000","1,900,000","1,257,000","12,751,000","6,281,000","4,946,000","738,000",-,0,"32,449,000","1,900,000","16,081,000","12,000","15,129,000","30,549,000","13,229,000","14,468,000","13,377,000","1,256,702","975,773","55,000","280,929"
