,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Intangibles Purchase And Sale,Purchase of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"4,469,000","4,469,000","1,917,000","-160,000",-,0,"-9,000","-151,000","137,000","137,000","-27,000","-27,000","2,081,000","27,000",-,"120,000","502,000","-128,000",-,-,"-128,000","-10,934,000","-10,934,000","6,636,000","-8,810,000","15,446,000",-,-,"-17,492,000","157,000","-17,649,000","-80,000","-96,000","16,000","-12,000","-12,000","-58,000","-58,000",-,"72,000","6,439,000","6,439,000","16,718,000","8,016,000","16,596,000","-8,580,000","8,702,000",-,"6,000","6,000",0,"590,000","590,000",-,"-854,000",-,"-44,000",-,-,"887,000","-26,000","913,000",-,"292,000","601,000","-108,000","596,000","16,596,000","-8,580,000",0,"4,361,000"
1,12/31/2022,"4,469,000","4,469,000","1,917,000","-160,000",-,0,"-9,000","-151,000","137,000","137,000","-27,000","-27,000","2,081,000","27,000",-,"120,000","502,000","-128,000",-,-,"-128,000","-10,934,000","-10,934,000","6,636,000","-8,810,000","15,446,000",-,-,"-17,492,000","157,000","-17,649,000","-80,000","-96,000","16,000","-12,000","-12,000","-58,000","-58,000",-,"72,000","6,439,000","6,439,000","16,718,000","8,016,000","16,596,000","-8,580,000","8,702,000",-,"6,000","6,000",0,"590,000","590,000",-,"-854,000",-,"-44,000",-,-,"887,000","-26,000","913,000",-,"292,000","601,000","-108,000","596,000","16,596,000","-8,580,000",0,"4,361,000"
2,12/31/2021,"1,153,000","1,153,000","2,625,000","-283,000",-,"6,000","-7,000","-282,000","32,000","32,000","146,000","146,000","-1,111,000","24,000",-,"104,000","-418,000","34,000",-,-,"34,000","-15,068,000","-15,068,000","-11,110,000","-28,248,000","17,138,000",0,0,"-3,939,000","337,000","-4,276,000","-62,000","-66,000","4,000",-,-,"-29,000","-29,000",-,"72,000","13,737,000","13,737,000","-1,581,000","-1,363,000","1,203,000","-2,566,000","-218,000",-,"-1,117,000","27,000","-1,144,000",0,0,-,"-823,000",-,"-32,000",-,-,"913,000","-178,000","1,091,000",-,"277,000","363,000","-66,000","27,000","1,203,000","-2,566,000","-1,144,000","1,087,000"
3,12/31/2020,"1,673,000","1,673,000","1,343,000","-253,000",0,"-16,000","-4,000","-233,000","111,000","111,000","-191,000","-191,000","-792,000","28,000",-,"101,000","1,021,000","305,000",-,-,"305,000","-24,721,000","-24,721,000","-17,577,000","-30,692,000","13,115,000",0,0,"-7,147,000","211,000","-7,358,000","-63,000","-63,000",0,-,-,0,0,0,"66,000","23,407,000","23,407,000","986,000","1,099,000","3,607,000","-2,508,000","-113,000",-,"-126,000","8,000","-134,000",0,0,-,"-829,000",-,"-36,000",-,-,"1,091,000","359,000","732,000",-,"241,000","731,000","-63,000","8,000","3,607,000","-2,508,000","-134,000","1,610,000"
4,12/31/2019,"2,906,000","2,906,000","1,717,000","-220,000",0,"-19,000","-20,000","-188,000","241,000","241,000","53,000","53,000","715,000","50,000",-,"96,000","445,000","-191,000",-,-,"-191,000","-4,918,000","-4,918,000","1,043,000","-5,788,000","6,831,000","23,000","23,000","-5,791,000","399,000","-6,190,000","-67,000","-85,000","18,000",-,-,"-185,000","-185,000",0,"59,000","2,066,000","2,066,000","-1,276,000","-1,505,000","2,129,000","-3,634,000","229,000",-,"-817,000","18,000","-835,000","435,000","435,000",0,"-804,000",-,"-33,000",-,-,"732,000","54,000","678,000",-,"18,000","1,251,000","-85,000","453,000","2,129,000","-3,634,000","-835,000","2,821,000"
5,12/31/2018,"2,506,000","2,506,000","1,866,000","-216,000","-83,000","50,000",0,"-183,000","382,000","382,000","98,000","98,000","-42,000","86,000",-,"99,000","246,000","-13,000",-,-,"-13,000","-2,482,000","-2,482,000","878,000","-5,864,000","6,742,000","31,000","31,000","-3,496,000","204,000","-3,700,000","-97,000","-99,000","2,000",-,-,"124,000",0,"124,000","78,000","-17,000","-17,000","-722,000","-574,000","2,306,000","-2,880,000","-148,000",-,"-1,078,000","20,000","-1,098,000","412,000","412,000",0,"-656,000","-656,000","-47,000",-,-,"678,000","7,000","671,000",-,"12,000","892,000","-99,000","432,000","2,306,000","-2,880,000","-1,098,000","2,407,000"
6,12/31/2017,"1,815,000","1,815,000","1,298,000","-157,000",-,"27,000","-8,000","-181,000","407,000","407,000","303,000","303,000","-599,000","203,000",-,"100,000","229,000","31,000",-,-,"31,000","-2,239,000","-2,239,000","-1,327,000","-8,159,000","6,832,000","51,000","51,000","-762,000","183,000","-945,000","-112,000","-112,000",0,-,-,"-144,000","-144,000",-,"55,000","418,000","418,000","805,000","2,104,000","2,852,000","-748,000","-1,299,000",-,"-639,000","25,000","-664,000","-350,000",0,"-350,000","-480,000",-,"-66,000",-,-,"671,000","-6,000","677,000",-,"6,000","598,000","-112,000","25,000","2,852,000","-748,000","-1,014,000","1,703,000"
7,12/31/2016,"1,689,000","1,689,000","790,000","-92,000",0,"63,000","-20,000","-139,000","314,000","314,000","11,000","11,000","264,000","116,000",-,"99,000","266,000","-79,000",-,-,"-79,000","-6,457,000","-6,457,000","-2,436,000","-12,800,000","10,364,000","16,000","16,000","-3,440,000","140,000","-3,580,000","-145,000","-145,000",0,-,-,"-481,000","-481,000",0,"29,000","4,838,000","4,838,000","225,000","1,519,000","2,827,000","-1,308,000","-1,294,000",-,"-108,000","32,000","-140,000","1,009,000","1,009,000",-,"-335,000",-,-,-,-,"677,000","70,000","607,000",-,"144,000","429,000","-145,000","1,041,000","2,827,000","-1,308,000","-140,000","1,544,000"
8,12/31/2015,"1,131,000","1,131,000","920,000","-148,000",-,"2,000","-51,000","-103,000","247,000","247,000","-76,000","-76,000","2,000",-,-,"58,000","166,000","-38,000",-,-,"-38,000","-2,023,000","-2,023,000","824,000","-3,548,000","4,372,000","22,000","22,000","-2,841,000","110,000","-2,951,000","-74,000","-75,000","1,000",-,-,-,-,-,"46,000","846,000","846,000","2,491,000","2,584,000","3,756,000","-1,172,000","-93,000",-,"-426,000","22,000","-448,000",-,-,-,"-267,000",-,-,-,-,"607,000","-46,000","653,000",-,"281,000","329,000","-75,000","22,000","3,756,000","-1,172,000","-448,000","1,056,000"
9,12/31/2014,"1,320,000","1,320,000","907,000","-170,000","-10,000","-28,000","-38,000","-97,000","227,000","227,000","5,000","5,000","262,000",-,-,"44,000","57,000","-12,000",-,-,"-12,000","-2,816,000","-2,816,000","508,000","-3,597,000","4,105,000","17,000","17,000","-3,176,000","120,000","-3,296,000","-96,000","-97,000","1,000",-,-,"-104,000","-114,000","10,000","35,000","1,532,000","1,532,000","-507,000","372,000","1,727,000","-1,355,000","-879,000",-,"-457,000","27,000","-484,000",-,-,-,"-240,000",-,-,-,-,"653,000","36,000","617,000",-,"131,000","281,000","-97,000","27,000","1,727,000","-1,355,000","-484,000","1,223,000"
