,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Intangibles Purchase And Sale,Purchase of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"4,469,000","4,469,000","1,917,000","-160,000",-,0,"-9,000","-151,000","137,000","137,000","-27,000","-27,000","2,081,000","27,000",-,"120,000","502,000","-128,000",-,-,"-128,000","-10,934,000","-10,934,000","6,636,000","-8,810,000","15,446,000",-,-,"-17,492,000","157,000","-17,649,000","-80,000","-96,000","16,000","-12,000","-12,000","-58,000","-58,000",-,"72,000","6,439,000","6,439,000","16,718,000","8,016,000","16,596,000","-8,580,000","8,702,000",-,-,"6,000","6,000",0,"590,000","590,000",-,"-854,000","-44,000",-,-,"887,000","-26,000","913,000",-,"292,000","601,000","-108,000","596,000","16,596,000","-8,580,000",0,"4,361,000"
1,3/31/2023,"718,000","718,000","312,000","-4,000",-,"11,000",0,"-15,000","36,000","36,000","75,000","75,000","410,000","5,000",-,"34,000","139,000","-289,000",-,-,"-289,000","-7,336,000","-7,336,000","-6,747,000","-7,850,000","1,103,000",-,-,"-588,000","25,000","-613,000","-23,000","-24,000","1,000",-,-,-,-,-,"22,000","6,515,000","6,515,000","5,261,000","3,289,000","4,490,000","-1,201,000","1,972,000",-,-,"-37,000","1,000","-38,000",0,0,-,"-228,000","-34,000",-,-,"784,000","-103,000","887,000",-,"46,000","426,000","-24,000","1,000","4,490,000","-1,201,000","-38,000","694,000"
2,12/31/2022,"1,585,000","1,585,000","394,000","-54,000",-,"-1,000","-18,000","-35,000","37,000","37,000","-65,000","-65,000","733,000","5,000",-,"31,000","265,000","239,000",-,-,"239,000","-583,000","-583,000","2,611,000","-1,034,000","3,645,000",-,-,"-3,174,000","32,000","-3,206,000","-32,000","-35,000","3,000",0,0,0,0,-,"12,000","-832,000","-832,000","1,655,000","992,000","995,000","-3,000","663,000",-,-,"1,000","1,000",0,0,0,-,"-228,000",0,-,-,"887,000","170,000","717,000",-,"132,000","324,000","-35,000","1,000","995,000","-3,000",0,"1,550,000"
3,9/30/2022,"2,081,000","2,081,000","542,000","-20,000",-,"6,000",-,"-35,000","26,000","26,000","-61,000","-61,000","1,708,000","6,000",-,"30,000","109,000","-259,000",-,-,"-259,000","-6,174,000","-6,174,000","-2,359,000","-1,474,000","-885,000",-,-,"-3,819,000","44,000","-3,863,000","-17,000","-19,000","2,000",0,0,0,0,-,"21,000","4,132,000","4,132,000","4,761,000","2,004,000","3,500,000","-1,496,000","2,757,000",-,-,0,0,0,-,-,-,"-209,000",0,-,-,"717,000","39,000","678,000",-,"29,000","108,000","-19,000","590,000","3,500,000","-1,496,000",0,"2,062,000"
4,6/30/2022,"-78,000","-78,000","533,000","-31,000",-,"2,000",-,"-33,000","34,000","34,000","-25,000","-25,000","-714,000","11,000",-,"30,000","45,000","39,000",-,-,"39,000","-6,151,000","-6,151,000","-331,000","-3,672,000","3,341,000",-,-,"-5,755,000","32,000","-5,787,000","-20,000","-24,000","4,000",-,-,"-58,000","-58,000",-,"25,000","6,223,000","6,223,000","9,230,000","6,008,000","8,100,000","-2,092,000","3,222,000",-,-,0,0,0,-,-,-,"-209,000",0,-,-,"678,000","-6,000","684,000",-,"112,000","111,000","-36,000",0,"8,100,000","-2,092,000",0,"-114,000"
5,3/31/2022,"881,000","881,000","448,000","-55,000",-,"-7,000",-,"-48,000","40,000","40,000","124,000","124,000","354,000","5,000",-,"29,000","83,000","-147,000",-,-,"-147,000","1,974,000","1,974,000","6,715,000","-2,630,000","9,345,000",-,-,"-4,744,000","49,000","-4,793,000","-11,000","-18,000","7,000",-,-,0,0,-,"14,000","-3,084,000","-3,084,000","1,072,000","-988,000","4,001,000","-4,989,000","2,060,000",-,-,"5,000","5,000",0,-,-,-,"-208,000","-44,000",-,-,"684,000","-229,000","913,000",-,"19,000","58,000","-18,000","5,000","4,001,000","-4,989,000",0,"863,000"
6,12/31/2021,"-10,000","-10,000","629,000","-95,000",-,"2,000","-7,000","-90,000","-48,000","-48,000","20,000","20,000","-752,000","5,000",-,"26,000","4,000","201,000",-,-,"201,000","1,001,000","1,001,000","4,187,000","-5,079,000","9,266,000",-,-,"-3,151,000",-,"-3,488,000","-31,000","-35,000",-,-,-,"-20,000","-20,000",-,"16,000","-841,000","-841,000","-1,279,000","-1,045,000",0,"-1,045,000","-234,000",-,-,"6,000","6,000",0,-,-,-,"-209,000",0,-,-,"913,000","150,000","763,000",-,"65,000","109,000","-35,000","6,000",0,"-1,045,000",0,"-45,000"
7,9/30/2021,"915,000","915,000","645,000","-69,000",-,"3,000",0,"-72,000","59,000","59,000","-70,000","-70,000","476,000","6,000",-,"26,000","-107,000","-51,000",-,-,"-51,000","-5,955,000","-5,955,000","-4,776,000","-6,903,000","2,127,000",-,-,"-1,200,000",-,"-625,000","1,000","1,000",-,-,-,0,0,-,"20,000","5,011,000","5,011,000","61,000",0,"3,000","-3,000","61,000",-,-,"-708,000","1,000","-709,000",-,-,-,"-201,000",0,-,-,"763,000","-29,000","792,000",-,"21,000","54,000",-,"1,000","3,000","-3,000","-709,000","916,000"
8,6/30/2021,"453,000","453,000","729,000","-61,000",-,"4,000",0,"-65,000","4,000","4,000","88,000","88,000","-78,000","7,000",-,"26,000","-222,000","-40,000",-,-,"-40,000","-4,584,000","-4,584,000","-4,889,000","-6,400,000","1,511,000",-,-,"306,000","371,000","-65,000","-20,000","-20,000",-,-,-,0,0,-,"19,000","3,985,000","3,985,000","595,000","686,000","1,200,000","-514,000","-91,000",-,-,"-292,000","8,000","-300,000",-,-,-,"-206,000","-1,000",-,-,"792,000","-146,000","938,000",-,"148,000","120,000","-20,000","8,000","1,200,000","-514,000","-300,000","433,000"
9,3/31/2021,"-205,000","-205,000","622,000","-58,000",-,"-3,000",0,"-55,000","17,000","17,000","108,000","108,000","-757,000","6,000",-,"26,000","-93,000","-76,000",-,-,"-76,000","-5,530,000","-5,530,000","-5,632,000","-9,866,000","4,234,000",-,-,"106,000","204,000","-98,000","-12,000","-12,000",-,-,-,"-9,000","-9,000",-,"17,000","5,582,000","5,582,000","-958,000","-1,004,000",0,"-1,004,000","46,000",-,-,"-123,000","12,000","-135,000",-,-,-,"-207,000","-31,000",-,-,"938,000","-153,000","1,091,000",-,"43,000","80,000","-12,000","12,000",0,"-1,004,000","-135,000","-217,000"
10,12/31/2020,"946,000","946,000","582,000","-66,000",-,"-2,000",0,"-64,000","-1,000","-1,000","26,000","26,000","356,000","5,000",-,"26,000","20,000","-2,000",-,-,"-2,000","-178,000","-178,000","-2,011,000","-8,107,000","6,096,000",-,-,"1,831,000","71,000","1,760,000","-18,000","-18,000",0,-,-,0,0,-,"20,000","-633,000","-633,000","1,054,000","1,106,000","1,105,000","1,000","-52,000",-,-,"-16,000","1,000","-17,000",0,0,-,"-207,000",0,-,-,"1,091,000","135,000","956,000",-,"66,000","130,000","-18,000","1,000","1,105,000","1,000","-17,000","928,000"
11,9/30/2020,"622,000","622,000","428,000","-61,000",-,"-1,000",0,"-60,000","26,000","26,000","-69,000","-69,000","197,000","5,000",-,"24,000","160,000","-88,000",-,-,"-88,000","201,000","201,000","-2,685,000","-5,153,000","2,468,000",-,-,"2,898,000","49,000","2,849,000","-18,000","-18,000",0,-,-,0,0,-,"6,000","-926,000","-926,000","-1,953,000","-1,001,000","1,000","-1,002,000","-952,000",-,-,"1,000","1,000",0,0,0,-,"-207,000",0,-,-,"956,000","-103,000","1,059,000",-,"116,000","136,000","-18,000","1,000","1,000","-1,002,000",0,"604,000"
12,6/30/2020,"278,000","278,000","187,000","-92,000",-,"-21,000",0,"-71,000","32,000","32,000","-130,000","-130,000","-385,000","8,000",-,"26,000","482,000","150,000",-,-,"150,000","-15,022,000","-15,022,000","-12,000,000","-14,346,000","2,346,000",-,-,"-3,028,000","37,000","-3,065,000","-15,000","-15,000",0,-,-,-,-,-,"21,000","14,938,000","14,938,000","-5,064,000","3,000","4,000","-1,000","-5,067,000",-,-,"1,000","1,000",0,-,-,-,"-207,000","-1,000",-,-,"1,059,000","194,000","865,000",-,"24,000","198,000","-15,000","1,000","4,000","-1,000",0,"263,000"
13,3/31/2020,"-173,000","-173,000","146,000","-34,000",-,"8,000","-4,000","-38,000","54,000","54,000","-18,000","-18,000","-960,000","10,000",-,"25,000","359,000","245,000",-,-,"245,000","-9,722,000","-9,722,000","-881,000","-3,086,000","2,205,000",-,-,"-8,848,000","54,000","-8,902,000","-12,000","-12,000",0,-,-,-,-,-,"19,000","10,028,000","10,028,000","6,949,000","991,000","2,497,000","-1,506,000","5,958,000",-,-,"-112,000","5,000","-117,000",-,-,-,"-208,000","-35,000",-,-,"865,000","133,000","732,000",-,"35,000","267,000","-12,000","5,000","2,497,000","-1,506,000","-117,000","-185,000"
14,12/31/2019,"1,007,000","1,007,000","469,000","-68,000",0,"-2,000","-5,000","-62,000","58,000","58,000","-28,000","-28,000","509,000","11,000",-,"24,000","109,000","-77,000",-,-,"-77,000","1,040,000","1,040,000","2,953,000","-326,000","3,279,000","9,000","9,000","-1,914,000","154,000","-2,068,000","-26,000","-27,000","1,000",-,-,0,0,0,"18,000","-1,951,000","-1,951,000","-1,733,000","-1,943,000","16,000","-1,959,000","210,000",-,-,"-230,000","11,000","-241,000",0,0,-,"-209,000",0,-,-,"732,000","96,000","636,000",-,-,"301,000","-27,000","11,000","16,000","-1,959,000","-241,000","980,000"
15,9/30/2019,"1,179,000","1,179,000","416,000","-86,000",0,"-17,000",-,"-56,000","62,000","62,000","13,000","13,000","498,000","11,000",-,"24,000","200,000","41,000",-,-,"41,000","-2,485,000","-2,485,000","-1,223,000","-2,602,000","1,379,000","4,000","4,000","-1,276,000","99,000","-1,375,000","-4,000","-20,000","16,000",-,-,0,0,0,"14,000","1,335,000","1,335,000","90,000","89,000","762,000","-673,000","1,000",-,-,"-246,000","2,000","-248,000",0,0,-,"-212,000",0,-,-,"636,000","29,000","607,000",-,-,"331,000","-20,000","2,000","762,000","-673,000","-248,000","1,159,000"
16,6/30/2019,"164,000","164,000","425,000","-40,000",-,"-1,000",-,"-42,000","63,000","63,000","-31,000","-31,000","-336,000","11,000",-,"23,000","74,000","-25,000",-,-,"-25,000","-1,939,000","-1,939,000","140,000","-993,000","1,133,000","6,000","6,000","-1,882,000","85,000","-1,967,000","-29,000","-29,000",0,-,-,-,-,-,"11,000","1,771,000","1,771,000","-66,000","-2,000",0,"-2,000","-64,000",-,-,"-177,000","2,000","-179,000",-,-,-,"-191,000","-1,000",-,-,"607,000","-4,000","611,000",-,-,"314,000","-29,000","437,000",0,"-2,000","-179,000","135,000"
17,3/31/2019,"556,000","556,000","407,000","-26,000",-,"1,000",-,"-28,000","58,000","58,000","99,000","99,000","44,000","17,000",-,"25,000","62,000","-130,000",-,-,"-130,000","-1,534,000","-1,534,000","-827,000","-1,867,000","1,040,000","4,000","4,000","-719,000","61,000","-780,000","-8,000","-9,000","1,000",-,-,-,-,-,"16,000","911,000","911,000","433,000","351,000","1,351,000","-1,000,000","82,000",-,-,"-164,000","3,000","-167,000",-,-,-,"-192,000","-32,000",-,-,"611,000","-67,000","678,000",-,"34,000","305,000","-9,000","3,000","1,351,000","-1,000,000","-167,000","547,000"
18,12/31/2018,"1,712,000","1,712,000","484,000","25,000",0,"76,000",0,"-53,000","92,000","92,000","-5,000","-5,000","910,000","17,000",-,"21,000","59,000","109,000",-,-,"109,000","-1,099,000","-1,099,000","-711,000","-3,718,000","3,007,000","9,000","9,000","-390,000","61,000","-451,000","-25,000","-26,000","1,000",-,-,0,0,0,"18,000","-254,000","-254,000","-1,308,000","-249,000","504,000","-753,000","-1,059,000",-,-,"-277,000","1,000","-278,000",0,0,0,"-198,000",0,-,-,"678,000","359,000","319,000",-,"-10,000","260,000","-26,000","1,000","504,000","-753,000","-278,000","1,686,000"
19,9/30/2018,"386,000","386,000","482,000","-43,000","-5,000","7,000",0,"-41,000","95,000","95,000","86,000","86,000","-243,000","47,000",-,"25,000","62,000","-125,000",-,-,"-125,000","-1,424,000","-1,424,000","-258,000","-1,532,000","1,274,000","8,000","8,000","-1,161,000","44,000","-1,205,000","-37,000","-37,000",0,-,-,"5,000",-,"5,000","19,000","573,000","573,000","-344,000","40,000","44,000","-4,000","-384,000",-,-,"-536,000","5,000","-541,000",-,-,-,"-190,000","-1,000",-,-,"319,000","-465,000","784,000",-,"8,000","243,000","-37,000","417,000","44,000","-4,000","-541,000","349,000"
20,6/30/2018,"619,000","619,000","482,000","-157,000",-,"-36,000",0,"-45,000","92,000","92,000","-5,000","-5,000","186,000","-5,000",-,"26,000","64,000","-64,000",-,-,"-64,000","-708,000","-708,000","-650,000","933,000","-1,583,000","7,000","7,000","-190,000","61,000","-251,000","-17,000","-17,000",0,-,-,-,-,-,"23,000","230,000","230,000","696,000","139,000","1,257,000","-1,118,000","557,000",-,-,"-119,000","4,000","-123,000",-,-,-,"-141,000","-3,000",-,-,"784,000","141,000","643,000",-,-,"190,000","-17,000","4,000","1,257,000","-1,118,000","-123,000","602,000"
21,3/31/2018,"-211,000","-211,000","418,000","-41,000",-,"3,000",0,"-44,000","103,000","103,000","22,000","22,000","-895,000","27,000",-,"27,000","61,000","67,000",-,-,"67,000","749,000","749,000","2,497,000","-1,547,000","4,044,000","7,000","7,000","-1,755,000","38,000","-1,793,000","-18,000","-19,000","1,000",-,-,-,-,-,"18,000","-566,000","-566,000","234,000","-504,000","501,000","-1,005,000","738,000",-,-,"-146,000","10,000","-156,000",0,-,0,"-127,000","-43,000",-,-,"643,000","-28,000","671,000",-,-,"199,000","-19,000","10,000","501,000","-1,005,000","-156,000","-230,000"
22,12/31/2017,"736,000","736,000","197,000","-62,000",-,"9,000","-3,000","-70,000","106,000","106,000","169,000","169,000","272,000","32,000",-,"26,000","49,000","-53,000",-,-,"-53,000","-1,406,000","-1,406,000","-1,314,000","-2,743,000","1,429,000","14,000","14,000","5,000","54,000","-49,000","-56,000","-56,000",0,-,-,"-70,000","-70,000",-,"15,000","779,000","779,000","-680,000","-703,000","2,000","-705,000","23,000",-,-,"-202,000","-4,000","-198,000",0,0,0,"-127,000","-1,000",-,-,"671,000","109,000","562,000",-,"3,000","156,000","-56,000","-4,000","2,000","-705,000","-198,000","680,000"
