,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"7,026,000","4,527,000","5,412,000","4,297,000","4,297,000","1,115,000",-,-,-,"885,000","279,000","90,000","475,000","41,000",-,"2,499,000","132,000","1,602,000","1,814,000","947,000","526,000",-,"341,000",-,"212,000","638,000",-,-,"-9,000","-9,000",-,-,"136,000","-502,000","4,188,000","387,000","295,000","92,000",-,"2,780,000","2,657,000","2,556,000","101,000",-,-,"123,000",-,-,-,-,"1,021,000","-3,000",-,"10,000",-,"-7,000","2,333,000","422,000","1,799,000","1,917,000","1,917,000","1,911,000","6,000",-,-,0,"118,000","1,799,000",-,-,-,-,"101,000","4,025,000","1,917,000","1,913,457",-,"137,000","1,911,000","-3,000","-3,000",0,-543
1,12/31/2022,"7,033,000","4,527,000","5,412,000","4,297,000","4,297,000","1,115,000",-,-,-,"885,000","279,000","90,000","475,000","41,000",-,"2,506,000","132,000","1,602,000","1,814,000","947,000","526,000",-,"341,000",-,"212,000","638,000",-,-,"-9,000","-9,000",-,-,"134,000","-502,000","4,188,000","387,000","295,000","92,000",-,"2,780,000","2,657,000","2,556,000","101,000",-,-,"123,000",-,-,-,-,"1,021,000","-10,000",-,"10,000",-,"-7,000","2,333,000","422,000","1,799,000","1,917,000","1,917,000","1,911,000","6,000",-,-,0,"118,000","1,799,000",1.94,1.93,"924,363","933,059","101,000","4,025,000","1,917,000","1,919,191",-,"137,000","1,911,000","-10,000","-10,000",0,"-1,809"
2,12/31/2021,"7,038,000","4,071,000","4,367,000","3,582,000","3,582,000","785,000",-,-,-,"296,000","67,000","8,000","221,000",0,-,"2,967,000","128,000","1,607,000","1,834,000","889,000","530,000",-,"415,000",-,"227,000","937,000",-,-,"7,000","7,000",-,-,"295,000","418,000","4,201,000","400,000","300,000","100,000",-,"2,812,000","2,686,000","2,560,000","126,000",-,"227,000","126,000","58,000","58,000","58,000","58,000","931,000","-1,000",-,"1,000",-,"18,000","3,254,000","642,000","2,519,000","2,625,000","2,625,000","2,612,000","13,000",-,-,0,"106,000","2,519,000",2.65,2.63,"947,065","957,414","126,000","4,489,000","2,625,000","2,612,803",-,"58,000","2,612,000","-1,000","-1,000",0,-197.2956
3,12/31/2020,"6,490,000","4,034,000","4,685,000","3,935,000","3,935,000","750,000",-,-,-,"651,000","347,000","12,000","286,000","6,000",-,"2,456,000","139,000","1,474,000","1,670,000","795,000","507,000",-,"368,000",-,"196,000","661,000",-,-,-,-,-,-,"182,000","-1,021,000","3,883,000","398,000","298,000","100,000","196,000","2,573,000","2,476,000","2,306,000","138,000","32,000","196,000","97,000","65,000","65,000","65,000","65,000","847,000","-30,000",-,"30,000",-,"5,000","1,556,000","227,000","1,237,000","1,343,000","1,343,000","1,329,000","14,000",-,-,0,"106,000","1,237,000",1.28,1.27,"967,783","974,807","138,000","3,013,000","1,343,000","1,354,623",-,"65,000","1,329,000","-30,000","-30,000",0,"-4,377"
4,12/31/2019,"6,182,000","3,909,000","5,235,000","4,330,000","4,330,000","905,000",-,-,"13,000","1,326,000","853,000","17,000","454,000","2,000",-,"2,273,000","136,000","1,277,000","1,463,000","713,000","475,000",-,"275,000",-,"186,000","630,000",-,-,-,-,-,-,"230,000","-445,000","3,665,000","393,000","293,000","100,000","186,000","2,450,000","2,354,000","2,200,000","123,000","31,000","186,000","96,000","89,000","89,000","89,000","89,000","733,000","-50,000",-,"50,000",-,"-2,000","2,022,000","314,000","1,620,000","1,717,000","1,717,000","1,708,000","9,000",-,-,0,"97,000","1,620,000",1.63,1.62,"992,091","1,002,254","123,000","3,464,000","1,717,000","1,750,235",-,"89,000","1,708,000","-50,000","-50,000",0,"-7,765"
5,12/31/2018,"6,240,000","3,909,000","4,878,000","4,089,000","4,089,000","789,000",-,-,"21,000","969,000","517,000","21,000","420,000","11,000",-,"2,331,000","137,000","1,279,000","1,463,000","694,000","499,000",-,"270,000",-,"184,000","650,000",-,-,-,-,-,-,"265,000","-246,000","3,745,000","413,000","308,000","105,000","184,000","2,557,000","2,455,000","2,263,000","120,000","72,000","184,000","102,000","99,000","99,000","99,000","99,000","676,000","-46,000","83,000","46,000",-,"9,000","2,203,000","344,000","1,800,000","1,866,000","1,866,000","1,859,000","7,000",-,-,0,"66,000","1,800,000",1.73,1.71,"1,040,890","1,054,682","120,000","3,663,000","1,866,000","1,897,817",-,"99,000","1,859,000","-46,000","-46,000",0,"-7,183"
6,12/31/2017,"6,063,000","3,777,000","4,390,000","3,729,000","3,729,000","661,000",-,-,"17,000","613,000","278,000","15,000","319,000","1,000",-,"2,286,000","131,000","1,303,000","1,495,000","673,000","535,000",-,"287,000",-,"192,000","603,000",-,-,"7,000","7,000",-,-,"242,000","-229,000","3,882,000","445,000","331,000","114,000","192,000","2,543,000","2,423,000","2,249,000","92,000","82,000","192,000","120,000","95,000","95,000","95,000","95,000","799,000","-24,000",-,"24,000",-,"24,000","1,928,000","637,000","1,226,000","1,296,000","1,298,000","1,291,000","7,000",-,-,"-2,000","70,000","1,226,000",1.14,1.13,"1,072,078","1,088,593","92,000","3,548,000","1,296,000","1,305,071",-,"95,000","1,289,000","-24,000","-24,000",0,"-7,929"
7,12/31/2016,"4,755,000","2,919,000","3,319,000","2,807,000","2,807,000","512,000",-,-,"16,000","400,000","171,000","10,000","218,000","1,000",-,"1,836,000","125,000","1,053,000","1,288,000","591,000","464,000",-,"233,000",-,"235,000","482,000",-,-,"20,000","20,000",-,-,"156,000","-266,000","3,473,000","403,000","305,000","98,000","235,000","2,246,000","2,145,000","2,025,000","59,000","61,000","235,000","101,000","55,000","55,000","55,000","55,000","769,000","-48,000",-,"48,000",-,"56,000","968,000","179,000","754,000","791,000","790,000","789,000","1,000",-,-,"1,000","37,000","754,000",0.81,0.80,"927,816","938,536","59,000","2,653,000","791,000","829,124",-,"55,000","790,000","-48,000","-48,000",0,"-8,876"
8,12/31/2015,"4,069,000","2,348,000","2,622,000","2,186,000","2,186,000","436,000",-,-,"18,000","274,000","105,000","9,000","160,000",0,-,"1,721,000","127,000","971,000","1,130,000","514,000","433,000",-,"183,000",-,"159,000","445,000",-,-,"51,000","51,000",-,-,"127,000","-166,000","2,663,000","343,000","255,000","88,000","159,000","1,770,000","1,713,000","1,634,000","47,000","32,000","159,000","57,000","36,000","36,000","36,000","36,000","514,000","-18,000",-,"18,000",-,"8,000","1,222,000","303,000","893,000","916,000","920,000","919,000","1,000",-,-,"-4,000","23,000","893,000",1.06,1.05,"836,846","844,489","47,000","2,182,000","916,000","928,537",-,"36,000","915,000","-18,000","-18,000",0,"-4,463"
9,12/31/2014,"3,934,000","2,293,000","2,554,000","2,131,000","2,131,000","423,000",-,-,"22,000","261,000","117,000","9,000","133,000","2,000",-,"1,641,000","118,000","908,000","1,064,000","495,000","403,000",-,"166,000",-,"156,000","397,000",-,-,"78,000","78,000",-,-,"140,000","-57,000","2,605,000","357,000","261,000","96,000","156,000","1,712,000","1,663,000","1,591,000","42,000","30,000","156,000","49,000","39,000","39,000","39,000","39,000","497,000","-31,000",-,"24,000",-,"7,000","1,272,000","326,000","878,000","900,000","907,000","946,000","-39,000",-,-,"-7,000","22,000","878,000",1.01,0.99,"871,464","878,199","42,000","2,236,000","900,000","939,000",-,"39,000","939,000","-31,000","-31,000",0,0
