,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"7,026,000","4,527,000","5,412,000","4,297,000","4,297,000","1,115,000",-,-,-,"885,000","279,000","90,000","475,000","41,000",-,"2,499,000","132,000","1,602,000","1,814,000","947,000","526,000",-,"341,000",-,"212,000","638,000",-,-,"-9,000","-9,000",-,-,"136,000","-502,000","4,188,000","387,000","295,000","92,000",-,"2,780,000","2,657,000","2,556,000","101,000",-,-,"123,000",-,-,-,-,"1,021,000","-3,000",-,"10,000",-,"-7,000","2,333,000","422,000","1,799,000","1,917,000","1,917,000","1,911,000","6,000",-,-,0,"118,000","1,799,000",-,-,-,-,"101,000","4,025,000","1,917,000","1,913,457",-,"137,000","1,911,000","-3,000","-3,000",0,-543
1,3/31/2023,"1,662,000","1,099,000","1,824,000","1,489,000","1,489,000","335,000",-,-,-,"725,000","350,000","78,000","275,000","22,000",-,"563,000","29,000","364,000","409,000","200,000","128,000",-,"81,000",-,"45,000","145,000",-,-,-,-,-,-,"25,000","-139,000","1,100,000","92,000","70,000","22,000",-,"711,000","690,000","670,000","20,000",-,-,"21,000",-,-,-,-,"297,000","-31,000",-,"31,000",-,-,"392,000","81,000","276,000","312,000","312,000","311,000","1,000",-,-,0,"36,000","276,000",0.30,0.30,"926,490","933,804","20,000","960,000","312,000","335,594",-,"36,000","311,000","-31,000","-31,000",0,"-6,406"
2,12/31/2022,"1,831,000","1,220,000","1,695,000","1,367,000","1,367,000","328,000",-,-,-,"475,000","186,000","54,000","219,000","16,000",-,"611,000","33,000","362,000","422,000","211,000","126,000",-,"85,000",-,"60,000","172,000",-,-,"-18,000","-18,000",-,-,"44,000","-265,000","1,094,000","92,000","72,000","20,000",-,"725,000","694,000","672,000","22,000",-,-,"31,000",-,-,-,-,"277,000","-2,000",-,"2,000",-,"-2,000","470,000","76,000","356,000","394,000","394,000","394,000",0,-,-,0,"38,000","356,000",0.38,0.38,"924,974","933,724","22,000","955,000","394,000","395,677",-,"37,000","394,000","-2,000","-2,000",0,-323.4043
3,9/30/2022,"1,832,000","1,196,000","1,444,000","1,148,000","1,148,000","296,000",-,-,-,"248,000","59,000","24,000","146,000","19,000",-,"636,000","33,000","417,000","464,000","246,000","127,000",-,"91,000",-,"47,000","154,000",-,-,"9,000","9,000",-,-,"32,000","-109,000","1,057,000","95,000","72,000","23,000",-,"707,000","677,000","653,000","24,000",-,-,"30,000",-,-,-,-,"255,000","-2,000",-,"2,000",-,-,"664,000","124,000","515,000","542,000","542,000","540,000","2,000",-,-,0,"27,000","515,000",0.55,0.55,"924,594","932,455","24,000","1,087,000","542,000","541,627",-,"26,000","540,000","-2,000","-2,000",0,-373.494
4,6/30/2022,"1,733,000","1,097,000","1,193,000","933,000","933,000","260,000",-,-,-,"96,000","20,000","9,000","61,000","6,000",-,"636,000","35,000","413,000","465,000","243,000","137,000",-,"85,000",-,"52,000","149,000",-,-,-,-,-,-,"39,000","-45,000","1,022,000","104,000","78,000","26,000",-,"664,000","630,000","603,000","27,000",-,-,"34,000",-,-,-,-,"254,000","-4,000",-,"4,000",-,"-4,000","662,000","132,000","507,000","533,000","533,000","530,000","3,000",-,-,0,"26,000","507,000",0.55,0.54,"924,302","931,808","27,000","1,052,000","533,000","533,202",-,"34,000","530,000","-4,000","-4,000",0,-797.5831
5,3/31/2022,"1,637,000","1,014,000","1,080,000","849,000","849,000","231,000",-,-,-,"66,000","14,000","3,000","49,000",0,-,"623,000","31,000","401,000","454,000","238,000","136,000",-,"80,000",-,"53,000","163,000",-,-,-,-,-,-,"28,000","-83,000","1,015,000","96,000","73,000","23,000",-,"684,000","656,000","628,000","28,000",-,-,"28,000",-,-,-,-,"235,000","-2,000",-,"2,000",-,"6,000","537,000","90,000","421,000","448,000","448,000","447,000","1,000",-,-,0,"27,000","421,000",0.46,0.45,"922,941","933,634","28,000","931,000","448,000","448,665",-,"40,000","447,000","-2,000","-2,000",0,-335.1955
6,12/31/2021,"1,872,000","1,033,000","1,103,000","888,000","888,000","215,000",-,-,-,"70,000","15,000","2,000","53,000",0,-,"839,000","34,000","387,000","457,000","236,000","135,000",-,"86,000",-,"70,000","323,000",-,-,-,-,-,-,"95,000","-4,000","1,100,000","100,000","75,000","25,000",-,"742,000","705,000","674,000","31,000",-,"70,000","37,000","14,000","14,000","14,000","14,000","244,000",0,-,0,-,"5,000","768,000","141,000","603,000","629,000","629,000","627,000","2,000",-,-,0,"26,000","603,000",0.65,0.64,"922,970","934,729","31,000","1,029,000","629,000","627,000",-,"14,000","627,000",0,0,0,0
7,9/30/2021,"1,757,000","1,016,000","1,087,000","895,000","895,000","192,000",-,-,-,"71,000","15,000","2,000","54,000",0,-,"741,000","33,000","411,000","467,000","227,000","129,000",-,"111,000",-,"56,000","235,000",-,-,-,-,-,-,"62,000","107,000","1,056,000","99,000","74,000","25,000",-,"702,000","670,000","640,000","30,000",-,"56,000","32,000","15,000","15,000","15,000","15,000","240,000",0,-,0,-,-,"808,000","165,000","618,000","645,000","645,000","643,000","2,000",-,-,0,"27,000","618,000",0.66,0.65,"942,446","952,523","30,000","1,123,000","645,000","643,000",-,"15,000","643,000",0,0,0,0
8,6/30/2021,"1,716,000","1,017,000","1,090,000","899,000","899,000","191,000",-,-,-,"73,000","16,000","3,000","54,000",0,-,"699,000","30,000","403,000","454,000","208,000","133,000",-,"113,000",-,"51,000","217,000",-,-,-,-,-,-,"49,000","222,000","1,025,000","100,000","75,000","25,000",-,"685,000","654,000","623,000","31,000",-,"51,000","31,000","14,000","14,000","14,000","14,000","226,000",0,-,0,-,-,"913,000","189,000","703,000","729,000","729,000","724,000","5,000",-,-,0,"26,000","703,000",0.73,0.73,"961,292","970,806","31,000","1,239,000","729,000","724,000",-,"14,000","724,000",0,0,0,0
9,3/31/2021,"1,693,000","1,005,000","1,087,000","900,000","900,000","187,000",-,-,-,"82,000","21,000","1,000","60,000",0,-,"688,000","31,000","406,000","456,000","218,000","133,000",-,"105,000",-,"50,000","162,000",-,-,-,-,-,-,"89,000","93,000","1,020,000","101,000","76,000","25,000",-,"683,000","657,000","623,000","34,000",-,"50,000","26,000","15,000","15,000","15,000","15,000","221,000","-1,000",-,"1,000",-,-,"765,000","147,000","595,000","622,000","622,000","618,000","4,000",-,-,0,"27,000","595,000",0.62,0.61,"964,878","974,297","34,000","1,098,000","622,000","618,808",-,"15,000","618,000","-1,000","-1,000",0,-192.1569
