,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/31/2023Current,9.00B,N/A,5.44,6.05,4.65,1.27,0.76,N/A,N/A
1,3/31/2023,11.71B,N/A,6.52,6.84,5.26,1.66,1.07,N/A,N/A
2,12/31/2022,16.25B,N/A,7.99,7.85,N/A,2.30,1.51,N/A,N/A
3,9/30/2022,14.95B,N/A,7.03,6.73,N/A,2.15,1.19,N/A,N/A
4,6/30/2022,16.07B,N/A,7.00,7.75,N/A,2.34,1.20,N/A,N/A
5,3/31/2022,20.87B,N/A,8.54,10.39,N/A,3.04,1.34,N/A,N/A
6,12/31/2021,21.48B,N/A,9.07,11.86,0.93,3.22,1.38,N/A,N/A
7,9/30/2021,20.12B,N/A,9.36,11.29,0.86,3.08,1.25,N/A,N/A
8,6/30/2021,19.83B,N/A,11.80,10.57,1.15,2.97,1.26,N/A,N/A
9,3/31/2021,19.43B,N/A,15.86,11.39,1.36,3.00,1.21,N/A,N/A
10,12/31/2020,16.01B,N/A,14.39,12.12,2.75,2.55,1.01,N/A,N/A
11,9/30/2020,11.65B,N/A,10.75,9.32,1.94,1.88,0.74,N/A,N/A
12,6/30/2020,11.89B,N/A,9.02,13.62,1.89,1.97,0.77,N/A,N/A
13,3/31/2020,10.11B,N/A,6.44,5.79,0.76,1.68,0.67,N/A,N/A
14,12/31/2019,19.78B,N/A,12.65,10.65,1.72,3.31,1.30,N/A,N/A
15,9/30/2019,17.64B,N/A,10.68,8.97,1.40,2.97,1.17,N/A,N/A
16,6/30/2019,17.90B,N/A,10.44,9.83,1.28,3.02,1.23,N/A,N/A
17,3/31/2019,15.77B,N/A,9.26,8.51,0.95,2.70,1.13,N/A,N/A
18,12/31/2018,15.07B,N/A,10.34,N/A,N/A,2.52,1.10,N/A,N/A
19,9/30/2018,20.92B,N/A,15.30,10.36,0.85,3.49,1.46,N/A,N/A
20,6/30/2018,20.74B,N/A,15.89,11.43,0.91,3.47,1.49,N/A,N/A
21,3/31/2018,20.57B,N/A,17.46,11.49,0.92,3.51,1.49,N/A,N/A
22,12/31/2017,21.69B,N/A,17.54,13.23,1.47,3.66,1.52,N/A,N/A
23,9/30/2017,20.47B,N/A,19.01,12.22,1.36,3.49,1.43,N/A,N/A
24,6/30/2017,20.48B,N/A,22.05,13.99,1.55,3.60,1.47,N/A,N/A
25,3/31/2017,19.51B,N/A,22.23,13.68,1.93,3.51,1.44,N/A,N/A
26,12/31/2016,19.74B,N/A,21.00,14.10,2.66,3.71,1.43,N/A,N/A
27,9/30/2016,13.17B,N/A,12.55,9.71,1.83,2.49,1.19,N/A,N/A
28,6/30/2016,9.31B,N/A,10.94,10.02,1.89,2.27,0.86,N/A,N/A
29,3/31/2016,9.30B,N/A,10.51,8.21,1.55,2.29,0.89,N/A,N/A
30,12/31/2015,11.02B,N/A,12.44,11.10,2.29,2.77,1.06,N/A,N/A
31,9/30/2015,10.87B,N/A,12.63,10.71,2.21,2.80,1.06,N/A,N/A
32,6/30/2015,12.67B,N/A,14.44,12.21,2.52,3.30,1.23,N/A,N/A
33,3/31/2015,12.05B,N/A,13.62,11.06,2.03,3.16,1.18,N/A,N/A
34,12/31/2014,11.95B,N/A,13.63,12.95,2.38,3.16,1.17,N/A,N/A
35,9/30/2014,11.58B,N/A,12.82,11.98,2.50,3.03,1.13,N/A,N/A
36,6/30/2014,12.56B,N/A,14.62,12.44,2.59,3.30,1.24,N/A,N/A
37,3/31/2014,12.60B,N/A,15.31,12.36,2.58,3.30,1.26,N/A,N/A
38,12/31/2013,11.95B,N/A,15.08,12.64,2.53,3.06,1.21,N/A,N/A
39,9/30/2013,10.24B,N/A,13.26,11.36,2.27,2.59,1.03,N/A,N/A
40,6/30/2013,10.16B,N/A,12.55,11.25,2.47,2.55,1.00,N/A,N/A
41,3/31/2013,9.19B,N/A,11.32,10.02,2.20,2.33,0.92,N/A,N/A
42,12/31/2012,7.79B,N/A,9.57,9.35,2.92,1.97,0.78,N/A,N/A
43,9/30/2012,8.25B,N/A,9.82,9.79,7.54,2.15,0.83,N/A,N/A
44,6/30/2012,7.38B,N/A,8.41,8.90,3.02,1.91,0.75,N/A,N/A
45,3/31/2012,8.10B,N/A,9.24,10.59,2.00,2.05,0.85,N/A,N/A
46,12/31/2011,7.33B,N/A,7.39,10.04,3.14,1.73,0.76,N/A,N/A
47,9/30/2011,5.65B,N/A,5.70,7.75,1.55,1.34,0.59,N/A,N/A
48,6/30/2011,7.95B,N/A,8.50,10.92,2.02,1.80,0.84,N/A,N/A
49,3/31/2011,8.47B,N/A,11.24,11.09,2.05,1.83,0.93,N/A,N/A
50,12/31/2010,7.79B,N/A,18.83,17.12,3.61,1.81,0.93,N/A,N/A
51,9/30/2010,7.01B,N/A,N/A,N/A,N/A,1.58,0.83,N/A,N/A
52,6/30/2010,6.77B,N/A,N/A,N/A,N/A,1.64,0.84,N/A,N/A
53,3/31/2010,6.81B,N/A,N/A,N/A,N/A,1.45,0.86,N/A,N/A
54,12/31/2009,4.88B,N/A,N/A,N/A,N/A,0.91,0.61,N/A,N/A
55,9/30/2009,5.71B,N/A,N/A,N/A,-1.45,0.93,0.69,N/A,N/A
56,6/30/2009,4.18B,N/A,N/A,N/A,N/A,0.61,0.51,N/A,N/A
57,3/31/2009,3.89B,N/A,N/A,N/A,N/A,0.93,0.56,N/A,N/A
58,12/31/2008,4.22B,N/A,N/A,N/A,N/A,0.93,0.57,N/A,N/A
59,9/30/2008,5.91B,N/A,N/A,N/A,-0.85,1.17,0.74,N/A,N/A
60,6/30/2008,5.33B,N/A,N/A,N/A,-0.78,1.00,0.66,N/A,N/A
61,3/31/2008,8.78B,N/A,10.81,N/A,-1.57,1.81,1.02,N/A,N/A
62,12/31/2007,9.12B,N/A,9.85,N/A,N/A,1.90,1.18,N/A,N/A
63,9/30/2007,12.57B,N/A,9.95,N/A,N/A,2.59,1.63,N/A,N/A
64,6/30/2007,13.40B,N/A,10.93,N/A,N/A,2.82,1.74,N/A,N/A
65,3/31/2007,14.70B,N/A,12.88,N/A,N/A,3.20,1.91,N/A,N/A
66,12/31/2006,15.18B,N/A,13.02,N/A,N/A,3.11,1.91,N/A,N/A
67,9/30/2006,15.08B,N/A,13.23,N/A,N/A,3.10,1.95,N/A,N/A
68,6/30/2006,14.37B,N/A,12.61,N/A,N/A,2.95,1.86,N/A,N/A
69,3/31/2006,14.91B,N/A,13.24,N/A,N/A,3.11,1.95,N/A,N/A
70,12/31/2005,13.39B,N/A,13.02,N/A,N/A,2.97,1.78,N/A,N/A
71,9/30/2005,13.18B,N/A,12.75,N/A,N/A,2.91,1.75,N/A,N/A
72,6/30/2005,13.53B,N/A,13.42,N/A,N/A,3.00,1.84,N/A,N/A
73,3/31/2005,13.22B,N/A,13.81,N/A,N/A,3.02,1.85,N/A,N/A
74,12/31/2004,13.82B,N/A,14.74,N/A,N/A,3.21,1.94,N/A,N/A
75,9/30/2004,12.82B,N/A,13.56,N/A,N/A,3.00,1.85,N/A,N/A
76,6/30/2004,12.17B,N/A,13.23,N/A,N/A,2.83,1.78,N/A,N/A
77,3/31/2004,12.48B,N/A,13.77,N/A,N/A,2.86,1.78,N/A,N/A
78,12/31/2003,12.25B,N/A,13.87,N/A,N/A,2.79,1.76,N/A,N/A
79,9/30/2003,10.72B,N/A,11.89,N/A,N/A,2.43,1.54,N/A,N/A
80,6/30/2003,10.47B,N/A,11.65,N/A,N/A,2.41,1.50,N/A,N/A
81,3/31/2003,9.54B,N/A,10.16,N/A,N/A,2.16,1.38,N/A,N/A
82,12/31/2002,10.66B,N/A,11.07,N/A,N/A,2.40,1.56,N/A,N/A
83,9/30/2002,10.61B,N/A,19.36,N/A,N/A,2.40,1.59,N/A,N/A
84,6/30/2002,11.64B,N/A,65.00,N/A,N/A,2.60,1.82,N/A,N/A
85,3/31/2002,11.34B,N/A,72.03,N/A,N/A,2.52,1.84,N/A,N/A
86,12/31/2001,10.32B,N/A,65.78,N/A,N/A,2.30,1.68,N/A,N/A
87,9/30/2001,10.27B,N/A,22.26,N/A,N/A,2.29,1.59,N/A,N/A
88,6/30/2001,11.07B,N/A,13.16,N/A,N/A,2.45,1.65,N/A,N/A
89,3/31/2001,10.95B,N/A,11.22,N/A,N/A,2.28,1.65,N/A,N/A
90,12/31/2000,11.85B,N/A,12.33,N/A,N/A,2.43,1.82,N/A,N/A
91,9/30/2000,10.82B,N/A,9.81,N/A,N/A,2.18,1.66,N/A,N/A
92,6/30/2000,7.60B,N/A,6.83,N/A,N/A,1.52,1.17,N/A,N/A
93,3/31/2000,8.31B,N/A,7.22,N/A,N/A,1.63,1.28,N/A,N/A
94,12/31/1999,9.81B,N/A,9.03,N/A,N/A,1.97,1.54,N/A,N/A
95,9/30/1999,11.58B,N/A,10.58,N/A,N/A,2.38,1.81,N/A,N/A
96,6/30/1999,14.41B,N/A,13.33,N/A,N/A,3.04,2.31,N/A,N/A
97,3/31/1999,13.57B,N/A,12.90,N/A,N/A,2.96,2.22,N/A,N/A
98,12/31/1998,14.51B,N/A,14.38,N/A,N/A,3.32,2.35,N/A,N/A
99,9/30/1998,12.62B,N/A,13.09,N/A,N/A,3.04,2.27,N/A,N/A
100,6/30/1998,15.72B,N/A,16.37,N/A,N/A,3.73,2.85,N/A,N/A
101,3/31/1998,16.65B,N/A,17.79,N/A,N/A,4.03,3.12,N/A,N/A
102,12/31/1997,15.51B,N/A,17.10,N/A,N/A,3.84,2.99,N/A,N/A
103,9/30/1997,13.98B,N/A,17.15,N/A,N/A,3.58,2.75,N/A,N/A
104,6/30/1997,12.20B,N/A,15.74,N/A,N/A,3.28,2.53,N/A,N/A
105,3/31/1997,10.70B,N/A,14.13,N/A,N/A,2.92,2.29,N/A,N/A
106,12/31/1996,11.28B,N/A,14.99,N/A,N/A,3.09,2.31,N/A,N/A
107,9/30/1996,9.99B,N/A,12.43,N/A,N/A,2.70,2.01,N/A,N/A
108,6/30/1996,8.95B,N/A,11.26,N/A,N/A,2.49,1.80,N/A,N/A
109,3/31/1996,8.95B,N/A,11.70,N/A,N/A,2.54,1.79,N/A,N/A
110,12/31/1995,8.47B,N/A,11.22,N/A,N/A,2.48,1.72,N/A,N/A
111,9/30/1995,8.13B,N/A,10.54,N/A,N/A,2.39,1.80,N/A,N/A
112,6/30/1995,7.19B,N/A,9.65,N/A,N/A,2.19,1.59,N/A,N/A
113,3/31/1995,6.73B,N/A,8.53,N/A,N/A,1.92,1.44,N/A,N/A
114,12/31/1994,6.01B,N/A,8.12,N/A,N/A,1.58,1.32,N/A,N/A
115,9/30/1994,7.43B,N/A,9.90,N/A,N/A,1.93,1.64,N/A,N/A
116,6/30/1994,7.79B,N/A,10.70,N/A,N/A,1.96,1.75,N/A,N/A
117,3/31/1994,3.52B,N/A,10.27,N/A,N/A,1.61,0.80,N/A,N/A
118,12/31/1993,3.49B,N/A,10.40,N/A,N/A,1.74,1.71,N/A,N/A
119,9/30/1993,3.75B,N/A,10.53,N/A,N/A,2.35,1.87,N/A,N/A
120,6/30/1993,4.11B,N/A,12.03,N/A,N/A,2.66,2.12,N/A,N/A
121,3/31/1993,4.05B,N/A,12.28,N/A,N/A,2.68,2.16,N/A,N/A
122,12/31/1992,3.75B,N/A,13.39,N/A,N/A,2.47,2.07,N/A,N/A
123,9/30/1992,3.28B,N/A,9.95,N/A,N/A,1.88,1.89,N/A,N/A
124,6/30/1992,3.38B,N/A,11.03,N/A,N/A,1.97,2.01,N/A,N/A
125,3/31/1992,3.17B,N/A,11.50,N/A,N/A,1.87,1.96,N/A,N/A
126,12/31/1991,1.63B,N/A,10.06,N/A,N/A,1.78,1.46,N/A,N/A
127,9/30/1991,2.21B,N/A,11.81,N/A,N/A,1.86,1.75,N/A,N/A
128,6/30/1991,1.97B,N/A,9.32,N/A,N/A,1.62,1.63,N/A,N/A
129,3/31/1991,1.87B,N/A,8.57,N/A,N/A,1.54,1.86,N/A,N/A
130,12/31/1990,1.06B,N/A,6.95,N/A,N/A,1.25,1.05,N/A,N/A
131,9/30/1990,857.01M,N/A,5.70,N/A,N/A,1.46,0.89,N/A,N/A
132,6/30/1990,1.07B,N/A,7.10,N/A,N/A,1.85,1.12,N/A,N/A
133,3/31/1990,1.06B,N/A,6.82,N/A,N/A,1.25,1.47,N/A,N/A
134,12/31/1989,742.17M,N/A,7.42,N/A,N/A,N/A,N/A,N/A,N/A
135,9/30/1989,815.18M,N/A,8.11,N/A,N/A,N/A,N/A,N/A,N/A
