,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Accumulated Depreciation,Goodwill And Other Intangible Assets,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,12/31/2022,"2,906,919","755,170","51,215",-,-,"51,215",-,"703,955","703,955","703,955","10,211","2,343",-,"53,345","848,022",-,"348,765","499,257","1,162,678","1,177,963",215,"441,716","2,960","733,072","1,177,748","15,285","7,606","7,606",-,"40,306","79,093","15,861","44,879","18,055",50,248,"-38,787",-,-,"9,712","9,712","17,526","2,659,881","2,615,142","1,780,263","1,780,263","834,879",-,"14,739","14,739",-,-,-,"30,000","30,000","30,000","14,739","247,038","247,038","219,578",-,"219,578","59,036",-,"-31,576","-31,576","277,038",-,"247,038","247,038","277,038","247,038","30,000",-,"34,299","34,299",-
1,12/31/2021,"2,928,751","1,151,788","23,669",-,-,"23,669",-,"1,128,119","1,128,119","1,128,119","11,558","2,343",-,"52,468","553,066",-,"137,003","416,063","1,094,511","1,110,400","1,407","420,257","3,566","685,170","1,108,993","15,889","4,088","4,088",-,"41,773","82,547","15,861","44,701","21,732",0,253,"-40,774",-,-,"2,163","2,163","21,244","2,674,746","2,577,958","1,691,843","1,691,843","886,115",-,"11,788","11,788",-,-,-,"85,000","85,000","85,000","11,788","254,005","254,005","219,082",-,"219,082","35,220",-,-297,-297,"339,005",-,"254,005","254,005","85,000","254,005","85,000","61,331","34,260","34,260",-
2,12/31/2020,"2,642,026","783,736","31,480",-,-,"31,480",-,"752,256","752,256","752,256","11,558","2,537",-,"42,516","316,300",-,"79,468","236,832","1,417,345","1,434,753","5,422","665,410","4,217","759,704","1,429,331","17,408","5,625","5,625",-,"43,254","82,308","15,861","44,685","21,483",16,263,"-39,054",-,-,"2,059","2,059","24,780","2,402,183","2,298,587","1,489,150","1,489,150","809,437",-,"12,977","12,977",-,-,-,"90,619","90,619",-,"12,977","239,843","239,843","218,528",-,"218,528","17,101",-,"4,214","4,214","330,462",-,"239,843","239,843","90,619","239,843","90,619","59,139","34,198","34,198",-
3,12/31/2019,"2,070,077","272,450","31,942",-,-,"31,942",-,"240,508","240,508","240,508","11,558","2,748","2,748","42,156","307,969",-,"82,720","225,249","1,371,721","1,388,921","3,294","499,572","5,612","880,443","1,385,627","17,200","4,866","4,866",-,"43,417","81,761","15,861","44,283","21,230",124,263,"-38,344",-,-,"2,078","2,078","18,058","1,852,608","1,753,294","1,270,795","1,270,795","482,499",-,"17,388","17,388",-,-,-,"80,619","80,619",-,"18,695","217,469","217,469","218,109",-,"218,109","-2,184",-,"1,544","1,544","298,088",-,"217,469","217,469","80,619","217,469","80,619","48,677","34,104","34,104",-
4,12/31/2018,"1,975,124","171,284","40,526",-,-,"40,526",-,"130,758","130,758","130,758","11,558","3,380","3,380","41,185","297,320",-,"70,334","226,986","1,389,197","1,406,073",415,"513,345","6,925","885,388","1,405,658","16,876","5,279","5,279",-,"44,862","80,720","15,861","43,912","20,176",508,263,"-35,858",-,-,"3,380","3,380","16,338","1,784,271","1,676,739","1,191,209","1,191,209","485,530",-,"6,294","6,294",-,-,-,"101,238","101,238",-,"6,294","190,853","190,853","217,783",-,"217,783","-24,652",-,"-2,278","-2,278","292,091",-,"190,853","190,853","101,238","190,853","101,238","60,712","34,045","34,045",-
5,12/31/2017,"1,890,232","161,467","34,945",-,-,"34,945",-,"126,522","126,522","126,522","11,558","5,767","5,767","40,243","306,547",-,"85,827","220,720","1,304,917","1,321,517","1,208","465,208","6,480","848,621","1,320,309","16,600","4,680","4,680",-,"46,629","82,714","16,384","43,625","21,680",243,782,"-36,085",-,-,"3,785","3,785","13,104","1,717,246","1,579,010","1,088,427","1,088,427","490,583",-,"4,880","4,880",-,-,-,"133,356","133,356",-,"4,880","172,986","172,986","217,081",-,"217,081","-42,804",-,"-1,291","-1,291","306,342",-,"172,986","172,986","133,356","172,986","133,356","98,411","33,973","33,973",-
6,12/31/2016,"1,741,013","89,819","27,690",-,-,"27,690",-,"62,129","62,129","62,129","11,558","12,253","12,253","39,274","253,811",-,"69,378","184,433","1,266,031","1,282,993","2,181","449,342","7,762","823,708","1,280,812","16,962","4,092","4,092",-,"50,026","83,540","18,227","43,600","20,576",358,779,"-33,514",-,-,"8,863","8,863","18,241","1,578,774","1,448,724","947,246","947,246","501,478",-,"4,639","4,639",-,-,-,"125,411","125,411",-,"4,639","162,239","162,239","216,731",-,"216,731","-53,008",-,"-1,484","-1,484","287,650",-,"162,239","162,239","125,411","162,239","125,411","97,721","33,941","33,941",-
7,12/31/2015,"1,729,643","201,476","49,104",-,-,"29,104","20,000","152,372","152,372","152,372","11,558","17,572","17,572","28,858","218,671",-,"51,856","166,815","1,183,627","1,200,708","2,776","377,298","9,274","811,360","1,197,932","17,081","3,622","3,622",-,"51,456","82,383","18,227","43,449","19,353",575,779,"-30,927",-,-,"8,819","8,819","16,425","1,577,666","1,435,512","958,480","958,480","477,032",-,"4,747","4,747",-,-,-,"137,407","137,407",-,"4,747","151,977","151,977","216,540",-,"216,540","-64,910",-,347,347,"289,384",-,"151,977","151,977","137,407","151,977","137,407","88,303","33,925","33,925",-
8,12/31/2014,"1,583,846","149,455","51,503",-,-,"31,503","20,000","97,952","97,952","97,952","11,238","28,242","28,242","28,195","193,459",-,"31,585","161,874","1,101,868","1,120,830","2,347","327,674","11,142","779,667","1,118,483","18,962","3,399","3,399",-,"52,894","81,213","18,227","43,426","18,368",413,779,"-28,319",-,-,"12,265","12,265","18,495","1,441,327","1,306,325","902,182","902,182","404,143",-,"5,657","5,657",-,-,-,"129,345","129,345",-,"5,657","142,519","142,519","216,460",-,"216,460","-74,002",-,61,61,"271,864",-,"142,519","142,519","129,345","142,519","129,345","77,842","33,867","33,867",-
9,12/31/2013,"1,517,405","181,892","63,714",-,-,"38,714","25,000","118,178","118,178","118,178","11,236","36,796","36,796","27,517","158,907",-,"19,248","139,659","1,023,494","1,044,292","1,915","274,099","11,329","756,949","1,042,377","20,798","3,231","3,231",-,"53,641","82,954","18,236","42,530","20,344","1,065",779,"-29,313",-,-,"16,200","16,200","23,922","1,384,883","1,249,734","905,184","905,184","344,550",-,"3,920","3,920",-,-,-,"131,229","131,229",-,"3,920","132,522","132,522","216,263",-,"216,263","-81,786",-,"-1,955","-1,955","263,751",-,"132,522","132,522","131,229","132,522","131,229","67,515","33,801","33,801",-
