,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Accumulated Depreciation,Goodwill And Other Intangible Assets,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
0,3/31/2023,"2,637,153","420,738","29,402",-,"29,402",-,"391,336","391,336","391,336","10,211",0,-,"53,557","874,346",-,"348,387","525,959","1,204,232","1,221,026",87,"473,354","2,914","744,671",-,"16,794","8,782","8,782",-,"40,249",-,-,-,-,-,-,-,-,-,"8,471","8,471","16,567","2,376,585","2,330,895","1,640,451","1,640,451","690,444",-,"15,690","15,690",-,-,-,"30,000","30,000","30,000",-,"260,568","260,568","219,733",-,"219,733","67,092",-,"-26,257","-26,257",-,"290,568",-,"260,568","260,568","290,568","260,568","30,000",598,"34,292","34,292",-
1,12/31/2022,"2,906,919","755,170","51,215",-,"51,215",-,"703,955","703,955","703,955","10,211","2,343",-,"53,345","848,022",-,"348,765","499,257","1,162,678","1,177,963",215,"441,716","2,960","733,072","1,177,748","15,285","7,606","7,606",-,"40,306","79,093","15,861","44,879","18,055",50,248,"-38,787",-,-,"9,712","9,712","17,526","2,659,881","2,615,142","1,780,263","1,780,263","834,879",-,"14,739","14,739",-,-,-,"30,000","30,000","30,000","14,739","247,038","247,038","219,578",-,"219,578","59,036",-,"-31,576","-31,576",-,"277,038",-,"247,038","247,038","277,038","247,038","30,000",-,"34,299","34,299",-
2,9/30/2022,"2,835,038","766,552","33,205",-,"33,205",-,"733,347","733,347","733,347","10,211","2,343",-,"53,193","803,209",-,"349,481","453,728","1,124,058","1,138,879",234,"427,066","3,599","707,980",-,"14,821","7,202","7,202",-,"40,670",-,-,-,-,-,-,-,-,-,"10,185","10,185","17,415","2,598,484","2,556,197","1,700,453","1,700,453","855,744",-,"12,287","12,287",-,-,-,"30,000","30,000","30,000",-,"236,554","236,554","219,583",-,"219,583","49,648",-,"-32,677","-32,677",-,"266,554",-,"236,554","236,554","266,554","236,554","30,000",-,"34,251","34,251",-
3,6/30/2022,"2,781,208","760,202","38,376",-,"38,376",-,"721,826","721,826","721,826","10,211","2,343",-,"52,963","788,349",-,"352,721","435,628","1,098,447","1,113,078","1,163","410,579","3,791","697,545",-,"14,631","5,108","5,108",-,"41,088",-,-,-,-,-,-,-,-,-,"6,516","6,516","15,981","2,538,099","2,494,583","1,591,249","1,591,249","903,334",-,"13,516","13,516",-,-,-,"30,000","30,000","30,000",-,"243,109","243,109","219,456",-,"219,456","42,332",-,"-18,679","-18,679",-,"273,109",-,"243,109","243,109","273,109","243,109","30,000",-,"34,253","34,253",-
4,3/31/2022,"2,929,883","1,110,940","31,957",-,"31,957",-,"1,078,983","1,078,983","1,078,983","10,211","2,343",-,"52,720","600,679",-,"254,565","346,114","1,088,141","1,102,757",855,"410,247","4,227","687,428",-,"14,616","4,896","4,896",-,"41,413",-,-,-,-,-,-,-,-,-,"4,859","4,859","13,681","2,684,281","2,582,297","1,663,390","1,663,390","918,907",-,"16,984","16,984",-,-,-,"85,000","85,000","85,000",-,"245,602","245,602","219,266",-,"219,266","38,492",-,"-12,156","-12,156",-,"330,602",-,"245,602","245,602","330,602","245,602","85,000","53,043","34,254","34,254",-
5,12/31/2021,"2,928,751","1,151,788","23,669",-,"23,669",-,"1,128,119","1,128,119","1,128,119","11,558","2,343",-,"52,468","553,066",-,"137,003","416,063","1,094,511","1,110,400","1,407","420,257","3,566","685,170","1,108,993","15,889","4,088","4,088",-,"41,773","82,547","15,861","44,701","21,732",0,253,"-40,774",-,-,"2,163","2,163","21,244","2,674,746","2,577,958","1,691,843","1,691,843","886,115",-,"11,788","11,788",-,-,-,"85,000","85,000","85,000","11,788","254,005","254,005","219,082",-,"219,082","35,220",-,-297,-297,-,"339,005",-,"254,005","254,005","85,000","254,005","85,000","61,331","34,260","34,260",-
6,9/30/2021,"2,901,500","1,269,938","30,413",-,"30,413",-,"1,239,525","1,239,525","1,239,525","11,558","2,343",-,"52,781","379,044",-,"137,569","241,475","1,122,716","1,139,248","2,635","434,383","3,787","698,443",-,"16,532","4,005","4,005",-,"42,343",-,-,-,-,-,-,-,-,-,"2,126","2,126","14,646","2,649,287","2,553,175","1,618,698","1,618,698","934,477",-,"11,112","11,112",-,-,-,"85,000","85,000","85,000",-,"252,213","252,213","218,991",-,"218,991","31,728",-,"1,494","1,494",-,"337,213",-,"252,213","252,213","337,213","252,213","85,000","54,587","34,190","34,190",-
7,6/30/2021,"2,941,086","1,220,317","31,051",-,"31,051",-,"1,189,266","1,189,266","1,189,266","11,558","2,343",-,"52,507","361,822",-,"121,867","239,955","1,226,273","1,243,079","4,752","529,500","3,946","704,881",-,"16,806","4,539","4,539",-,"42,906",-,-,-,-,-,-,-,-,-,"2,759","2,759","16,062","2,692,869","2,600,076","1,643,115","1,643,115","956,961",-,"12,174","12,174",-,-,-,"80,619","80,619","60,000",-,"248,217","248,217","218,846",-,"218,846","27,251",-,"2,120","2,120",-,"328,836",-,"248,217","248,217","328,836","248,217","80,619","49,568","34,192","34,192",-
8,3/31/2021,"2,734,341","911,885","26,900",-,"26,900",-,"884,985","884,985","884,985","11,558","2,371",-,"42,244","322,842",-,"89,170","233,672","1,374,814","1,392,266","9,315","646,019","3,894","733,038",-,"17,452","5,994","5,994",-,"43,113",-,-,-,-,-,-,-,-,-,"3,298","3,298","16,222","2,491,962","2,387,945","1,539,147","1,539,147","848,798",-,"13,398","13,398",-,-,-,"90,619","90,619","70,000",-,"242,379","242,379","218,687",-,"218,687","22,156",-,"1,536","1,536",-,"332,998",-,"242,379","242,379","332,998","242,379","90,619","63,719","34,193","34,193",-
9,12/31/2020,"2,642,026","783,736","31,480",-,"31,480",-,"752,256","752,256","752,256","11,558","2,537",-,"42,516","316,300",-,"79,468","236,832","1,417,345","1,434,753","5,422","665,410","4,217","759,704","1,429,331","17,408","5,625","5,625",-,"43,254","82,308","15,861","44,685","21,483",16,263,"-39,054",-,-,"2,059","2,059","24,780","2,402,183","2,298,587","1,489,150","1,489,150","809,437",-,"12,977","12,977",-,-,-,"90,619","90,619",-,"12,977","239,843","239,843","218,528",-,"218,528","17,101",-,"4,214","4,214",-,"330,462",-,"239,843","239,843","90,619","239,843","90,619","59,139","34,198","34,198",-
