,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Accrued Expense,Change in Deferred Charges,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"34,800","34,800","34,731",-706,-,-,-706,"1,558","1,558",766,766,973,0,703,"-1,125","-2,100","-6,051","-6,051","3,951",-,-,"3,951",-,-,"-402,480","-402,480",-,"-334,844","-452,138","117,294",-,-,"-68,234",-,-796,-796,-,-,"1,394","-28,938","-28,938","-55,000","-55,000","25,000","-80,000",-,-,-207,-,-207,-,-,"-10,915","-10,915",-,-,-,"755,170","-396,618","1,151,788","6,500","4,717",-796,-,"25,000","-80,000",-207,"34,004"
1,12/31/2022,"34,800","34,800","34,731",-706,-,-,-706,"1,558","1,558",766,766,973,0,703,"-1,125","-2,100","-6,051","-6,051","3,951",-,-,"3,951",-,-,"-402,480","-402,480",-,"-334,844","-452,138","117,294",-,-,"-68,234",-,-796,-796,-,-,"1,394","-28,938","-28,938","-55,000","-55,000","25,000","-80,000",-,-,-207,-,-207,-,-,"-10,915","-10,915",-,-,-,"755,170","-396,618","1,151,788","6,500","4,717",-796,-,"25,000","-80,000",-207,"34,004"
2,12/31/2021,"35,924","35,924","29,014","-4,691",-,-,"-4,691","2,724","2,724","1,095","1,095","7,693",4,684,"-2,050","1,451","3,640","3,640","-2,189",-,-,"-2,189",-,-,"69,401","69,401",-,"-241,553","-347,082","105,529",-,-,"320,869","320,869",-993,-993,-,-,"-8,922","262,727","262,727","-5,619","-5,619","25,000","-30,619",-,-,-130,-,-130,-,-,"-10,895","-10,895",-,-,-,"1,151,788","368,052","783,736","5,650","2,735",-993,-,"25,000","-30,619",-130,"34,931"
3,12/31/2020,"30,575","30,575","30,165","-6,477",0,-,"-6,477","2,621","2,621",-695,-695,"3,462",32,505,"3,000","-2,038","-7,780","-7,780","5,742",-,-,"5,742",-,-,"-63,616","-63,616",-,"-15,038","-168,237","153,199",-,-,"-46,496",-,"-2,274","-2,274",0,-,192,"544,327","544,327","10,000","10,000","10,000",0,-,-,-86,-,-86,-,-,"-10,880","-10,880",-,-,-,"783,736","511,286","272,450","5,315","5,963","-2,274",-,"10,000",0,-86,"28,301"
4,12/31/2019,"29,720","29,720","31,979","-2,366",-19,0,"-2,347","2,212","2,212",290,290,"-1,542",14,427,-450,-844,"-2,037","-2,037","1,193",-,-,"1,193",-,-,"25,122","25,122",-,"4,360","-78,881","83,241",656,656,"20,805",-,-699,"-1,041",342,-,656,"46,324","46,324","-20,619","-20,619","10,000","-30,619",-,-,-101,-,-101,-,-,"-9,511","-9,511",-,0,-101,"272,450","101,166","171,284","7,200","12,440","-1,041",-,"10,000","-30,619",-101,"28,679"
5,12/31/2018,"29,635","29,635","26,379",-924,0,0,-924,"2,562","2,562",594,594,245,557,452,450,-680,"-1,841","-1,841","1,161",-,-,"1,161",-,-942,"-77,198","-77,198",-,"7,014","-42,014","49,028","2,887","2,887","-85,816",-,"-1,283","-1,283",0,-,"2,887","57,380","57,380","-32,118","-32,118","20,000","-52,118",-,-,-136,-,-136,-,-,"-8,481","-8,481",-,386,-136,"171,284","9,817","161,467","5,300","9,513","-1,283",-,"20,000","-52,118",-136,"28,352"
6,12/31/2017,"22,779","22,779","16,292","-1,337",240,-3,"-1,574","2,285","2,285","4,974","4,974","1,021",129,465,"-1,350",300,59,59,241,-,-,241,-,-969,"-83,159","-83,159",-,"-52,115","-104,640","52,525","7,034","7,034","-38,629",-,551,"-1,191","1,742",-,"7,034","132,028","132,028","7,945","7,945","40,000","-32,055",-,-,-115,68,-183,-,-,"-6,088","-6,088",-,-,-183,"161,467","71,648","89,819","4,725","5,410","-1,191",68,"40,000","-32,055",-183,"21,588"
7,12/31/2016,"16,928","16,928","15,951","-3,148",-,-124,"-3,024","2,805","2,805",866,866,"1,997",964,536,"-1,350","-1,693","-1,585","-1,585",-108,-,-,-108,-,-977,"-105,340","-105,340","20,000","-38,021","-122,861","84,840","5,339","5,339","-81,988",-,"-1,188","-1,188",-,-,"-4,143","-3,245","-3,245","-11,996","-11,996","10,000","-21,996",-,-,-269,-,-269,-,-,"-4,049","-4,049",-,-,-143,"89,819","-91,657","181,476","6,160","4,950","-1,188",-,"10,000","-21,996",-269,"15,740"
8,12/31/2015,"14,001","14,001","12,794","-3,054",-,-129,"-2,925","2,969","2,969",-227,-227,"2,759",724,478,"-3,500","1,058","-1,323","-1,323",-910,-,-,-910,"3,291",-663,"-95,303","-95,303",-,"-25,003","-96,354","71,351","11,540","11,540","-80,350",-,"-1,170","-1,170",-,-,"11,220","133,323","133,323","8,062","8,062","10,000","-1,938",-,-,-171,-,-171,-,-,"-3,702","-3,702",-,-,-53,"181,476","52,021","129,455","4,300","5,322","-1,170",-,"10,000","-1,938",-171,"12,831"
9,12/31/2014,"16,618","16,618","10,473","-2,014",-,-75,"-1,939","3,139","3,139",63,63,205,"1,623",338,"-3,350","6,141","1,555","1,555","1,737",-,-,"1,737","2,849",-678,"-95,806","-95,806","5,000","-32,001","-69,107","37,106","12,487","12,487","-79,524",-,"-1,766","-1,766",-,-,"12,485","51,751","51,751","-1,884","-1,884",-,"-1,884",-,-,-102,4,-106,-,-,"-2,689","-2,689",-,-,-165,"129,455","-27,437","156,892",90,"5,615","-1,766",4,-,"-1,884",-106,"14,852"
10,12/31/2013,"16,312","16,312","9,549","-2,674",-,-120,"-2,554","3,067","3,067",-,-,"6,958","2,922",160,"-4,250",580,124,124,"-3,694",-,-,"-3,694","4,150",-713,"-40,991","-40,991","-25,000","-37,826","-62,326","24,500","16,501","16,501","7,741",-,"-2,407","-2,407",-,-,"16,501","-44,787","-44,787","-3,481","-3,481",-,"-3,481",-,-,-45,-,-45,-,-,"-4,734",-,"-4,734",-,-45,"156,892","-69,466","226,358",120,"11,886","-2,407",-,-,"-3,481",-45,"13,905"
11,12/31/2012,"13,495","13,495","35,490","-2,866",89,-73,"-2,882","2,970","2,970","-18,858","-18,858","-4,688","5,236",9,"-7,100","3,302","2,149","2,149","1,153",-,-,"1,153",-,-847,"-44,048","-44,048",-,"-70,727","-119,248","48,521","18,729","18,729","8,657",-,-707,-707,-,-,"18,729","13,869","13,869","-57,103","-57,103",0,"-57,103",-,-,0,0,-,-,-,-,-,-,-,-,"226,358","-16,684","243,042",275,"8,473",-707,0,0,"-57,103",-,"12,788"
12,12/31/2011,"12,153","12,153","5,829",-947,"-1,515",0,"1,511","3,117","3,117",-,-,-,"9,879",66,"-4,700","-1,091","-1,980",-,889,-,-,889,-,-,"72,507","72,507",-,"-45,476","-73,244","27,768","21,540","21,540","96,778","96,778","-1,031","-1,031",-,-,696,"-77,745","-77,745","-35,733","-35,733","11,000","-46,733",-,-,"19,319","19,319",-,-,-,-,-,-,-,-,"243,042","6,915","236,127",-,-,"-1,031","19,319","11,000","-46,733",-,"11,122"
13,12/31/2010,"33,533","33,533","-17,854","-5,629",-407,"-2,715","-1,888","2,956","2,956",0,0,"8,277",-,138,"22,460","23,185",-,-,"23,185","22,543","22,543",642,-,-,"356,249","356,249",-,"119,558","-18,985","138,543",-,-,"218,715","218,715","15,383",-620,"16,003",-,"2,593","-232,404","-232,404","-92,687","-92,687","120,000","-212,687",0,-,0,-,-,0,-,0,-,0,-,-,"236,127","157,378","78,749",-,-,-620,-,"120,000","-212,687",-,"32,913"
14,12/31/2009,"24,989","24,989","-63,641",681,-110,0,"1,782","3,693","3,693","18,020","18,020","4,348",0,"1,325","74,340","-13,777","-11,278",-,"-2,499",-,-,"-2,499",-,-,"239,527","239,527",-,"56,964","-17,346","74,310",-,-,"175,817","175,817","6,746",-800,"7,546",-,-,"-254,051","-254,051","-5,117","-6,767","85,000","-91,767","1,650","1,650","1,650","1,650",-,"2,527","2,527","-3,687",-,"-3,687",0,-,"78,749","10,465","68,284",-,-,-800,"4,177","86,650","-91,767",-,"24,189"
15,12/31/2008,"20,962","20,962","-38,854","-2,494",-,"-1,244",-,"3,879","3,879",-,-,"68,072",-,-,-,"-9,641",-,-,-,-,-,-,-,-,"-55,414","-55,414",-,"19,158","-72,722","91,880",-,-,-,-,"-2,322",-,-,-,"-72,250","52,920","52,920","-115,729","-69,262","405,000","-474,262","-46,467",-,214,-,-,"30,637",-,"-4,410",-,-,-,-,"68,284","18,468","49,816",-,-,"-2,322",-,"405,000","-474,262",-,"18,640"
16,12/31/2007,"25,548","25,548","9,269","-1,290",-,-,-,"3,702","3,702",-,-,"16,341",-,-,-,"-2,474",-,-,-,-,-,-,-,-,"-55,857","-55,857",-,790,"-22,154","22,944",-,-,-,-,"-7,123",-,-,-,"-49,524","40,243","40,243","196,511","162,034","440,000","-277,966","34,477",-,"-3,483",-,-,-,-,"-8,781",-,-,-,-,"49,816","9,934","39,882",-,-,"-7,123",-,"440,000","-277,966",-,"18,425"
17,12/31/2006,"25,339","25,339","19,831","-1,721",-,-,-,"3,385","3,385",-,-,"8,372",-,-,-,"-4,528",-,-,-,-,-,-,-,-,"-220,838","-220,838",-,"-37,676","-42,669","4,993",-,-,-,-,"-10,652",-,-,-,"-172,510","186,280","186,280","33,038","46,857","95,000","-48,143","-13,819",-,"1,308",-,-,-,-,"-7,851",-,-,-,-,"39,882","-9,219","49,101",-,-,"-10,652",-,"95,000","-48,143",-,"14,687"
18,12/31/2005,"32,815","32,815","20,889","-2,336",-,-,-,"3,100","3,100",-,-,"6,657",-,-,-,"4,505",-,-,-,-,-,-,-,-,"-191,152","-191,152",-,"-25,191","14,009","-39,200",-,-,-,-,"-9,957",-,-,-,"-156,004","175,727","175,727","24,854","21,176","475,000","-453,824","3,678",-,845,-,-,-,-,"-6,228",-,-,-,-,"49,101","17,390","31,711",-,-,"-9,957",-,"475,000","-453,824",-,"22,858"
19,12/31/2004,"22,095","22,095","12,776","-2,207",-,-,-,"2,971","2,971",-,-,"11,001",-,-,-,"-2,446",-,-,-,-,-,-,-,-,"-310,492","-310,492",-,"-35,013","-72,000","36,987",-,-,-,-,"-9,617",-,-,-,"-265,862","260,061","260,061","22,019",-112,"360,583","-360,695","22,131",-,369,-,-,-,-,"-4,444",-,-,-,-,"31,711","-28,336","60,047",-,-,"-9,617",-,"360,583","-360,695",-,"12,478"
20,12/31/2003,"29,983","29,983","11,780",-,-,-,-,"2,703","2,703",-,-,"18,777",-,-,-,"-3,277",-,-,-,-,-,-,-,-,"-236,794","-236,794",-,"-23,977","-46,089","22,112",-,-,-,-,"-15,264",-,-,-,"-197,553","218,984","218,984","33,502","53,502","148,155","-94,653","-20,000",-,427,-,-,-,-,"-3,471",-,-,-,-,"60,047","12,173","47,874",-,-,"-15,264",-,"148,155","-94,653",-,"14,719"
21,12/31/2002,"4,842","4,842","9,513",-,-,-,-,"2,368","2,368",-,-,"-10,833",-,-,-,"3,794",-,-,-,-,-,-,-,-,"-171,113","-171,113",-,"-13,845","-29,898","16,053",-,-,-,-,"-12,109",-,-,"21,390","-166,549","179,947","179,947","36,025","16,025","34,264","-18,239","20,000",-,"-2,214",-,-,-,-,"-2,485",-,-,-,-,"47,874","13,676","34,198",-,-,"-12,109",-,"34,264","-18,239",-,"-7,267"
22,12/31/2001,"-1,440","-1,440","5,116","-1,071",-,-,-,"1,473","1,473",-,-,"-1,215",-,-,-,"-5,743",-,-,-,-,-,-,-,-,"-155,051","-155,051",-,"-15,602","-48,632","33,030",-,-,-,-,"-3,992",-,-,-,"-135,457","164,384","164,384","14,438","20,638","35,166","-14,528","-6,200",-,"23,678",-,-,-,-,"-1,307",-,-,-,-,"34,198","7,893","26,305",-,-,"-3,992",-,"35,166","-14,528",-,"-5,432"
23,12/31/2000,"4,312","4,312","3,349",361.509,-,-,-,"1,232","1,232",-,-,"1,569",-,-,-,"-2,200",-,-,-,-,-,-,-,-,"-148,744","-148,744",-,"-19,836","-19,836",-,-,-,-,-,"-3,534",-,-,-,"-125,373","150,183","150,183","31,200","21,000","56,000","-35,000","10,200",-,7.5,-,-,-,-,-251.252,-,-,-,-,"26,305","5,751","20,554",-,-,"-3,534",-,"56,000","-35,000",-,777.672
