,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Deferred Charges,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"34,800","34,800","34,731",-706,-,-,-706,"1,558","1,558",766,766,973,0,703,"-1,125","-2,100","-6,051","-6,051","3,951","3,951",-,-,"-402,480","-402,480",-,"-334,844","-452,138","117,294",-,-,"-68,234",-,-796,-796,-,"1,394","-28,938","-28,938","-55,000","-55,000","25,000","-80,000",-,-,-207,-,-207,-,-,"-10,915","-10,915",-,-,-,"755,170","-396,618","1,151,788","6,500","4,717",-796,-,"25,000","-80,000",-207,"34,004"
1,3/31/2023,"12,729","12,729","12,004",-11,-,-,-11,160,160,150,150,-416,-,170,0,672,-217,-217,889,889,-,-,"-60,166","-60,166",-,"-19,211","-28,038","8,827",-,-,"-43,158",-,-496,-496,-,"2,699","-286,995","-286,995",0,0,0,0,-,-,-15,-,-15,-,-,"-2,733","-2,733",-,-,-,"420,738","-334,432","755,170",-,"4,307",-496,-,0,0,-15,"12,233"
2,12/31/2022,"14,670","14,670","12,117",-33,-,-,-33,65,65,181,181,-139,0,167,375,"1,937",-515,-515,"2,452","2,452",-,-,"-82,096","-82,096",-,"-42,891","-59,549","16,658",-,-,"-39,014",-,-191,-191,-,0,"56,044","56,044",0,0,0,0,-,-,-172,-,-172,-,-,"-2,729","-2,729",-,-,-,"755,170","-11,382","766,552","1,500","2,513",-191,-,0,0,-172,"14,479"
3,9/30/2022,"9,099","9,099","10,046",-165,-,-,-165,289,289,52,52,830,0,142,0,"-2,095","-3,528","-3,528","1,433","1,433",-,-,"-61,618","-61,618",-,"-34,986","-68,908","33,922",-,-,"-26,540",-,-139,-139,-,47,"58,869","58,869",0,0,0,0,-,-,-15,-,-15,-,-,"-2,730","-2,730",-,-,-,"766,552","6,350","760,202","2,000","1,098",-139,-,0,0,-15,"8,960"
4,6/30/2022,"4,876","4,876","6,568",-200,-,-,-200,467,467,77,77,-338,0,197,0,"-1,895","-2,512","-2,512",617,617,-,-,"-210,165","-210,165",-,"-199,936","-223,004","23,068",-,-,"-9,998",-,-231,-231,-,0,"-145,449","-145,449","-55,000","-55,000",0,"-55,000",-,-,-7,-,-7,-,-,"-2,728","-2,728",-,-,-,"760,202","-350,738","1,110,940","3,000",625,-231,-,0,"-55,000",-7,"4,645"
5,3/31/2022,"6,155","6,155","6,000",-308,-,-,-308,737,737,456,456,620,0,197,"-1,500",-47,504,504,-551,-551,-,-,"-48,601","-48,601",-,"-57,031","-100,677","43,646",-,-,"7,318",-,-235,-235,-,"1,347","1,598","1,598",0,0,"25,000","-25,000",-,-,-13,-,-13,-,-,"-2,728","-2,728",-,-,-,"1,110,940","-40,848","1,151,788",0,481,-235,-,"25,000","-25,000",-13,"5,920"
6,12/31/2021,"7,180","7,180","6,216",-514,-,-,-514,861,861,439,439,"1,496",0,187,-750,-755,-431,-431,-324,-324,-,-,"-147,293","-147,293",-,"-175,310","-202,302","26,992",-,-,"27,727",-,-58,-58,-,348,"21,963","21,963",0,0,0,0,-,-,-96,-,-96,-,-,"-2,724","-2,724",-,-,-,"1,151,788","-118,150","1,269,938",900,508,-58,-,0,0,-96,"7,122"
7,9/30/2021,"11,820","11,820","7,202",-851,-,-,-851,720,720,800,800,"2,707",0,167,-550,"1,625","2,687","2,687","-1,062","-1,062",-,-,"83,068","83,068",-,"-18,848","-42,943","24,095",-,-,"101,990",-,-74,-74,-,0,"-45,267","-45,267","4,381","4,381","25,000","-20,619",-,-,-22,-,-22,-,-,"-2,725","-2,725",-,-,-,"1,269,938","49,621","1,220,317",750,692,-74,-,"25,000","-20,619",-22,"11,746"
8,6/30/2021,"12,237","12,237","7,818","-1,311",-,-,"-1,311",645,645,384,384,"5,630",0,166,-750,-345,879,879,"-1,224","-1,224",-,-,"96,794","96,794",-,"-37,553","-68,559","31,006",-,-,"144,728",-,-403,-403,-,"-9,978","199,401","199,401","-10,000","-10,000",0,-,-,-,-7,-,-7,-,-,"-2,723","-2,723",-,-,-,"1,220,317","308,432","911,885","4,000",749,-403,-,0,-,-7,"11,834"
9,3/31/2021,"4,687","4,687","7,778","-2,015",-,-,"-2,015",498,498,-528,-528,"-2,140",4,164,0,926,505,505,421,421,-,-,"36,832","36,832",-,"-9,842","-33,278","23,436",-,-,"46,424",-,-458,-458,-,708,"86,630","86,630",0,0,0,-,-,-,-5,-,-5,-,-,"-2,723","-2,723",-,-,-,"911,885","128,149","783,736",0,786,-458,-,0,-,-5,"4,229"
