,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Impairment of Capital Assets,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"88,579","70,146","74,906","47,176","47,176","14,335","13,395",-,"4,760","3,773",987,-,"18,433",878,"15,785","17,371","11,537","4,143",-,"1,691","1,586",-,706,-,706,-,"1,064","1,125","46,640","8,208","4,200","4,008",961,"28,304","27,501","26,194","1,307",-,803,"9,167",-,-,"43,064","8,333","34,731","34,731","34,731","34,731",-,"34,731",-,-,-,-,"71,271","34,731","34,731","13,395","1,558","34,731",-,-,0,0
1,3/31/2023,"26,760","22,616","27,266","15,660","15,660","5,244","6,362",-,"4,650","4,494",156,-,"4,144",199,"3,716","4,100","2,656","1,033",-,411,384,-,11,-,11,-,218,0,"11,781","2,168","1,137","1,031",348,"8,324","8,105","6,698",452,955,219,941,-,-,"14,979","2,975","12,004","12,004","12,004","12,004",-,"12,004",-,-,-,-,"22,616","12,004","12,004","6,362",160,"12,004",-,-,0,0
2,12/31/2022,"27,499","22,867","25,454","14,271","14,271","4,703","6,480",-,"2,587","2,427",160,-,"4,632",191,"5,039","5,441","2,760",990,-,-,402,-,33,-,33,-,-631,-375,"12,046","1,959",968,991,228,"4,628","4,411","6,863",340,-,217,"5,231",-,-,"15,078","2,961","12,117","12,117","12,117","12,117",-,"12,117",0.35,0.35,"34,278","34,278","22,492","12,117","12,117","6,480",65,"12,117",-,-,0,0
3,9/30/2022,"24,255","19,771","20,875","12,164","12,164","4,044","4,667",-,"1,104",944,160,-,"4,484",217,"3,551","3,956","2,987",969,-,-,405,-,166,-,166,-,550,0,"11,722","2,003",989,"1,014",268,"8,149","7,953","6,639",330,984,196,"1,302",-,-,"12,533","2,488","10,045","10,045","10,045","10,045",-,"10,045",0.29,0.29,"34,252","34,252","19,771","10,045","10,045","4,667",289,"10,045",-,-,0,0
4,6/30/2022,"19,568","14,843","15,435","10,344","10,344","3,371","1,720",-,592,245,347,-,"4,725",230,"3,670","4,076","2,980","1,096",-,-,406,-,199,-,199,-,626,0,"11,507","2,059","1,071",988,271,"7,847","7,652","6,402",326,924,195,"1,330",-,-,"8,061","1,493","6,568","6,568","6,568","6,568",-,"6,568",0.19,0.19,"34,254","34,254","14,843","6,568","6,568","1,720",467,"6,568",-,-,0,0
5,3/31/2022,"17,257","12,665","13,143","10,397","10,397","2,217",529,-,478,158,320,-,"4,592",240,"3,838","4,211","2,810","1,088",-,313,373,-,308,-,308,-,206,"1,500","11,366","2,188","1,172","1,016",194,"7,678","7,483","6,289",310,884,195,"1,306",-,-,"7,391","1,391","6,000","6,000","6,000","6,000",-,"6,000",0.18,0.18,"34,255","34,255","14,165","6,000","6,000",529,737,"6,000",-,-,0,0
6,12/31/2021,"18,172","12,826","13,334","11,134","11,134","1,728",472,-,508,183,325,-,"5,346",246,"2,320","2,320","1,206","1,114",-,-,380,-,514,-,514,-,"2,512",750,"11,337","1,974",963,"1,011",274,"6,241","6,241","6,024",217,854,198,"3,122",-,-,"7,585","1,369","6,216","6,216","6,216","6,216",-,"6,216",0.18,0.18,"34,230","34,230","13,576","6,216","6,216",472,861,"6,216",-,-,0,0
7,9/30/2021,"19,547","14,296","14,842","12,761","12,761","1,607",474,-,546,209,337,-,"5,251",260,"3,547","3,938","2,859","1,079",-,-,391,-,851,-,851,-,593,550,"11,159","2,006",992,"1,014",272,"7,608","7,433","6,278",316,839,175,"1,273",-,-,"8,938","1,736","7,202","7,202","7,202","7,202",-,"7,202",0.21,0.21,"34,190","34,190","14,846","7,202","7,202",474,720,"7,202",-,-,0,0
8,6/30/2021,"20,238","14,457","15,184","13,303","13,303","1,608",273,-,727,244,483,-,"5,781",250,"3,493","3,881","2,748","1,133",-,-,388,-,"1,311",-,"1,311",-,727,750,"11,330","1,972",994,978,274,"7,802","7,627","6,502",270,855,175,"1,282",-,-,"9,658","1,840","7,818","7,818","7,818","7,818",-,"7,818",0.23,0.23,"34,193","34,193","15,207","7,818","7,818",273,645,"7,818",-,-,0,0
9,3/31/2021,"20,653","14,490","15,274","13,467","13,467","1,606",201,-,784,279,505,-,"6,163",276,"3,124","3,482","2,477","1,005",-,-,358,-,"1,997",0,"2,015",-18,766,0,"11,109","1,974","1,037",937,222,"7,776","7,601","6,412",281,908,175,"1,137",-,-,"9,544","1,766","7,778","7,778","7,778","7,778",-,"7,778",0.23,0.23,"34,196","34,196","14,490","7,778","7,793",201,498,"7,778",-18,-18,0,-3.33
