,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 4/27/2023Current,320.68M,N/A,9.26,N/A,N/A,3.62,1.30,N/A,N/A
1,3/31/2023,349.49M,N/A,10.12,N/A,N/A,3.95,1.42,N/A,N/A
2,12/31/2022,377.74M,N/A,13.13,N/A,N/A,4.79,1.60,N/A,N/A
3,9/30/2022,317.18M,N/A,12.18,N/A,N/A,4.28,1.30,N/A,N/A
4,6/30/2022,302.81M,N/A,11.05,N/A,N/A,4.04,1.23,N/A,N/A
5,3/31/2022,308.63M,N/A,10.60,N/A,N/A,3.94,1.22,N/A,N/A
6,12/31/2021,301.55M,N/A,9.48,N/A,N/A,3.60,1.20,N/A,N/A
7,9/30/2021,274.56M,N/A,8.63,N/A,N/A,3.25,1.11,N/A,N/A
8,6/30/2021,299.19M,N/A,9.51,N/A,N/A,3.52,1.23,N/A,N/A
9,3/31/2021,340.27M,N/A,11.31,N/A,N/A,4.04,1.42,N/A,N/A
10,12/31/2020,285.43M,N/A,9.73,N/A,N/A,3.51,1.22,N/A,N/A
11,9/30/2020,222.77M,N/A,7.34,N/A,N/A,2.71,0.97,N/A,N/A
12,6/30/2020,266.72M,N/A,8.59,N/A,N/A,3.26,1.19,N/A,N/A
13,3/31/2020,242.89M,N/A,7.57,N/A,N/A,2.96,1.12,N/A,N/A
14,12/31/2019,379.10M,N/A,12.23,N/A,N/A,4.63,1.79,N/A,N/A
15,9/30/2019,353.93M,N/A,11.94,11.95,N/A,4.40,1.72,N/A,N/A
16,6/30/2019,349.29M,N/A,12.36,12.21,N/A,4.44,1.77,N/A,N/A
17,3/31/2019,338.30M,N/A,12.74,12.12,1.52,4.45,1.77,N/A,N/A
18,12/31/2018,327.22M,N/A,15.27,11.88,1.48,4.48,1.78,N/A,N/A
19,9/30/2018,398.31M,N/A,20.19,13.62,1.70,5.60,2.22,N/A,N/A
20,6/30/2018,412.97M,N/A,23.35,N/A,N/A,5.94,2.35,N/A,N/A
21,3/31/2018,349.36M,N/A,21.40,N/A,N/A,5.09,2.02,N/A,N/A
22,12/31/2017,339.41M,N/A,18.52,N/A,N/A,5.00,1.96,N/A,N/A
23,9/30/2017,348.21M,N/A,19.36,N/A,N/A,5.18,2.05,N/A,N/A
24,6/30/2017,323.83M,N/A,19.08,N/A,N/A,4.94,1.95,N/A,N/A
25,3/31/2017,335.37M,N/A,21.02,N/A,N/A,5.16,2.07,N/A,N/A
26,12/31/2016,353.11M,N/A,22.63,N/A,N/A,5.66,2.18,N/A,N/A
27,9/30/2016,271.03M,N/A,19.49,N/A,N/A,4.42,1.71,N/A,N/A
28,6/30/2016,251.70M,N/A,18.55,N/A,N/A,4.13,1.62,N/A,N/A
29,3/31/2016,212.03M,N/A,16.45,N/A,N/A,3.58,1.40,N/A,N/A
30,12/31/2015,205.25M,N/A,17.79,N/A,N/A,3.48,1.37,N/A,N/A
31,9/30/2015,175.43M,N/A,15.70,N/A,N/A,3.06,1.19,N/A,N/A
32,6/30/2015,179.49M,N/A,17.10,N/A,N/A,3.21,1.23,N/A,N/A
33,3/31/2015,181.19M,N/A,17.26,N/A,N/A,3.26,1.27,N/A,N/A
34,12/31/2014,184.24M,N/A,N/A,N/A,N/A,3.18,1.31,N/A,N/A
35,9/30/2014,162.26M,N/A,N/A,N/A,N/A,2.72,1.18,N/A,N/A
36,6/30/2014,171.31M,N/A,N/A,N/A,N/A,2.70,1.27,N/A,N/A
37,3/31/2014,170.29M,N/A,N/A,6.78,1.69,2.52,1.29,N/A,N/A
38,12/31/2013,169.01M,N/A,4.76,6.72,1.68,2.40,1.25,N/A,N/A
39,9/30/2013,146.67M,N/A,4.41,7.23,1.81,2.50,1.46,N/A,N/A
40,6/30/2013,137.36M,N/A,4.10,6.78,1.69,2.36,1.37,N/A,N/A
41,3/31/2013,147.17M,N/A,4.13,7.27,1.82,2.32,1.13,N/A,N/A
42,12/31/2012,78.62M,N/A,2.21,4.31,1.08,1.24,0.60,N/A,N/A
43,9/30/2012,83.69M,N/A,9.09,6.41,1.60,1.38,0.82,N/A,N/A
44,6/30/2012,92.35M,N/A,9.47,6.58,1.65,1.40,1.41,N/A,N/A
45,3/31/2012,93.98M,N/A,13.35,57.80,14.46,1.29,1.53,N/A,N/A
46,12/31/2011,61.75M,N/A,8.44,25.32,6.33,0.74,1.03,N/A,N/A
47,9/30/2011,73.12M,N/A,10.00,24.57,6.14,0.87,1.22,N/A,N/A
48,6/30/2011,74.89M,N/A,9.53,25.13,6.28,1.18,0.81,N/A,N/A
49,3/31/2011,43.85M,N/A,9.92,35.46,4.43,0.65,1.22,N/A,N/A
50,12/31/2010,72.84M,N/A,N/A,N/A,N/A,1.06,2.10,N/A,N/A
51,9/30/2010,26.17M,N/A,N/A,N/A,N/A,0.38,0.77,N/A,N/A
52,6/30/2010,21.22M,N/A,N/A,17.45,0.76,0.31,0.64,N/A,N/A
53,3/31/2010,30.97M,N/A,N/A,N/A,N/A,0.45,0.92,N/A,N/A
54,12/31/2009,36.99M,N/A,N/A,N/A,N/A,0.52,0.67,N/A,N/A
55,9/30/2009,46.02M,N/A,N/A,N/A,N/A,0.64,0.71,N/A,N/A
56,6/30/2009,49.80M,N/A,N/A,N/A,N/A,0.67,0.58,N/A,N/A
57,3/31/2009,63.50M,N/A,N/A,N/A,N/A,0.84,0.56,N/A,N/A
58,12/31/2008,59.08M,N/A,N/A,N/A,N/A,0.77,0.50,N/A,N/A
59,9/30/2008,119.00M,N/A,N/A,N/A,N/A,1.52,0.78,N/A,N/A
60,6/30/2008,136.17M,N/A,30.77,N/A,N/A,1.74,0.85,N/A,N/A
61,3/31/2008,177.15M,N/A,25.19,N/A,N/A,2.24,1.09,N/A,N/A
62,12/31/2007,145.76M,N/A,15.91,N/A,N/A,1.87,0.91,N/A,N/A
63,9/30/2007,230.02M,N/A,12.49,N/A,N/A,2.81,1.41,N/A,N/A
64,6/30/2007,273.32M,N/A,12.95,N/A,N/A,3.36,1.67,N/A,N/A
65,3/31/2007,301.92M,N/A,15.33,N/A,N/A,3.73,1.92,N/A,N/A
66,12/31/2006,345.57M,N/A,12.44,N/A,N/A,4.36,2.23,N/A,N/A
67,9/30/2006,371.31M,N/A,14.78,N/A,N/A,4.66,2.51,N/A,N/A
68,6/30/2006,379.04M,N/A,15.10,N/A,N/A,4.76,2.56,N/A,N/A
69,3/31/2006,389.39M,N/A,18.26,N/A,N/A,5.13,2.68,N/A,N/A
70,12/31/2005,372.09M,N/A,18.19,N/A,N/A,4.62,2.67,N/A,N/A
71,9/30/2005,349.51M,N/A,17.10,N/A,N/A,4.34,2.51,N/A,N/A
72,6/30/2005,353.65M,N/A,22.03,N/A,N/A,5.19,2.60,N/A,N/A
73,3/31/2005,297.14M,N/A,21.59,N/A,N/A,4.70,2.28,N/A,N/A
74,12/31/2004,284.92M,N/A,22.74,N/A,N/A,4.68,2.21,N/A,N/A
75,9/30/2004,251.25M,N/A,22.57,N/A,N/A,4.38,1.98,N/A,N/A
76,6/30/2004,242.16M,N/A,20.12,N/A,N/A,4.39,1.98,N/A,N/A
77,3/31/2004,233.44M,N/A,19.97,N/A,N/A,4.42,1.87,N/A,N/A
78,12/31/2003,237.60M,N/A,20.42,N/A,N/A,4.65,1.95,N/A,N/A
79,9/30/2003,193.79M,N/A,12.59,N/A,N/A,1.04,1.61,N/A,N/A
80,6/30/2003,202.24M,N/A,17.83,N/A,N/A,4.21,1.70,N/A,N/A
81,3/31/2003,171.33M,N/A,16.05,N/A,N/A,3.78,1.48,N/A,N/A
82,12/31/2002,156.66M,N/A,15.63,N/A,N/A,3.57,1.37,N/A,N/A
83,9/30/2002,145.38M,N/A,15.76,N/A,N/A,3.47,1.30,N/A,N/A
84,6/30/2002,172.94M,N/A,20.46,N/A,N/A,4.21,2.57,N/A,N/A
85,3/31/2002,105.17M,N/A,17.84,N/A,N/A,3.59,1.58,N/A,N/A
86,12/31/2001,102.17M,N/A,17.34,N/A,N/A,3.49,1.54,N/A,N/A
87,9/30/2001,88.84M,N/A,14.77,N/A,N/A,2.93,1.46,N/A,N/A
88,6/30/2001,85.68M,N/A,16.18,N/A,N/A,3.08,2.18,N/A,N/A
89,3/31/2001,52.72M,N/A,15.79,N/A,N/A,2.87,1.38,N/A,N/A
90,12/31/2000,49.36M,N/A,62.51,N/A,N/A,4.08,1.33,N/A,N/A
91,9/30/2000,45.75M,N/A,57.96,N/A,N/A,3.78,1.28,N/A,N/A
92,6/30/2000,43.29M,N/A,54.84,N/A,N/A,3.58,1.21,N/A,N/A
93,3/31/2000,48.00M,N/A,60.80,N/A,N/A,3.97,1.37,N/A,N/A
