,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"1,199,904,000","233,143,000","78,029,000",-,-,"78,029,000",-,"33,229,000","33,229,000",-,"121,885,000","121,885,000","121,885,000","146,216,000",-,"351,040,000","193,096,000","68,036,000","66,851,000","23,057,000",-,-,"214,696,000","215,666,000","15,146,000","7,435,000",-,"64,001,000","129,084,000","970,000","74,095,000","74,095,000",-,-,-,-,-,-,"24,127,000","16,657,000","7,470,000","156,587,000","1,097,950,000","347,523,000","347,523,000","347,523,000",-,"60,491,000","60,491,000","15,588,000","220,700,000","220,700,000","220,700,000",-,-,-,-,"5,567,000","5,567,000",-,"5,567,000","141,734,000","29,029,000","253,285,000","253,285,000",-,-,"24,033,000","101,954,000","100,826,000","8,770,000","8,750,000","20,000","96,392,000","28,856,000","27,481,000","-5,711,000",-,-,-,"1,128,000","354,111,000","8,750,000","92,076,000",-,"76,699,000","350,928,000","67,949,000","258,852,000","180,823,000","2,038,576","1,670,000","304,500","368,576"
1,12/31/2022,"1,180,231,000","242,034,000","92,747,000",-,-,"92,747,000",-,"35,380,000","35,380,000",-,"113,907,000","113,907,000","113,907,000","133,374,000",-,"336,842,000","176,904,000","69,498,000","69,931,000","20,509,000","39,000",-,"213,785,000","214,624,000","14,788,000","6,589,000",-,"62,975,000","130,272,000","839,000","78,540,000","78,540,000",-,-,"4,000","4,000","4,000",-,"24,270,000","16,652,000","7,618,000","151,343,000","1,079,000,000","356,646,000","356,646,000","356,646,000",-,"62,534,000","62,534,000","15,679,000","216,134,000","216,134,000","216,134,000",-,-,-,-,"5,135,000","5,135,000",-,"5,135,000","116,303,000","38,135,000","241,081,000","241,081,000",-,-,"27,353,000","101,231,000","100,141,000","8,770,000","8,750,000","20,000","94,862,000","29,339,000","26,577,000","-6,253,000",-,-,-,"1,090,000","341,222,000","8,750,000","91,391,000",-,"75,871,000","337,607,000","67,121,000","246,216,000","153,469,000","2,039,843","1,675,000","264,500","364,843"
2,9/30/2022,"1,160,029,000","222,820,000","71,283,000",-,-,"71,283,000",-,"40,413,000","40,413,000",-,"111,124,000","111,124,000","111,124,000","136,478,000",-,"351,748,000","190,479,000","71,038,000","73,974,000","16,257,000","1,881,000",-,"210,936,000","211,685,000","13,353,000","6,858,000",-,"61,095,000","130,379,000","749,000","87,935,000","87,935,000",-,-,-,-,-,-,"24,614,000","16,721,000","7,893,000","123,617,000","1,057,940,000","338,123,000","338,123,000","338,123,000",-,"60,133,000","60,133,000","13,097,000","229,463,000","229,463,000","229,463,000",-,-,-,-,"4,357,000","4,357,000",-,"4,357,000","114,378,000","48,262,000","223,767,000","223,767,000",-,-,"26,360,000","102,089,000","101,011,000","8,770,000","8,750,000","20,000","94,055,000","28,893,000","24,949,000","-5,758,000",-,-,-,"1,078,000","324,778,000","8,750,000","92,261,000",-,"76,397,000","320,385,000","67,647,000","228,124,000","156,841,000","2,038,894","1,694,051","264,500","344,843"
3,6/30/2022,"1,173,776,000","252,021,000","88,139,000",-,-,"88,139,000",-,"43,147,000","43,147,000",-,"120,735,000","120,735,000","120,735,000","138,508,000",-,"347,444,000","181,997,000","75,466,000","75,540,000","14,441,000","1,965,000",-,"206,482,000","207,244,000","13,029,000","6,739,000",-,"58,883,000","128,593,000","762,000","82,759,000","82,759,000",-,-,-,-,-,-,"24,803,000","16,757,000","8,046,000","119,794,000","1,071,114,000","347,148,000","347,148,000","347,148,000",-,"66,179,000","66,179,000","13,785,000","234,007,000","234,007,000","234,007,000",-,-,-,-,"4,505,000","4,505,000",-,"4,505,000","110,115,000","39,854,000","228,909,000","228,909,000",-,-,"26,612,000","102,662,000","101,596,000","7,770,000","7,750,000","20,000","92,889,000","28,394,000","22,436,000","-5,021,000",-,-,-,"1,066,000","330,505,000","7,750,000","93,846,000",-,"76,793,000","327,260,000","69,043,000","233,414,000","145,275,000","2,038,894","1,723,083","264,500","315,811"
4,3/31/2022,"1,222,233,000","263,853,000","94,771,000",-,-,"94,771,000",-,"41,315,000","41,315,000",-,"127,767,000","127,767,000","127,767,000","150,995,000",-,"360,485,000","189,685,000","7,000","80,439,000","90,354,000","2,138,000",-,"196,260,000","196,939,000","14,013,000","6,105,000",-,"55,512,000","121,309,000","679,000","94,804,000","94,804,000",-,-,"4,000","4,000","4,000",-,"25,069,000","16,825,000","8,244,000","128,625,000","1,118,158,000","360,840,000","360,840,000","360,840,000",-,"60,068,000","60,068,000","14,222,000","243,609,000","243,609,000","243,609,000",-,-,-,-,"7,924,000","7,924,000",-,"7,924,000","134,221,000","42,357,000","230,701,000","230,701,000",-,-,"24,216,000","104,075,000","102,901,000","7,770,000","7,750,000","20,000","91,722,000","28,007,000","19,696,000","-4,902,000",-,-,-,"1,174,000","333,602,000","7,750,000","95,151,000",-,"77,832,000","333,776,000","70,082,000","238,625,000","143,854,000","2,038,894","1,756,153","264,500","282,741"
5,12/31/2021,"1,188,140,000","247,724,000","86,838,000",-,-,"86,838,000",-,"40,887,000","40,887,000",-,"119,999,000","119,999,000","119,999,000","129,713,000",-,"373,689,000","190,683,000","8,000","80,168,000","102,830,000","104,000",-,"188,134,000","188,788,000","13,832,000","5,567,000",-,"51,478,000","117,911,000","654,000","96,018,000","96,018,000",-,-,"16,000","16,000","16,000",-,"25,193,000","16,833,000","8,360,000","127,549,000","1,081,542,000","347,574,000","347,574,000","347,574,000",-,"62,188,000","62,188,000","12,299,000","228,685,000","228,685,000","228,685,000",-,-,-,-,"10,337,000","10,337,000",-,"10,337,000","123,760,000","34,568,000","232,831,000","232,831,000",-,-,"29,300,000","106,598,000","105,441,000","7,770,000","7,750,000","20,000","89,432,000","28,841,000","17,500,000","-3,102,000",-,-,-,"1,157,000","338,272,000","7,750,000","97,691,000",-,"80,248,000","340,859,000","72,498,000","243,168,000","156,330,000","2,038,894","1,772,227","264,500","266,667"
6,9/30/2021,"1,190,476,000","243,584,000","80,034,000",-,-,"80,034,000",-,"43,829,000","43,829,000",-,"119,721,000","119,721,000","119,721,000","125,922,000",-,"389,174,000","205,667,000","76,000","81,837,000","101,594,000",-,-,"173,359,000","174,043,000","13,168,000","4,774,000",-,"48,343,000","107,758,000","684,000","98,353,000","98,353,000",-,-,-,-,-,-,"25,346,000","16,832,000","8,514,000","134,738,000","1,083,357,000","329,041,000","329,041,000","329,041,000",-,"61,987,000","61,987,000","11,133,000","240,319,000","240,319,000","240,319,000",-,-,-,-,"9,772,000","9,772,000",-,"9,772,000","131,243,000","38,716,000","230,262,000","230,262,000",-,-,"30,884,000","107,119,000","105,903,000","7,770,000","7,750,000","20,000","87,099,000","28,504,000","14,769,000","-2,701,000",-,-,-,"1,216,000","336,165,000","7,750,000","98,153,000",-,"80,557,000","338,187,000","72,807,000","240,034,000","160,000,000","2,038,894","1,798,909","212,500","239,985"
7,6/30/2021,"1,161,805,000","222,410,000","85,277,000","8,943,000",-,"85,277,000",-,"41,203,000","41,203,000","108,288,000","95,930,000","95,930,000","95,930,000","126,703,000",-,"388,278,000","212,857,000","79,000","82,120,000","93,222,000",-,-,"166,059,000","166,746,000","11,713,000","4,724,000",-,"45,624,000","104,685,000","687,000","100,921,000","100,921,000",-,-,-,-,-,-,"25,528,000","16,838,000","8,690,000","131,906,000","1,053,643,000","320,358,000","320,358,000","320,358,000",-,"57,645,000","57,645,000","9,574,000","233,810,000","233,810,000","233,810,000",-,-,-,-,"12,305,000","12,305,000",-,"12,305,000","130,983,000","38,091,000","223,069,000","223,069,000",-,-,"27,808,000","108,162,000","106,870,000","7,770,000","7,750,000","20,000","84,791,000","28,030,000","11,198,000","-2,523,000",-,-,-,"1,292,000","329,939,000","7,750,000","99,120,000",-,"81,342,000","334,494,000","73,592,000","235,374,000","150,097,000","2,038,894","1,834,370","212,500","204,524"
8,3/31/2021,"1,158,772,000","232,839,000","75,198,000","11,163,000",-,"75,198,000",-,"42,920,000","42,920,000","111,342,000","114,721,000","114,721,000","114,721,000","102,149,000",-,"391,104,000","201,816,000","82,000","83,918,000","105,288,000",-,-,"159,123,000","159,885,000","15,488,000","5,185,000",-,"44,120,000","95,092,000","762,000","115,043,000","115,043,000",-,-,-,-,-,-,"25,682,000","16,836,000","8,846,000","132,832,000","1,051,184,000","323,138,000","323,138,000","323,138,000",-,"54,624,000","54,624,000","8,426,000","230,121,000","230,121,000","230,121,000",-,-,-,-,"12,172,000","12,172,000",-,"12,172,000","145,881,000","39,786,000","213,067,000","213,067,000",-,-,"23,969,000","107,588,000","106,259,000","7,770,000","7,750,000","20,000","82,034,000","27,406,000","8,197,000","-2,754,000",-,-,-,"1,329,000","319,326,000","7,750,000","98,509,000",-,"80,577,000","323,748,000","72,827,000","225,239,000","150,041,000","2,038,894","1,868,925","212,500","169,969"
9,12/31/2020,"1,115,862,000","221,888,000","67,452,000","9,792,000",-,"67,452,000",-,"38,202,000","38,202,000","132,578,000","116,234,000","116,234,000","116,234,000","112,391,000",-,"362,330,000","180,160,000","16,000","71,771,000","110,383,000",-,-,"150,597,000","151,432,000","12,813,000","6,046,000",-,"42,614,000","89,959,000","835,000","97,737,000","97,737,000",-,-,"21,000","21,000","21,000",-,"16,615,000","11,635,000","4,980,000","154,283,000","1,012,713,000","310,782,000","310,782,000","310,782,000",-,"50,587,000","50,587,000","7,731,000","227,437,000","227,437,000","227,437,000",-,-,-,-,"14,144,000","14,144,000",-,"14,144,000","112,693,000","44,938,000","218,798,000","218,798,000",-,-,"25,603,000","103,149,000","101,781,000","9,270,000","9,250,000","20,000","78,694,000","25,546,000","9,767,000","-1,962,000",-,-,-,"1,368,000","320,579,000","9,250,000","92,531,000",-,"85,166,000","325,473,000","75,916,000","232,942,000","165,490,000","2,038,894","1,809,624","212,500","229,270"
