,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Pension And Employee Benefit Expense,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"-6,397,000","-6,397,000","11,179,000",-,-,-,-,-,-,"3,998,000","3,998,000","-849,000","-849,000","618,000",-,"1,875,000","280,000","-23,498,000","14,664,000","14,664,000","-4,897,000","-4,897,000",-,-,"-4,897,000","6,438,000",-,-,"-39,703,000","-11,632,000","-11,632,000","15,445,000","-29,833,000","45,278,000","-23,652,000",-,-,"-3,078,000","-3,078,000",-,0,0,0,"-347,000","22,714,000","22,714,000","37,562,000","37,562,000","72,460,000","-34,898,000",-,-,"-10,871,000",-,"-10,871,000","994,000","994,000",-,"-5,401,000","-1,229,000",-,"128,127,000","4,685,000","-4,283,000","127,725,000",-,"4,147,000","9,819,000","-3,078,000","994,000","72,460,000","-34,898,000","-10,871,000","-9,475,000"
1,12/31/2022,"-6,397,000","-6,397,000","11,179,000",-,-,-,-,-,-,"3,998,000","3,998,000","-849,000","-849,000","618,000",-,"1,875,000","280,000","-23,498,000","14,664,000","14,664,000","-4,897,000","-4,897,000",-,-,"-4,897,000","6,438,000",-,-,"-39,703,000","-11,632,000","-11,632,000","15,445,000","-29,833,000","45,278,000","-23,652,000",-,-,"-3,078,000","-3,078,000",-,0,0,0,"-347,000","22,714,000","22,714,000","37,562,000","37,562,000","72,460,000","-34,898,000",-,-,"-10,871,000",-,"-10,871,000","994,000","994,000",-,"-5,401,000","-1,229,000",-,"128,127,000","4,685,000","-4,283,000","127,725,000",-,"4,147,000","9,819,000","-3,078,000","994,000","72,460,000","-34,898,000","-10,871,000","-9,475,000"
2,12/31/2021,"33,971,000","33,971,000","15,120,000",-,-,-,-,-,-,"4,216,000","4,216,000","4,000","4,000","-147,000",-,"2,085,000","4,000","12,689,000","774,000","774,000","7,758,000","7,758,000",-,-,"7,758,000","7,836,000",-,-,"-3,679,000","-49,897,000","-49,897,000","-8,003,000","-69,571,000","61,568,000","-36,106,000",-,-,"-2,308,000","-2,308,000",-,"-2,648,000","-2,648,000",0,"-832,000","41,547,000","41,547,000","20,149,000","20,149,000","90,273,000","-70,124,000",-,-,"-12,075,000",-,"-12,075,000","1,275,000","1,275,000",-,"-4,171,000","-528,000",-,"127,725,000","25,621,000","-3,550,000","105,654,000",-,"4,231,000","1,303,000","-2,308,000","1,275,000","90,273,000","-70,124,000","-12,075,000","31,663,000"
3,12/31/2020,"-25,231,000","-25,231,000","11,179,000",-,-,-,-,-,-,"3,769,000","3,769,000","-250,000","-250,000","274,000",-,"1,312,000","762,000","-42,277,000","-29,774,000","-29,774,000","10,187,000","10,187,000",-,-,"10,187,000","-31,623,000",-,-,"8,933,000","-37,898,000","-37,898,000","-21,510,000","-59,777,000","38,267,000","-17,949,000",-,-,"-1,444,000","-1,444,000",-,"3,807,000",-,"3,807,000","-802,000","83,784,000","83,784,000","10,242,000","10,242,000","60,726,000","-50,484,000",-,-,"-1,890,000",-,"-1,890,000",0,0,-,"-2,739,000","2,754,000",-,"105,654,000","20,655,000","2,828,000","82,171,000",-,"2,591,000","4,120,000","-1,444,000",0,"60,726,000","-50,484,000","-1,890,000","-26,675,000"
4,12/31/2019,"40,773,000","40,773,000","9,237,000",-,-,-,-,-,-,"2,643,000","2,643,000","165,000","165,000","-195,000",-,"1,153,000","162,000","27,608,000","233,000","233,000","19,942,000","19,942,000",-,-,"19,942,000","14,739,000",-,-,"-7,306,000","-33,561,000","-33,561,000","-13,423,000","-42,586,000","29,163,000","-17,359,000",-,-,"-1,826,000","-1,826,000",-,-,-,-,"-953,000","-11,966,000","-11,966,000","-9,943,000","-9,943,000","30,605,000","-40,548,000",-,-,"-5,954,000",-,"-5,954,000","497,000","497,000",-,"-2,627,000","3,548,000",-,"82,171,000","-4,754,000","-271,000","87,196,000",-,"1,908,000","12,511,000","-1,826,000","497,000","30,605,000","-40,548,000","-5,954,000","38,947,000"
5,12/31/2018,"7,305,000","7,305,000","8,883,000",-,-,-,-,-,-,"1,844,000","1,844,000","449,000","449,000","199,000",-,"920,000","-15,000","-4,975,000","-728,000","-728,000","-13,063,000","-13,063,000",-,-,"-13,063,000","-20,929,000",-,-,"29,745,000","-22,881,000","-22,881,000","-11,924,000","-27,800,000","15,876,000","-8,794,000",-,-,"-1,865,000","-1,865,000",-,-,-,-,"-298,000","24,205,000","24,205,000","5,278,000","5,278,000","40,059,000","-34,781,000",-,-,"-5,566,000",-,"-5,566,000",0,0,-,"-2,375,000","-1,516,000",-,"87,196,000","8,629,000","-1,828,000","80,395,000",-,"1,377,000","9,977,000","-1,865,000",0,"40,059,000","-34,781,000","-5,566,000","5,440,000"
6,12/31/2017,"-4,505,000","-4,505,000","6,216,000","-1,000",-,"-35,000","34,000",-,-,"1,753,000","1,753,000","2,747,000","2,747,000","63,000","91,000","1,026,000","29,000","-16,429,000","-9,315,000","-9,315,000","2,007,000","2,007,000",-,-,"2,007,000","19,493,000",-,-,"-28,614,000","-12,391,000","-12,391,000","1,614,000","-23,962,000","25,576,000","-12,125,000",-,-,"-1,629,000","-1,629,000",-,0,-,0,"-251,000","16,261,000","16,261,000","19,591,000","19,591,000","55,416,000","-35,825,000",-,-,"-4,292,000",-,"-4,292,000","994,000","994,000",-,"-2,085,000","-1,520,000",-,"80,395,000","-635,000","3,670,000","77,360,000",-,"1,390,000","5,377,000","-1,629,000","994,000","55,416,000","-35,825,000","-4,292,000","-6,134,000"
7,12/31/2016,"2,447,000","2,447,000","6,123,000","-33,000",-,"-112,000","79,000",-,-,"1,736,000","1,736,000","1,579,000","1,579,000","-199,000","130,000","1,136,000","144,000","-8,169,000","-2,881,000","-2,881,000","1,803,000","1,803,000",-,-,"1,803,000","3,638,000",-,-,"-10,729,000","-19,508,000","-19,508,000","-8,828,000","-50,911,000","42,083,000","-9,604,000",-,-,"-1,276,000","-1,276,000",-,0,-,0,"200,000","7,424,000","7,424,000","12,030,000","13,236,000","43,626,000","-30,390,000","-1,206,000",-,"-3,933,000",-,"-3,933,000",0,0,-,"-1,746,000","1,244,000",-,"43,381,000","-9,637,000","-1,065,000","54,083,000",-,"831,000","2,834,000","-1,276,000",0,"43,626,000","-30,390,000","-3,933,000","1,171,000"
8,12/31/2015,"3,674,000","3,674,000","6,279,000","-198,000",-,"-84,000","-114,000",-,-,"1,433,000","1,433,000","1,189,000","1,189,000","322,000","69,000","1,104,000","123,000","-6,647,000","-434,000","-434,000","4,373,000","4,373,000",-,-,"4,373,000","-37,626,000",-,-,"27,040,000","-19,995,000","-19,995,000","-3,702,000","-47,291,000","43,589,000","-15,816,000",-,-,"-1,373,000","-1,373,000",-,"998,000",-,"998,000","-102,000","24,365,000","24,365,000","6,805,000","6,893,000","34,182,000","-27,289,000","-88,000",-,"-2,773,000",-,"-2,773,000","1,493,000","1,493,000",-,"-1,455,000","-2,195,000",-,"54,083,000","8,044,000","-945,000","46,984,000",-,"677,000","2,672,000","-1,373,000","1,493,000","34,182,000","-27,289,000","-2,773,000","2,301,000"
9,12/31/2014,"1,131,000","1,131,000","3,667,000","-196,000",-,"-40,000","-156,000",-,-,"1,161,000","1,161,000","-231,000","-231,000","-72,000","111,000","1,260,000","23,000","-4,592,000","3,608,000","3,608,000","27,971,000","27,971,000",-,-,"27,971,000","-40,850,000",-,-,"4,679,000","-35,324,000","-35,324,000","-14,992,000","-32,623,000","17,631,000","-20,116,000",-,-,"-992,000","-992,000",-,"989,000",-,"989,000","-213,000","23,143,000","23,143,000","3,756,000","3,637,000","36,740,000","-33,103,000","119,000",-,"-1,458,000",-,"-1,458,000","2,782,000","2,782,000",-,"-904,000","-2,198,000",-,"46,984,000","-11,050,000","-1,804,000","59,883,000","-45,000","886,000","3,575,000","-992,000","2,782,000","36,740,000","-33,103,000","-1,458,000","139,000"
