,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"-6,397,000","-6,397,000","11,179,000",-,-,-,-,"3,998,000","3,998,000","-849,000","-849,000","618,000",-,"1,875,000","280,000","-23,498,000","14,664,000","14,664,000","-4,897,000","-4,897,000",-,-,"-4,897,000","6,438,000",-,-,"-39,703,000","-11,632,000","-11,632,000","15,445,000","-29,833,000","45,278,000","-23,652,000",-,-,"-3,078,000","-3,078,000",0,0,0,"-347,000","22,714,000","22,714,000","37,562,000","37,562,000","72,460,000","-34,898,000",-,-,-,"-10,871,000",-,"-10,871,000","994,000","994,000",-,"-5,401,000","-1,229,000",-,"128,127,000","4,685,000","-4,283,000","127,725,000",-,"4,147,000","9,819,000","-3,078,000","994,000","72,460,000","-34,898,000","-10,871,000","-9,475,000"
1,3/31/2023,"-9,865,000","-9,865,000","3,033,000",-,-,-,-,"940,000","940,000",-,-,"66,000",-,"558,000","234,000","-14,696,000","4,899,000","4,899,000","777,000","777,000",-,-,"777,000","-10,021,000",-,-,"-10,351,000","-1,041,000","-1,041,000","3,068,000","-3,475,000","6,543,000","-822,000",-,-,"-719,000",-,-,-,-,"-2,568,000","-6,288,000","-6,288,000","6,018,000","6,018,000","21,219,000","-15,201,000",-,-,-,"-2,205,000",-,"-2,205,000",-,-,-,"-1,406,000","389,000",-,"111,258,000","-17,194,000","325,000","128,127,000",-,"307,000","8,912,000","-719,000",-,"21,219,000","-15,201,000","-2,205,000","-10,584,000"
2,12/31/2022,"-13,996,000","-13,996,000","2,266,000",-,-,-,-,"1,207,000","1,207,000",-,-,"110,000",-,"498,000","87,000","-17,315,000","6,698,000","6,698,000","-13,180,000","-13,180,000",-,-,"-13,180,000","-382,000",-,-,"-10,451,000","898,000","898,000","1,871,000","-1,966,000","3,837,000","-372,000",-,-,"-770,000",-,0,0,-,"169,000","25,975,000","25,975,000","10,298,000","10,298,000","18,177,000","-7,879,000",-,-,-,"-1,745,000",-,"-1,745,000",0,0,-,"-1,378,000","325,000",-,"128,127,000","12,877,000","3,554,000","111,696,000",-,"1,342,000","5,480,000","-770,000",0,"18,177,000","-7,879,000","-1,745,000","-14,766,000"
3,9/30/2022,"-7,553,000","-7,553,000","2,662,000",-,-,-,-,"928,000","928,000",-,-,"152,000",-,"528,000","35,000","-11,858,000","-5,227,000","-5,227,000","-3,436,000","-3,436,000",-,-,"-3,436,000","3,565,000",-,-,"-6,760,000","-4,161,000","-4,161,000","1,633,000","-4,334,000","5,967,000","-4,755,000",-,-,"-857,000",-,0,0,-,"-182,000","-4,567,000","-4,567,000","7,005,000","7,005,000","14,510,000","-7,505,000",-,-,-,"-2,608,000",-,"-2,608,000",-,-,-,"-1,405,000","456,000",-,"111,696,000","-16,281,000","-3,309,000","131,286,000",-,"817,000","2,932,000","-857,000",-,"14,510,000","-7,505,000","-2,608,000","-8,410,000"
4,6/30/2022,"14,913,000","14,913,000","2,536,000",-,-,-,-,"921,000","921,000",-,-,"305,000",-,"418,000","101,000","10,632,000","11,966,000","11,966,000","-6,275,000","-6,275,000",-,-,"-6,275,000","13,143,000",-,-,"-8,202,000","-8,527,000","-8,527,000","3,528,000","-6,074,000","9,602,000","-11,046,000",-,-,"-799,000",-,0,0,-,"-210,000","-7,985,000","-7,985,000","11,069,000","11,069,000","19,489,000","-8,420,000",-,-,-,"-2,837,000",-,"-2,837,000",-,-,-,"-1,304,000","-1,272,000",-,"131,286,000","-1,599,000","-3,201,000","136,086,000",-,"1,605,000","784,000","-799,000",-,"19,489,000","-8,420,000","-2,837,000","14,114,000"
5,3/31/2022,"239,000","239,000","3,715,000",-,-,-,-,"942,000","942,000",-,-,"51,000",-,"431,000","57,000","-4,957,000","1,227,000","1,227,000","17,994,000","17,994,000",-,-,"17,994,000","-9,888,000",-,-,"-14,290,000","158,000","158,000","8,413,000","-17,459,000","25,872,000","-7,479,000",-,-,"-652,000",-,0,0,-,"-124,000","9,291,000","9,291,000","9,190,000","9,190,000","20,284,000","-11,094,000",-,-,-,"-3,681,000",-,"-3,681,000",-,-,-,"-1,314,000","-738,000",-,"136,086,000","9,688,000","-1,327,000","127,725,000",-,"383,000","623,000","-652,000",-,"20,284,000","-11,094,000","-3,681,000","-413,000"
6,12/31/2021,"349,000","349,000","3,716,000",-,-,-,-,"1,237,000","1,237,000",-,-,"2,000",-,"449,000","5,000","-5,064,000","3,466,000","3,466,000","-12,071,000","-12,071,000",-,-,"-12,071,000","-77,000",-,-,"3,618,000","-15,306,000","-15,306,000","-1,362,000","-12,237,000","10,875,000","-12,909,000",-,-,"-650,000",-,0,0,-,"-385,000","19,715,000","19,715,000","3,257,000","3,257,000","16,682,000","-13,425,000",-,-,-,"-2,847,000",-,"-2,847,000",-,-,-,"-1,314,000","794,000",-,"127,725,000","4,758,000","-896,000","123,863,000",-,"928,000","67,000","-650,000",-,"16,682,000","-13,425,000","-2,847,000","-301,000"
7,9/30/2021,"2,128,000","2,128,000","3,724,000",-,-,-,-,"1,035,000","1,035,000",-,-,"16,000",-,"500,000","24,000","-3,171,000","-332,000","-332,000","9,912,000","9,912,000",-,-,"9,912,000","-19,449,000",-,-,"6,698,000","-15,147,000","-15,147,000","-8,541,000","-17,209,000","8,668,000","-5,771,000",-,-,"-619,000",-,0,0,-,"-216,000","11,783,000","11,783,000","8,092,000","8,092,000","24,491,000","-16,399,000",-,-,-,"-3,628,000",-,"-3,628,000",-,-,-,"-1,356,000","-29,000",-,"123,863,000","-1,236,000","-1,381,000","126,480,000",-,"1,270,000","355,000","-619,000",-,"24,491,000","-16,399,000","-3,628,000","1,509,000"
8,6/30/2021,"4,615,000","4,615,000","3,512,000",-,-,-,-,"1,057,000","1,057,000",-,-,"-70,000",-,"618,000","73,000","-575,000","16,361,000","16,361,000","6,647,000","6,647,000",-,-,"6,647,000","21,812,000",-,-,"-45,395,000","3,117,000","3,117,000","14,770,000","-7,792,000","22,562,000","-10,952,000",-,-,"-514,000","-514,000",0,0,-,"-187,000","485,000","485,000","4,462,000","4,462,000","24,988,000","-20,526,000",-,-,-,"-3,018,000",-,"-3,018,000",-,-,-,"-746,000","2,535,000",-,"126,480,000","8,217,000","145,000","118,118,000",-,"1,694,000","295,000","-514,000",-,"24,988,000","-20,526,000","-3,018,000","4,101,000"
9,3/31/2021,"26,879,000","26,879,000","4,168,000",-,-,-,-,"887,000","887,000",-,-,"-95,000",-,"518,000","-98,000","21,499,000","-18,721,000","-18,721,000","3,270,000","3,270,000",-,-,"3,270,000","5,550,000",-,-,"31,400,000","-22,561,000","-22,561,000","-12,870,000","-32,333,000","19,463,000","-6,474,000",-,-,"-525,000","-525,000","-2,648,000","-2,648,000",-,"-44,000","9,564,000","9,564,000","4,338,000","4,338,000","24,112,000","-19,774,000",-,-,-,"-2,582,000",-,"-2,582,000",-,-,-,"-755,000","-3,828,000",-,"118,118,000","13,882,000","-1,418,000","105,654,000",-,"339,000","586,000","-525,000",-,"24,112,000","-19,774,000","-2,582,000","26,354,000"
