,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Loss on Extinguishment of Debt,Other Special Charges,Pretax Income,Tax Provision,Earnings from Equity Interest Net of Tax,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"50,210,000","9,327,000","21,595,000","6,988,000","6,988,000","5,550,000",-,"3,208,000","5,849,000","12,268,000","1,825,000",-,"5,054,000","2,263,000","3,126,000","40,883,000",-,"21,058,000","24,516,000",-,"19,578,000",-,"4,938,000","3,458,000","5,599,000","12,343,000","1,585,000","15,000","15,000",-,"283,000","-280,000","35,371,000","1,729,000",-,"3,070,000","23,917,000","23,012,000","23,012,000",-,"905,000","6,655,000",-,"-470,000",-,"470,000",-,-,-,-,"14,089,000","2,910,000",-,"10,540,000","11,029,000","11,179,000","11,179,000",-,-,-,"-150,000","489,000","10,540,000",-,-,-,-,"9,047,000","11,029,000","11,401,710","3,208,000","3,998,000","11,029,000","-470,000","-470,000",0,"-97,290"
1,12/31/2022,"50,210,000","9,327,000","21,595,000","6,988,000","6,988,000","5,550,000",-,"3,208,000","5,849,000","12,268,000","1,825,000",-,"5,054,000","2,263,000","3,126,000","40,883,000",-,"21,058,000","24,516,000",-,"19,578,000",-,"4,938,000","3,458,000","5,599,000","13,928,000","1,585,000","15,000","15,000",-,"283,000","-280,000","35,371,000","1,729,000",-,"3,070,000","23,958,000","23,053,000","23,053,000",-,"905,000","6,614,000",-,"-470,000",-,"470,000",-,-,-,-,"14,089,000","2,910,000",-,"10,540,000","11,029,000","11,179,000","11,179,000",-,-,-,"-150,000","489,000","10,540,000",6.23,6.15,"1,691,000","1,713,000","9,047,000","11,029,000","11,401,710","3,208,000","3,998,000","11,029,000","-470,000","-470,000",0,"-97,290"
2,12/31/2021,"56,414,000","8,045,000","9,411,000","4,209,000","4,209,000","4,797,000",-,"-1,198,000","1,603,000","1,366,000","409,000",-,"2,725,000","494,000","-2,262,000","48,369,000",-,"22,147,000","25,488,000",-,"19,967,000",-,"5,521,000","3,341,000","10,994,000","12,810,000","1,008,000","1,376,000","1,376,000",-,"1,042,000","-4,000","36,742,000","1,725,000",-,"2,933,000","25,271,000","24,628,000","24,628,000",-,"643,000","6,813,000",-,"-456,000",-,"456,000",-,-,-,-,"19,668,000","4,548,000",-,"14,566,000","15,034,000","15,120,000","15,120,000",-,-,-,"-86,000","468,000","14,566,000",8.16,8.03,"1,785,000","1,814,000","8,041,000","15,034,000","15,034,000","-1,198,000","4,216,000","15,034,000","-456,000","-456,000",0,0
3,12/31/2020,"45,269,000","6,313,000","10,162,000","4,142,000","4,142,000","4,699,000",-,"-194,000","1,515,000","3,849,000","953,000",-,"3,250,000","983,000","-1,337,000","38,956,000",-,"16,194,000","19,123,000",-,"14,272,000","-2,929,000","4,851,000","2,929,000","7,674,000","13,992,000",-,"986,000","986,000",-,"110,000",-,"30,851,000","1,559,000",-,"2,205,000","21,288,000","20,854,000","20,854,000","2,465,000","434,000","5,799,000",-,-,-,-,-,-,-,-,"14,418,000","3,239,000",-,"10,500,000","10,996,000","11,179,000","11,179,000",0,-,-,"-183,000","496,000","10,500,000",6.55,6.46,"1,603,000","1,624,000","6,313,000","10,996,000","10,996,000","-194,000","3,769,000","10,996,000",-,-,0,0
4,12/31/2019,"38,926,000","4,694,000","17,098,000","4,783,000","4,783,000","5,074,000",-,"3,485,000","3,756,000","12,404,000","1,885,000",-,"5,052,000","2,609,000","2,858,000","34,232,000",-,"14,509,000","17,002,000",-,"13,083,000","-2,493,000","3,919,000","2,493,000","6,163,000","11,095,000",-,"1,540,000","1,540,000",-,"925,000",-,"27,625,000","1,428,000",-,"2,137,000","19,497,000","18,837,000","18,837,000","2,194,000","660,000","4,563,000",-,-,-,-,-,-,-,-,"11,301,000","2,064,000",-,"8,512,000","9,042,000","9,237,000","9,237,000",0,-,-,"-195,000","530,000","8,512,000",5.26,5.19,"1,617,000","1,640,000","4,694,000","9,042,000","9,042,000","3,485,000","2,643,000","9,042,000",-,-,0,0
5,12/31/2018,"37,714,000","3,806,000","13,892,000","4,249,000","4,249,000","4,136,000",-,"1,976,000","3,531,000","10,086,000","1,255,000",-,"5,031,000","1,898,000","1,902,000","33,908,000",-,"14,695,000","17,088,000",-,"12,898,000","-2,393,000","4,190,000","2,393,000","6,482,000","11,551,000",-,"437,000","437,000",-,"743,000",-,"26,477,000","1,391,000",-,"2,265,000","18,323,000","17,632,000","17,632,000","2,016,000","691,000","4,498,000",-,-,-,-,-,-,-,-,"11,237,000","2,350,000",-,"8,222,000","8,748,000","8,883,000","8,887,000","-4,000",-,-,"-135,000","526,000","8,222,000",4.81,4.73,"1,708,000","1,738,000","3,806,000","8,748,000","8,752,000","1,976,000","1,844,000","8,752,000",-,-,0,0
6,12/31/2017,"35,852,000","3,300,000","8,997,000","3,298,000","3,298,000","3,363,000",-,"169,000","2,167,000","5,697,000","187,000",-,"4,285,000","1,237,000","-12,000","32,552,000",-,"13,765,000","15,858,000",-,"11,797,000","-2,093,000","4,061,000","2,093,000","6,003,000","11,116,000",-,"820,000","820,000",-,"848,000",-,"25,449,000","1,329,000",-,"2,169,000","17,775,000","17,166,000","17,166,000","1,791,000","609,000","4,176,000",-,-,-,-,-,-,-,-,"10,403,000","4,125,000",-,"5,631,000","6,154,000","6,259,000","6,278,000","-19,000",-,-,"-105,000","523,000","5,631,000",3.14,3.07,"1,780,000","1,821,000","3,300,000","6,154,000","6,173,000","169,000","1,753,000","6,173,000",-,-,0,0
7,12/31/2016,"32,711,000","3,698,000","7,016,000","2,724,000","2,724,000","3,273,000","170,000","-374,000","1,223,000","3,318,000","83,000",-,"3,606,000","977,000","-1,348,000","29,013,000",-,"12,886,000","14,806,000",-,"10,697,000","-1,920,000","4,109,000","1,920,000","4,933,000","10,209,000",-,"160,000","160,000",-,"825,000",-,"23,863,000","1,308,000",-,"2,128,000","16,465,000","15,878,000","15,878,000","1,787,000","587,000","3,962,000",-,"-2,000",-,-,"2,000",-,-,-,"8,848,000","2,726,000",-,"5,508,000","5,979,000","6,123,000","6,122,000","1,000",-,-,"-144,000","471,000","5,508,000",2.98,2.92,"1,849,000","1,887,000","3,698,000","5,979,000","5,978,000","-204,000","1,736,000","5,978,000","-2,000","-2,000",0,0
8,12/31/2015,"33,263,000","3,093,000","5,835,000","2,163,000","2,163,000","3,138,000","108,000","-560,000","986,000","2,742,000","78,000","16,000","3,481,000","1,024,000","-1,857,000","30,170,000",-,"13,428,000","15,320,000",-,"10,766,000","-1,892,000","4,554,000","1,892,000","5,594,000","10,114,000",-,"541,000","541,000",-,"493,000",-,"24,768,000","1,382,000",-,"2,298,000","16,697,000","16,016,000","16,016,000","1,767,000","681,000","4,391,000",-,-,-,-,-,-,-,-,"8,495,000","2,200,000",-,"5,671,000","6,127,000","6,279,000","6,295,000","-16,000",-,-,"-152,000","456,000","5,671,000",2.97,2.90,"1,909,000","1,953,000","3,093,000","6,127,000","6,143,000","-452,000","1,433,000","6,143,000",-,-,0,0
9,12/31/2014,"32,469,000","1,735,000","5,413,000","1,690,000","1,690,000","2,722,000","109,000","-298,000","1,190,000","3,678,000","106,000","4,000","3,609,000","1,216,000","-1,257,000","30,734,000",-,"13,477,000","15,283,000",-,"10,570,000","-1,806,000","4,713,000","1,806,000","5,948,000","9,377,000",-,"836,000","836,000",-,"1,096,000",-,"26,080,000","1,433,000",-,"2,117,000","18,482,000","17,824,000","17,824,000","1,635,000","658,000","4,048,000",-,"-6,000",-,-,"6,000",-,-,-,"6,389,000","38,000",-,"5,818,000","6,137,000","6,337,000","6,351,000","-14,000",-,-,"-200,000","319,000","5,818,000",1.64,1.60,"1,924,000","1,971,000","1,735,000","6,137,000","6,151,000","-189,000","1,161,000","6,151,000","-6,000","-6,000",0,0
