,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Trust Fees by Commissions,Securities Activities,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"50,210,000","9,327,000","21,595,000","6,988,000","6,988,000","5,550,000",-,"3,208,000","5,849,000","12,268,000","1,825,000",-,"5,054,000","2,263,000","3,126,000","40,883,000","21,058,000","24,516,000","19,578,000",-,"4,938,000","3,458,000","5,599,000","12,343,000","1,585,000","15,000","15,000",-,"283,000","-280,000","35,371,000","1,729,000",-,"3,070,000","23,917,000","23,012,000","23,012,000",-,"905,000","6,655,000","-470,000","470,000",-,-,"14,089,000","2,910,000","10,540,000","11,029,000","11,179,000","11,179,000",-,-,-,"-150,000","489,000","10,540,000",-,-,-,-,"9,047,000","11,029,000","11,401,710","3,208,000","3,998,000","11,029,000","-470,000","-470,000",0,"-97,290"
1,3/31/2023,"13,636,000","2,346,000","10,379,000","2,815,000","2,815,000","1,931,000",-,"2,649,000","3,475,000","8,033,000","1,575,000",-,"2,506,000","1,382,000","3,061,000","11,290,000","5,086,000","5,967,000","4,728,000",-,"1,239,000","881,000","1,330,000","4,477,000","262,000","145,000","145,000",-,"252,000","-234,000","9,565,000","440,000",-,"710,000","6,657,000","6,410,000","6,410,000",-,"247,000","1,758,000","-77,000","77,000",-,-,"3,760,000","727,000","2,836,000","2,980,000","3,033,000","3,033,000",-,-,-,"-53,000","144,000","2,836,000",1.72,1.70,"1,645,000","1,663,000","2,112,000","2,980,000","3,042,139","2,649,000","940,000","2,980,000","-77,000","-77,000",0,"-14,861"
2,12/31/2022,"11,898,000","2,319,000","9,232,000","2,519,000","2,519,000","1,567,000",-,"2,241,000","2,905,000","6,913,000","1,141,000",-,"2,064,000","1,198,000","2,510,000","9,579,000","5,121,000","5,972,000","4,803,000",-,"1,169,000","851,000","1,318,000","3,017,000","431,000","85,000","85,000",-,"38,000","-87,000","8,897,000","443,000",-,"853,000","5,910,000","5,615,000","5,615,000",-,"295,000","1,691,000","-120,000","120,000",-,-,"2,794,000","528,000","2,113,000","2,236,000","2,266,000","2,266,000",-,-,-,"-30,000","123,000","2,113,000",1.28,1.26,"1,652,000","1,679,000","2,232,000","2,236,000","2,333,320","2,241,000","1,207,000","2,236,000","-120,000","-120,000",0,"-22,680"
3,9/30/2022,"12,139,000","2,510,000","6,101,000","1,910,000","1,910,000","1,378,000",-,"1,049,000","1,764,000","3,591,000","476,000",-,"1,370,000","636,000","1,109,000","9,629,000","5,030,000","5,877,000","4,744,000",-,"1,133,000","847,000","1,373,000","3,331,000","31,000","-168,000","-168,000",-,"63,000","-35,000","8,593,000","429,000",-,"755,000","5,829,000","5,614,000","5,614,000",-,"215,000","1,580,000","-123,000","123,000",-,-,"3,388,000","726,000","2,494,000","2,632,000","2,662,000","2,662,000",-,-,-,"-30,000","138,000","2,494,000",1.49,1.47,"1,674,000","1,697,000","2,475,000","2,632,000","2,728,678","1,049,000","928,000","2,632,000","-123,000","-123,000",0,"-26,322"
4,6/30/2022,"12,254,000","2,282,000","3,612,000","1,402,000","1,402,000","1,303,000",-,"123,000","784,000","1,330,000","135,000",-,"934,000","285,000","-24,000","9,972,000","5,254,000","6,132,000","4,912,000",-,"1,220,000","878,000","1,150,000","3,597,000","475,000","23,000","23,000",-,"-52,000","-101,000","8,834,000","430,000",-,"757,000","5,770,000","5,550,000","5,550,000",-,"220,000","1,877,000","-120,000","120,000",-,-,"3,319,000","783,000","2,391,000","2,495,000","2,536,000","2,536,000",-,-,-,"-41,000","104,000","2,391,000",1.40,1.39,"1,704,000","1,723,000","2,181,000","2,495,000","2,495,000","123,000","921,000","2,495,000","-120,000","-120,000",0,0
5,3/31/2022,"13,919,000","2,216,000","2,650,000","1,156,000","1,156,000","1,301,000",-,"-204,000","397,000","434,000","73,000",-,"685,000","142,000","-466,000","11,703,000","5,653,000","6,535,000","5,119,000",-,"1,416,000","882,000","1,758,000","3,983,000","648,000","75,000","75,000",-,"234,000","-57,000","9,274,000","427,000",-,"705,000","6,449,000","6,274,000","6,274,000",-,"175,000","1,693,000","-107,000","107,000",-,-,"4,588,000","873,000","3,542,000","3,666,000","3,715,000","3,715,000",-,-,-,"-49,000","124,000","3,542,000",2.04,2.02,"1,733,000","1,755,000","2,159,000","3,666,000","3,666,000","-204,000","942,000","3,666,000","-107,000","-107,000",0,0
6,12/31/2021,"13,713,000","2,089,000","2,411,000","1,118,000","1,118,000","1,176,000",-,"-299,000","416,000","322,000","79,000",-,"695,000","133,000","-585,000","11,624,000","5,891,000","6,702,000","5,395,000",-,"1,307,000","811,000","2,581,000","2,394,000",-,"632,000","632,000",-,"126,000","-5,000","8,824,000","479,000",-,"829,000","5,692,000","5,487,000","5,487,000",-,"205,000","1,824,000","-146,000","146,000",-,-,"4,884,000","1,168,000","3,592,000","3,696,000","3,716,000","3,716,000",-,-,-,"-20,000","104,000","3,592,000",2.05,2.01,"1,751,000","1,785,000","2,084,000","3,696,000","3,696,000","-299,000","1,237,000","3,696,000","-146,000","-146,000",0,0
7,9/30/2021,"13,928,000","2,063,000","2,351,000","1,063,000","1,063,000","1,168,000",-,"-282,000","402,000","288,000","102,000",-,"597,000","131,000","-542,000","11,865,000","5,656,000","6,481,000","5,201,000",-,"1,280,000","825,000","3,013,000","2,861,000",-,"45,000","45,000",-,"290,000","-24,000","8,885,000","427,000",-,"734,000","6,047,000","5,901,000","5,901,000","788,000","146,000","1,677,000","-145,000","145,000",-,-,"4,874,000","1,150,000","3,584,000","3,707,000","3,724,000","3,724,000",-,-,-,"-17,000","123,000","3,584,000",2.01,1.98,"1,781,000","1,812,000","2,039,000","3,707,000","3,817,780","-282,000","1,035,000","3,707,000","-145,000","-145,000",0,"-34,220"
8,6/30/2021,"13,964,000","1,865,000","2,212,000","1,040,000","1,040,000","1,094,000",-,"-321,000","399,000","347,000","108,000",-,"719,000","116,000","-596,000","12,099,000","5,486,000","6,281,000","4,973,000","-795,000","1,308,000","795,000","2,560,000","3,330,000",-,"381,000","381,000",-,"342,000","-73,000","9,325,000","414,000",-,"746,000","6,569,000","6,423,000","6,423,000","765,000","146,000","1,596,000",-,-,-,-,"4,566,000","1,054,000","3,408,000","3,511,000","3,512,000","3,512,000",-,-,-,"-1,000","103,000","3,408,000",1.88,1.85,"1,814,000","1,841,000","1,792,000","3,511,000","3,511,000","-321,000","1,057,000","3,511,000",-,-,0,0
9,3/31/2021,"14,809,000","2,028,000","2,437,000","988,000","988,000","1,359,000",-,"-296,000","386,000","409,000","120,000",-,"714,000","114,000","-539,000","12,781,000","5,114,000","6,024,000","4,398,000","-910,000","1,626,000","910,000","2,840,000","4,225,000",-,"318,000","318,000",-,"284,000","98,000","9,563,000","405,000",-,"624,000","6,944,000","6,798,000","6,798,000","733,000","146,000","1,590,000",-,-,-,-,"5,344,000","1,176,000","3,982,000","4,120,000","4,168,000","4,168,000",-,-,-,"-48,000","138,000","3,982,000",2.22,2.19,"1,795,000","1,818,000","2,126,000","4,120,000","4,120,000","-296,000","887,000","4,120,000",-,-,0,0
