,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
0,As of Date: 5/31/2023Current,137.07B,N/A,14.08,12.48,2.78,2.78,1.49,N/A,N/A
1,3/31/2023,146.65B,N/A,14.28,12.27,N/A,3.00,1.60,N/A,N/A
2,12/31/2022,143.69B,N/A,12.34,11.31,N/A,2.84,1.54,N/A,N/A
3,9/30/2022,133.85B,N/A,10.68,9.87,N/A,2.60,1.43,N/A,N/A
4,6/30/2022,131.06B,N/A,9.68,10.21,N/A,2.46,1.38,N/A,N/A
5,3/31/2022,153.49B,N/A,10.88,11.48,3.59,2.81,1.57,N/A,N/A
6,12/31/2021,173.96B,N/A,12.48,12.87,6.13,3.25,1.77,N/A,N/A
7,9/30/2021,175.05B,N/A,12.90,13.30,6.33,3.28,1.77,N/A,N/A
8,6/30/2021,168.19B,N/A,11.99,14.56,N/A,3.03,1.71,N/A,N/A
9,3/31/2021,145.14B,N/A,12.01,13.89,N/A,2.79,1.57,N/A,N/A
10,12/31/2020,124.01B,N/A,11.58,13.19,N/A,2.53,1.55,N/A,N/A
11,9/30/2020,76.22B,N/A,8.74,9.73,N/A,1.87,0.98,N/A,N/A
12,6/30/2020,76.13B,N/A,10.04,12.29,N/A,2.05,0.98,N/A,N/A
13,3/31/2020,53.57B,N/A,6.55,6.53,N/A,1.43,0.73,N/A,N/A
14,12/31/2019,81.48B,N/A,10.89,9.74,N/A,2.32,1.10,N/A,N/A
15,9/30/2019,69.28B,N/A,9.28,8.20,N/A,1.97,0.95,N/A,N/A
16,6/30/2019,73.70B,N/A,9.39,9.11,N/A,2.03,1.01,N/A,N/A
17,3/31/2019,71.17B,N/A,8.92,8.68,1.34,1.94,0.99,N/A,N/A
18,12/31/2018,67.40B,N/A,9.46,7.87,1.21,1.80,0.96,N/A,N/A
19,9/30/2018,81.25B,N/A,11.79,9.15,1.31,2.18,1.14,N/A,N/A
20,6/30/2018,83.91B,N/A,13.43,10.29,1.47,2.31,1.19,N/A,N/A
21,3/31/2018,95.72B,N/A,17.52,12.15,3.57,2.74,1.39,N/A,N/A
22,12/31/2017,94.86B,N/A,14.49,13.07,3.84,2.72,1.33,N/A,N/A
23,9/30/2017,88.47B,N/A,13.76,12.11,5.50,2.54,1.24,N/A,N/A
24,6/30/2017,81.97B,N/A,13.18,13.14,5.97,2.41,1.18,N/A,N/A
25,3/31/2017,79.34B,N/A,14.67,12.92,32.31,2.47,1.16,N/A,N/A
26,12/31/2016,79.13B,N/A,16.90,13.24,44.15,2.56,1.12,N/A,N/A
27,9/30/2016,60.16B,N/A,14.71,10.65,35.50,2.04,0.86,N/A,N/A
28,6/30/2016,49.82B,N/A,11.39,10.39,34.64,1.62,0.73,N/A,N/A
29,3/31/2016,48.48B,N/A,8.59,8.00,0.62,1.47,0.72,N/A,N/A
30,12/31/2015,61.08B,N/A,19.40,10.03,0.77,1.87,0.90,N/A,N/A
31,9/30/2015,61.05B,N/A,15.91,9.39,0.73,1.80,0.90,N/A,N/A
32,6/30/2015,75.86B,N/A,18.92,11.81,0.92,2.29,1.14,N/A,N/A
33,3/31/2015,70.36B,N/A,22.17,10.92,0.85,2.17,1.08,N/A,N/A
34,12/31/2014,75.70B,N/A,15.46,13.18,0.78,2.35,1.13,N/A,N/A
35,9/30/2014,67.70B,N/A,16.46,11.98,0.68,2.16,1.03,N/A,N/A
36,6/30/2014,63.51B,N/A,20.08,11.44,0.65,2.02,0.99,N/A,N/A
37,3/31/2014,61.46B,N/A,22.59,11.01,0.62,1.99,0.98,N/A,N/A
38,12/31/2013,60.99B,N/A,18.45,12.71,0.05,2.08,0.97,N/A,N/A
39,9/30/2013,52.64B,N/A,37.96,10.92,0.04,1.93,0.85,N/A,N/A
40,6/30/2013,47.89B,N/A,43.62,9.97,0.04,1.85,0.78,N/A,N/A
41,3/31/2013,43.10B,N/A,N/A,8.73,0.42,1.69,0.71,N/A,N/A
42,12/31/2012,37.74B,N/A,N/A,9.61,0.46,1.47,0.62,N/A,N/A
43,9/30/2012,33.07B,N/A,12.59,7.73,0.39,1.14,0.54,N/A,N/A
44,6/30/2012,28.86B,N/A,20.84,6.49,0.33,0.96,0.47,N/A,N/A
45,3/31/2012,38.86B,N/A,15.59,8.43,0.84,1.02,0.64,N/A,N/A
46,12/31/2011,29.16B,N/A,8.01,7.51,0.77,0.72,0.48,N/A,N/A
47,9/30/2011,26.04B,N/A,7.15,5.46,0.48,0.64,0.43,N/A,N/A
48,6/30/2011,44.39B,N/A,35.40,7.94,0.70,1.12,0.76,N/A,N/A
49,3/31/2011,42.21B,N/A,14.69,8.57,0.70,1.32,0.87,N/A,N/A
50,12/31/2010,41.14B,N/A,11.15,9.29,0.77,1.18,0.86,N/A,N/A
51,9/30/2010,37.34B,N/A,11.70,N/A,N/A,1.16,0.79,N/A,N/A
