,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"200,729,841","26,478,963","26,475,963","1,517,244",-,"24,958,719","3,000","3,000","3,000",-,"25,328,718","117,847","25,210,871","13,392,115","3,168,882","129,638,832","131,564,163","41,850,566","20,593,079","69,120,518",-,"1,925,331","-509,993","11,512,089","8,930,237",-,"2,581,852","1,653,628","2,809,515","148,905","653,983","1,004,242","386,303","616,082","-1,155,887","8,699,463","8,490,089","209,374","10,583,865","175,411,851","163,514,868","98,013,008","98,013,008","65,501,860","354,670",-,-,"4,377,495","4,377,495","4,377,495",-,"3,554,951","3,554,951","3,554,951","3,964,537","3,964,537","5,183",-,-,"25,317,990","25,317,990","25,317,990","2,010,600","23,307,390","15,753,978","10,002,891","1,750,279","-790,030",-,"29,282,527","2,010,600","23,307,390",-,"16,618,527","30,826,878","14,607,927","7,519,488",-,"179,437","169,271","10,000","10,165"
1,12/31/2021,"155,107,160","43,209,881","43,209,881","1,337,577",-,"41,872,304",-,0,0,-,"7,623,891","468,031","7,155,860","2,607,047","445,777","91,443,226","92,912,452","23,473,324","17,974,953","51,464,175",-,"1,469,226","-224,226","8,184,933","7,088,287",-,"1,096,646","1,144,765","2,171,645","93,862","512,988","880,268","304,825","379,702","-1,026,880","4,597,110","4,593,112","3,998","8,233,052","137,203,755","131,543,409","71,411,929","71,411,929","60,131,480","47,046","47,046",-,"2,127,931","2,127,931","2,127,931",-,"47,046","47,046","47,046","3,485,369","3,485,369","1,578",-,-,"17,903,405","17,903,405","17,903,405","1,750,000","16,153,405","14,646,448","6,635,000","5,081,548","-127,578",-,"21,388,774","1,750,000","16,153,405",-,"13,306,295","19,685,820","11,556,295","3,532,415",-,"159,742","128,689",-,"31,053"
2,12/31/2020,"142,601,105","25,216,553","25,216,553","1,552,743",-,"23,663,810",-,0,0,-,"8,114,278","1,068,581","7,045,697","1,647,187","505,674","96,799,480","98,535,867","27,574,564","16,570,421","54,390,882",-,"1,736,387","-339,921","7,948,855","6,701,959",-,"1,246,896","1,161,558","2,139,470","94,929","513,290","816,331","302,246","412,674","-977,912","4,607,277","4,593,112","14,165","7,863,517","126,413,822","119,805,738","72,232,854","72,232,854","47,572,884","59,482","59,482",0,"2,166,409","2,166,409","2,166,409",-,"59,482","59,482","59,482","4,382,193","4,382,193","1,683",-,-,"16,187,283","16,187,283","16,187,283","1,250,000","14,937,283","13,444,428","6,617,404","5,142,732","-63,032",-,"20,569,476","1,250,000","14,937,283",-,"11,580,006","19,378,958","10,330,006","4,441,675",-,"159,742","128,315",-,"31,427"
3,12/31/2019,"119,872,757","8,626,459","8,622,959","1,432,805",-,"7,190,154","3,500","3,500","3,500",-,"9,967,380","470,129","9,497,251","2,287,486","828,508","89,871,798","90,922,869","23,838,168","15,386,693","51,698,008",-,"1,051,071","-265,656","7,056,247","5,644,050",-,"1,412,197","1,140,924","2,031,621","96,118","482,182","753,956","262,438","436,927","-890,697","4,622,146","4,593,112","29,034","6,784,974","104,156,108","94,770,069","62,373,662","62,373,662","32,396,407","164,042","62,363","101,679","2,337,490","2,337,490","2,337,490",-,"62,363","62,363","62,363","6,986,186","6,986,186","1,815",-,-,"15,716,649","15,716,649","15,716,649","1,250,000","14,466,649","12,820,916","6,593,539","4,822,563","-206,680",-,"22,702,835","1,250,000","14,466,649",-,"11,094,503","21,515,198","9,844,503","7,048,549",-,"159,742","130,567",-,"29,174"
4,12/31/2018,"120,097,403","9,710,636","9,710,636","1,605,439",-,"8,105,197",-,-,-,-,"12,878,397","185,584","12,692,813","2,739,054","2,388,955","87,447,033","88,466,477","22,977,976","13,970,499","51,518,002",-,"1,019,444","-267,015","6,180,651","4,773,750",-,"1,406,901","647,408","1,491,659","97,082","465,482","688,364","240,731",-,"-844,251","4,640,179","4,593,112","47,067","5,421,158","104,637,212","90,156,572","57,899,904","57,899,904","32,256,668","607,532","198,378","409,154","1,637,348","1,637,348","1,637,348",-,"4,398,378","4,398,378","4,398,378","8,444,914","8,444,914","576,446",-,-,"15,460,191","15,460,191","15,460,191","1,231,500","14,228,691","11,516,672","6,579,342","3,528,851","-420,081",-,"23,905,105","1,231,500","14,228,691",-,"10,820,012","27,071,983","9,588,512","12,843,292","3,132,656","159,765","138,510",381.5,"21,255"
5,12/31/2017,"118,593,487","6,499,791","6,499,791","1,420,888",-,"5,078,903",-,-,-,-,"14,797,434","132,909","14,664,525","3,202,169","1,291,427","86,971,785","87,988,983","21,742,651","13,266,615","52,979,717",-,"1,017,198","-253,903","6,438,887","5,013,325",-,"1,425,562","646,451","1,487,347","98,077","454,610","694,704","239,956",-,"-840,896","4,664,701","4,593,112","71,589","5,659,776","102,342,668","92,432,146","58,456,966","58,456,966","33,975,180","596,870","175,099","421,771","1,593,993","1,593,993","1,593,993",-,"175,099","175,099","175,099","8,141,430","8,141,430","576,876",-,-,"16,250,819","16,250,819","16,250,819","1,231,500","15,019,319","10,164,804","6,590,855","1,454,282","-363,814",-,"24,392,249","1,231,500","15,019,319",-,"11,586,118","23,335,848","10,354,618","8,316,529","1,816,738","159,818","150,084",381.5,"9,733"
6,12/31/2016,"123,449,206","6,321,187","6,321,187","1,320,549",-,"5,000,638",-,-,-,-,"16,574,335","323,867","16,250,468","2,299,574","914,699","89,864,419","90,853,416","22,610,047","12,146,063","56,097,306",-,"988,997","-248,261","6,742,745","5,323,235",-,"1,419,510","675,263","1,437,117","104,671","448,442","651,068","232,936",-,"-761,854","4,690,767","4,593,112","97,655","5,998,498","106,962,584","95,493,876","63,037,774","63,037,774","32,456,102","1,248,136","163,442","1,084,694","1,811,431","1,811,431","1,811,431",-,"163,442","163,442","163,442","9,493,835","9,493,835","1,154,737",-,-,"16,486,622","16,486,622","16,486,622","1,231,500","15,255,122","9,222,488","6,676,948","431,796","-294,636",-,"25,980,457","1,231,500","15,255,122",-,"11,795,855","24,912,399","10,564,355","9,657,277","3,336,090","159,946","156,181",381.5,"3,765"
7,12/31/2015,"122,787,884","8,962,390","8,962,390","1,368,040",-,"7,594,350",-,0,0,-,"15,930,222","273,783","15,656,439","2,859,709","12,242,671","86,533,507","87,489,499","20,422,338","11,599,747","55,467,414",-,"955,992","-229,735","7,315,021","5,961,703",-,"1,353,318","666,682","1,406,579","105,435","444,615","626,610","229,919",-,"-739,897","4,733,380","4,593,112","140,268","6,628,385","106,614,595","91,957,841","62,847,206","62,847,206","29,110,635","2,049,827","150,546","1,899,281","1,870,714","1,870,714","1,870,714",-,"2,132,182","2,132,182","2,132,182","10,653,858","10,653,858","1,158,216",-,-,"16,173,289","16,173,289","16,173,289","1,231,500","14,941,789","8,430,502","6,680,768",-,"-251,627",-,"26,827,147","1,231,500","14,941,789",-,"11,439,909","27,727,829","10,208,409","12,786,040","3,823,650","159,564","159,564",781.5,-
8,12/31/2014,"96,685,535","7,844,224","7,760,832","1,289,965",-,"6,470,867","83,392","83,392","83,392",-,"13,301,717","308,175","12,993,542","3,507,868","9,156,932","65,749,394","66,668,956","19,461,292","10,982,794","36,224,870",-,"919,562","-230,413","6,954,768","5,617,564",-,"1,337,204","612,984","1,314,422","82,335","407,653","605,282","219,152",-,"-701,438","3,559,652","3,524,625","35,027","6,230,548","84,349,639","73,582,053","46,634,173","46,634,173","26,947,880","1,592,676","192,676","1,400,000","1,567,951","1,567,951","1,567,951",-,"192,676","192,676","192,676","9,006,959","9,006,959","1,161,514",-,-,"12,335,896","12,335,896","12,335,896","1,231,500","11,104,396","7,807,119","3,409,506",-,"-180,994",-,"21,342,855","1,231,500","11,104,396",-,"8,776,244","20,304,031","7,544,744","9,199,635","1,438,803","132,313","132,313",781.5,-
9,12/31/2013,"85,162,391","3,324,072","3,224,499","1,573,361",-,"1,651,138","99,573","99,573","99,573",-,"9,172,628","376,131","8,796,497","3,966,130","4,531,786","63,156,483","64,073,159","18,705,216","10,291,514","35,076,429",-,"916,676","-252,624","6,681,140","5,282,212",-,"1,398,928","633,520","1,261,890","84,220","403,196","565,527","208,947",-,"-628,370","3,593,476","3,524,625","68,851","5,915,732","73,856,859","67,118,612","42,457,605","42,457,605","24,661,007","1,660,455","260,455","1,400,000","1,368,922","1,368,922","1,368,922",-,"260,455","260,455","260,455","5,108,870","5,108,870","29,079",-,-,"11,305,532","11,305,532","11,305,532","881,500","10,424,032","7,188,004","3,232,014",-,"-64,159",-,"16,414,402","881,500","10,424,032",-,"7,712,056","15,793,357","6,830,556","5,369,325","2,144,826","130,516","130,516",431.5,-
