,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Non Current Deferred Liabilities,Non Current Deferred Revenue,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,3/31/2023,"202,956,407","24,124,165","24,124,165","1,817,740",-,"22,306,425",-,0,0,-,"28,608,425","165,216","28,443,209","16,115,391","5,052,772","130,962,582","132,937,692","43,758,361","20,316,845","68,862,486","133,531,052","1,975,110","-593,360","8,914,959","8,914,959",-,-,"1,664,021",-,-,-,-,-,-,-,"8,682,255","8,490,089","192,166",-,"10,578,980","177,579,236","159,075,240","99,120,207","99,120,207","59,955,033",-,-,-,"4,045,804","4,045,804","4,045,804",-,"6,995,302","6,995,302","6,995,302","7,462,890","7,462,890",-,-,-,-,-,"25,377,171","25,377,171","25,377,171","2,010,600","23,366,571","16,212,095","9,986,325","2,277,519","-645,005",-,"32,840,061","2,010,600","23,366,571",-,"16,694,916","37,824,763","14,684,316","14,458,192",-,"179,437","165,853","10,000","13,584"
1,12/31/2022,"200,729,841","26,478,963","26,475,963","1,517,244",-,"24,958,719","3,000","3,000","3,000",-,"25,328,718","117,847","25,210,871","13,392,115","3,168,882","129,638,832","131,564,163","41,850,566","20,593,079","69,120,518",-,"1,925,331","-509,993","11,512,089","8,930,237",-,"2,581,852","1,653,628","2,809,515","148,905","653,983","1,004,242","386,303","616,082","-1,155,887","8,699,463","8,490,089","209,374",-,"10,583,865","175,411,851","163,514,868","98,013,008","98,013,008","65,501,860","354,670",-,-,"4,377,495","4,377,495","4,377,495",-,"3,554,951","3,554,951","3,554,951","3,964,537","3,964,537","5,183",-,-,-,-,"25,317,990","25,317,990","25,317,990","2,010,600","23,307,390","15,753,978","10,002,891","1,750,279","-790,030",-,"29,282,527","2,010,600","23,307,390",-,"16,618,527","30,826,878","14,607,927","7,519,488",-,"179,437","169,271","10,000","10,165"
2,9/30/2022,"197,955,479","27,647,338","27,647,338","2,255,810",-,"25,391,528",-,0,-,-,"24,733,437","129,672","24,603,765","12,606,639","3,336,553","126,349,996","128,225,587","38,807,949","20,204,693","69,212,945","128,608,538","1,875,591","-382,951","8,876,038","8,876,038",-,-,"1,620,339",-,-,-,-,-,-,-,"8,728,331","8,501,357","226,974",-,"10,496,377","172,698,986","163,845,388","90,822,117","90,822,117","73,023,271",-,-,-,"4,476,456","4,476,456","4,476,456",-,"917,806","917,806","917,806","3,459,336","3,459,336",-,-,-,-,-,"25,256,493","25,256,493","25,256,493","2,010,600","23,245,893","15,219,828","9,994,395","1,159,153","-899,993",-,"28,715,829","2,010,600","23,245,893",-,"16,528,162","27,623,035","14,517,562","4,377,142",-,"179,437","172,886","10,000","6,551"
3,6/30/2022,"204,032,889","35,375,978","35,125,728","1,688,274",-,"33,437,454","250,250","250,250",-,-,"23,080,413","278,696","22,801,717","12,990,949","3,731,799","126,662,330","128,486,120","39,108,676","19,815,198","69,562,246","128,685,278","1,823,790","-199,158","8,712,122","8,712,122",-,-,"1,600,172",-,-,-,-,-,-,-,"8,746,715","8,501,357","245,358",-,"10,167,453","178,238,358","170,358,396","97,982,881","97,982,881","72,375,515",-,-,-,"3,743,278","3,743,278","3,743,278",-,"1,119,321","1,119,321","1,119,321","3,017,363","3,017,363",-,-,-,-,-,"25,794,531","25,794,531","25,794,531","2,010,600","23,783,931","14,808,637","9,986,881","595,905","-506,490",-,"28,811,894","2,010,600","23,783,931",-,"17,047,816","27,920,615","15,037,216","4,136,684",-,"179,437","175,955","10,000","3,482"
4,3/31/2022,"149,863,552","37,436,842","37,436,842","1,411,460",-,"36,025,382",-,0,0,-,"9,554,390","197,558","9,356,832","3,177,413","2,805,337","90,336,033","91,808,392","23,496,017","18,162,938","50,149,437","92,004,751","1,472,359","-196,359","6,738,715","6,738,715",-,-,"1,134,718",-,-,-,-,-,-,-,"4,595,854","4,593,112","2,742","67,000","7,940,433","131,987,532","126,318,713","67,798,347","67,798,347","58,520,366",-,-,-,"2,174,925","2,174,925","2,174,925",-,"50,307","50,307","50,307","3,443,587","3,443,587",-,-,"45,000","45,000",-,"17,876,020","17,876,020","17,876,020","1,750,000","16,126,020","14,830,671","6,611,659","5,019,870","-377,385",-,"21,319,607","1,750,000","16,126,020",-,"13,280,166","19,619,914","11,530,166","3,493,894",-,"159,742","129,066",-,"30,676"
5,12/31/2021,"155,107,160","43,209,881","43,209,881","1,337,577",-,"41,872,304",-,0,0,-,"7,623,891","468,031","7,155,860","2,607,047","445,777","91,443,226","92,912,452","23,473,324","17,974,953","51,464,175",-,"1,469,226","-224,226","8,184,933","7,088,287",-,"1,096,646","1,144,765","2,171,645","93,862","512,988","880,268","304,825","379,702","-1,026,880","4,597,110","4,593,112","3,998",-,"8,233,052","137,203,755","131,543,409","71,411,929","71,411,929","60,131,480","47,046","47,046",-,"2,127,931","2,127,931","2,127,931",-,"47,046","47,046","47,046","3,485,369","3,485,369","1,578",-,-,-,-,"17,903,405","17,903,405","17,903,405","1,750,000","16,153,405","14,646,448","6,635,000","5,081,548","-127,578",-,"21,388,774","1,750,000","16,153,405",-,"13,306,295","19,685,820","11,556,295","3,532,415",-,"159,742","128,689",-,"31,053"
6,9/30/2021,"151,901,194","39,925,500","39,925,500","1,479,712",-,"38,445,788",-,0,0,-,"7,072,178","624,556","6,447,622","2,359,551","3,480,006","92,067,870","93,582,894","22,514,940","17,834,648","53,233,306","93,872,912","1,515,024","-290,018","7,118,679","7,118,679",-,-,"1,117,903",-,-,-,-,-,-,-,"4,599,064","4,593,112","5,952",-,"8,236,582","134,372,423","128,701,296","72,158,987","72,158,987","56,542,309",-,-,-,"2,067,188","2,067,188","2,067,188",-,"103,548","103,548","103,548","3,500,391","3,500,391",-,-,-,-,-,"17,528,771","17,528,771","17,528,771","1,750,000","15,778,771","14,365,913","6,624,656","5,082,446","-210,419",-,"21,029,162","1,750,000","15,778,771",-,"12,929,707","19,382,710","11,179,707","3,603,939",-,"159,742","128,684",-,"31,058"
7,6/30/2021,"150,622,707","35,275,292","35,275,292","1,410,468",-,"33,864,824",-,0,0,-,"6,855,735","712,558","6,143,177","1,717,827","3,824,401","95,538,304","97,113,432","25,409,291","17,440,415","54,263,726","97,487,955","1,575,128","-374,523","7,234,871","7,234,871",-,-,"1,116,703",-,-,-,-,-,-,-,"4,601,802","4,593,112","8,690",-,"8,351,574","133,902,403","128,268,772","72,647,542","72,647,542","55,621,230",-,-,-,"2,042,948","2,042,948","2,042,948",-,"91,235","91,235","91,235","3,499,448","3,499,448",-,-,-,-,-,"16,720,304","16,720,304","16,720,304","1,250,000","15,470,304","14,030,215","6,620,528","5,084,515","-176,974",-,"20,219,752","1,250,000","15,470,304",-,"12,118,502","19,060,987","10,868,502","3,590,683",-,"159,742","128,671",-,"31,071"
8,3/31/2021,"150,481,060","32,667,216","32,666,216","1,258,989",-,"31,407,227","1,000","1,000","1,000",-,"7,298,026","687,359","6,610,667","1,774,459","4,231,282","97,662,874","99,299,080","27,811,190","16,712,233","54,775,657","99,691,141","1,636,206","-392,061","7,099,464","7,099,464",-,-,"1,148,941",-,-,-,-,-,-,-,"4,604,539","4,593,112","11,427",-,"8,248,405","134,034,552","128,476,365","74,834,946","74,834,946","53,641,419",-,-,-,"2,000,727","2,000,727","2,000,727",-,"58,957","58,957","58,957","3,498,503","3,498,503",-,-,-,-,-,"16,446,508","16,446,508","16,446,508","1,250,000","15,196,508","13,731,893","6,611,150","5,089,093","-138,478",-,"19,945,011","1,250,000","15,196,508",-,"11,841,969","18,753,968","10,591,969","3,557,460",-,"159,742","128,643",-,"31,099"
9,12/31/2020,"142,601,105","25,216,553","25,216,553","1,552,743",-,"23,663,810",-,0,0,-,"8,114,278","1,068,581","7,045,697","1,647,187","505,674","96,799,480","98,535,867","27,574,564","16,570,421","54,390,882",-,"1,736,387","-339,921","7,948,855","6,701,959",-,"1,246,896","1,161,558","2,139,470","94,929","513,290","816,331","302,246","412,674","-977,912","4,607,277","4,593,112","14,165",-,"7,863,517","126,413,822","119,805,738","72,232,854","72,232,854","47,572,884","59,482","59,482",0,"2,166,409","2,166,409","2,166,409",-,"59,482","59,482","59,482","4,382,193","4,382,193","1,683",-,-,-,-,"16,187,283","16,187,283","16,187,283","1,250,000","14,937,283","13,444,428","6,617,404","5,142,732","-63,032",-,"20,569,476","1,250,000","14,937,283",-,"11,580,006","19,378,958","10,330,006","4,441,675",-,"159,742","128,315",-,"31,427"
