,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Asset Impairment Charge,Other non-cash items,Change in working capital,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Net PPE Purchase And Sale,Purchase of PPE,Net Intangibles Purchase And Sale,Purchase of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"4,573,740","4,573,740","1,991,663","-153,491",-,"434,143","434,143","282,056","152,087","152,087","-29,987","-29,987","8,471",-,"1,805,941","1,034,483","16,592,736","16,592,736","-214,388",-,-,-,-,"393,923",-,"393,923",-,-,"-7,014,487","-9,567,863","2,553,376","-619,028","-20,983,809","-20,983,809","2,704,336","91,300","998,540","-907,240","2,613,036",-,"-1,800,000","-1,800,000",0,0,-,"-881,016","-784,089","-96,927","-13,177",-,"1,520,244","182,667","1,337,577",-,"487,618","428,772","-214,388",0,"998,540","-907,240","-1,800,000","4,359,352"
1,12/31/2022,"4,573,740","4,573,740","1,991,663","-153,491",-,"434,143","434,143","282,056","152,087","152,087","-29,987","-29,987","8,471",-,"1,805,941","1,034,483","16,592,736","16,592,736","-214,388",-,-,-,-,"393,923",-,"393,923",-,-,"-7,014,487","-9,567,863","2,553,376","-619,028","-20,983,809","-20,983,809","2,704,336","91,300","998,540","-907,240","2,613,036",-,"-1,800,000","-1,800,000",0,0,-,"-881,016","-784,089","-96,927","-13,177",-,"1,520,244","182,667","1,337,577",-,"487,618","428,772","-214,388",0,"998,540","-907,240","-1,800,000","4,359,352"
2,12/31/2021,"2,714,959","2,714,959","1,858,746","-10,308",-,"324,208","324,208","224,274","99,934","99,934","87,159","87,159","8,431",-,"521,723","685,346","-13,631,599","-13,631,599","-149,213",-,-,-,-,-,-,-,-,-,"-243,119","-2,309,767","2,066,648","-510,302","10,701,474","10,701,474","-856,027","-843,591","9,500","-853,091","-12,436",-,0,0,"495,000","495,000",-,"-648,460","-580,260","-68,200","-26,710",-,"1,337,577","-215,166","1,552,743",-,"314,295","139,164","-149,213","495,000","9,500","-853,091",0,"2,565,746"
3,12/31/2020,"789,187","789,187","1,353,152","-19,441",-,"320,288","320,288","220,598","99,690","99,690","-31,291","-31,291","21,014",-,"-1,654,535","-1,112,457","-22,020,481","-22,020,481","-172,289",-,-,-,-,-,-,-,-,-,"2,544,570","-48,578","2,593,148","67,411","21,347,732","21,347,732","-2,667,904","-2,665,023",0,"-2,665,023","-2,881",-,"-373,750","-373,750",0,0,0,"-636,368","-568,112","-68,256","-11,413",-,"1,552,743","116,438","1,436,305",-,"275,558","372,291","-172,289",0,0,"-2,665,023","-373,750","616,898"
4,12/31/2019,"2,357,555","2,357,555","1,929,149","31,526",-,"301,315","301,315","209,937","91,378","91,378","57,548","57,548","7,701",-,"-145,684","-275,914","727,007","727,007","-178,049",-,-,-,-,-,-,-,-,-,"3,451,275","-1,503,131","4,954,406","-665,999","-3,253,696","-3,253,696","-5,889,508","-1,553,493",0,"-1,553,493","-4,336,015",-,"-1,349,785","-1,349,785","14,500","396,000","-381,500","-619,592","-552,138","-67,454","-25,393",-,"1,436,305","-169,134","1,605,439",-,"320,513","735,787","-178,049","396,000",0,"-1,553,493","-1,731,285","2,179,506"
5,12/31/2018,"2,089,852","2,089,852","1,918,080","-23,503",-,"179,005","179,005","104,864","74,141","74,141","15,857","15,857","24,774",-,"-156,361","-5,666","-1,410,051","-1,410,051","-97,676",-,-,-,-,-,-,-,-,-,"1,834,658","-1,292,053","3,126,711","355,156","-495,250","-495,250","4,537,387","314,108","1,773,189","-1,459,081","4,223,279",-,"-2,194,396","-2,194,396",0,0,0,"-582,903","-510,382","-72,521","17,167",-,"1,605,439","184,551","1,420,888",-,"375,116","516,230","-97,676",0,"1,773,189","-1,459,081","-2,194,396","1,992,176"
6,12/31/2017,"2,781,935","2,781,935","1,408,306","-53,467",-,"197,125","197,125","109,587","87,538","87,538","400,790","400,790","15,429",-,"645,752","-65,905","3,394,925","3,394,925","-78,966",-,-,-,-,-,-,-,-,-,"1,563,078","-1,809,253","3,372,331","57,586","-6,076,521","-6,076,521","-1,275,833","-1,287,490","2,145,950","-3,433,440","11,657",-,"-1,205,905","-1,205,905",-,-,-,"-530,136","-457,402","-72,734","10,675",-,"1,420,888","100,339","1,320,549",-,"494,205","405,290","-78,966",-,"2,145,950","-3,433,440","-1,205,905","2,702,969"
7,12/31/2016,"1,183,411","1,183,411","1,315,114","-63,222",-,"200,591","200,591","106,996","93,595","93,595","174,013","174,013","21,036",-,"-654,121","11,528","-720,768","-720,768","-107,693",-,-,-,-,0,0,-,-,-,"-702,760","-3,779,310","3,076,550","448,102","-510,134","-510,134","-3,057,003","-1,119,898",0,"-1,119,898","-1,937,105",-,"-641,334","-641,334","-5,000","495,000","-500,000","-523,161","-441,891","-81,270","161,691",-,"1,320,549","-47,491","1,368,040",-,"276,866","498,951","-107,693","495,000",0,"-1,119,898","-1,141,334","1,075,718"
8,12/31/2015,"1,742,408","1,742,408","1,079,667","-67,759",-,"175,349","175,349","99,019","76,330","76,330","396,596","396,596","9,029",-,"-20,474","-343,804","7,714,282","7,714,282","-81,936",-,-,-,-,"-1,932,596","-1,932,596",-,-,-,"5,150,960","-3,743,072","8,894,032","459,147","-9,462,007","-9,462,007","-9,579,879","-7,412,474","1,500,000","-8,912,474","-2,167,405",-,-,-,-,-,-,"-456,287","-375,017","-81,270","69,766",-,"1,368,040","-5,317","1,373,357",-,"378,660","400,329","-81,936",-,"1,500,000","-8,912,474",-,"1,660,472"
9,12/31/2014,"1,099,041","1,099,041","1,066,246","-6,859",-,"198,730","198,730","96,496","102,234","102,234","92,848","92,848","6,593",-,"-382,517","-31,936","-11,710,371","-11,710,371","-73,161",-,-,-,-,-,-,-,-,-,"-3,931,161","-5,422,034","1,490,873","-465,158","10,311,753","10,311,753","3,851,424","3,919,203","4,345,478","-426,275","-67,779",-,-,-,"346,500","346,500",-,"-441,433","-371,199","-70,234","88,565",-,"1,373,357","-299,577","1,672,934",-,"411,912","257,553","-73,161","346,500","4,345,478","-426,275",-,"1,025,880"
