,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Loans,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Intangibles Purchase And Sale,Purchase of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"4,573,740","4,573,740","1,991,663","-153,491",-,"434,143","434,143","282,056","152,087","152,087","-29,987","-29,987",-,"8,471","517,000","1,805,941",-,-,-,"771,458","1,034,483","16,592,736","16,592,736","-214,388",-,"26,106,931",-,"-7,014,487","-9,567,863","2,553,376",-,-,"-2,060,215",-,-,-,-,-,-,"393,923",-,"393,923","-619,028","-20,983,809","-20,983,809","2,704,336","91,300","998,540","-907,240","2,613,036",-,"-1,800,000","-1,800,000",0,0,-,"-881,016","-784,089","-96,927","-13,177",-,"1,520,244","182,667","1,337,577",-,"487,618","428,772","-214,388",0,"998,540","-907,240","-1,800,000","4,359,352"
1,3/31/2023,"427,813","427,813","701,624","-11,515",-,"112,541","112,541","75,501","37,040","37,040","11,380","11,380",-,780,"120,000","-506,997",-,-,-,"-274,222","-232,775","-1,747,712","-1,747,712","-55,411",-,"2,652,294",-,"-3,133,595","-4,077,288","943,693",-,-,"-959,560","206,668","-1,166,228",-,-,-,-,-,-,-,"-251,440","1,617,395","1,617,395","6,925,930","3,485,579","3,485,675",-96,"3,440,351",-,"-594,000","-594,000",-,-,-,"-254,071","-220,517","-33,554","-19,654",-,"1,817,740","297,496","1,520,244",-,"22,474","410,419","-55,411",-,"3,485,675",-96,"-594,000","372,402"
2,12/31/2022,"953,619","953,619","765,371","-138,908",-,"101,217","101,217","62,319","38,898","38,898","59,426","59,426",-,"1,113","90,000","75,400",-,-,-,"210,597","-135,197","-3,665,139","-3,665,139","-87,578",-,"432,809",-,"-581,661","-1,396,476","814,815",-,-,"-3,326,185",-,-,-,-,-,-,0,-,0,"-102,524","1,975,954","1,975,954","3,136,388","499,241","499,290",-49,"2,637,147",-,"-600,000","-600,000",0,0,-,"-221,448","-205,121","-16,327","-8,983",-,"1,520,244","-735,566","2,255,810",-,"124,752","214,220","-87,578",0,"499,290",-49,"-600,000","866,041"
3,9/30/2022,"1,136,982","1,136,982","646,596","-3,727",-,"127,339","127,339","84,788","42,551","42,551","-12,067","-12,067",-,"3,889","115,000","259,952",-,-,-,"-11,018","270,970","6,219,311","6,219,311","-39,068",-,"8,045,926",-,"-2,088,262","-2,760,557","672,295",-,-,"492,625",-,-,-,-,-,-,0,-,0,"-191,910","-6,788,757","-6,788,757","540,639","492,155",-,"-7,095","48,484",-,"-600,000","-600,000",-,-,-,"-242,700","-209,146","-33,554","25,404",-,"2,255,810","567,536","1,688,274",-,"131,179","127,839","-39,068",-,-,"-7,095","-600,000","1,097,914"
4,6/30/2022,"1,187,369","1,187,369","217,522","-6,088",-,"122,276","122,276","78,210","44,066","44,066","-81,497","-81,497",-,"3,217","302,000","629,939",-,-,-,"137,359","492,580","9,842,984","9,842,984","-59,832",-,"11,781,274",-,"-1,955,762","-2,677,083","721,321",-,-,"-207,226",-,-,-,-,-,-,-,-,-,"-109,393","-10,753,539","-10,753,539","-975,903","-900,047",-,"-900,047","-75,856",-,-,-,-,-,-,"-229,493","-213,165","-16,328","-20,990",-,"1,688,274","276,814","1,411,460",-,"198,049","46,030","-59,832",-,-,"-900,047",-,"1,127,537"
5,3/31/2022,"1,295,770","1,295,770","362,174","-4,768",-,"83,311","83,311","56,739","26,572","26,572","4,151","4,151",-,252,"10,000","840,650",-,-,-,"434,520","406,130","4,195,580","4,195,580","-27,910",-,"5,846,922","5,846,922","-2,388,802","-2,733,747","344,945",-,-,"980,571",-,-,-,-,-,-,-,-,-,"-215,201","-5,417,467","-5,417,467","3,212",-49,-,-49,"3,261",-,-,-,-,-,-,"-187,375","-156,657","-30,718","-8,608",-,"1,411,460","73,883","1,337,577",-,"33,638","40,683","-27,910",-,-,-49,-,"1,267,860"
6,12/31/2021,"696,928","696,928","457,968","4,952",-,"80,763","80,763","55,042","25,721","25,721","16,969","16,969",-,"3,385","-15,000","147,891",-,-,-,"-46,484","194,375","-3,453,425","-3,453,425","-62,048",-,"-3,426,516",-,"-747,296","-1,189,452","442,156",-,-,"904,432",-,-,-,-,-,-,-,-,-,"-121,997","2,614,362","2,614,362","-56,552",-50,0,-50,"-56,502",-,0,0,0,0,-,"-167,531","-154,719","-12,812","-3,668",-,"1,337,577","-142,135","1,479,712",-,"35,512","22,762","-62,048",0,0,-50,0,"634,880"
7,9/30/2021,"486,320","486,320","495,460","-2,415",-,"84,364","84,364","55,773","28,591","28,591","15,037","15,037",-,"1,803","-20,000","-87,929",-,-,-,"-289,756","201,827","-1,195,802","-1,195,802","-42,706",-,"-4,580,964","-4,580,964","-321,793","-793,246","471,453",-,-,"3,820,477",-,-,-,-,-,-,-,-,-,"-70,816","778,726","778,726","21,764","9,451",-,-49,"12,313",-,0,0,-,-,-,"-163,038","-141,750","-21,288","-7,524",-,"1,479,712","69,244","1,410,468",-,"74,524","36,561","-42,706",-,-,-49,0,"443,614"
8,6/30/2021,"536,974","536,974","458,069","-10,739",-,"79,276","79,276","56,343","22,933","22,933","15,824","15,824",-,"2,026","-15,000","7,518",-,-,-,"13,739","-6,221","-50,625","-50,625","-13,443",-,"-2,457,597","-2,457,597","440,666","-116,032","556,698",-,-,"2,117,888",-,-,-,-,-,-,-,-,-,"-138,139","-335,870","-335,870","32,231",-47,-,-47,"32,278",-,0,0,-,-,-,"-154,559","-141,747","-12,812","-5,949",-,"1,410,468","150,479","1,259,989",-,"180,039","24,463","-13,443",-,-,-47,0,"523,531"
9,3/31/2021,"994,737","994,737","447,249","-2,106",-,"79,805","79,805","57,116","22,689","22,689","39,329","39,329",-,"1,217","-25,000","454,243",-,-,-,"158,878","295,365","-8,931,747","-8,931,747","-31,016",-,"-7,743,417","-7,743,417","385,304","-211,037","596,341",-,-,"-1,363,268",-,"-1,363,268",-,-,-,-,-,-,-,"-179,350","7,644,256","7,644,256","-853,470","-852,945",-,"-852,945",-525,-,0,0,-,-,-,"-163,332","-142,044","-21,288","-9,569",-,"1,259,989","-292,754","1,552,743",-,"24,220","55,378","-31,016",-,-,"-852,945",0,"963,721"
