,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Leases,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Other Customer Services,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income from Tax Loss Carryforward,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
0,ttm,"8,178,559","5,821,956","6,247,120","5,237,405",-,-,"498,759","509,030",-,"1,926","425,164","294,632","19,426","111,106",-,"2,356,603","1,631,834","1,631,834","803,240","740,717","87,877",-,-,"26,786","-5,686","-5,686",-,"703,669","-517,000","4,712,115","474,316","2,968,373","2,877,625","2,787,351","90,274",-,"90,748","55,624","55,624","55,624","55,624","1,213,802",-,"-338,321","136,000","338,321",-,-,-,"2,611,123","619,460","1,891,469","1,991,663","1,991,663","1,991,663",-,"96,587",11,"1,891,480",-,-,-,-,"5,304,956","1,991,663","2,249,802","509,030","434,143","1,991,663","-338,321","-338,321",0,"-80,182"
1,12/31/2022,"8,042,559","5,821,956","6,247,120","5,237,405",-,-,"498,759","509,030",-,"1,926","425,164","294,632","19,426","111,106",-,"2,220,603","1,631,834","1,631,834","803,240","740,717","87,877",-,-,"26,786","-5,686","-5,686",-,"567,669","-275,000","4,712,115","474,316","2,968,373","2,877,625","2,787,351","90,274",-,"90,748","55,624","55,624","55,624","55,624","1,213,802",-,"-444,321","136,000","580,321",-,-,-,"2,611,123","619,460","1,891,480","1,991,663","1,991,663","1,991,663",-,"96,587",11,"1,891,480",11.59,11.53,"163,199","164,030","5,546,956","1,991,663","2,330,574","509,030","55,624","1,991,663","-444,321","-444,321",0,"-105,410"
2,12/31/2021,"5,991,772","3,824,778","3,938,784","3,748,988",-,-,"141,162","47,491",-,"1,143","114,006","51,834",7,"62,165",-,"2,166,994","1,680,949","1,680,949","973,442","644,716","62,791",-,-,"24,376","-21,220","-21,220",-,"482,889","75,000","3,567,763","326,698","2,179,809","2,115,381","2,045,677","69,704",-,"64,428","10,167","10,167","10,167","10,167","1,051,089",-,"-43,860",-,"43,860",-,-,-,"2,455,149","596,403","1,776,987","1,858,746","1,858,746","1,858,746",-,"72,915",10,"1,776,987",13.81,13.80,"128,674","128,812","3,899,778","1,858,746","1,891,952","47,491","10,167","1,858,746","-43,860","-43,860",0,"-10,654"
3,12/31/2020,"5,954,761","3,866,317","4,192,712","3,975,053",-,-,"176,652","32,956",-,"8,051","326,395","217,035",28,"109,332",-,"2,088,444","1,586,741","1,586,741","937,429","601,884","47,428",-,-,"40,536","-9,421","-9,421",-,"470,588","-800,000","3,385,240","322,037","2,066,399","2,004,495","1,950,692","53,803","298,349","61,904","14,869","14,869","14,869","14,869","981,935",-,-,-,-,-,-,-,"1,769,521","416,369","1,279,068","1,353,152","1,353,152","1,353,152",-,"68,228",2,"1,279,068",9.94,9.94,"128,679","128,704","3,066,317","1,353,152","1,353,152","32,956","14,869","1,353,152",-,-,0,0
4,12/31/2019,"6,191,943","4,130,264","4,879,593","4,442,182",-,-,"288,853","141,397",-,"7,161","749,329","485,346","24,741","239,242",-,"2,061,679","1,512,278","1,512,278","890,748","572,608","48,922",-,"457,770","62,044","18,037","18,037",-,"469,320","-176,000","3,468,682","324,079","2,035,804","1,942,332","1,900,797","41,535","269,624","93,472","19,490","19,490","19,490","19,490","1,089,309",-,-,-,-,-,-,-,"2,547,261","618,112","1,849,511","1,929,149","1,929,149","1,929,149",-,"69,441",2,"1,849,511",13.76,13.75,"134,412","134,462","3,954,264","1,929,149","1,929,149","141,397","19,490","1,929,149",-,-,0,0
5,12/31/2018,"5,928,302","4,072,302","4,598,711","4,164,561",-,-,"324,577","108,182",-,"1,391","526,409","272,467","5,386","248,556",-,"1,856,000","1,378,433","1,378,433","789,779","537,585","51,069",-,"360,442","32,547","-6,301","-6,301",-,"451,321","-132,000","3,288,062","298,828","1,906,500","1,820,790","1,752,264","68,526","234,683","85,710","24,522","24,522","24,522","24,522","1,058,212",-,-,-,-,-,-,-,"2,508,240","590,160","1,836,028","1,918,080","1,918,080","1,918,080",-,"72,521",7,"1,836,035",12.75,12.74,"138,510","138,510","3,940,302","1,918,080","1,918,080","108,182","179,005","1,918,080",-,-,0,0
6,12/31/2017,"5,632,187","3,781,044","4,167,795","3,742,867",-,-,"362,588","61,326",-,"1,014","386,751","195,868","1,511","189,372",-,"1,851,143","1,354,025","1,354,025","791,199","501,381","61,445",-,"363,827","35,301","21,279","21,279",-,"440,538","-168,000","3,140,325","295,084","1,821,803","1,752,600","1,650,729","101,871","220,630","69,203","31,366","31,366","31,366","31,366","992,072",-,-,-,-,-,-,-,"2,323,862","915,556","1,327,517","1,408,306","1,408,306","1,408,306",-,"72,734",14,"1,327,517",8.72,8.70,"152,238","152,551","3,613,044","1,408,306","1,408,306","61,326","31,366","1,408,306",-,-,0,0
7,12/31/2016,"5,295,883","3,469,887","3,895,871","3,485,050",-,-,"364,100","45,516",-,"1,205","425,984","191,342","3,625","231,017",-,"1,825,996","1,328,406","1,328,406","792,799","472,184","63,423",-,"373,697","41,126","30,314","30,314",-,"426,150","-190,000","3,011,730","295,141","1,815,782","1,728,645","1,623,600","105,045","211,935","87,137","42,613","42,613","42,613","42,613","858,194",-,"-35,755",-,"35,755",-,-,-,"2,058,398","743,284","1,223,481","1,315,114","1,315,114","1,315,114",-,"81,270",22,"1,223,481",7.80,7.78,"156,857","157,304","3,279,887","1,315,114","1,337,958","45,516","42,613","1,315,114","-35,755","-35,755",0,"-12,911"
8,12/31/2015,"4,681,891","2,842,587","3,170,844","2,778,151",-,-,"376,425","15,252",-,"1,016","328,257","73,814","1,677","252,766",-,"1,839,304","1,331,756","1,331,756","796,346","470,640","64,770",-,"375,738","30,577",-130,-130,-,"477,101","-170,000","2,746,956","272,539","1,601,643","1,601,643","1,549,530","52,113","38,491",-,"26,424","26,424","26,424","26,424","846,350","-14,267","-75,976",-,"75,976",-,-,-,"1,674,692","595,025","987,724","1,079,667","1,079,667","1,079,667",-,"81,270",35,"987,724",7.22,7.18,"136,804","137,533","2,672,587","1,079,667","1,128,648","15,252","26,424","1,079,667","-75,976","-75,976",0,"-26,995"
9,12/31/2014,"4,472,391","2,676,446","2,956,877","2,596,586",-,-,"345,747","13,361",64,"1,119","280,431","63,083",101,"217,247",-,"1,795,945","1,366,338","1,366,338","790,868","508,258","67,212",-,"362,912","29,874",0,0,-,"399,733","-124,000","2,742,857","269,299","1,460,481","1,460,481","1,404,950","55,531","38,201",-,"33,824","33,824","33,824","33,824","979,253","-16,672",-,-,-,-,-,-,"1,588,862","522,616","978,581","1,066,246","1,066,246","1,066,246",-,"75,878",50,"978,581",7.47,7.42,"131,001","131,844","2,552,446","1,066,246","1,066,246","13,425","33,824","1,066,246",-,-,0,0
